src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-54,226051714329285,40722247750,2024-09-03 21-31-14,48.8.180.88,1554493512,internet,246.14.221.81,786408663,-2078141209,24084,63
huawei,-94,226057012862183,40722770589,2024-09-03 21-33-25,251.143.117.254,239800943,internet,98.196.82.86,1418360846,-995330426,10717,33
huawei,76,226051831275604,40728019264,2024-09-03 21-31-45,231.255.138.160,816462370,internet,94.16.35.83,-683719405,-2055070197,1254,103
huawei,-89,226050177507170,40737745245,2024-09-03 21-34-41,228.194.173.237,-1890016278,ims,252.30.159.89,1991105735,312990751,-1872,-68
huawei,114,226051242864794,40789686869,2024-09-03 21-34-04,140.246.167.51,1072907610,internet,155.89.75.129,-1031456697,124940576,28074,7
huawei,-126,226051339557738,40714337451,2024-09-03 21-31-39,168.232.118.82,1317576627,internet,176.166.215.149,1022323406,-1381946027,16519,12
huawei,-24,226055155793699,40768951111,2024-09-03 21-33-05,68.13.71.251,2060137746,ims,107.138.111.47,257287387,-486905584,-18224,-121
huawei,61,226054701901662,40759113753,2024-09-03 21-33-17,117.163.239.235,165495084,ims,108.185.79.69,-1599635849,-55105820,11023,-61
huawei,-107,226057305181721,40797451281,2024-09-03 21-32-27,56.177.206.120,-2010555513,ims,64.177.121.30,-1686749738,696981098,-5053,46
huawei,3,226059194390503,40764378831,2024-09-03 21-31-20,98.219.255.48,-79720816,internet,207.171.25.204,-865894988,-830538126,32270,-49
huawei,96,226054250179593,40748642295,2024-09-03 21-33-23,130.35.57.56,-1441278503,internet,152.118.96.102,1990043020,1899241802,32744,-3
huawei,17,226056981316939,40788482436,2024-09-03 21-32-58,34.115.136.111,-108927302,ims,192.56.152.33,902544599,178081021,1621,120
huawei,-69,226051681022584,40754723946,2024-09-03 21-32-17,82.181.37.158,-1889244347,ims,150.111.192.192,228608361,1014127834,30521,84
huawei,-22,226058785490290,40739262281,2024-09-03 21-31-04,143.21.223.105,678674273,ims,144.75.137.201,-429616971,-1960537181,11880,-125
