src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-104,226059869928894,40734027224,2024-09-03 21-51-45,99.43.90.97,-1870310584,internet,10.158.171.184,-2126456970,1341975656,2533,51
huawei,11,226058569065705,40701003526,2024-09-03 21-50-11,25.53.141.53,1229039967,ims,71.254.220.136,1524327778,-215061386,-20332,53
huawei,-53,226056582114440,40709688410,2024-09-03 21-52-31,103.56.15.230,716540688,ims,236.191.183.62,316952438,1282997369,-13011,-68
huawei,65,226052602850831,40785922546,2024-09-03 21-50-23,11.142.60.250,86983943,ims,46.145.39.241,2003646239,-2005593626,29808,49
huawei,-82,226053803107543,40721664750,2024-09-03 21-53-58,168.143.208.64,-990219059,ims,218.107.107.136,-465274017,-713066549,7453,-45
huawei,49,226056008144101,40784949454,2024-09-03 21-54-28,217.180.81.166,-1678750620,ims,78.91.5.40,-819610258,-1217631649,-25769,-23
huawei,-96,226055467087843,40737015044,2024-09-03 21-54-45,181.218.12.41,-1735541679,ims,4.25.35.98,1096421340,-482236396,-13082,92
huawei,-118,226057273855692,40748049414,2024-09-03 21-53-17,33.225.50.230,-1187916257,ims,156.136.25.80,329521947,436183859,-16789,-49
huawei,116,226056437383060,40797725445,2024-09-03 21-53-01,178.212.39.136,818518550,ims,173.222.31.11,-483492154,1847782722,5019,-75
huawei,-52,226055025946972,40727464096,2024-09-03 21-50-58,73.250.16.14,-837437950,ims,116.253.113.50,888040080,848406094,29486,36
huawei,122,226054464362467,40790145293,2024-09-03 21-51-36,39.3.254.144,1298915770,internet,206.115.223.209,1027490658,1898371287,-1951,-90
huawei,-67,226055815486648,40701957608,2024-09-03 21-50-52,183.117.96.207,-2032939634,ims,36.121.10.50,-447100872,1212269743,21974,13
huawei,33,226053104427284,40787016287,2024-09-03 21-53-10,95.177.101.92,-514465087,internet,102.120.102.131,-2037460450,390356593,10815,-69
huawei,-65,226051585143560,40719044930,2024-09-03 21-54-25,166.72.248.144,-1866910335,internet,38.157.112.11,292562897,-594035991,-15782,117
huawei,66,226054840810888,40732135824,2024-09-03 21-51-47,141.98.28.92,463699403,ims,63.245.253.50,-206443429,177395663,31671,106
huawei,-57,226050377955800,40758532319,2024-09-03 21-52-11,207.206.115.3,-1904388985,internet,183.24.81.29,1780804750,1021525212,-3618,-23
huawei,78,226052567254129,40718415765,2024-09-03 21-53-38,49.99.158.171,-829964262,internet,50.124.3.40,-218267789,283106377,11243,37
huawei,108,226051032632016,40712312903,2024-09-03 21-53-11,32.179.164.9,-925923492,internet,71.220.13.115,1502364284,1021998922,-26748,110
huawei,77,226051787968068,40747148545,2024-09-03 21-53-33,34.113.74.10,-645088990,ims,148.116.178.31,1785870564,-1794407528,16298,-2
huawei,102,226058652889227,40745486539,2024-09-03 21-52-26,205.214.8.40,-1318598165,ims,242.183.37.94,1274607000,1125962990,31246,97
huawei,-73,226055091690278,40797833538,2024-09-03 21-51-16,62.211.59.169,-341787986,internet,173.84.144.23,1046521220,-1654730575,-10220,-2
huawei,-115,226051178875307,40742544710,2024-09-03 21-51-09,80.164.4.17,827466048,ims,192.193.26.13,-1931355678,-564340554,-20850,118
huawei,120,226059105833029,40732993664,2024-09-03 21-54-29,14.127.240.166,-317541141,ims,205.179.226.123,460871076,2093573254,-9976,-30
huawei,-22,226055731290800,40714587962,2024-09-03 21-51-52,30.186.85.166,873820142,internet,198.140.59.215,-57888397,-1570427702,-21085,-110
huawei,122,226057533181445,40739220681,2024-09-03 21-50-26,111.249.125.181,-479044073,ims,100.142.93.39,1064329688,1416520779,-22564,-112
huawei,102,226050435117514,40727622660,2024-09-03 21-54-30,198.18.15.64,1553775101,ims,45.149.99.229,2039296989,-1775122220,-4954,27
huawei,-105,226053589275668,40790241533,2024-09-03 21-50-37,119.80.236.111,1516099688,internet,25.8.165.165,-8130890,-860153770,6565,-59
huawei,-103,226052055962332,40709289587,2024-09-03 21-52-57,104.27.224.172,901052027,ims,87.3.19.45,-1470593819,1464699875,14387,95
huawei,96,226052563673451,40746259292,2024-09-03 21-54-52,155.0.117.185,-464686749,internet,231.202.84.124,-1862521754,33584320,21734,-117
huawei,-126,226053166952499,40787877446,2024-09-03 21-55-00,53.95.40.207,-740985001,ims,166.67.149.201,1206789014,-204192989,-6629,53
huawei,60,226054433798255,40729385241,2024-09-03 21-54-42,159.42.68.210,-1134235716,ims,15.39.68.131,410423885,788813396,-2896,-18
huawei,-59,226056551451153,40797010881,2024-09-03 21-51-02,56.37.252.127,1313256751,internet,158.105.233.104,-188627198,-575129901,20798,118
huawei,-44,226054737474457,40723383782,2024-09-03 21-53-54,59.177.145.94,563107785,internet,125.35.125.9,664493479,1773161084,-17902,16
huawei,-109,226051646679413,40784590115,2024-09-03 21-53-02,243.175.184.141,137952496,ims,174.242.220.224,-900271577,-2139901150,-814,-122
huawei,-9,226054877324972,40799728299,2024-09-03 21-51-59,37.149.127.195,1019051648,ims,113.230.0.106,-426167877,-1442693693,12995,57
huawei,-23,226053124777327,40767821948,2024-09-03 21-51-06,137.170.86.171,1158100114,ims,242.129.10.72,1058286839,1339599453,1805,-66
huawei,118,226057244632881,40789557980,2024-09-03 21-50-42,212.50.118.68,-632237306,internet,17.5.251.185,581177026,-42076161,28921,50
huawei,-23,226050188083557,40744840821,2024-09-03 21-51-37,18.80.106.176,-1255619215,internet,69.24.43.122,-1560483675,1565108576,-7039,-27
huawei,90,226052035416809,40701587568,2024-09-03 21-53-22,150.91.25.78,-1690201404,internet,180.115.187.243,-1126522960,-1094839056,4379,-76
huawei,-42,226056144679327,40767522849,2024-09-03 21-50-47,86.230.41.185,1199867709,internet,206.78.50.89,-2009436259,-1042382943,18155,-97
