src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-11,226051707141473,40747772906,2024-09-03 22-07-01,90.0.103.179,510398297,internet,168.228.216.119,-101732672,847558520,-6077,-74
huawei,115,226056011786188,40783619305,2024-09-03 22-09-14,224.168.76.112,-1272640504,internet,43.164.33.249,-946612013,-2063890305,-621,-72
huawei,123,226057979204495,40747375636,2024-09-03 22-08-22,213.219.131.98,-1673282896,internet,188.135.2.10,1051482870,920529481,211,42
huawei,98,226055114224404,40755589639,2024-09-03 22-05-55,24.187.78.122,2072688744,internet,145.121.162.74,-1351936145,1924459305,27949,73
huawei,116,226054749753705,40708292154,2024-09-03 22-06-07,111.74.185.108,-1718180251,internet,81.229.250.69,-357895139,-1220347942,19828,81
huawei,-64,226054404215606,40741206579,2024-09-03 22-07-01,71.5.9.141,784333913,ims,100.172.17.249,-304691672,-1283212355,-11105,87
huawei,-37,226053149113845,40743394971,2024-09-03 22-09-04,115.65.111.164,-95176360,ims,175.29.150.153,1006161949,1656442851,9006,114
huawei,60,226053575977476,40746283444,2024-09-03 22-08-55,91.17.120.188,1306695868,ims,180.56.48.195,-1587901115,1588691525,23023,-22
huawei,49,226051161643838,40700517392,2024-09-03 22-09-24,112.118.250.253,-1295781641,internet,216.219.37.123,-26186790,-326812332,-8322,-75
huawei,-102,226057132560149,40746634688,2024-09-03 22-06-19,255.202.71.94,-789921696,internet,49.190.255.61,1084640083,-591451546,-22421,94
huawei,10,226052552163854,40706135174,2024-09-03 22-06-14,48.157.172.173,1173359392,internet,6.239.154.25,-911253725,1599239984,-18174,89
huawei,68,226059969775588,40778525661,2024-09-03 22-05-55,7.43.189.249,1502166390,internet,99.228.210.118,-905753213,353908609,-11305,43
huawei,103,226052523261548,40735265861,2024-09-03 22-06-33,125.204.61.124,732492351,internet,245.160.191.143,-281127752,190270544,-15912,-35
huawei,-115,226054835880061,40709057662,2024-09-03 22-06-11,122.192.168.167,-1520215309,ims,229.54.7.211,923498654,2054499720,-28987,13
huawei,-72,226053916666037,40736827128,2024-09-03 22-08-30,77.101.201.96,1611769492,internet,86.66.18.110,-638599346,1523797345,-23407,56
huawei,94,226056659056383,40751337921,2024-09-03 22-09-13,147.218.88.128,2027545544,internet,1.160.254.95,-450427960,-1673186513,-31470,4
huawei,38,226059568539145,40706160438,2024-09-03 22-08-20,176.78.184.135,-104446261,ims,156.81.3.75,-2096677702,37307656,23803,-87
huawei,109,226059345309551,40781370690,2024-09-03 22-06-12,18.102.128.97,-2127636584,internet,130.188.79.196,1755044700,569430512,32616,125
huawei,125,226059136272712,40749260900,2024-09-03 22-07-50,142.34.119.123,-269534493,internet,142.130.219.202,1487748994,932853637,-27885,-62
huawei,-57,226052913517308,40769196779,2024-09-03 22-06-12,198.159.49.200,-1166802883,ims,33.168.36.172,-1394756946,-2139638873,-25343,-103
huawei,-74,226050071019029,40799583899,2024-09-03 22-06-29,62.43.30.66,-2083258274,internet,169.65.140.144,-1269786375,1451753421,32098,-38
huawei,-74,226052672151192,40773592565,2024-09-03 22-09-17,3.172.1.38,763924153,internet,19.215.158.201,959035589,-1038330373,15081,-6
huawei,-106,226057642622541,40772102480,2024-09-03 22-06-08,98.93.60.128,1536098040,internet,80.56.234.239,-451008948,614153184,28343,-3
huawei,-117,226053221796449,40749158666,2024-09-03 22-09-26,141.209.126.240,-1732763608,ims,232.16.41.171,265648603,1345713122,16296,-78
huawei,-13,226058621944331,40748592446,2024-09-03 22-09-47,222.43.5.31,-1712203008,internet,249.111.141.186,-287187719,-862023803,-926,13
huawei,-121,226054276512062,40721268703,2024-09-03 22-08-28,212.151.180.199,1496560227,internet,83.236.184.57,315076072,698674692,-29960,-127
