src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-31,226058021964649,40758033794,2024-09-03 22-17-20,161.232.116.119,-3233572,internet,12.77.250.188,-1795102321,-287955759,21532,-37
huawei,38,226051168972743,40740466796,2024-09-03 22-18-30,56.38.8.41,1300415577,internet,69.7.100.182,758621246,-418038653,15066,-96
huawei,72,226053712106012,40710787307,2024-09-03 22-16-25,112.92.130.99,-1156707190,internet,52.217.26.168,-1044527342,487932398,-24080,-108
huawei,-86,226055500630419,40708196340,2024-09-03 22-18-52,197.109.181.124,-737326925,ims,57.139.201.107,-1885265548,-257173785,-10287,-9
huawei,-86,226058275862620,40777257013,2024-09-03 22-17-00,211.200.184.221,2064273213,internet,37.60.245.239,731410394,-656954092,18346,33
huawei,108,226053092798698,40781190362,2024-09-03 22-17-42,185.178.244.21,509194615,internet,174.255.208.156,1435088737,-1791865381,24467,-115
huawei,-106,226058977608147,40713852990,2024-09-03 22-15-21,65.189.222.14,-1011292503,ims,115.21.236.27,863294270,1815883995,19118,-87
huawei,32,226054529211499,40797211854,2024-09-03 22-15-57,4.150.154.167,-139346895,ims,147.142.93.79,-920033549,703706672,9317,-85
huawei,-119,226057165625774,40773112774,2024-09-03 22-18-16,37.137.93.109,1372571438,internet,208.127.43.33,-689634023,1283890257,11306,57
huawei,-111,226055677455998,40731303955,2024-09-03 22-15-52,169.177.132.45,1611022031,internet,163.90.18.203,2099227952,123988072,-25271,14
huawei,-55,226052480412079,40728881566,2024-09-03 22-15-37,119.249.94.173,1297367210,ims,55.92.169.87,642658126,1061354299,27718,28
huawei,-47,226050836974909,40751239766,2024-09-03 22-18-19,8.49.121.94,-1167793518,ims,127.28.29.249,-856567201,1150938553,9842,122
huawei,-11,226058704499623,40716919594,2024-09-03 22-18-24,159.53.9.121,2080522545,ims,144.115.236.186,-651146456,-2045990763,-16817,-30
huawei,-61,226051449491043,40710208278,2024-09-03 22-18-16,83.218.0.159,-1045251461,ims,73.174.104.103,870642362,867456559,-7944,37
huawei,44,226057213313661,40756521372,2024-09-03 22-16-33,159.219.113.32,-1564171264,ims,232.207.185.187,1690093724,-489984349,32259,-43
huawei,20,226054516519821,40749005177,2024-09-03 22-19-06,157.139.141.72,983217954,internet,234.86.99.46,1988772197,-862768113,-19865,-24
huawei,-86,226055529882619,40702193506,2024-09-03 22-19-51,159.117.161.34,-818073051,ims,71.141.128.123,2077399577,-1985536735,18529,114
huawei,-84,226057702696578,40781110069,2024-09-03 22-15-37,237.254.224.100,236728096,internet,169.205.219.158,837234604,956476323,-7532,123
huawei,-59,226050041100247,40720843168,2024-09-03 22-18-49,50.104.6.253,727785205,internet,237.75.124.252,-1727911097,-1764652445,3433,-126
huawei,87,226051263379567,40771895786,2024-09-03 22-19-45,130.111.37.13,928307378,ims,236.24.162.243,-523514166,-1093717742,11429,94
huawei,75,226058163117768,40767392263,2024-09-03 22-16-19,134.204.140.219,782915602,internet,86.163.175.160,294912174,-513149812,-30096,-120
huawei,-122,226050965342763,40708289356,2024-09-03 22-15-27,72.4.196.174,-332096515,ims,62.153.94.13,-1006142066,1452342156,18925,-45
huawei,80,226053054365055,40797216736,2024-09-03 22-17-47,184.107.111.115,-1197765467,ims,132.141.33.162,-559008699,463619349,17109,-5
huawei,92,226059349642156,40749208686,2024-09-03 22-19-01,168.21.91.203,-1079575115,ims,103.8.4.42,1588034001,471179532,25747,-38
huawei,-14,226050974161145,40707597775,2024-09-03 22-19-40,161.188.197.231,-146239500,ims,212.114.201.79,1610862560,-1594224054,25694,-19
huawei,-85,226052067995333,40725777626,2024-09-03 22-18-24,252.157.45.7,2074243540,ims,150.126.103.69,286094979,1520331511,32370,-59
huawei,11,226055263658984,40736182483,2024-09-03 22-19-14,224.141.183.59,1364490435,internet,84.177.49.185,-900356283,-353363103,5212,-64
huawei,60,226059587019603,40785842799,2024-09-03 22-19-05,8.63.51.172,1033064134,ims,126.62.152.189,1511915026,1308543152,-30118,123
huawei,-66,226054704960387,40790797088,2024-09-03 22-19-42,76.187.12.51,1070780701,internet,175.170.197.197,-1059111148,-2074056557,-17381,-39
huawei,54,226054986712209,40777031140,2024-09-03 22-19-10,3.72.77.158,53288311,internet,39.38.200.254,1304902158,26675631,19203,-61
huawei,-77,226054340298462,40772325574,2024-09-03 22-18-40,191.146.40.243,-53786401,ims,2.65.213.0,1691246305,-789141695,10127,39
huawei,53,226056544326702,40740830292,2024-09-03 22-19-13,208.28.186.61,-150178496,ims,16.38.239.98,-1967443550,-882180349,25802,-17
huawei,105,226050052138073,40714049229,2024-09-03 22-19-26,190.86.197.144,-1497838589,internet,181.165.236.237,-485128105,108946368,28861,49
huawei,105,226050219784204,40753928512,2024-09-03 22-17-34,223.129.0.246,-749985745,internet,162.180.173.229,-1268062822,571959539,29695,-51
