src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,100,226056582724246,40773805897,2024-09-03 22-23-45,51.239.53.79,-30157781,internet,184.128.157.65,-1087270946,-1337439112,12264,-75
huawei,-101,226058024909940,40764881849,2024-09-03 22-22-41,206.179.64.238,-2060968415,internet,192.85.184.205,2123013500,-1407010877,-18845,-1
huawei,-76,226050100236278,40723169083,2024-09-03 22-20-59,161.8.235.48,-1794363227,internet,209.55.52.40,-1567677288,-1851534654,-31670,35
huawei,125,226053851854342,40704285241,2024-09-03 22-21-53,171.108.212.168,-1737873693,ims,84.7.59.245,40619677,1200108789,7994,116
huawei,62,226059760423339,40788227689,2024-09-03 22-23-32,251.47.70.127,180767166,ims,237.252.54.67,262629075,-1137560092,-1617,-33
huawei,-122,226055382932763,40705189226,2024-09-03 22-21-15,54.217.146.182,1843543969,ims,226.183.43.176,710446056,463237684,31378,-75
huawei,-22,226059874061082,40777898196,2024-09-03 22-23-02,249.32.138.232,104129434,ims,244.156.136.111,-1978076358,-1671032715,19206,-36
huawei,122,226059795282380,40750821536,2024-09-03 22-20-28,181.181.163.232,-725749233,ims,86.110.167.203,1948130863,-796285090,30518,-93
huawei,62,226055602544437,40764918738,2024-09-03 22-21-13,44.225.234.20,1796550167,internet,62.103.4.239,-873195650,-1094843205,-10039,-117
huawei,84,226056950746543,40799351641,2024-09-03 22-22-18,86.175.178.36,-186752455,ims,23.129.168.20,-1591851124,-1609884172,9051,-38
huawei,-25,226058320751780,40784756232,2024-09-03 22-22-13,122.110.217.156,-564501044,internet,179.97.240.150,-1861217176,-675618123,-29620,119
huawei,-105,226058232017031,40702672428,2024-09-03 22-24-51,108.227.156.21,867386021,internet,18.212.127.137,1792534227,1429496777,1983,21
huawei,42,226056373937701,40732511269,2024-09-03 22-21-51,169.22.242.223,-743316085,ims,104.233.228.47,20953872,1616878332,12316,35
huawei,-4,226050391924339,40746444235,2024-09-03 22-23-33,17.183.247.117,86794082,internet,226.240.221.233,35020234,539187344,-2843,28
huawei,-25,226053588544286,40785645587,2024-09-03 22-21-58,67.125.221.119,-1354585223,internet,221.189.219.174,-1857958233,-1949531675,-10660,80
huawei,52,226054249508623,40769525836,2024-09-03 22-22-33,70.145.130.212,119678559,internet,0.212.255.48,-2099344478,121195749,26548,66
huawei,21,226050081437533,40793811552,2024-09-03 22-20-05,91.240.29.151,1610752481,ims,156.99.43.90,-864089807,-1665276303,31134,-81
huawei,85,226052443885601,40711793050,2024-09-03 22-24-30,70.92.147.57,149130207,ims,250.202.14.65,-970591731,1717333001,-30247,-115
huawei,-38,226059307656149,40765264502,2024-09-03 22-24-27,10.37.253.197,-55083321,ims,182.26.144.99,793177669,952967693,13122,-18
huawei,-29,226056484686461,40795094175,2024-09-03 22-20-36,177.117.61.65,-766152263,internet,183.1.133.121,-1977119781,-220945030,-23801,-48
huawei,13,226055838001512,40795940848,2024-09-03 22-21-29,126.191.134.198,-1497043828,ims,16.168.229.197,-821338378,-560467389,6097,-98
huawei,41,226057470173141,40747919740,2024-09-03 22-23-40,80.122.103.32,2119190012,internet,142.238.234.236,1789928011,-229074840,-2328,22
huawei,-33,226059572720984,40765695005,2024-09-03 22-24-43,248.239.119.137,-1905437991,internet,214.120.168.164,-1388743306,465178371,23295,-28
huawei,-30,226054481535021,40777921288,2024-09-03 22-22-32,47.212.146.143,2127501815,ims,223.96.39.251,-1939828078,1446017256,26851,76
huawei,-97,226055806435814,40754515974,2024-09-03 22-22-48,108.37.201.109,-1150791102,ims,204.222.27.155,-672864705,1554222711,-16466,60
huawei,46,226055527731522,40744391960,2024-09-03 22-21-20,82.98.212.37,743162010,internet,100.179.178.31,1613221304,-926619575,10298,-52
huawei,-3,226054741161766,40728130936,2024-09-03 22-20-29,95.78.51.210,1247303344,ims,207.197.100.253,478206593,1022140267,-27115,-77
huawei,80,226051758297446,40787326962,2024-09-03 22-22-20,115.196.73.216,1082904967,internet,14.216.230.250,-544055485,-253467181,-3234,-112
huawei,-124,226058021691106,40760458566,2024-09-03 22-21-06,140.37.121.116,-724536969,internet,193.155.30.59,-1268524724,1392641668,-417,3
huawei,114,226058629370386,40770791861,2024-09-03 22-21-09,124.54.94.108,2023169755,ims,103.226.42.227,835117859,934633772,13072,-50
huawei,-90,226058538564147,40745461962,2024-09-03 22-23-46,19.69.224.67,1455768861,ims,35.59.101.187,1215916893,1066966103,1551,-7
huawei,-13,226055672198745,40783888558,2024-09-03 22-22-00,0.118.222.253,-401762810,internet,73.180.226.94,-796443394,-1686411594,-3790,-119
huawei,-6,226055401248284,40727587848,2024-09-03 22-21-45,211.37.112.140,-1613942090,internet,29.204.4.111,-1693447695,-1937426265,30342,-57
huawei,19,226053259068755,40797765414,2024-09-03 22-22-45,159.150.217.189,-1503823652,internet,52.140.233.155,-1190191566,1285426801,-15062,-112
huawei,102,226056036369831,40710435030,2024-09-03 22-23-13,215.220.37.226,1725041906,internet,120.87.133.28,189240265,1916682147,-30081,-70
huawei,67,226054275576534,40789568836,2024-09-03 22-23-45,1.96.118.140,-215915164,ims,57.109.220.66,402103168,828181553,-28353,-112
huawei,-14,226056712873971,40741530381,2024-09-03 22-22-21,180.219.129.219,-1754730120,ims,95.113.5.217,1946540768,75170727,6558,-101
huawei,-16,226053420869678,40794161477,2024-09-03 22-24-38,90.222.133.169,537866312,internet,250.215.38.160,-979580017,2056106575,16521,77
