src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,17,226057531578777,40721283140,2024-09-03 22-38-23,192.150.148.192,1681853526,internet,241.126.250.129,1734048939,-1975406293,27861,-109
huawei,-113,226057896990732,40718774933,2024-09-03 22-39-58,218.214.30.45,66919285,ims,175.23.240.80,715594221,-704069452,16223,94
huawei,-14,226057907440432,40746148059,2024-09-03 22-37-09,99.232.165.8,315313082,ims,21.115.145.164,-1701410029,1972150985,30116,-39
huawei,-61,226056587890604,40701715869,2024-09-03 22-35-53,254.72.128.125,-1198538861,internet,254.84.189.12,-457133792,-100221934,31578,-61
huawei,-99,226052750145576,40752872115,2024-09-03 22-39-31,57.245.22.35,-412960020,ims,205.119.209.222,-504005821,-1309036612,12417,-111
huawei,-85,226059267982603,40766017155,2024-09-03 22-35-52,162.249.196.235,-1744366297,ims,233.39.186.121,1592072583,-884751100,10968,76
huawei,-89,226057712307555,40710024566,2024-09-03 22-38-17,192.139.195.96,-1143037918,internet,244.72.82.174,-572506682,1363479319,-28606,78
huawei,121,226054169222730,40719926313,2024-09-03 22-35-28,96.173.7.6,1885092709,ims,230.84.227.137,973527261,-1335257555,4218,113
huawei,-60,226052472188591,40737762554,2024-09-03 22-37-21,151.121.14.106,1677802879,internet,194.58.63.217,1481025554,159182233,-18101,121
huawei,-124,226055098452968,40712070073,2024-09-03 22-35-29,226.142.149.239,-1136160610,ims,116.253.81.39,805537165,204182220,-22822,51
huawei,-100,226057341600081,40715073960,2024-09-03 22-35-09,14.171.54.26,-312563186,ims,67.57.130.193,1142058470,-2067094590,-23750,120
huawei,-65,226054636587159,40770896711,2024-09-03 22-36-45,169.198.139.217,-1633906637,ims,37.130.5.94,-889777367,1518731619,17344,-50
huawei,22,226055422528840,40726597017,2024-09-03 22-36-16,82.221.157.95,1376613398,internet,0.189.240.172,1923946755,1452026500,315,43
huawei,127,226056352290532,40785150393,2024-09-03 22-39-36,156.216.61.128,95623821,internet,109.192.6.229,-1891791901,-494756584,-15119,28
huawei,-100,226055346662995,40761485672,2024-09-03 22-35-44,250.156.52.4,1641810721,internet,61.222.37.247,1073050593,-1900499712,-19817,-84
