src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-28,226052165637403,40761420460,2024-09-03 23-01-12,241.220.255.152,1934102670,internet,115.224.255.44,291255315,432810391,14947,-16
huawei,126,226052698627712,40778582934,2024-09-03 23-03-12,0.231.178.166,282769751,ims,237.249.212.229,-1779948431,-1059085836,157,-97
huawei,7,226051677344239,40771610535,2024-09-03 23-01-00,81.154.222.220,1209434781,internet,129.211.111.136,-538309234,-55316344,18404,-120
huawei,78,226058062809990,40723219334,2024-09-03 23-02-18,52.39.175.222,521621135,ims,109.3.252.29,789752232,-48999611,-28537,-64
huawei,-110,226051291499738,40741025592,2024-09-03 23-04-37,20.17.203.125,1087678253,ims,230.46.40.200,-1922986493,1177491632,-4938,-19
huawei,-25,226055593425628,40747242235,2024-09-03 23-02-53,137.177.30.135,294887269,internet,71.211.38.115,-1152758901,269801083,-10229,-108
huawei,-9,226057204964361,40745920234,2024-09-03 23-02-19,65.7.56.191,675183885,internet,67.221.221.108,2009660113,1766926115,31122,64
huawei,-45,226051684439515,40758130713,2024-09-03 23-01-47,150.196.151.174,-931149527,ims,198.140.115.135,1503310372,1152880042,-20836,-111
huawei,-12,226058757568893,40709825825,2024-09-03 23-01-51,175.212.188.38,-1648566642,ims,140.212.208.45,-2109911063,1843447054,-28775,2
huawei,25,226058255286354,40750530776,2024-09-03 23-03-16,230.175.53.185,-932553806,ims,24.49.217.59,1453222616,-24167293,32404,-65
huawei,-86,226054805884312,40719068432,2024-09-03 23-02-08,253.224.53.198,1199012094,internet,133.89.138.38,-1519524261,207532313,15195,60
huawei,98,226056759879492,40723484116,2024-09-03 23-04-01,179.222.115.202,1656416922,ims,85.82.154.10,688230751,100490698,-29510,75
huawei,0,226055496496556,40779436532,2024-09-03 23-03-10,147.110.68.148,-357855349,internet,142.160.253.118,-1587909880,2030692058,28163,-106
huawei,14,226059099456764,40712652363,2024-09-03 23-01-18,104.73.166.115,-1082122746,ims,70.254.228.181,384329332,455442854,32642,-2
huawei,43,226051008486914,40701863593,2024-09-03 23-03-25,91.201.166.244,272434134,ims,253.83.1.166,873992897,485928374,16704,-57
huawei,95,226050398046529,40747884468,2024-09-03 23-02-29,223.178.84.145,1160774934,ims,58.143.43.17,-2109241120,100475444,15681,-115
huawei,78,226056774774846,40745927019,2024-09-03 23-03-18,99.39.115.148,240667464,ims,75.139.242.91,-876017437,-209279390,23691,-57
