src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,17,226056140484173,40761431004,2024-09-03 23-08-16,140.19.170.146,364058134,ims,43.37.76.12,1388659141,-2002905112,21765,-125
huawei,24,226055276615764,40786664570,2024-09-03 23-08-37,14.95.143.23,511678724,ims,186.161.44.59,443465305,1427458018,-29063,62
huawei,32,226054095453666,40782715970,2024-09-03 23-09-04,173.36.98.25,1653524218,ims,49.50.77.25,402552087,73897979,22960,-82
huawei,-124,226054744474321,40782990538,2024-09-03 23-06-50,210.233.29.252,-1927522458,internet,52.252.40.252,1216269839,1712243736,21541,117
huawei,-20,226059513197690,40786770937,2024-09-03 23-07-53,160.30.149.59,-1859326839,internet,194.198.100.101,-798901255,1830236076,-22142,120
huawei,-105,226054870999630,40758334301,2024-09-03 23-09-55,141.194.228.242,-1225268105,ims,205.222.11.150,807152140,477295206,-20658,78
huawei,87,226056528875543,40743447461,2024-09-03 23-09-21,248.219.194.44,-1342599653,internet,174.124.168.236,-1295646748,-1273129015,-29915,-10
huawei,-54,226057488017631,40703695182,2024-09-03 23-06-39,125.36.244.237,848187375,internet,113.79.17.251,1805521592,-1621994198,-1354,30
huawei,-60,226052543763928,40775485148,2024-09-03 23-07-57,14.63.253.165,1553578085,ims,82.83.85.132,-1167580107,1565636847,-20396,-89
huawei,40,226054347356035,40791816268,2024-09-03 23-08-28,28.200.210.125,275693037,ims,2.238.56.46,-927620280,1753554033,-9455,-79
huawei,72,226059009693693,40767525926,2024-09-03 23-08-03,210.41.209.164,-197963995,internet,229.25.98.227,-21848142,-270482839,24376,11
huawei,-114,226051786585500,40761608197,2024-09-03 23-07-49,161.117.127.103,1974009157,ims,57.112.94.76,-1707242762,-2113618741,1720,16
huawei,109,226057960279722,40714417242,2024-09-03 23-05-07,208.179.106.7,-314943002,internet,35.49.245.146,-790155355,55137692,-25010,-6
huawei,-101,226055540333246,40781895100,2024-09-03 23-07-47,236.4.200.44,1973330771,internet,207.23.40.173,-194837211,-400629606,7239,-126
huawei,-33,226057526018428,40792600011,2024-09-03 23-09-31,231.146.91.234,-1212577664,ims,250.158.40.164,1320993032,162766856,-25794,-75
huawei,-78,226053417049472,40700380265,2024-09-03 23-09-30,75.209.230.26,-2014642628,ims,193.239.105.120,-1359252387,-1964863683,13096,25
huawei,-70,226056929297615,40768761605,2024-09-03 23-09-41,76.24.190.240,1296522802,internet,166.67.220.136,-1358897287,-80665304,14623,83
huawei,92,226054263632848,40765646947,2024-09-03 23-07-35,167.18.248.39,1154539350,internet,210.186.3.174,-362923453,570731286,-24460,90
huawei,94,226056894902486,40777071807,2024-09-03 23-05-39,246.190.229.12,122905416,ims,15.40.120.109,1237994706,943863837,4065,-107
huawei,59,226051997341352,40720722231,2024-09-03 23-05-33,211.33.85.229,-675063841,internet,184.26.92.191,-1641111708,-954232458,-26462,34
huawei,119,226058189995855,40730010391,2024-09-03 23-08-45,225.80.217.100,424368803,internet,138.202.146.248,1226884427,1471788988,-478,-31
huawei,-80,226050456205850,40717808534,2024-09-03 23-08-20,165.23.3.130,42279405,ims,24.194.131.132,-1994743665,-1797869999,-11654,95
huawei,-32,226054034798986,40748197598,2024-09-03 23-05-07,86.77.77.215,1185541200,internet,215.107.15.42,1612216522,4094089,11002,13
huawei,120,226053134710227,40718121952,2024-09-03 23-09-10,37.144.1.129,-1202547521,internet,164.224.43.226,-678782804,1686056067,-30079,34
huawei,-73,226052419945228,40792901603,2024-09-03 23-05-29,125.190.181.163,834839183,ims,181.234.18.47,533473520,-904739823,11627,-115
huawei,37,226051746180678,40761705828,2024-09-03 23-06-20,162.44.211.66,-1693113779,internet,157.91.84.31,1757600228,1162103969,30293,-84
huawei,93,226051439143649,40786908304,2024-09-03 23-05-51,204.252.228.169,-320863285,internet,145.71.113.171,914547338,-127048095,14118,108
