src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,60,226055817170738,40704465381,2024-09-03 23-14-59,8.214.69.206,1436368080,internet,117.140.242.128,-90019902,481340742,21510,-80
huawei,108,226057726025960,40725457552,2024-09-03 23-11-37,88.207.151.101,85767032,internet,11.88.79.40,-1196045031,1776095259,-24906,-67
huawei,-107,226057003251516,40746109073,2024-09-03 23-12-27,154.218.154.149,-803438532,ims,165.25.53.41,-443941201,-1042105613,-27596,-83
huawei,81,226051413555733,40738858756,2024-09-03 23-12-27,196.38.67.12,382224482,internet,56.148.238.116,182266523,966435401,-16471,103
huawei,-121,226059884633804,40701438536,2024-09-03 23-10-45,189.23.25.212,-917992006,internet,203.102.111.127,1899479847,351481971,7567,-19
huawei,42,226054141002195,40798594841,2024-09-03 23-13-04,193.104.65.68,-1111044152,internet,116.185.88.64,120521838,-1421377242,-26164,39
huawei,-101,226058096721238,40753186593,2024-09-03 23-13-20,248.38.167.91,-1683443178,internet,13.33.215.110,1576994897,1717423312,18589,-83
huawei,108,226050051739956,40722389613,2024-09-03 23-11-55,247.17.252.16,666744004,internet,10.225.204.25,1852019557,1563416956,28624,-82
huawei,-26,226056737439349,40770414037,2024-09-03 23-11-11,237.172.208.173,191973781,internet,244.197.109.216,-735707277,1991553082,-652,18
huawei,-104,226052182540703,40714920297,2024-09-03 23-14-27,211.30.72.4,627550400,ims,238.142.34.53,369314324,-985901878,-12256,61
huawei,-71,226054918430196,40770220670,2024-09-03 23-14-08,2.128.47.60,-2131032930,internet,202.86.90.224,921360832,1156546255,26613,-77
huawei,-104,226055049283008,40708621426,2024-09-03 23-14-56,158.131.238.49,-2104728949,ims,33.255.18.250,652182816,-820448190,-3004,74
huawei,-90,226058429555469,40784947697,2024-09-03 23-11-19,83.168.172.183,-1029115602,internet,6.24.166.178,1349386620,-646690871,-2799,70
huawei,-60,226051588034482,40791689088,2024-09-03 23-15-00,12.72.161.245,1291981962,internet,99.18.14.190,1078342510,-2112826190,-15831,106
huawei,-79,226059682095679,40796487410,2024-09-03 23-10-52,78.55.101.60,1129265713,ims,106.137.105.147,-335144515,-769097715,25135,28
huawei,-29,226054993441491,40759371432,2024-09-03 23-13-14,75.219.148.93,-559790582,internet,146.37.218.75,1131262092,-1201269221,6632,-86
huawei,99,226058162744424,40745622012,2024-09-03 23-11-16,65.160.226.139,1553537469,ims,147.247.251.201,-394510897,-585345563,-7571,-74
huawei,96,226058800837082,40737531478,2024-09-03 23-13-59,179.202.249.66,-1844966454,ims,207.195.104.52,-1090093017,1732003308,313,-122
huawei,-2,226059095662718,40785086727,2024-09-03 23-14-47,69.152.52.246,-1024430595,internet,141.239.67.236,-168166386,-1794002702,17501,9
huawei,-8,226054885197771,40717787472,2024-09-03 23-11-39,123.129.216.135,2002490277,internet,173.120.219.104,-1940944769,960331933,27660,-33
huawei,15,226059558560347,40707945631,2024-09-03 23-11-25,241.247.172.146,-1987171974,internet,58.64.136.113,1537773177,-146654760,-15219,-27
huawei,89,226051692426027,40769006181,2024-09-03 23-13-59,145.232.38.239,246327785,internet,183.206.1.110,-1146194213,-983717359,19961,-98
huawei,-23,226054414039998,40796734321,2024-09-03 23-10-37,242.103.130.193,246579560,internet,70.112.59.246,699851888,575317030,23017,-126
huawei,113,226052341715069,40770423671,2024-09-03 23-14-37,70.49.129.247,69813071,ims,90.3.156.110,-1472069700,2039232992,-28008,-56
huawei,-66,226056982058496,40738714307,2024-09-03 23-10-35,166.169.189.13,-249944982,ims,52.141.82.43,-579882540,1839825451,-22227,-114
huawei,-96,226057207342474,40748883580,2024-09-03 23-14-10,180.251.134.68,-1736970316,ims,185.129.34.19,2061891343,-187513278,19886,-31
huawei,35,226057079212787,40772677960,2024-09-03 23-10-21,123.161.241.201,2025488555,internet,100.118.177.203,377350908,814773343,-24701,-114
huawei,-30,226054758815352,40734458185,2024-09-03 23-10-24,232.79.182.58,1302473822,ims,119.216.84.141,-1479484385,326524523,20214,-61
huawei,98,226050382385569,40797786031,2024-09-03 23-11-09,246.224.236.233,-1348250322,ims,72.68.174.84,-1695787016,-1935595540,11871,46
huawei,53,226059820622361,40736482215,2024-09-03 23-14-50,156.234.179.13,1678935820,ims,1.50.44.136,236808156,844320795,30488,60
huawei,69,226051623441968,40775729417,2024-09-03 23-10-08,169.63.26.247,1664543445,ims,226.188.77.51,1938790985,1857118687,4496,-58
huawei,69,226055753462975,40740702749,2024-09-03 23-13-33,61.83.58.233,-229664262,ims,212.59.50.188,256473465,-1862378141,-12045,-4
huawei,-14,226054757590057,40759487897,2024-09-03 23-12-26,193.46.165.194,633444627,internet,154.210.134.5,1023516035,-1990432317,-15089,-79
huawei,-43,226057533126045,40768478814,2024-09-03 23-11-14,252.238.41.105,-1519462795,internet,77.201.21.215,-138296993,-1816065648,28633,93
huawei,113,226059267519353,40740036867,2024-09-03 23-13-04,152.27.178.186,1282795541,ims,140.85.231.254,1518758875,-1095551260,-3745,-81
huawei,-123,226053841587495,40740730984,2024-09-03 23-13-26,79.178.21.248,1109734722,internet,167.176.157.172,-1075275768,-1484411374,-18910,57
huawei,-55,226058285285545,40795429406,2024-09-03 23-10-14,82.228.0.154,489358542,internet,145.73.86.4,996808006,418620337,-1069,-8
huawei,22,226055135866305,40765751424,2024-09-03 23-10-19,103.171.158.122,253428111,ims,60.92.25.116,1579392800,1326352296,-30872,38
huawei,-22,226054192268566,40774719376,2024-09-03 23-12-37,166.2.207.94,1013223114,internet,98.128.130.42,-404107649,810984700,30372,-11
huawei,51,226055259873951,40702285989,2024-09-03 23-13-19,25.37.38.253,-1937229983,internet,21.39.98.112,266596899,-1471837667,6393,106
huawei,-88,226057021655435,40780477097,2024-09-03 23-11-40,249.232.27.28,-911348478,ims,146.108.150.220,512135796,-1668393398,-28388,29
huawei,-118,226054808137615,40792711768,2024-09-03 23-10-50,95.232.117.16,-472386914,ims,182.36.36.74,1315810686,1688374214,-5286,-121
