src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,1,226059370363419,40771535312,2024-09-03 23-16-26,31.205.109.55,1035955496,ims,235.237.51.229,1593074608,-2079292870,1710,-42
huawei,65,226050191103157,40710800014,2024-09-03 23-15-58,148.143.113.181,-635293174,ims,130.80.149.57,-1803854533,-1347034249,31910,-111
huawei,2,226050144269941,40740562508,2024-09-03 23-19-25,13.35.231.0,-507116581,ims,44.140.207.20,-1432351160,1224630373,-31491,31
huawei,38,226055001948709,40758232888,2024-09-03 23-18-40,67.88.21.106,1969959932,internet,20.184.189.206,-609472907,1990156065,-18841,6
huawei,95,226051023383606,40744962567,2024-09-03 23-17-50,175.16.32.151,357437148,internet,142.239.236.71,-1867761579,249055618,25439,-47
huawei,26,226055425204209,40784708801,2024-09-03 23-15-09,116.41.232.93,586750721,internet,163.57.244.178,963543026,1376748446,-16158,-19
huawei,-119,226054245663737,40759176721,2024-09-03 23-15-28,91.86.38.7,932684292,ims,248.187.95.169,1757602085,1444604467,29952,-113
huawei,6,226057595438822,40729195815,2024-09-03 23-15-33,201.70.254.29,-1962679880,ims,213.216.254.50,632215540,-1639780993,24751,-4
huawei,51,226057755190988,40781993640,2024-09-03 23-17-28,24.86.204.188,330477621,internet,63.22.44.93,120583393,-42877026,14591,12
huawei,-84,226059745580987,40701479752,2024-09-03 23-16-53,49.25.112.34,-710032260,internet,173.22.129.33,1147863524,-388443757,-32053,116
huawei,-122,226052186217688,40730018947,2024-09-03 23-15-27,106.171.166.53,527281788,ims,129.178.197.227,-397233545,-547407654,-15996,32
huawei,7,226053170266577,40719637375,2024-09-03 23-16-49,121.73.178.228,1205531908,ims,69.210.34.145,-275413175,681956482,-13209,-70
huawei,114,226055416291553,40747267068,2024-09-03 23-15-51,1.17.220.246,119184708,internet,97.27.141.48,915952931,390893248,-24343,-83
huawei,72,226052013409643,40735283251,2024-09-03 23-19-45,242.233.217.213,1914460501,internet,176.12.208.117,708258948,1464453283,-27110,-101
