src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,49,226053429937773,40727753046,2024-09-03 23-35-05,7.151.191.113,-1251038897,ims,115.247.95.2,411187694,-679938221,-9251,-24
huawei,-119,226056651058754,40786508717,2024-09-03 23-38-27,234.245.0.100,-1050134771,internet,19.182.84.178,-615720513,1120126723,-27527,-55
huawei,-127,226054791763496,40747765108,2024-09-03 23-39-30,118.133.238.168,732198403,internet,76.253.92.49,1494169786,202634109,22660,-35
huawei,-10,226059806794415,40703332044,2024-09-03 23-39-16,27.93.89.10,-1363762141,ims,136.61.148.102,-1601367888,-791466923,-30669,71
huawei,-50,226059257234203,40792047106,2024-09-03 23-39-09,80.128.82.83,1483027608,internet,106.222.121.108,850066463,-282482659,20740,51
huawei,-49,226052492047570,40781512516,2024-09-03 23-37-20,43.12.223.110,1119091683,internet,126.139.120.136,1832308681,-51595907,-2700,-50
huawei,111,226056331632475,40739782878,2024-09-03 23-35-21,101.254.144.239,530964105,ims,59.225.245.227,-2141124063,1685796088,-21578,69
huawei,-73,226056121920862,40744406902,2024-09-03 23-36-27,28.119.2.203,-186092864,ims,123.201.157.199,968356260,1377077312,16257,-126
huawei,-42,226053391987421,40780542477,2024-09-03 23-36-44,53.76.170.205,1783299916,ims,198.109.199.230,1283328157,813927100,20430,76
huawei,-42,226052769652270,40752936231,2024-09-03 23-39-50,171.194.171.143,-829722731,ims,174.24.36.12,-1307512036,303366245,-2257,-72
huawei,-56,226050755914991,40719402058,2024-09-03 23-38-04,177.247.52.151,941313650,ims,190.69.26.139,1430542291,136361061,-2948,-69
huawei,121,226056299021889,40712549696,2024-09-03 23-38-37,67.39.221.97,227081714,internet,140.159.26.96,-807487838,192060982,26386,-49
huawei,-128,226054340036684,40743112844,2024-09-03 23-39-07,96.183.107.6,1707077689,internet,120.53.76.35,-251151897,604185847,-25756,-27
huawei,106,226050423652285,40792336148,2024-09-03 23-38-35,110.142.176.99,-947560548,ims,161.14.116.234,-1036593505,1677060124,28375,-34
huawei,-30,226053432307769,40751284082,2024-09-03 23-38-54,85.23.65.200,-1463372880,internet,126.201.8.253,1374124857,-96583740,-8847,-84
huawei,117,226059912452399,40780951162,2024-09-03 23-35-29,32.99.79.130,1627518024,internet,255.32.176.96,2135653370,-1431622542,-19901,46
huawei,-40,226052759953163,40765114181,2024-09-03 23-35-52,252.172.180.126,1833603739,ims,97.105.10.37,1680287356,1739408792,18719,-5
huawei,-58,226055178088987,40754442735,2024-09-03 23-36-21,248.38.165.26,-671375657,internet,223.109.238.210,-157748197,465987207,1153,103
huawei,74,226050410430418,40752914259,2024-09-03 23-37-50,196.29.232.83,1156104334,ims,147.50.235.137,-243969176,1708515847,-10300,80
