src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-120,226059599707874,40792425700,2024-09-03 23-48-48,238.230.61.92,319974887,ims,155.201.66.155,318414842,1245586891,683,-92
huawei,75,226056778675907,40705856632,2024-09-03 23-48-18,105.249.15.34,-293953376,internet,10.118.122.79,-1414400134,204574363,-19835,1
huawei,-95,226051638594659,40765447098,2024-09-03 23-46-50,87.166.46.91,-1240673659,ims,140.29.185.106,-466159679,977337457,14208,-7
huawei,5,226054169005385,40714197375,2024-09-03 23-45-43,107.214.77.123,-108415211,ims,183.158.99.101,1604250122,-55366150,-5654,14
huawei,16,226051145118216,40767450624,2024-09-03 23-48-32,211.2.76.37,1235150653,internet,2.203.250.246,-1605184956,-29675227,-14225,51
huawei,-90,226050458679498,40777245585,2024-09-03 23-45-28,3.239.61.88,1817295831,internet,5.2.135.30,1576496257,-48059850,-14201,-79
huawei,-102,226053012690299,40746625502,2024-09-03 23-48-23,216.35.233.215,-520734760,ims,161.25.121.145,-2017824143,1125972779,12660,-110
huawei,-37,226057138014114,40721331127,2024-09-03 23-47-28,129.48.38.99,745569519,ims,236.136.77.175,964397478,1981887548,-15368,36
huawei,75,226057382357299,40745457482,2024-09-03 23-45-07,38.125.188.204,1375400630,internet,248.115.65.254,-2029844391,583363651,-13000,-52
huawei,121,226055167972577,40775017345,2024-09-03 23-45-13,242.71.140.107,-987434630,internet,95.117.73.185,-1207124769,-1111266259,-2790,-84
huawei,10,226057040133609,40700055502,2024-09-03 23-46-18,180.250.207.240,-562294855,ims,201.38.84.251,-1315385965,-1776688954,32315,118
huawei,121,226055310608605,40787405761,2024-09-03 23-49-25,137.62.248.118,675182950,internet,173.108.65.52,-1506691143,-1698572128,-25908,-63
huawei,-40,226051107678362,40712256208,2024-09-03 23-45-27,84.169.83.52,-2038439095,internet,200.115.86.128,877964039,1562667707,6951,71
huawei,-29,226053435812684,40707465226,2024-09-03 23-46-37,101.205.143.70,-640929750,ims,239.83.166.227,-1293194184,-1851943417,-23304,-55
huawei,87,226051594270756,40739933769,2024-09-03 23-48-01,36.245.155.125,476978362,ims,93.152.165.78,1181228793,-1727299478,-9975,75
huawei,126,226050367847616,40747479989,2024-09-03 23-49-50,227.200.224.76,469571208,ims,226.207.202.158,-1745409252,-1658390678,14774,106
huawei,-10,226056743484919,40711403399,2024-09-03 23-48-27,165.77.42.241,1794485216,internet,177.91.234.79,-2054133886,-1904793619,3854,-2
huawei,-59,226055510853708,40790225899,2024-09-03 23-48-03,147.253.29.26,1970152883,internet,114.175.138.37,-1422700335,1475672686,28473,68
huawei,-89,226056165326039,40760867212,2024-09-03 23-45-38,4.169.226.27,1882198216,internet,223.251.246.40,1274179398,418419164,2792,68
huawei,-44,226059059813649,40787200037,2024-09-03 23-49-06,192.233.208.190,835850367,ims,188.139.177.233,-13199208,-112277546,-8490,67
huawei,-60,226056276359474,40776894056,2024-09-03 23-47-45,244.247.47.89,1713108908,internet,110.174.85.186,-1647979132,-226887300,-18470,-122
huawei,-14,226051200848969,40767018527,2024-09-03 23-48-58,231.85.7.143,1885390804,internet,217.251.128.37,434115685,570126500,-20773,-31
huawei,57,226050062442160,40759626246,2024-09-03 23-46-38,121.68.177.62,1853117662,ims,14.151.81.14,1154389393,966751602,-26119,-116
huawei,-63,226058859155756,40734067976,2024-09-03 23-46-56,4.81.85.213,-121031090,internet,122.63.51.187,906740222,-1949466727,12454,-113
huawei,86,226057110375086,40718956540,2024-09-03 23-48-22,188.16.98.224,-490088710,internet,149.210.100.166,-402632922,-946324416,23404,76
huawei,5,226059508110169,40786656026,2024-09-03 23-49-57,155.152.9.60,2005448392,internet,0.201.85.229,-412791794,-449999840,-6547,-91
huawei,120,226056164587760,40763866717,2024-09-03 23-47-41,174.174.221.196,657412249,ims,220.211.242.159,2122353778,-654228846,10881,-122
huawei,-26,226059010077312,40760457283,2024-09-03 23-48-00,29.222.23.30,1309704520,ims,33.18.211.247,2056563370,-1522657772,6740,110
huawei,99,226055202465964,40779631322,2024-09-03 23-49-07,101.128.65.98,-2081203326,ims,197.34.13.121,-1966917078,-670251011,-11984,-15
huawei,-71,226051602792229,40728272756,2024-09-03 23-45-41,155.140.131.233,1850757183,internet,166.171.246.171,-700665646,461296698,20089,115
huawei,-94,226053612866494,40792212568,2024-09-03 23-48-12,245.122.3.127,1416202830,internet,155.225.148.26,1434975040,1459517857,9643,75
huawei,-125,226058938935931,40799225732,2024-09-03 23-48-27,232.42.197.114,266984908,ims,223.226.108.82,-1506287382,1183575431,-21854,-87
huawei,-73,226050122970167,40744038874,2024-09-03 23-45-46,1.69.224.246,236974692,internet,160.26.216.238,-1169107375,428888956,1585,102
huawei,20,226051069460815,40719689413,2024-09-03 23-46-40,232.45.196.35,394381835,internet,50.185.1.151,-455205932,1352032921,27594,110
huawei,89,226059405975088,40707670733,2024-09-03 23-47-37,240.231.228.17,960043777,internet,120.167.214.87,353400408,-650943827,19448,98
huawei,-107,226053573539627,40773137497,2024-09-03 23-45-58,74.155.122.43,1976964116,ims,57.5.51.183,111411109,-1684661784,-29907,72
huawei,62,226056914518728,40709382966,2024-09-03 23-46-52,210.99.66.202,-1142426593,ims,231.108.127.247,-1835120399,-1818088294,17091,83
huawei,-105,226053950158478,40738231858,2024-09-03 23-46-52,18.224.70.125,-978949877,internet,173.182.57.115,-351247333,135464960,1426,126
huawei,117,226059558998559,40753170088,2024-09-03 23-47-52,141.221.158.237,-72084169,internet,218.153.99.64,-493069539,-1051038477,23136,-94
huawei,-103,226053137079486,40788084782,2024-09-03 23-45-28,44.252.94.53,-1679431668,internet,31.75.232.141,-846209915,1917596014,17260,120
huawei,87,226054050972954,40769889478,2024-09-03 23-46-38,143.36.147.202,-1548674586,ims,238.203.20.127,-51012218,345194299,-23918,-6
huawei,4,226056872236093,40762572898,2024-09-03 23-46-06,1.153.114.142,-1779850947,internet,224.171.199.197,312707334,-2115562740,15139,113
huawei,0,226058607983274,40737613715,2024-09-03 23-49-22,53.216.202.81,802751582,internet,3.230.235.7,862746647,429944205,-5366,-36
huawei,-95,226052072301310,40795452577,2024-09-03 23-49-28,75.129.89.133,-1614537043,internet,65.225.22.67,1806665770,-1745639924,5243,-70
huawei,-78,226059557953230,40767199970,2024-09-03 23-46-07,203.52.225.82,-1846817357,internet,174.143.183.51,854811392,1149571891,17645,1
huawei,-110,226057830504132,40749176987,2024-09-03 23-45-43,254.56.154.132,-749919800,internet,20.68.135.98,-1419142806,1686339155,713,107
huawei,-63,226050241041998,40706215920,2024-09-03 23-47-18,103.181.249.251,1585680627,internet,118.121.89.251,1778398845,-127651842,1332,-48
huawei,54,226056702951814,40768959351,2024-09-03 23-45-31,195.61.28.57,1668100397,ims,80.65.123.211,650624572,501986145,13163,21
huawei,80,226056303096391,40724043534,2024-09-03 23-46-57,138.212.165.233,-1672200029,ims,109.2.154.128,-857809181,643753878,-26911,-73
huawei,-44,226055450811297,40708797893,2024-09-03 23-46-55,249.133.210.163,465286199,ims,177.251.250.70,1589655343,858119294,14011,126
huawei,30,226052957680345,40765864986,2024-09-03 23-45-36,147.218.159.194,2147219651,ims,144.16.25.246,1805344092,1183502907,6812,103
