src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,36,226053805263770,40724609010,2024-09-04 00-10-06,28.65.240.146,1826584582,ims,210.210.210.113,-1209267513,-926952394,-10223,18
huawei,-78,226052928294406,40741382125,2024-09-04 00-13-28,126.153.36.249,-1361969256,internet,60.98.161.47,-1583950973,-681081509,-20294,-114
huawei,47,226058487212130,40792882001,2024-09-04 00-11-23,45.97.32.139,-681110294,ims,94.62.109.251,-790056495,-816262604,26791,11
huawei,60,226056195807043,40764253164,2024-09-04 00-12-40,17.164.65.4,647200057,internet,157.94.43.203,-1518073354,1107147981,9400,-112
huawei,118,226059497353607,40751709152,2024-09-04 00-12-39,225.217.36.45,-1678195879,ims,150.195.119.0,-1719702314,-1432655430,-12301,-92
huawei,117,226059842251100,40719887539,2024-09-04 00-10-13,206.171.152.53,1511996577,internet,202.224.11.90,-1077429633,-1761173011,27534,-84
huawei,108,226053314355193,40760296623,2024-09-04 00-11-56,62.118.186.250,-852238286,ims,49.185.231.68,-129064578,-59553620,-3285,93
huawei,-56,226051062258416,40700671959,2024-09-04 00-10-30,95.123.14.90,-699246336,internet,96.120.119.253,-2070781675,2126520910,12883,-15
huawei,-6,226058065938603,40714717950,2024-09-04 00-14-15,51.134.72.33,1798667198,internet,121.39.108.57,-1886767441,-1736412449,31613,51
huawei,14,226051992881516,40720883138,2024-09-04 00-11-52,49.61.12.137,1659136028,internet,186.101.85.128,-287608023,960585513,11796,-68
huawei,62,226053914490704,40729037261,2024-09-04 00-14-23,146.83.164.213,510727339,internet,253.87.73.113,748257281,1404659052,291,-86
huawei,71,226054329484976,40751262144,2024-09-04 00-11-47,150.250.234.27,746261988,ims,111.200.192.35,-510226236,1578094926,10815,109
huawei,-105,226050461229586,40772443219,2024-09-04 00-10-06,65.253.1.145,-1895561095,internet,41.167.47.148,-764555683,-749772354,-21070,-97
huawei,34,226055471667830,40721255686,2024-09-04 00-10-16,174.150.0.63,-1409256944,ims,152.227.25.254,1077362453,1557150445,-32738,67
huawei,-100,226058819470387,40743009253,2024-09-04 00-11-01,184.165.171.21,-343176638,ims,12.198.4.229,1731690257,1554171376,29367,-56
huawei,-44,226052890343093,40730184673,2024-09-04 00-12-26,120.166.50.115,-1745154740,internet,92.215.49.64,295913128,-96234811,28015,-64
huawei,-19,226058242790303,40738427287,2024-09-04 00-10-35,117.25.57.92,1184606556,internet,90.4.10.6,-777377628,2101647788,-18401,32
huawei,-85,226059153477662,40761157664,2024-09-04 00-12-37,169.136.139.248,-799611589,internet,141.62.80.252,522974481,-1947654165,-14699,-87
huawei,27,226050467483536,40722808967,2024-09-04 00-13-27,226.239.222.114,-1506598279,internet,178.85.64.220,1260681927,237291556,-24311,80
huawei,-121,226053398754339,40758677609,2024-09-04 00-11-42,135.218.171.108,-363899954,ims,117.235.52.220,-1231964170,-1413125782,441,-125
huawei,9,226055343878933,40709548671,2024-09-04 00-12-19,209.185.163.241,385895634,internet,21.21.224.218,-974619231,1344703552,12596,53
huawei,34,226055896051737,40704202568,2024-09-04 00-14-48,107.61.55.216,953773233,ims,75.18.201.82,2098261172,1369950236,-12034,14
huawei,-105,226058334970106,40755481093,2024-09-04 00-13-45,106.206.98.94,1655121085,ims,72.18.57.128,1959570598,-434208104,-8589,-45
huawei,-50,226056518787446,40709875541,2024-09-04 00-14-10,162.167.45.1,-1039634767,internet,67.36.232.134,1903804685,-1138163903,-14960,110
huawei,-101,226050706280607,40775369321,2024-09-04 00-11-23,248.222.247.45,727158572,internet,113.130.217.133,1534392369,1064026700,31750,112
huawei,-30,226050105828534,40711833147,2024-09-04 00-14-29,0.226.92.103,23990886,ims,156.202.108.150,1464397867,-1284446731,5587,63
huawei,-13,226053951804406,40783311135,2024-09-04 00-10-55,88.106.36.67,-919413594,ims,205.134.25.68,210975054,1242302538,28875,89
huawei,-57,226057189316628,40716911063,2024-09-04 00-12-34,246.224.142.36,1505665348,internet,32.229.216.100,517108041,-1901444684,32026,10
huawei,77,226057806286493,40782016063,2024-09-04 00-10-24,176.190.34.176,1091809943,ims,240.118.16.146,-512115183,-371634015,-23220,67
huawei,52,226052208658368,40723288110,2024-09-04 00-13-18,244.191.210.174,-240035536,internet,42.60.48.91,-1677303297,892705944,1725,99
huawei,-22,226051044567965,40776715167,2024-09-04 00-14-20,82.169.159.156,1000621590,ims,42.4.167.5,544897502,2068009097,-28169,-119
huawei,57,226051918700861,40743706674,2024-09-04 00-13-09,125.24.70.97,-29855109,internet,203.69.137.61,-458989849,-1462452355,-13979,-70
huawei,12,226051768314714,40735569977,2024-09-04 00-11-08,157.88.166.24,-1245114967,ims,13.161.227.240,404081416,330525338,-27408,-59
huawei,80,226053691380344,40777841053,2024-09-04 00-11-18,137.80.208.69,694881659,ims,186.108.227.135,-1140321202,-14086686,12266,71
huawei,-46,226054542377329,40787311378,2024-09-04 00-12-30,116.251.177.106,-1521052532,internet,173.5.253.62,9021205,151442437,-13934,61
huawei,101,226054254024507,40734546968,2024-09-04 00-12-26,149.122.28.30,-1731817820,internet,245.167.134.226,1421439402,-965555561,-14004,-2
huawei,49,226053563361518,40765530487,2024-09-04 00-13-49,228.112.57.33,-462637404,internet,189.62.209.131,1913169317,981935301,-27633,-16
huawei,14,226056286051959,40775258601,2024-09-04 00-14-13,208.175.158.213,-1925172,internet,177.69.198.74,62051864,127138620,23646,-67
huawei,96,226059394186344,40726801018,2024-09-04 00-12-56,14.40.43.212,1696805551,internet,197.114.94.67,-1477091232,-388579611,-2452,-123
