src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-87,226054047288024,40791742474,2024-09-04 00-21-55,192.84.102.239,61807726,internet,160.128.85.109,1455083586,1013713278,-8289,111
huawei,-37,226057846689677,40755018667,2024-09-04 00-23-21,132.80.132.239,-980030087,internet,153.179.193.58,2038198198,696763203,25451,65
huawei,-50,226059769610334,40746847931,2024-09-04 00-22-04,174.119.162.156,1476968487,ims,47.69.140.208,-1069534791,-513667042,21666,12
huawei,52,226055310600755,40711277161,2024-09-04 00-21-39,129.177.94.93,1003328939,internet,209.38.194.241,1325211843,346371133,14021,110
huawei,-48,226053373778437,40724153970,2024-09-04 00-22-50,54.129.171.4,722811364,ims,12.82.13.173,-1391927651,-306563360,-17780,-27
huawei,57,226054930513348,40778514895,2024-09-04 00-21-47,84.157.90.139,-450746681,ims,174.205.135.118,-1791454027,-829587954,-17406,7
huawei,-37,226056185102579,40776029196,2024-09-04 00-24-39,195.63.246.126,-1680673223,ims,119.20.46.29,2076133306,-2048504122,22562,-3
huawei,-17,226056247593306,40722830844,2024-09-04 00-21-00,155.41.42.63,2127092679,internet,151.21.40.174,677391378,-855765745,-22512,-83
huawei,-89,226057113149602,40748558017,2024-09-04 00-23-27,138.90.119.118,-375313373,internet,219.167.225.223,-280083111,-1115570298,-13153,25
huawei,73,226051594301662,40721650844,2024-09-04 00-23-32,66.190.69.66,733722307,ims,212.251.122.211,-1301094966,-1268464174,-17086,-41
huawei,-12,226057019045792,40790307737,2024-09-04 00-22-31,88.80.235.242,112363473,ims,24.176.163.12,-1096163036,-1433134044,28666,90
huawei,-85,226056952367455,40794489378,2024-09-04 00-23-58,170.3.171.120,-2075411892,internet,68.179.73.238,612578888,-1451578491,-5809,0
huawei,11,226054367711137,40795129136,2024-09-04 00-24-41,38.15.169.225,-1639715787,ims,161.210.200.7,-1889984037,1541082042,-21311,-107
huawei,17,226052837766245,40735492671,2024-09-04 00-20-24,245.54.114.88,-1994253061,ims,241.73.179.131,-22009863,1916297760,-19561,86
huawei,124,226052115455135,40709455085,2024-09-04 00-23-36,17.214.67.237,-1890629721,ims,220.161.183.230,1032119234,1415158418,-26096,100
huawei,-124,226058852004937,40758972926,2024-09-04 00-23-35,111.13.161.15,721693155,ims,97.212.127.197,1548507648,1539673051,20568,24
huawei,-57,226058201097962,40723239923,2024-09-04 00-21-30,60.131.173.42,-1770675931,ims,23.76.29.99,1833069159,-1600960218,-10733,-59
