src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-2,226053930555362,40722442948,2024-09-04 00-39-26,133.79.79.111,-359651275,ims,40.233.231.164,1582401395,-1931441880,30240,33
huawei,-24,226052453782186,40751333835,2024-09-04 00-38-04,101.145.82.251,30499267,ims,189.168.208.28,131316741,-1860654135,-5255,-92
huawei,15,226051441247723,40720271961,2024-09-04 00-37-14,30.39.213.10,794909848,internet,194.143.58.246,-683114375,-1644985067,25681,49
huawei,0,226053402496790,40774775719,2024-09-04 00-36-58,54.169.132.126,1471942746,ims,70.184.154.187,2134326682,280462420,-20988,-80
huawei,-69,226055417897385,40759117691,2024-09-04 00-38-31,133.14.163.46,-1880438564,internet,31.134.22.243,292440387,177500320,12221,61
huawei,76,226053467322537,40781619552,2024-09-04 00-37-21,48.106.193.167,-496821598,internet,167.170.56.87,99417157,593529714,9958,0
huawei,32,226053989716513,40775198336,2024-09-04 00-35-24,245.46.172.244,-1838791179,ims,165.212.180.178,-1722466839,2081568260,-32149,-60
huawei,62,226053556538950,40796388021,2024-09-04 00-36-12,120.89.79.49,2093357605,internet,156.70.170.168,-1517418183,-1047288778,3651,-86
huawei,81,226051436321697,40704129370,2024-09-04 00-37-43,243.202.72.172,-584004182,internet,107.17.1.112,-1592095691,748865644,14984,54
huawei,106,226057494329340,40794808650,2024-09-04 00-38-27,6.213.45.24,-626598314,ims,83.58.252.243,-1311306154,58371289,17230,-9
huawei,108,226052861256687,40762447813,2024-09-04 00-37-25,98.167.217.56,275056694,internet,30.249.54.109,89415351,471433425,18259,-105
huawei,-32,226054483635458,40762300962,2024-09-04 00-36-12,57.16.83.148,826498619,internet,111.71.144.132,157820784,-362006361,23258,-41
huawei,30,226056929415628,40724752966,2024-09-04 00-38-08,79.143.181.100,-1019951138,ims,6.235.1.164,-233100971,-1531171736,10549,59
huawei,51,226050430739708,40772314226,2024-09-04 00-36-16,130.11.193.251,-440522059,ims,141.231.184.32,1270141716,245424619,-4792,-8
huawei,51,226050594468549,40784212287,2024-09-04 00-36-35,163.176.7.54,-1592313179,internet,53.112.61.233,293374558,-833071741,-19821,-76
huawei,-117,226058223634188,40745594008,2024-09-04 00-36-23,227.168.193.113,190916654,internet,56.141.110.84,-1642088471,-1351603428,1335,-109
huawei,0,226052642970049,40713197445,2024-09-04 00-36-41,91.21.172.139,-1649204414,ims,105.124.242.220,-1416663969,1620939696,-12188,28
huawei,-63,226056127348794,40750958729,2024-09-04 00-38-51,112.0.45.97,1680812300,internet,187.46.151.65,1716030240,-45795506,-2970,-80
huawei,-79,226057941417028,40759395851,2024-09-04 00-36-44,182.151.74.106,1786319604,ims,187.144.51.29,150470686,-92009388,30298,-90
huawei,-89,226051924157500,40718669970,2024-09-04 00-37-24,80.130.14.204,1891385382,ims,158.207.66.23,-1466988289,-1473242969,-6395,127
huawei,-13,226058419631423,40782986810,2024-09-04 00-38-28,14.212.74.231,707978744,internet,193.179.58.171,-582995800,-425085543,-18198,-109
huawei,-27,226058827879789,40786294319,2024-09-04 00-38-29,89.212.136.216,-1718619471,internet,246.55.17.105,959110646,-1372978862,-4404,107
huawei,-108,226052144664854,40770683669,2024-09-04 00-39-39,156.104.10.155,805850728,internet,119.38.224.159,1208535711,1224593458,-2990,-108
huawei,6,226057650178866,40772402441,2024-09-04 00-38-31,39.38.225.85,453398535,internet,125.251.104.174,-1375413117,-1876537579,28360,-88
huawei,62,226055792708956,40730399786,2024-09-04 00-38-36,206.163.163.133,-1532191378,internet,223.143.108.128,-117730437,-303210451,-2768,-6
