src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-5,226058174547930,40783832124,2024-09-04 00-42-31,75.191.135.162,-1598570896,ims,227.213.164.229,1775084639,2069492885,-11800,9
huawei,-4,226057131075700,40720266094,2024-09-04 00-41-46,134.12.159.86,432035738,internet,67.100.7.90,-1194094815,2101663721,-17086,89
huawei,-100,226058875981421,40740314255,2024-09-04 00-43-24,198.218.158.180,1092686787,ims,114.204.238.25,-294892387,1520655998,13706,89
huawei,-123,226056901988245,40775016769,2024-09-04 00-42-01,150.122.50.54,-254166751,internet,117.56.68.110,-394144773,60522225,19829,109
huawei,100,226053912319080,40719746374,2024-09-04 00-42-42,165.199.16.58,-1443980601,ims,199.219.83.83,1537653601,434994046,-2328,80
huawei,109,226057258133442,40788514830,2024-09-04 00-44-37,160.253.26.163,904684205,internet,224.91.144.206,-504590979,-1544765195,19229,99
huawei,-49,226054891710057,40703665718,2024-09-04 00-42-06,9.37.81.27,937468515,internet,28.15.73.141,-1610760349,1549133249,19645,-103
huawei,97,226051195365988,40762169687,2024-09-04 00-42-51,129.128.250.209,-316389405,ims,225.70.45.227,2095270401,-1341785368,-13762,13
huawei,-110,226053666347311,40772126890,2024-09-04 00-41-42,221.123.155.119,780714352,ims,158.82.134.244,-324249839,1393787104,2158,37
huawei,2,226052905661343,40789244413,2024-09-04 00-43-09,47.219.167.148,-1449788549,internet,73.19.99.167,1001030266,1148012429,1511,-89
huawei,24,226053557269897,40787469706,2024-09-04 00-40-56,155.48.195.111,258120222,ims,29.215.175.205,953166891,1793482153,-20188,-10
huawei,-120,226059312348259,40726323812,2024-09-04 00-40-48,159.40.184.194,-1524647299,ims,204.90.57.3,-551721135,1816793295,-1923,26
huawei,68,226058494522122,40707568331,2024-09-04 00-44-50,166.159.156.25,329186037,internet,126.80.156.155,95945337,-1141761563,12040,1
huawei,-39,226058414782700,40765065792,2024-09-04 00-42-38,202.128.191.24,-230552230,internet,58.238.219.76,1955309372,-1021404382,20772,-18
huawei,19,226059245090637,40789361653,2024-09-04 00-41-11,106.157.248.36,-411818037,internet,199.92.254.140,202771342,192723413,24406,5
huawei,48,226053319215720,40737182341,2024-09-04 00-41-30,202.207.117.45,-1889795971,internet,160.85.15.203,1014108243,-183656447,30815,-41
huawei,78,226058117906410,40738950481,2024-09-04 00-42-36,30.191.203.88,-1438077092,internet,198.60.128.205,-561032982,436896914,16471,-125
huawei,10,226053041108532,40789073362,2024-09-04 00-41-44,96.148.43.165,643127129,ims,229.212.60.124,1780940819,1903249277,19785,94
huawei,-26,226050475393555,40777072631,2024-09-04 00-41-01,117.110.119.96,-1507864573,internet,192.180.183.153,-1961045513,-1480309597,-30337,65
huawei,-128,226051275911050,40777959497,2024-09-04 00-44-01,17.249.73.169,-984809374,internet,33.68.112.178,-1169498787,-393958842,-6165,2
huawei,83,226056012865903,40796065990,2024-09-04 00-40-03,72.85.175.6,-818035235,internet,111.170.222.64,-2059402313,-204125171,19582,43
huawei,89,226050451337828,40734820170,2024-09-04 00-44-25,172.70.228.63,2091888968,internet,72.44.113.98,-1132854329,784192131,24174,-62
huawei,-29,226050599941221,40705278020,2024-09-04 00-45-01,237.168.33.225,-663859626,internet,192.53.235.91,1036789432,-526998629,27543,75
huawei,-32,226058114966717,40748302959,2024-09-04 00-44-23,106.186.223.90,-1877807975,internet,175.186.57.248,1565044800,-1924257807,-24420,-30
huawei,23,226056124334733,40752539610,2024-09-04 00-44-56,110.181.133.30,415477038,internet,132.24.90.82,-832167225,-749766687,-28550,92
huawei,-46,226050384357558,40767118259,2024-09-04 00-42-43,176.145.251.149,1572364496,internet,133.222.53.203,1050761938,10837117,9908,18
huawei,51,226052604917990,40774120252,2024-09-04 00-44-00,89.203.47.46,-1456893593,ims,71.118.232.39,299713158,-907333829,-1222,-33
huawei,-106,226055516539626,40729584074,2024-09-04 00-43-22,222.26.252.91,-1433501680,ims,77.20.106.66,-760233780,-168054046,11154,-79
huawei,-39,226050302452234,40760902734,2024-09-04 00-43-57,121.141.20.12,-1571496198,internet,191.18.201.118,-2022932170,-2010436354,-21723,0
