src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,121,226051915050082,40783947515,2024-09-04 00-48-04,64.170.239.41,2110982889,internet,238.15.122.249,1837676687,1100517952,-15877,112
huawei,-64,226056680317759,40704936712,2024-09-04 00-46-54,198.229.236.54,519339233,internet,145.153.87.233,-147691490,134886827,-22907,-52
huawei,12,226052820130932,40796258635,2024-09-04 00-49-28,137.169.98.225,-915902852,internet,177.158.233.61,-166288764,1341035665,-20995,33
huawei,-6,226055040817624,40729346179,2024-09-04 00-47-59,206.247.246.182,-51092206,ims,151.18.64.209,539180036,306967823,17560,-38
huawei,76,226050510789551,40730301421,2024-09-04 00-49-21,154.181.218.132,1747627761,internet,110.113.251.85,-2046630016,-871541050,7366,64
huawei,-81,226050538583280,40708897126,2024-09-04 00-49-06,240.7.151.159,459450840,internet,44.52.202.171,-1570256792,-1265277578,6488,23
huawei,-61,226055201032583,40725040874,2024-09-04 00-49-53,254.143.232.16,-2016170066,ims,126.134.143.199,277167917,546275058,-5437,-59
huawei,73,226058029991735,40731629374,2024-09-04 00-46-41,158.115.83.181,-968895294,internet,177.139.3.138,563819090,306267390,7222,121
huawei,-104,226058696541475,40714270591,2024-09-04 00-48-00,119.0.37.244,911559395,internet,182.83.213.79,-688353798,1653284335,-10539,-64
huawei,104,226056444601901,40792984031,2024-09-04 00-48-06,29.9.162.63,1538691147,internet,180.129.142.113,-1327362685,824501582,-32457,58
huawei,-100,226054255033059,40784420924,2024-09-04 00-49-50,11.248.28.89,-54644598,internet,102.29.102.55,1477917366,-18866419,-31034,39
huawei,48,226051459832415,40769362490,2024-09-04 00-45-28,45.68.117.29,-1575678969,ims,126.35.121.196,-1548522355,-2138325097,18328,-7
huawei,98,226059151523402,40745998257,2024-09-04 00-47-58,209.122.188.177,359912903,ims,200.201.174.157,1835143747,-2146288419,-23833,51
huawei,-85,226059258466596,40705166251,2024-09-04 00-48-26,150.56.208.50,1103011330,internet,199.89.86.52,835764751,-1039161853,466,-33
huawei,97,226054321354693,40745624890,2024-09-04 00-49-23,172.89.235.244,1829200449,internet,211.58.220.65,-499999154,-1588257401,22217,-91
huawei,-88,226050141802121,40710142085,2024-09-04 00-46-05,91.96.46.31,-34823726,internet,31.40.19.14,125122870,775261875,32326,-87
