src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,73,226052682949965,40784292214,2024-09-04 00-58-30,215.129.35.103,1880534869,ims,170.221.127.241,1600166835,343763998,-4706,-66
huawei,-69,226051668820008,40709777205,2024-09-04 00-55-39,51.247.111.247,-1264662290,ims,185.192.236.229,-1696636611,1282341567,-20633,-100
huawei,52,226057473598887,40792964752,2024-09-04 00-56-30,19.237.9.188,-1398641211,internet,24.239.148.23,-1228474446,848278739,-11443,51
huawei,-7,226050954900799,40763132149,2024-09-04 00-55-10,93.74.42.149,1613766480,ims,144.156.95.48,-393875671,2111875796,16117,-97
huawei,42,226051891570871,40706474927,2024-09-04 00-58-57,20.202.127.242,1769996470,internet,88.212.143.204,1867041161,1816169690,10491,-104
huawei,-125,226059286583553,40780860423,2024-09-04 00-57-48,98.247.218.161,1972817593,internet,240.136.107.133,469402027,-1580002971,-22069,34
huawei,94,226055510857299,40754345825,2024-09-04 00-57-32,208.96.145.62,1182682931,internet,103.67.37.113,-1041626706,1947196493,-3119,-115
huawei,66,226051840107383,40777108556,2024-09-04 00-57-38,140.124.121.155,-1721241772,internet,171.107.18.153,-1398431269,1778294248,24529,-116
huawei,-65,226058597356182,40770076705,2024-09-04 00-58-36,239.189.141.52,1728169026,ims,70.232.97.195,1392121127,-897244714,13418,28
huawei,38,226057566399505,40733521123,2024-09-04 00-55-45,122.196.34.74,1004715947,internet,62.140.181.148,1329839029,-1683935816,28261,42
huawei,-98,226053934894700,40715978742,2024-09-04 00-59-59,255.186.162.24,-814547137,internet,224.22.159.215,928461838,-2011722690,26230,-104
huawei,105,226057207516633,40734694564,2024-09-04 00-56-31,21.236.228.27,-1752192690,internet,254.140.96.250,-1478340314,-305955068,-305,-80
huawei,-12,226050592323083,40707281192,2024-09-04 00-58-22,213.23.62.235,-145914583,internet,51.36.134.79,1948936355,305876923,-29814,-92
huawei,52,226059891648388,40772269482,2024-09-04 00-59-17,208.86.104.40,-1936191825,internet,254.22.63.31,1860834161,163472893,30188,-93
huawei,36,226051445210211,40711391145,2024-09-04 00-59-05,111.13.192.201,1357666275,internet,195.195.137.26,-123642975,-338713631,-4508,-118
huawei,17,226050707200907,40776534553,2024-09-04 00-59-45,142.81.225.100,-973219819,internet,128.28.27.147,91719008,-2123223727,7792,37
huawei,-71,226053544215890,40746114831,2024-09-04 00-57-06,19.154.180.193,1110701535,ims,203.109.168.51,595864639,2004825944,8999,104
huawei,64,226053237620348,40719620257,2024-09-04 00-57-11,133.74.99.115,-1838155200,ims,165.42.57.52,-1132022358,-1181479123,-2609,-104
huawei,-55,226058175021071,40751279677,2024-09-04 00-56-24,155.186.92.209,-1143810663,internet,201.89.7.43,484617502,1277314850,-3478,-34
huawei,-14,226054814445739,40729249703,2024-09-04 00-57-31,43.132.59.240,-656508237,internet,241.25.25.207,1793488287,-2065649127,19631,-75
huawei,-22,226050361521110,40779223150,2024-09-04 00-57-55,196.229.56.232,-899268614,ims,209.170.24.29,-662271827,1436402470,9333,-71
huawei,74,226058012927458,40770574513,2024-09-04 00-59-33,211.248.231.86,1723697456,internet,44.21.69.38,-1055664139,-885099286,-26250,-50
huawei,19,226053449178106,40735263207,2024-09-04 00-59-56,112.204.81.227,-1608664611,ims,153.158.104.113,-1043296919,1483998313,-26346,93
huawei,104,226050144201218,40752214528,2024-09-04 00-55-31,119.19.185.237,-2110379929,internet,121.65.225.89,-72364626,1699678898,7084,-53
huawei,25,226059506919742,40776506928,2024-09-04 00-59-31,68.39.49.134,578422095,ims,116.186.171.2,2053657718,781305031,25953,37
huawei,-39,226054027898939,40750887802,2024-09-04 00-57-20,51.168.82.152,390005223,ims,71.105.164.183,1172719406,454452124,16097,33
huawei,34,226058297745708,40789618976,2024-09-04 00-58-00,187.70.92.176,302479928,ims,78.60.148.133,1489241047,-1042599721,-10838,-4
huawei,123,226056532481997,40791967789,2024-09-04 00-58-59,176.254.162.224,1678070648,internet,128.13.250.186,35025896,-142575469,27630,68
huawei,-36,226050115609759,40739440078,2024-09-04 00-58-51,247.155.183.85,987549539,ims,31.92.91.76,-773561409,162338454,6709,84
huawei,-29,226053521410351,40796549536,2024-09-04 00-55-16,217.228.33.169,850793639,ims,168.158.79.1,534990546,-1961841242,12746,-110
huawei,22,226059140284381,40743806478,2024-09-04 00-57-24,187.38.42.204,-83403202,ims,178.44.31.192,1695982096,1561742286,11867,12
huawei,-66,226050367651652,40771375558,2024-09-04 00-56-01,101.189.116.201,-1515743780,ims,225.147.5.232,-214942250,441827840,7310,-31
huawei,-23,226058149248092,40747775284,2024-09-04 00-55-19,218.95.128.238,1310825699,internet,245.142.251.155,-1792615165,194466346,16634,-56
huawei,91,226052663379018,40794465016,2024-09-04 00-55-09,122.31.78.49,1380833838,ims,6.115.169.189,182140866,-1434003934,26057,60
huawei,-120,226059023090756,40768283110,2024-09-04 00-58-37,31.23.100.254,-1212665994,ims,175.1.122.164,1693780146,-1098378477,15006,62
