src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-23,226058898757516,40731769464,2024-09-04 01-05-29,185.52.198.20,-1176743423,internet,94.7.4.73,161667761,-230925726,6049,46
huawei,94,226056046303843,40766126041,2024-09-04 01-08-09,197.209.20.131,-911876734,internet,245.245.76.134,-1832843445,632486885,-24845,-118
huawei,-97,226055235729375,40728628589,2024-09-04 01-05-52,53.187.71.188,1849150402,internet,226.108.223.123,-1881283892,-709970819,8242,-5
huawei,-23,226058852802570,40742802125,2024-09-04 01-06-28,211.53.152.160,350087875,internet,253.85.129.177,-1845992733,-1612032381,4331,-112
huawei,89,226050520808630,40753009128,2024-09-04 01-05-55,37.52.131.161,-1550037869,ims,254.34.98.206,-340706466,204579494,-3705,-39
huawei,-42,226057632303964,40786570813,2024-09-04 01-08-25,218.154.206.248,-1729688018,internet,134.128.206.112,-679074680,-310108832,20510,-6
huawei,-42,226053045224647,40715477794,2024-09-04 01-05-04,245.191.230.56,1647925778,ims,94.46.253.130,-356778295,-218298212,-24724,118
huawei,107,226054486070862,40739669212,2024-09-04 01-07-06,251.220.106.180,-2115129973,internet,33.100.9.61,792607104,-1174563025,-32132,70
huawei,98,226056821489575,40701845502,2024-09-04 01-07-30,3.236.178.224,1362044451,internet,38.43.88.56,333129050,863860208,-7644,0
huawei,-45,226057239210933,40743215437,2024-09-04 01-07-14,54.152.176.156,2120548675,ims,119.250.178.10,-471624123,876346133,-17200,76
huawei,94,226052575064730,40787451381,2024-09-04 01-07-30,4.120.242.17,900237331,ims,254.123.123.60,1232788577,-1240750463,18019,-5
huawei,-55,226056191045654,40788885493,2024-09-04 01-05-46,155.193.203.95,809477082,ims,119.213.19.210,479166133,1892172167,-4805,-51
huawei,-36,226054586665293,40725896353,2024-09-04 01-09-05,85.74.201.83,-1898930066,internet,64.120.246.193,724503890,-1509254860,23583,-109
huawei,-54,226050699993171,40719586372,2024-09-04 01-08-57,142.245.31.126,1801868769,internet,115.188.133.30,-1961558503,-1975028438,-30709,-81
huawei,68,226053814575431,40715340423,2024-09-04 01-08-42,82.155.162.170,-768940290,internet,82.3.183.203,-1235295353,-205600554,32278,83
huawei,74,226053655776001,40753640826,2024-09-04 01-06-04,87.95.29.34,-1635430826,internet,134.30.143.138,-1169568979,180258499,-25770,-39
huawei,-71,226055835421285,40710559989,2024-09-04 01-07-10,242.86.224.190,1805196825,internet,35.241.60.189,-1175258519,-1760388578,25557,66
huawei,59,226051643767901,40754535764,2024-09-04 01-06-10,111.123.201.45,2016221442,internet,23.100.39.68,496122715,16512162,7083,-3
huawei,-21,226058052095660,40717051676,2024-09-04 01-09-51,206.46.47.3,-1481613031,ims,101.145.45.28,1905034474,-1559688855,-27288,-102
huawei,-25,226057315048171,40742611347,2024-09-04 01-07-28,72.26.250.148,-478059151,ims,72.167.234.14,-351846372,-1179443914,-17431,81
huawei,-47,226053138751029,40794875818,2024-09-04 01-07-42,45.104.156.56,-1418297237,ims,43.235.150.241,-1211848697,-445611033,-6467,34
huawei,114,226050018795549,40774340520,2024-09-04 01-06-36,219.190.227.128,1487484355,ims,29.216.148.196,523716866,928631029,-12780,-27
huawei,-74,226055815327092,40730215590,2024-09-04 01-07-16,193.122.202.160,-119215168,ims,123.35.34.193,2097084324,-1777041181,20263,-92
huawei,71,226053859757815,40773920150,2024-09-04 01-09-12,163.158.181.26,898633550,internet,129.173.198.250,567141337,-556142113,14692,65
huawei,-40,226058103505476,40730265167,2024-09-04 01-09-49,172.87.70.81,896607540,internet,137.84.231.9,-1352750466,1678447179,32015,-12
huawei,-77,226055529650594,40739061309,2024-09-04 01-07-14,107.121.68.193,1047160399,ims,208.169.73.132,894864838,-1864237085,26660,7
huawei,-123,226058339094371,40796514472,2024-09-04 01-06-47,163.58.64.69,-1203701419,ims,177.106.51.158,-1634294581,-619291007,29444,-19
huawei,33,226059496580537,40741682640,2024-09-04 01-09-33,94.40.186.133,-2116977422,internet,68.18.51.146,212162045,-1189508192,24257,-24
huawei,67,226057281913967,40769950196,2024-09-04 01-05-19,42.151.70.171,-934769033,internet,138.251.9.130,-1262042331,-506440404,11741,13
huawei,46,226059757646871,40761354964,2024-09-04 01-07-50,229.142.17.199,-1783943808,internet,164.174.99.255,1526646327,-1809617582,28573,-18
huawei,25,226058600807992,40727801254,2024-09-04 01-06-15,8.35.127.181,136772538,internet,246.37.96.208,2069193496,680629195,-793,92
huawei,80,226057114039936,40779514853,2024-09-04 01-09-50,131.239.225.116,1459409971,internet,51.41.28.18,1848752928,-194685947,-8603,-114
huawei,123,226051398400881,40787747756,2024-09-04 01-06-32,80.92.164.233,-674624820,internet,128.222.204.102,-1845028529,1349770963,-14076,-118
huawei,-50,226054917816067,40782851695,2024-09-04 01-09-16,242.231.4.13,-1066578355,ims,223.175.106.254,687214099,-366201556,6889,69
huawei,13,226051737107726,40723865336,2024-09-04 01-07-09,127.217.229.130,1053444884,ims,246.212.106.171,1291033161,291700772,-949,-53
huawei,40,226055202004622,40767915781,2024-09-04 01-05-14,114.87.240.239,-1469677346,internet,218.4.225.169,1091730699,857958778,8276,72
