src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-126,226059651776439,40755485960,2024-09-04 01-14-10,64.13.63.82,265475025,ims,9.249.232.100,-636624929,-599744906,17942,-90
huawei,0,226057001233625,40786113942,2024-09-04 01-12-50,91.175.122.138,1606634611,internet,226.81.32.74,-1857670794,-445322582,23788,49
huawei,93,226052102971797,40739447596,2024-09-04 01-13-23,97.170.180.181,2876542,ims,255.103.126.189,124112765,1382254527,19295,96
huawei,101,226057157619444,40785805297,2024-09-04 01-12-30,153.36.17.209,93787808,internet,201.66.41.131,-1530089428,-1877108375,-5447,78
huawei,-28,226058368668159,40758732215,2024-09-04 01-11-30,192.91.210.236,859016023,internet,80.236.21.6,-1814249948,1370593340,-27156,-107
huawei,106,226050601484418,40741949739,2024-09-04 01-13-26,95.132.128.43,-560037635,ims,105.137.118.75,-1413101783,-138048402,-22631,-10
huawei,84,226058000729544,40738626806,2024-09-04 01-10-27,168.118.25.19,-1889158650,internet,224.175.184.247,255122182,-545059444,-6002,68
huawei,126,226052210704310,40790449630,2024-09-04 01-10-39,25.16.68.121,-1532367380,internet,17.114.24.240,799474135,277962599,366,-22
huawei,28,226054996740094,40763942891,2024-09-04 01-13-19,113.224.124.198,-1365563319,ims,20.141.6.235,150907058,-1025092246,12686,124
huawei,-84,226059684147446,40780682381,2024-09-04 01-13-15,223.233.85.92,1832531585,ims,55.124.106.90,-141068920,1380294969,-20647,-13
huawei,4,226056760984640,40707699390,2024-09-04 01-10-01,93.68.178.106,-1035374120,internet,165.213.24.41,-2038524745,743977487,-25558,-47
huawei,34,226058706661348,40774433483,2024-09-04 01-12-20,37.171.36.234,1940906132,internet,234.189.232.164,-1953546830,-1789974382,-14971,-82
huawei,-77,226055710713700,40718126688,2024-09-04 01-12-40,67.54.15.153,1060341272,ims,249.20.179.7,-1700697805,-151005907,-20951,-96
huawei,74,226051736278330,40700845196,2024-09-04 01-14-00,187.182.166.59,495251132,internet,245.128.74.191,35618287,-455231805,26914,93
huawei,106,226059753769489,40735281072,2024-09-04 01-11-41,39.161.168.255,103730287,ims,215.114.117.154,-236451927,-2111948258,-15790,24
huawei,14,226056271099863,40793429674,2024-09-04 01-11-35,25.233.75.108,2076333108,ims,14.106.23.89,-368869598,890219000,-360,-10
huawei,-71,226052804179062,40751591664,2024-09-04 01-14-42,179.1.3.126,-1985683206,ims,101.89.48.39,968325608,604992503,-12319,-2
huawei,-2,226054112600736,40787368156,2024-09-04 01-13-38,48.50.152.52,-594829471,ims,204.5.132.11,-2085517878,955575267,-3396,115
huawei,-125,226058342136866,40751151697,2024-09-04 01-14-45,24.213.162.91,-695066044,internet,234.53.140.82,2039058639,747058146,-21970,-64
huawei,-124,226056921084779,40774059837,2024-09-04 01-12-02,192.168.174.133,-1768294254,ims,217.154.79.88,1675551331,-988212138,-23256,-65
huawei,50,226055537936756,40780766727,2024-09-04 01-12-25,128.171.100.19,-835829911,internet,226.135.202.35,226607429,-2132518620,-965,-127
huawei,-109,226056520907278,40729549533,2024-09-04 01-10-05,85.223.14.163,-369913447,internet,161.83.134.109,482649350,1606776463,28999,-47
huawei,86,226057803104221,40732229855,2024-09-04 01-12-43,10.111.6.220,116183182,internet,188.213.176.199,642410791,1727025380,20147,-53
huawei,94,226050086278873,40762579810,2024-09-04 01-14-19,207.82.116.166,1365861974,internet,142.9.206.14,296208750,1273657079,16294,-50
huawei,15,226050492825791,40750254312,2024-09-04 01-12-42,79.61.140.61,-430900074,internet,218.205.244.161,435281362,1975033764,-18830,18
huawei,-80,226055174927178,40772121763,2024-09-04 01-10-40,99.80.52.113,2063176604,internet,117.102.101.204,-1025827076,-352155918,-19889,71
huawei,63,226055695519468,40765456622,2024-09-04 01-13-37,87.50.129.164,-458445026,internet,161.98.163.226,-1965847430,1837042059,16752,105
huawei,94,226053086424907,40761057735,2024-09-04 01-12-04,241.86.199.45,-130523621,ims,41.131.66.215,-495370424,81066229,31480,-45
huawei,-20,226059047017880,40734902323,2024-09-04 01-13-20,230.233.167.237,-1632971480,internet,16.160.161.143,1437625469,-1983301461,-9454,-35
huawei,-122,226056333653584,40787936969,2024-09-04 01-10-12,239.56.117.167,-1032761059,internet,239.162.104.198,1767934256,-347363887,14979,35
huawei,-86,226058162956959,40778588037,2024-09-04 01-14-38,14.188.250.181,743775123,ims,56.249.94.96,221989761,-1242685243,-2242,22
huawei,114,226056445371055,40721260241,2024-09-04 01-14-11,15.124.159.248,-262934868,internet,243.2.90.120,-1609855766,-628771910,7492,-14
huawei,23,226053487161820,40717210035,2024-09-04 01-14-22,37.25.37.197,-22466110,internet,2.24.210.0,-712611032,-262529425,27344,-55
huawei,-87,226050857427632,40718869488,2024-09-04 01-13-36,241.43.230.79,-1444106178,internet,47.74.81.74,-290427785,-1890518246,-26007,14
huawei,103,226050709597680,40718062311,2024-09-04 01-11-05,204.182.153.13,104007583,internet,7.155.154.24,-746064238,84498628,-27966,-35
huawei,27,226050553400934,40711460491,2024-09-04 01-11-10,32.2.176.23,625813466,ims,14.232.177.128,2144190766,-1155337618,21979,-13
huawei,60,226054246401598,40785202547,2024-09-04 01-12-53,204.210.165.239,-1523514797,internet,37.188.47.169,1462082664,-1628337578,28397,32
huawei,-76,226056537096515,40751559787,2024-09-04 01-13-13,75.98.142.251,-2067715581,internet,121.32.143.119,-432393356,2118993394,-21759,-120
huawei,-79,226050794006155,40707188388,2024-09-04 01-14-30,71.116.26.165,-189468725,ims,22.198.27.64,1271031523,569779250,31585,125
huawei,7,226053385319727,40711557082,2024-09-04 01-11-14,192.221.169.235,1313611640,internet,177.45.71.24,724950971,-579871995,21128,-1
huawei,-69,226059106581702,40737974147,2024-09-04 01-12-24,201.20.45.161,-1745002878,ims,146.216.183.151,-1020150554,1006774003,20207,88
huawei,67,226058062161490,40760704168,2024-09-04 01-14-00,179.186.203.118,1491776629,internet,204.161.48.139,413783738,-793874911,-16027,106
huawei,-75,226055087717793,40702784063,2024-09-04 01-14-56,230.190.1.21,-492091848,ims,123.108.178.35,-270990400,732246813,11846,-30
huawei,34,226050099662640,40730413231,2024-09-04 01-11-35,215.115.191.244,1418711354,ims,1.142.243.27,788928137,1645358475,-24235,34
huawei,115,226055967325602,40712416970,2024-09-04 01-11-32,171.115.92.144,-642065246,ims,154.247.243.186,1475398462,-674917928,-13204,-116
huawei,-30,226052229833690,40732882831,2024-09-04 01-12-16,239.126.31.215,1919675864,internet,87.231.108.131,1109646593,-603021907,-26394,-34
huawei,-53,226052116265259,40756213222,2024-09-04 01-10-18,201.224.161.58,-532520369,ims,160.85.141.175,1187924340,1067600033,26868,-90
huawei,49,226054337019884,40783251116,2024-09-04 01-11-02,91.8.98.181,-1943767235,internet,85.7.72.147,60331210,-1115248478,16508,120
huawei,-57,226053687642820,40758024058,2024-09-04 01-11-38,52.184.107.150,1456954624,internet,66.208.108.196,-769899323,1723088403,-18168,124
huawei,-121,226050359952521,40749348899,2024-09-04 01-12-02,252.50.0.241,-1722232502,internet,238.117.150.154,1817058201,245321014,-962,8
huawei,46,226054020220026,40774807644,2024-09-04 01-12-47,249.225.216.116,-1675761263,internet,13.88.18.70,1984132292,-80063025,-29331,61
huawei,125,226056621076890,40705172419,2024-09-04 01-10-37,222.220.128.220,1416373480,ims,94.14.214.206,-1590811178,-2140393836,-2095,60
huawei,99,226056971206595,40721175598,2024-09-04 01-13-29,7.195.242.184,-1238726343,ims,156.85.112.131,1387480478,-577670120,5093,-123
huawei,-98,226050984040350,40768018463,2024-09-04 01-14-49,87.58.125.250,106417335,ims,157.145.187.98,-136361411,1409017517,4216,-35
huawei,89,226054831241819,40704767537,2024-09-04 01-11-04,91.198.254.93,1622525556,internet,197.200.252.14,729317143,1929911826,23593,-48
huawei,53,226059081280635,40770174557,2024-09-04 01-14-34,80.139.190.10,-626266977,internet,118.66.137.174,-1456748660,-1511309952,-3590,-103
huawei,117,226051787035285,40796975152,2024-09-04 01-11-49,13.34.105.214,-477580085,internet,36.172.230.127,518337741,-1370711493,-29783,0
huawei,-11,226051874364750,40706162871,2024-09-04 01-11-14,7.233.196.191,-827516498,ims,181.137.50.185,-2031971396,1172418298,27096,-71
huawei,96,226058802102125,40741978579,2024-09-04 01-14-03,220.24.32.255,432733470,ims,43.58.232.84,503524928,1219514465,-22967,30
huawei,-72,226059094160593,40779926360,2024-09-04 01-13-53,201.142.0.176,968381673,internet,149.172.62.66,2099517574,633781861,-17164,-19
huawei,-94,226059811597395,40749469727,2024-09-04 01-14-15,209.182.28.3,-579222963,internet,22.58.212.95,-248458502,-2099620259,-21726,17
huawei,71,226053044871249,40716841253,2024-09-04 01-12-21,41.234.245.78,-507015175,ims,203.185.16.129,1742035478,1188673888,-16922,42
huawei,-119,226055691648277,40720250486,2024-09-04 01-13-48,191.39.131.185,1892512639,ims,224.174.47.216,-534614123,-1996256209,-8455,8
huawei,20,226057588405502,40763408985,2024-09-04 01-14-25,183.228.11.39,-2097837151,ims,97.135.174.177,751112825,2001817105,-1270,59
huawei,1,226058134380307,40705346103,2024-09-04 01-11-13,16.159.116.120,-878852505,internet,178.9.97.60,-85074886,156403655,21122,-104
huawei,-85,226052233748919,40758084794,2024-09-04 01-11-46,8.158.171.53,325664067,ims,35.73.108.235,935854466,-2126019276,24997,2
huawei,124,226051020369271,40712137415,2024-09-04 01-10-18,241.116.16.133,-382099861,internet,85.141.230.42,938497589,1468568366,16083,115
huawei,91,226058638294847,40781378774,2024-09-04 01-14-20,205.13.15.58,114679604,internet,242.153.18.192,-1246801965,1351978089,4315,0
huawei,84,226057867809147,40791484312,2024-09-04 01-14-24,135.174.192.52,-1240060655,internet,179.41.97.250,1777489219,2082785340,4246,-87
huawei,-1,226058169480463,40780849534,2024-09-04 01-14-38,101.13.189.102,631696752,ims,101.142.113.57,-104760888,-783877855,16757,-64
huawei,126,226059743489214,40711208416,2024-09-04 01-12-45,39.171.155.36,-325387008,internet,224.241.172.111,1112868230,1950293686,-968,32
huawei,-31,226055433959083,40787700114,2024-09-04 01-12-18,34.254.119.99,1890923481,internet,150.51.167.169,1534473722,-429194730,-28851,-109
huawei,-80,226051196740017,40763990283,2024-09-04 01-13-55,168.64.68.127,330209069,internet,236.247.42.249,724991026,617235485,-28895,-105
huawei,-95,226051305864883,40799252423,2024-09-04 01-10-12,77.94.6.219,-869465247,internet,194.123.41.178,1783552100,-1349951165,-5277,85
huawei,84,226054307810325,40740969351,2024-09-04 01-13-04,97.48.39.250,603671262,ims,93.121.18.154,537820025,123130269,-8581,-92
huawei,51,226054265917673,40794248226,2024-09-04 01-13-46,196.122.228.154,324859280,internet,26.247.205.168,-1585328333,358988443,20812,-99
huawei,117,226051075940884,40714596851,2024-09-04 01-12-32,141.149.111.130,1430863168,internet,7.186.90.57,-1555500581,513216791,-6708,55
huawei,76,226050490340895,40741933474,2024-09-04 01-12-09,83.171.183.49,369743730,ims,184.229.239.111,2101971820,-1083512195,-29435,44
huawei,-31,226058420462835,40742678754,2024-09-04 01-13-34,231.120.6.66,-236605126,ims,67.124.116.74,-1506188471,865858364,-21851,37
huawei,-100,226053711152278,40733479835,2024-09-04 01-10-43,84.72.168.226,1811466243,ims,212.1.161.240,-857840663,693899656,27810,-8
huawei,12,226056302364315,40725727486,2024-09-04 01-12-21,188.215.246.221,-897742771,ims,129.201.142.203,-82179066,-402242623,12805,-2
huawei,-76,226058016965423,40739003400,2024-09-04 01-10-12,191.122.127.86,640572617,internet,224.98.11.198,-829469906,1945412495,16259,-76
huawei,4,226056038250512,40726191622,2024-09-04 01-12-38,57.132.129.236,-824042855,internet,67.236.79.133,1663519066,-20601781,-3287,-81
huawei,35,226057814546580,40715355018,2024-09-04 01-12-13,192.40.129.136,1692302056,internet,152.210.176.57,82215317,306872021,-4913,28
huawei,81,226056609072550,40752057623,2024-09-04 01-12-01,50.106.104.199,-529134476,internet,50.3.96.236,-1556703662,-1342407746,-10974,-91
