src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,47,226050684825665,40719857559,2024-09-04 01-33-55,243.50.29.230,-155432770,internet,147.239.44.123,436634406,-504857858,4516,-22
huawei,-7,226057719562983,40747637648,2024-09-04 01-33-32,177.194.50.193,-943110993,ims,171.53.93.132,-58660080,-1391206641,6390,122
huawei,63,226059886630650,40756046725,2024-09-04 01-31-55,48.171.13.133,-2005933387,ims,243.76.189.162,1133295442,-1746524872,4382,21
huawei,120,226053311298213,40750017382,2024-09-04 01-30-52,57.8.153.140,-1601399483,ims,196.100.214.93,-1435918,2124212868,-1494,25
huawei,69,226053232323456,40755535141,2024-09-04 01-34-35,93.68.221.95,603314925,ims,26.180.245.11,-1325301186,-572588056,-10915,-123
huawei,55,226056756609723,40702181084,2024-09-04 01-31-41,201.79.129.134,-825641485,ims,35.171.169.44,-694399723,1909840976,-19840,-18
huawei,-71,226055920549819,40765449290,2024-09-04 01-34-17,176.143.43.211,-129790523,internet,115.107.208.192,-1626101999,-480788573,-2280,-7
huawei,-75,226050210889494,40780122981,2024-09-04 01-33-03,155.145.195.156,-2139342859,internet,28.91.253.67,-556738809,125033959,-19345,-56
huawei,21,226052864620967,40712458030,2024-09-04 01-32-22,89.215.8.4,2073955392,ims,53.46.62.34,1452142031,116916796,-9768,-13
huawei,46,226053648353452,40789505692,2024-09-04 01-30-21,205.144.25.239,1121597169,ims,66.25.176.37,-1059829847,1651930572,24690,71
huawei,11,226055704492306,40701331664,2024-09-04 01-32-21,245.194.222.185,-197044837,internet,63.80.214.114,1002822829,599546307,269,105
huawei,36,226057364656321,40777254319,2024-09-04 01-32-19,238.26.75.237,1059807089,ims,21.207.91.134,-704287892,-1894447337,-25221,-13
huawei,-76,226054232216105,40712675116,2024-09-04 01-32-07,126.191.2.126,275141122,internet,112.237.144.111,-669542958,1119624264,26301,76
huawei,103,226051944079126,40724125893,2024-09-04 01-33-19,131.25.131.51,-2054925656,ims,167.11.28.243,-1964419654,-1336457405,2282,-5
huawei,-55,226059936546100,40730019911,2024-09-04 01-31-28,197.91.38.238,-1316342201,ims,74.78.240.38,-930112199,-554225048,-20061,14
huawei,-3,226051962894115,40751837926,2024-09-04 01-34-07,154.255.226.32,171094423,internet,159.2.246.112,64632377,-2114186890,-16050,124
huawei,90,226056901591616,40751442769,2024-09-04 01-32-34,51.52.97.223,-2123954155,internet,133.102.56.143,-1410897818,-1463774360,2289,115
huawei,50,226058896306218,40789222259,2024-09-04 01-32-52,95.56.83.56,-152668275,internet,135.99.60.151,1178252464,-1146502916,21167,36
huawei,-19,226051801469562,40798223365,2024-09-04 01-30-52,82.233.205.49,1782205436,ims,131.250.245.4,1045157992,-2060325520,-4214,24
huawei,98,226053840505300,40757454701,2024-09-04 01-32-47,77.187.157.194,1865328493,ims,161.99.99.91,671997540,-32985766,28177,-126
huawei,-21,226050135160040,40721142089,2024-09-04 01-30-40,219.23.246.181,2053875242,internet,50.203.85.235,-601092594,766372615,7664,1
huawei,-125,226051884569003,40780150961,2024-09-04 01-32-07,100.60.134.247,-1423829035,internet,40.161.32.112,297735712,-343361007,17292,13
huawei,-37,226057543613565,40775525037,2024-09-04 01-34-51,89.94.80.11,1228027831,ims,243.147.227.40,891694253,-699461462,-22826,-113
huawei,-33,226057756199302,40755893963,2024-09-04 01-33-33,154.21.224.255,1072648083,internet,135.19.128.202,1008288024,1633910400,26903,-106
huawei,-38,226051085154204,40701645366,2024-09-04 01-31-48,38.134.238.209,1653685060,internet,60.199.46.129,1345754487,114767025,12699,-63
huawei,119,226053684347642,40791551816,2024-09-04 01-30-12,79.173.250.130,795121142,ims,229.221.103.135,1535888330,753363505,-31321,-62
huawei,82,226055384490202,40728165513,2024-09-04 01-30-30,180.61.240.110,1323577272,ims,34.199.120.138,-773773522,-1804731109,-14742,68
huawei,-100,226054569780060,40704276419,2024-09-04 01-30-57,108.185.152.250,-1051290819,internet,155.146.58.173,334140863,794254405,-532,42
huawei,-94,226059096748966,40735350542,2024-09-04 01-33-09,82.185.196.116,-1437339713,internet,18.94.134.205,1815600319,-597167821,23673,122
huawei,112,226055963415840,40764980969,2024-09-04 01-31-09,137.120.215.96,-1626293716,internet,78.141.49.74,-231393977,-636688870,-12246,-98
huawei,57,226052175910506,40703411725,2024-09-04 01-30-38,192.148.75.15,-1745152320,internet,206.143.228.48,71712940,1988135354,29809,-62
huawei,77,226059861809031,40785664039,2024-09-04 01-34-37,76.81.191.206,919850519,ims,219.96.231.176,-268115979,-1521269631,31581,-110
huawei,-111,226056153356782,40788339646,2024-09-04 01-31-17,123.51.38.85,552759208,internet,18.120.136.21,20535636,975262978,-1615,-36
huawei,-58,226050267271800,40734045764,2024-09-04 01-31-49,219.23.243.174,1648612607,internet,124.132.39.66,-1654017585,1472573068,14875,27
huawei,-107,226053750362687,40750691959,2024-09-04 01-30-15,45.84.9.135,1594513801,ims,228.176.251.163,-109257092,-259975505,20153,-30
huawei,-115,226055574485245,40741289419,2024-09-04 01-33-12,206.194.36.54,-402403481,ims,95.79.204.230,2072079684,-401622074,26717,84
huawei,38,226057737955612,40795418356,2024-09-04 01-31-11,249.241.91.246,-1180544636,ims,103.207.166.195,-1360330847,404958388,32277,0
huawei,-52,226053025734026,40721599722,2024-09-04 01-31-48,206.239.58.88,-276993882,internet,13.113.47.227,-1063331242,-1838076064,-4624,-76
huawei,-78,226059774562165,40739453338,2024-09-04 01-30-21,242.201.152.246,1579900632,ims,160.36.147.178,1148143664,2083864292,23429,6
huawei,119,226053625213530,40711267222,2024-09-04 01-34-39,226.169.59.115,-1108920182,ims,106.243.108.135,1810052932,-437517015,24608,50
huawei,-61,226050059431432,40732110251,2024-09-04 01-34-18,159.48.46.167,1681065551,internet,37.169.242.69,647072051,1502015917,20880,-31
huawei,-30,226056121657417,40702170954,2024-09-04 01-34-04,98.100.209.67,-1873195076,ims,53.229.11.74,-726547569,1877905394,-4016,46
huawei,-105,226058308660876,40718511975,2024-09-04 01-32-18,123.121.9.215,-503207920,internet,170.151.167.139,1998430452,1844226190,23864,-9
huawei,-18,226058891784483,40735021076,2024-09-04 01-34-15,148.33.12.241,-986697481,ims,220.238.211.13,-702492500,-439812884,8066,-5
huawei,57,226058014262340,40702967704,2024-09-04 01-30-37,156.10.95.245,-669473645,ims,254.120.117.86,828205836,1204463228,23386,-113
huawei,-51,226059986824291,40771782750,2024-09-04 01-30-39,25.16.41.36,-143898992,ims,110.100.60.209,-57463082,-943144048,18677,30
huawei,32,226057862307069,40757205969,2024-09-04 01-33-27,75.127.14.108,82332366,ims,54.111.176.22,-1709110820,258832992,14606,37
huawei,-104,226054674671973,40704277004,2024-09-04 01-32-33,124.76.63.49,708561130,internet,221.98.71.15,-204735114,1335182981,26764,78
huawei,-8,226056295983374,40767298170,2024-09-04 01-33-08,126.200.125.136,1255275866,ims,42.29.63.84,-1521596691,-1767367699,-1288,-48
huawei,-46,226057923219641,40797377996,2024-09-04 01-31-54,37.129.21.175,1050879439,ims,21.79.193.35,-832606628,1593972385,10322,58
huawei,96,226056682129034,40750261710,2024-09-04 01-31-42,157.228.38.132,1160836914,internet,122.219.195.13,-1681432490,1679827344,23603,-59
huawei,117,226058328763574,40724211590,2024-09-04 01-31-44,129.116.122.60,339342074,internet,10.54.238.82,-345907455,-1885175579,-8540,105
huawei,48,226057957373209,40729845545,2024-09-04 01-30-55,105.150.18.21,1952899702,ims,25.96.86.219,85576006,2144724151,-12872,107
huawei,109,226052683315039,40718920943,2024-09-04 01-34-14,165.155.125.135,861147510,internet,204.92.226.87,1896863294,935294459,13897,-103
huawei,-105,226057742666951,40748368178,2024-09-04 01-30-50,96.39.207.117,-436422132,internet,183.11.150.212,-1222706291,2123130620,-9327,57
huawei,-9,226054873909655,40725844108,2024-09-04 01-34-59,11.65.81.232,-1539316257,ims,192.74.50.159,110546371,1753846596,-9205,-15
huawei,127,226055586550093,40722836280,2024-09-04 01-31-36,49.36.179.92,-1823457128,ims,102.26.76.207,1343622982,-522598772,-30969,-99
huawei,-105,226059889969209,40726556169,2024-09-04 01-33-42,43.191.198.66,1589497743,ims,97.182.89.110,-951808417,-491875826,24105,107
huawei,-33,226052102310007,40758586009,2024-09-04 01-33-23,57.95.19.129,22679118,ims,125.252.30.90,-1907342777,1735922427,7831,-4
huawei,-68,226056724958795,40714081688,2024-09-04 01-31-53,154.133.252.229,921203415,internet,174.145.94.59,-1227591144,496033867,-21255,-104
huawei,76,226053987656901,40744019809,2024-09-04 01-30-42,72.24.2.249,-224730179,internet,199.211.31.185,1303642991,1264392890,18388,-82
huawei,10,226056987555249,40708844953,2024-09-04 01-34-05,68.138.226.140,-464060959,internet,170.154.150.234,-1755136802,963040172,13288,-102
huawei,39,226053839038390,40759212987,2024-09-04 01-31-43,189.181.219.19,-229639160,ims,22.107.38.166,555417108,-502471624,23299,56
huawei,77,226053042206679,40783049281,2024-09-04 01-30-45,112.228.151.183,614234750,ims,215.15.95.205,-432185346,-147062664,-5426,58
huawei,-14,226051780446233,40798833487,2024-09-04 01-30-59,90.167.140.73,1685685720,ims,174.76.122.213,1943840236,-286860199,13976,-125
huawei,-77,226054988308753,40755766689,2024-09-04 01-34-55,102.10.185.186,-467928553,ims,53.30.97.16,1619815997,333202104,16214,121
huawei,118,226054882302684,40776578330,2024-09-04 01-30-43,90.193.70.185,1166786102,internet,172.11.199.197,-1094311009,-204505640,-28788,-10
huawei,-94,226051643491935,40735775481,2024-09-04 01-32-09,21.253.207.38,707054795,ims,41.183.156.3,1768798627,-1739169567,13856,75
huawei,104,226051402413561,40760245489,2024-09-04 01-34-29,15.110.65.232,112426326,ims,145.4.89.148,-58180605,-1521319882,-15158,62
huawei,49,226053158485648,40797087086,2024-09-04 01-32-43,125.244.11.18,877693034,ims,180.96.92.145,-2103514680,-765829353,-8966,66
huawei,-128,226053682421156,40795412583,2024-09-04 01-31-18,172.180.137.164,-965531919,ims,44.25.20.81,2064101146,-770708017,4740,-41
huawei,65,226054329766994,40774955736,2024-09-04 01-31-59,36.61.60.59,2020258081,ims,228.211.127.208,-434583446,-836107450,-1341,118
huawei,118,226056676669751,40748883362,2024-09-04 01-34-58,128.160.68.162,-1518228582,internet,110.38.155.224,-1085638745,-1592393015,-29793,-54
huawei,-36,226058772926055,40716666996,2024-09-04 01-30-33,205.85.175.185,-389968463,internet,52.108.108.179,691612966,-1471656978,-10872,20
huawei,-110,226055954897179,40736901648,2024-09-04 01-31-49,238.40.201.40,-224695631,internet,207.189.108.247,398100776,-1771893128,-31921,100
huawei,93,226050291153442,40750438823,2024-09-04 01-31-09,221.182.114.28,1735470006,internet,44.23.93.73,-895203799,-801576530,-18513,70
huawei,-21,226056927007940,40742395067,2024-09-04 01-32-46,111.2.53.71,-458318384,ims,169.152.80.115,150680030,-1804326170,-24953,-20
huawei,24,226056949740400,40787292333,2024-09-04 01-30-29,223.251.61.85,1369701240,internet,44.174.210.150,1800839316,-763206275,-28884,59
huawei,77,226051249396580,40796503158,2024-09-04 01-34-58,131.177.241.105,-211222808,ims,241.118.107.147,1021136807,1435588853,-16586,-92
huawei,82,226053091807312,40742897437,2024-09-04 01-34-12,183.249.153.228,1663009174,internet,195.96.210.129,-231752393,-598354319,-24006,81
huawei,-52,226054969745411,40773153083,2024-09-04 01-32-45,220.222.139.57,848259522,internet,53.150.94.99,543884532,1054217510,-25128,15
huawei,15,226057336316450,40795482242,2024-09-04 01-32-45,70.252.51.138,1362368350,ims,187.131.41.104,1522014497,-2067553313,11544,-23
huawei,36,226055367791889,40767685625,2024-09-04 01-34-31,158.130.11.210,-2104411178,internet,241.202.182.112,-501130854,-32806800,-25495,-11
huawei,19,226050885023904,40795189457,2024-09-04 01-31-43,177.200.40.54,181891915,ims,64.214.86.59,-1517790312,2138484055,-1334,37
huawei,95,226058798030670,40788429926,2024-09-04 01-30-15,120.70.145.128,1594949973,internet,75.104.50.220,183375919,-349519453,-8600,-90
huawei,17,226056205297522,40762461665,2024-09-04 01-34-57,51.117.152.84,330884599,internet,220.185.190.134,919644934,1863488190,6940,17
huawei,-45,226051934555597,40713946566,2024-09-04 01-34-32,144.66.236.24,-252427314,internet,246.203.148.82,1935613252,628074873,-25506,-96
huawei,52,226055282345176,40705248004,2024-09-04 01-31-34,206.71.190.109,-542918595,internet,66.75.236.224,1814545103,-1371249084,28257,65
huawei,-10,226055873502730,40746015359,2024-09-04 01-33-55,245.9.28.140,358236194,ims,143.228.165.254,1892362428,507882102,-6945,-85
huawei,-77,226055601236003,40737355449,2024-09-04 01-33-03,93.122.109.92,-416275654,ims,252.161.229.216,127141913,2048469130,6379,-117
huawei,114,226056302839870,40796356150,2024-09-04 01-30-56,64.179.95.220,-1795913689,internet,94.210.43.172,-1917814875,1735000764,3103,-52
huawei,-65,226055431709643,40722673175,2024-09-04 01-33-51,139.250.39.196,2131512540,ims,180.148.236.248,-1154358628,172289195,21950,-34
huawei,121,226054261167310,40707814517,2024-09-04 01-30-42,89.143.24.245,234426320,internet,164.105.128.193,-1968993419,-244564628,13796,-35
huawei,34,226055648641385,40770744036,2024-09-04 01-32-21,67.73.133.0,759347307,ims,149.96.36.6,-361236123,-1579951403,-1911,38
huawei,54,226054660025401,40767218643,2024-09-04 01-30-34,97.192.21.141,-351779483,internet,213.63.172.81,-1034675692,874267260,-20286,-34
huawei,96,226058724882516,40723111830,2024-09-04 01-34-00,20.241.32.255,621667221,ims,240.102.161.188,908484392,-2135190747,254,56
huawei,114,226056831930364,40713919495,2024-09-04 01-32-50,15.61.115.98,-1200879513,internet,187.220.231.248,1850810257,646218055,23087,56
huawei,65,226052720340336,40775890162,2024-09-04 01-30-56,105.215.177.10,765492774,ims,62.79.115.136,-2034340393,-2123268666,22393,19
huawei,76,226052447980998,40786933889,2024-09-04 01-30-04,59.245.12.26,-146767361,ims,102.251.112.33,1230071640,-1762902943,-517,-31
huawei,97,226056425392186,40759124516,2024-09-04 01-30-23,218.88.126.185,1443123192,ims,54.215.85.18,93408619,-1305805713,-27238,27
huawei,84,226055910263149,40715661662,2024-09-04 01-32-28,136.28.175.51,-434686529,ims,130.105.87.117,199435132,1237836661,-14261,111
huawei,5,226052478091655,40728819940,2024-09-04 01-31-08,167.191.112.81,-351195361,ims,198.253.84.156,1749532677,842565365,31469,71
huawei,-106,226051805572871,40716596330,2024-09-04 01-30-21,153.210.223.55,-410777269,internet,56.40.12.12,1531792074,-474561147,-19772,97
huawei,-81,226057967047791,40797529870,2024-09-04 01-34-46,143.151.164.4,1525055609,ims,58.88.53.237,-12339235,1939107497,-30197,22
huawei,-126,226051219744208,40797928681,2024-09-04 01-30-51,215.25.218.251,-23293122,internet,90.7.241.235,1139438787,-947976466,-24377,-42
huawei,93,226050564392472,40799206220,2024-09-04 01-33-30,123.215.40.170,-1250607798,internet,199.39.12.153,-1192871840,782924133,-20975,28
huawei,74,226054956825211,40775722333,2024-09-04 01-34-07,228.120.4.36,1452794898,internet,153.4.252.216,-1064901283,-1261000861,24003,-72
huawei,-104,226056931414051,40767976567,2024-09-04 01-30-32,54.213.40.73,-174153559,internet,159.233.17.136,1819327972,-1313548769,-12055,24
huawei,41,226059012926274,40754000978,2024-09-04 01-33-45,16.209.241.115,1213537284,ims,201.130.226.75,826432472,1455239075,23599,50
huawei,-111,226056873174904,40769412382,2024-09-04 01-31-38,86.42.251.152,-1996838133,ims,192.252.216.118,1238817825,1850599667,6582,71
huawei,56,226056076689279,40764439227,2024-09-04 01-30-56,131.14.134.168,-1628040789,internet,200.57.164.9,-1494006040,-1898549358,-20528,-32
huawei,-36,226053930659691,40715400546,2024-09-04 01-30-06,228.217.92.169,493889396,internet,130.57.87.101,-197877392,1546212049,-4169,-111
huawei,-79,226059566264078,40736247484,2024-09-04 01-31-46,134.75.252.209,-697914228,ims,136.74.45.199,607615574,578689808,12872,104
huawei,-45,226055854392538,40708970469,2024-09-04 01-31-46,104.138.123.76,846937546,ims,96.211.231.228,1323136289,-1305496585,-28942,-29
huawei,-41,226054199389836,40717886211,2024-09-04 01-30-56,197.104.110.39,1568016619,internet,66.5.30.132,1137004190,-207883125,8018,80
huawei,-76,226056852379627,40799197623,2024-09-04 01-30-22,211.175.46.105,1246661270,ims,110.4.90.33,-1887517437,1428773213,-827,33
huawei,125,226054968528189,40797658486,2024-09-04 01-30-27,76.78.138.90,-496881495,ims,27.207.200.197,189315174,-85057226,-10357,-11
huawei,-11,226051121821402,40732485463,2024-09-04 01-32-43,226.158.132.110,2019387623,internet,18.150.209.18,1652396890,-1520077227,-27782,-70
huawei,-53,226052720998784,40738881581,2024-09-04 01-34-51,158.119.19.173,487395686,internet,99.251.76.61,-687767610,-1069890523,32759,70
