src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,71,226054189647138,40795478721,2024-09-04 01-54-23,184.249.198.115,1817377914,internet,68.33.110.189,1321991546,1491447281,31503,-121
huawei,35,226056913286636,40741269303,2024-09-04 01-54-16,185.94.160.142,-1288694680,internet,126.52.199.148,-427882416,2045950799,5825,-77
huawei,-106,226054039547763,40714077276,2024-09-04 01-51-46,197.87.3.125,1408110037,ims,86.143.239.102,-1994608585,-677147205,17059,126
huawei,-16,226057229703639,40750492163,2024-09-04 01-54-35,102.222.247.75,-602027310,internet,213.198.81.97,966222205,-1352368190,28542,88
huawei,-92,226056860964254,40790747565,2024-09-04 01-53-20,227.67.70.27,-946007317,internet,168.212.169.148,-394882153,186553082,29148,-120
huawei,-49,226057661697791,40749675121,2024-09-04 01-54-08,200.187.226.245,525282265,internet,219.161.210.40,-1711378841,793028358,4202,-45
huawei,68,226054808951907,40731900189,2024-09-04 01-52-02,192.18.123.192,-2000748652,internet,16.222.26.217,1710111,804461613,-10898,-73
huawei,103,226052723307074,40760458944,2024-09-04 01-51-09,137.163.66.238,49267351,ims,220.58.216.130,-754543447,-1434634970,-25170,-48
huawei,-88,226054214385347,40710806054,2024-09-04 01-52-20,232.95.198.191,207608132,ims,1.112.251.153,-401521885,-225659819,-8907,-57
huawei,31,226056680237354,40762544832,2024-09-04 01-54-47,205.250.254.153,-348024625,internet,103.54.49.153,1060933974,-39435259,8360,-105
huawei,-12,226053070067583,40789106671,2024-09-04 01-50-15,99.196.19.96,-542681361,internet,80.116.115.173,1987498235,-1579296298,6350,-104
huawei,57,226057543670884,40760570466,2024-09-04 01-52-12,188.32.158.133,-473142098,internet,0.201.182.41,1948917306,-1542252317,8575,120
huawei,85,226054797353434,40742337125,2024-09-04 01-54-14,205.204.134.97,882493721,internet,218.234.238.137,-1872711479,-1729104776,-6275,76
huawei,57,226050038085617,40763322217,2024-09-04 01-53-13,179.239.9.50,-1948087088,ims,140.118.219.102,885410414,1220223616,-19424,85
huawei,-26,226054070218720,40766714983,2024-09-04 01-52-55,235.187.187.138,-1996320557,ims,37.201.66.141,-670472071,-1480659722,6401,41
huawei,38,226053370757933,40718068085,2024-09-04 01-50-16,20.233.157.56,1087705878,ims,138.236.183.128,843862251,1444435854,-2314,-5
huawei,113,226050081734895,40717202467,2024-09-04 01-50-05,190.213.239.183,1349953538,internet,173.56.108.6,309590437,-160721036,1865,75
huawei,97,226059793558919,40733679507,2024-09-04 01-51-25,142.173.114.97,874197075,internet,154.116.54.216,-1230589153,1640088325,23443,39
huawei,79,226054666804403,40767592359,2024-09-04 01-52-27,246.65.86.172,114017467,internet,14.249.67.61,1265048140,988930171,16918,31
huawei,15,226050962340317,40742300526,2024-09-04 01-50-34,22.254.103.28,822134378,internet,246.88.107.119,1632971440,777683403,24777,-127
huawei,-47,226053476108597,40700239802,2024-09-04 01-51-02,140.109.73.125,-295478634,internet,102.185.127.85,-54360186,-593510801,19025,13
huawei,-74,226056275534486,40732006061,2024-09-04 01-53-17,42.35.125.207,-1418001087,internet,235.123.255.94,1389684943,-12201120,14662,54
huawei,114,226056181036215,40752373810,2024-09-04 01-50-35,175.37.89.120,1206965478,internet,187.183.41.50,-1892104862,-1365134556,-12860,-75
huawei,-47,226057408462939,40734723864,2024-09-04 01-53-29,163.42.109.64,-245761855,ims,34.164.185.80,10133294,878479258,-13442,87
huawei,79,226056472506956,40773326050,2024-09-04 01-53-13,207.40.230.89,1681598864,ims,125.43.238.77,-119502504,276238218,27859,22
huawei,-120,226050590214061,40727589918,2024-09-04 01-53-07,121.214.158.15,-2059992729,ims,64.143.113.164,478536720,529055171,9605,-71
huawei,11,226057460625716,40732937897,2024-09-04 01-53-15,165.171.255.30,-2084590817,ims,230.49.81.135,-2128517022,-772482509,709,-94
huawei,2,226054801990921,40769509272,2024-09-04 01-50-45,25.107.129.153,-1432819386,internet,216.61.63.106,1335846150,551508936,31791,-40
huawei,-29,226050220620031,40784062201,2024-09-04 01-51-02,74.128.186.150,906425413,internet,250.180.42.224,633759764,2073054205,19211,71
huawei,-36,226058874274356,40724601888,2024-09-04 01-52-03,46.22.178.190,987165465,internet,142.163.129.109,-1988827018,-2121676995,397,-88
huawei,18,226057713488426,40791446020,2024-09-04 01-52-25,245.98.138.249,906195252,ims,147.223.182.82,376858139,1793554500,19067,-83
huawei,108,226057907727937,40780686189,2024-09-04 01-53-12,115.125.210.239,1832848138,internet,8.198.79.12,2024145741,-762734048,-3584,101
huawei,111,226056267546868,40709213028,2024-09-04 01-54-55,128.206.55.116,-1536552730,internet,14.73.203.57,-1735143551,882574524,-30711,121
huawei,-101,226056145862283,40747365565,2024-09-04 01-53-57,240.138.9.224,1124380664,internet,94.229.229.111,1304533524,1524358654,-7438,124
huawei,106,226058447489963,40774908927,2024-09-04 01-51-10,140.122.96.254,-449651833,internet,28.144.185.163,2058047623,-1405255363,17836,10
huawei,-32,226056424935934,40774389912,2024-09-04 01-54-01,141.36.164.148,265266990,internet,212.123.81.132,2021190287,-1096038473,-19416,-94
huawei,72,226051168275529,40787885983,2024-09-04 01-51-40,78.106.108.153,292390052,internet,26.48.134.0,1608750481,1376572611,25173,-52
huawei,-72,226051577625184,40778773530,2024-09-04 01-51-42,140.223.225.31,372810496,ims,105.102.122.62,431130648,-1577295543,-6538,-24
huawei,-70,226058760996867,40738858458,2024-09-04 01-52-50,206.131.194.61,-1608852080,internet,209.203.236.189,-1072807313,698027022,31782,-89
huawei,81,226059121240506,40759585411,2024-09-04 01-52-06,110.168.218.44,1472557560,internet,35.171.60.89,-1378646825,818056553,15573,3
huawei,120,226058691072817,40724910812,2024-09-04 01-51-21,221.97.155.49,1799990381,ims,52.157.245.146,-549553972,-1333455451,32549,-57
huawei,23,226050352148960,40721077035,2024-09-04 01-54-15,15.245.170.130,-306280000,internet,35.52.108.198,-1735482898,-1746327805,-23312,-87
huawei,30,226051283206422,40731101814,2024-09-04 01-53-21,227.194.1.29,-1874531650,ims,57.156.99.61,-880492951,-1877327086,-16768,-116
huawei,91,226058976796726,40763881310,2024-09-04 01-51-16,234.43.201.86,-33001840,internet,99.201.139.237,-1776124875,296996464,14725,-23
huawei,-44,226055581230261,40714221473,2024-09-04 01-54-12,22.178.187.0,78199156,ims,86.238.7.44,1206306296,-775968575,10517,-88
huawei,-111,226058520931490,40733390735,2024-09-04 01-51-21,53.212.201.207,1089164415,internet,77.255.38.236,585551402,-442376852,5079,-104
huawei,72,226051548185372,40709424518,2024-09-04 01-52-04,175.229.111.149,1379195639,ims,161.209.225.118,2038033817,538786887,1049,-52
huawei,-70,226052527478809,40784921205,2024-09-04 01-54-16,146.21.18.232,-1700326286,ims,232.45.54.240,344531512,-448760717,-25725,-69
huawei,38,226055895340838,40738843339,2024-09-04 01-50-06,234.167.88.199,-1303346529,ims,30.88.207.185,1833303625,-411151383,752,-56
huawei,-3,226050860986703,40797178738,2024-09-04 01-51-55,69.163.146.135,-1171455626,ims,216.116.133.87,-1338483813,-2135940452,27866,63
huawei,-58,226056708738832,40768527046,2024-09-04 01-52-36,255.80.120.10,-111774097,internet,196.86.64.35,-1200304475,-232975717,-2605,102
