src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-110,226056018226150,40721406262,2024-09-04 02-13-06,216.61.222.20,265828115,internet,2.36.80.205,352778690,-1609267681,14420,-105
huawei,-86,226054689997079,40791007805,2024-09-04 02-14-25,109.26.88.12,-1043272830,ims,142.168.240.66,-420857866,-211094517,-3451,2
huawei,-67,226053794773979,40705822352,2024-09-04 02-12-04,216.106.108.151,-304889648,internet,250.103.28.81,260469136,-1173161846,-4405,-97
huawei,-6,226058962180659,40711985034,2024-09-04 02-10-36,62.81.120.101,449406022,ims,126.65.248.188,-1449449163,1865750268,5489,8
huawei,-124,226057411273906,40719818085,2024-09-04 02-12-44,212.231.80.158,-1912689160,internet,148.95.143.62,1488529375,984821803,3579,122
huawei,20,226056721707397,40735919868,2024-09-04 02-14-06,18.113.136.196,-2073278544,ims,113.229.4.227,102949857,-632489055,3107,16
huawei,112,226058569588303,40779666885,2024-09-04 02-11-33,133.33.105.243,-160432928,internet,85.218.13.102,1125615208,1916007644,-11053,-95
huawei,-81,226053281596302,40779914227,2024-09-04 02-14-15,112.231.172.242,-1072412988,ims,118.85.181.174,259726675,1609738083,-23889,111
huawei,82,226057155179657,40792850314,2024-09-04 02-11-26,103.182.69.72,1341036699,internet,244.162.45.223,670823793,-174717711,14151,-80
huawei,-11,226054307063180,40760492109,2024-09-04 02-14-26,42.50.234.72,-1677592898,ims,14.212.121.88,1370676914,-1180894795,-31411,-53
huawei,-63,226051124575701,40744614479,2024-09-04 02-12-42,39.72.255.110,-1925512872,ims,190.207.162.218,-1073198580,-1899592746,23231,27
huawei,101,226056081376879,40703980357,2024-09-04 02-11-38,35.17.74.146,1616485425,ims,147.33.85.113,544200674,-701223479,-3840,-35
huawei,-2,226052002791891,40745509153,2024-09-04 02-10-56,202.53.32.72,-2045346092,internet,13.132.222.170,-502788071,-1711764869,-31477,-44
huawei,65,226055355241941,40773937923,2024-09-04 02-10-23,98.234.42.13,625697560,internet,62.32.231.141,-794947881,-623633236,-12499,4
huawei,-93,226053485569904,40782453621,2024-09-04 02-11-04,48.34.200.86,-860860726,ims,55.227.78.82,-702604592,1204365578,18620,-83
huawei,36,226056051448390,40783212549,2024-09-04 02-14-46,41.173.217.46,-1399759736,internet,207.181.136.225,-881610062,-1085854259,10264,9
huawei,69,226051990764949,40713379898,2024-09-04 02-12-08,173.88.224.3,134909399,ims,136.227.87.195,1677261309,1421228016,29545,110
huawei,-2,226053651958157,40779891025,2024-09-04 02-10-34,186.162.80.247,1829562181,internet,149.12.231.51,1712571860,766727402,-4933,67
huawei,-116,226056296364263,40726784948,2024-09-04 02-11-23,130.167.179.153,971192044,ims,255.252.190.235,101107448,-856938686,-16537,-14
huawei,-36,226054736680924,40703148359,2024-09-04 02-13-43,208.98.145.159,-2087614928,ims,205.134.109.197,500275845,-1280036949,-26385,-48
huawei,87,226051671007524,40755361696,2024-09-04 02-11-07,239.69.172.180,-1035792440,ims,204.164.29.122,751112943,-994469494,3230,-116
