src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-27,226054309367351,40707852710,2024-09-04 02-27-39,56.45.98.182,-858387030,ims,115.184.119.196,304569309,1514252478,14525,-100
huawei,127,226055920863820,40727806771,2024-09-04 02-25-03,102.237.107.139,-1445988618,internet,33.130.248.253,-775357068,-1399724384,-6663,98
huawei,-80,226055702366566,40724724170,2024-09-04 02-27-41,123.234.247.198,177426310,ims,210.73.122.11,-1574360289,93261491,30762,61
huawei,97,226055797516234,40745215707,2024-09-04 02-29-17,21.34.115.217,404600825,internet,204.16.102.95,949829610,-41118645,-17612,2
huawei,24,226057397556120,40792771487,2024-09-04 02-29-08,44.55.102.236,436302068,ims,88.198.25.34,-491881004,938361780,3911,45
huawei,-8,226058129328765,40770844866,2024-09-04 02-27-44,58.249.7.90,166267616,internet,43.185.88.114,1216242227,758774457,7168,63
huawei,-108,226051949268458,40713904639,2024-09-04 02-26-48,54.136.41.96,-303403083,ims,114.76.115.254,-971708517,1561659809,4310,-103
huawei,-79,226053169739485,40763822619,2024-09-04 02-25-29,85.62.58.199,94611248,internet,76.17.73.50,-928261949,1134971941,-11771,-38
huawei,20,226052626857388,40726170113,2024-09-04 02-27-38,246.12.89.145,-778385931,internet,42.87.41.222,-234944023,-590799586,27627,-92
huawei,-108,226056474789640,40708393299,2024-09-04 02-27-55,76.128.3.49,1184665612,internet,141.94.169.214,1095510513,-2035030201,2669,-52
huawei,23,226053290573161,40753810727,2024-09-04 02-28-29,61.187.161.130,1475364818,ims,235.89.89.49,2125468207,1578628246,-20339,9
huawei,-4,226053265544952,40751693020,2024-09-04 02-28-46,165.181.27.61,1400846690,internet,166.96.38.133,686529611,-1700717080,-19450,47
huawei,-84,226057895743991,40794263777,2024-09-04 02-29-59,246.244.65.23,-1997857437,ims,12.18.101.188,-1149226390,-2113483812,-7455,36
huawei,14,226058895313974,40799899450,2024-09-04 02-25-15,187.147.205.187,-2146493922,internet,210.196.162.248,1876039330,-153640231,-10704,31
huawei,-90,226056096003581,40768299763,2024-09-04 02-25-17,17.37.196.16,1345458602,ims,197.144.35.58,-797484535,1683937718,22548,26
huawei,-37,226051545715155,40799551274,2024-09-04 02-25-53,134.124.8.215,1842167081,internet,137.169.197.196,1376317201,206499427,-11818,-87
huawei,120,226056308711156,40700045202,2024-09-04 02-27-18,183.64.174.30,1901935526,internet,56.25.81.13,-1103965519,1725334813,-26816,55
huawei,1,226056551532524,40723438084,2024-09-04 02-29-26,0.217.106.62,379867977,ims,5.224.86.144,-1829182955,1773538039,9575,-111
huawei,87,226058958992141,40737223480,2024-09-04 02-28-56,170.147.13.54,-915287714,ims,159.2.243.18,1124158089,-349543866,-20294,-28
huawei,-88,226052336224771,40710210877,2024-09-04 02-25-27,176.22.81.130,-21997621,internet,181.20.213.222,-1261909818,-1633776608,-15909,-127
huawei,5,226053685075900,40731599367,2024-09-04 02-29-10,152.176.16.196,860163959,internet,180.75.95.216,-1431358825,-510689467,-18988,122
huawei,-67,226050968208787,40767905953,2024-09-04 02-27-54,235.18.69.37,1908355052,internet,101.16.140.9,146643150,167051650,-14129,20
huawei,-29,226052479526094,40778710488,2024-09-04 02-26-40,109.208.155.227,188699236,internet,207.40.13.210,190988201,1309381416,18694,62
huawei,-41,226058866567084,40748392711,2024-09-04 02-25-13,74.173.245.210,753674711,ims,0.175.83.121,-1509792943,80058841,-12722,-96
huawei,-119,226051172885473,40781932467,2024-09-04 02-25-17,61.222.144.180,1260469985,internet,126.135.186.253,2018903635,1994881656,-15550,14
huawei,46,226057782937243,40748180206,2024-09-04 02-25-23,130.209.113.162,1148153435,internet,2.25.80.251,-1830468595,46526019,32513,-44
huawei,-84,226051535291717,40707907865,2024-09-04 02-29-49,91.177.142.50,221972187,internet,132.87.54.184,-1774832811,-51270739,-23670,67
huawei,-2,226050740738622,40749570922,2024-09-04 02-25-36,158.9.126.66,1826682565,internet,106.134.198.42,1848806391,-255493196,-9461,-102
huawei,72,226055597958905,40789656144,2024-09-04 02-25-37,72.216.185.49,124840681,ims,104.37.159.110,72772836,500068324,-6108,104
huawei,122,226057588193893,40722757034,2024-09-04 02-28-45,5.34.3.102,689865884,ims,188.109.27.247,595111942,1826669531,8395,-34
huawei,38,226058806532493,40787229326,2024-09-04 02-26-11,182.169.159.176,-406674313,internet,23.13.241.127,-545371992,-1155648112,14895,45
huawei,127,226056329732102,40795435832,2024-09-04 02-27-03,51.143.118.158,-1852581950,ims,164.40.170.114,-1403071562,1112781012,-1148,-128
huawei,43,226051941173122,40756143847,2024-09-04 02-29-35,230.171.82.132,-1844495974,ims,168.196.68.49,-633905683,2033749898,-16040,-102
huawei,-67,226054880403150,40780537849,2024-09-04 02-25-43,58.170.132.190,1114264732,ims,243.123.117.61,326534418,-1213151353,-15227,-33
huawei,-122,226052204525257,40719953087,2024-09-04 02-25-25,133.185.246.226,388869501,internet,190.18.162.136,1853855079,190363468,17849,26
huawei,90,226058347458951,40782431687,2024-09-04 02-29-59,10.94.141.45,1223101577,ims,237.74.155.53,764685209,1792710300,6164,97
huawei,105,226051504833189,40798757878,2024-09-04 02-26-09,44.99.206.159,2023320016,ims,175.174.64.149,1483345464,-1455453418,-24081,93
huawei,-75,226058444471204,40741001472,2024-09-04 02-29-07,233.206.53.235,1005067667,ims,27.183.37.41,-1903472819,-89481314,32704,52
huawei,121,226053687170664,40782512472,2024-09-04 02-29-04,68.169.42.19,-899306448,ims,190.37.21.109,-1827131213,-1538605563,-32276,-45
huawei,118,226055562292523,40732022996,2024-09-04 02-29-39,169.19.103.165,1664604544,ims,241.109.136.124,-99396347,604084949,31520,-109
huawei,107,226057569306549,40770931662,2024-09-04 02-27-51,74.26.154.101,-217919884,ims,79.163.179.60,-1310859751,-1723570344,30243,-108
huawei,80,226054333921814,40719816925,2024-09-04 02-28-05,98.68.197.62,-1589650995,internet,38.181.66.125,-247380491,-1872601068,-179,-70
huawei,72,226052207191127,40786949605,2024-09-04 02-27-10,179.41.131.19,-127653125,internet,224.56.78.111,53631872,1469509612,-23478,76
huawei,-80,226053509234810,40757512272,2024-09-04 02-25-25,238.216.90.30,1346874038,ims,142.74.16.191,-59637184,-376137708,-21295,-111
huawei,25,226052323351397,40716634150,2024-09-04 02-29-55,87.208.76.169,-1548763547,ims,249.177.163.10,1474707077,1555484009,-801,-71
huawei,-111,226054034081010,40765273869,2024-09-04 02-28-14,52.193.122.168,-730451726,ims,231.92.117.74,1440395015,1143632982,27146,-102
huawei,-5,226054943382482,40718978228,2024-09-04 02-28-31,213.13.9.145,-957691030,ims,139.214.175.175,-995653197,-308464828,-32336,4
huawei,6,226050504822214,40788036127,2024-09-04 02-28-00,63.171.91.185,1361129250,internet,250.111.89.157,-1845337741,1052095148,19778,105
huawei,-120,226054799728057,40704341718,2024-09-04 02-27-17,249.151.231.155,1327418978,ims,54.198.43.71,1656624627,1866166381,19781,106
huawei,-98,226058075995576,40797715458,2024-09-04 02-26-27,54.40.172.87,1583657641,internet,165.186.190.238,-1549708209,-1313676414,-1398,-98
huawei,84,226055214859423,40700023886,2024-09-04 02-29-38,115.158.25.246,2096356312,ims,13.58.66.146,-1394834549,-1791187805,7244,-58
huawei,-10,226050715221434,40777183792,2024-09-04 02-28-04,75.162.151.47,778065125,ims,143.67.176.81,-2046833041,-485194851,9065,41
huawei,-1,226057806877256,40793882463,2024-09-04 02-25-57,240.1.15.136,-8581605,ims,173.138.223.239,328243179,1513879340,13030,93
huawei,115,226051902459116,40785058577,2024-09-04 02-25-18,180.90.71.122,516582385,ims,128.36.254.203,15864265,524452324,28322,-27
huawei,-26,226050832878092,40727599625,2024-09-04 02-26-58,214.148.239.245,-1050085052,ims,235.179.220.101,-1301041524,-984421378,9346,103
huawei,-31,226050112731413,40701428643,2024-09-04 02-28-10,171.204.86.202,-780549840,ims,87.37.58.209,1953576864,-594738571,24450,42
