src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-116,226052486765234,40711114125,2024-09-04 03-03-08,85.169.96.145,-1141763413,internet,107.151.187.146,-85569092,1064463690,-26244,-38
huawei,-28,226050386021683,40783622334,2024-09-04 03-04-50,214.246.162.160,-1938514278,ims,15.180.80.214,716406036,-449829871,-16316,27
huawei,74,226057795352059,40706308890,2024-09-04 03-04-01,44.232.138.63,-2078719085,ims,177.155.196.114,-1088434795,1935890421,8066,-55
huawei,42,226052073591183,40776792976,2024-09-04 03-01-33,210.49.180.194,1619290865,internet,156.146.27.229,1063798586,-1895762268,31201,-61
huawei,96,226055658658097,40774864064,2024-09-04 03-04-41,102.178.51.87,1903800240,internet,201.10.88.214,-1168807154,1127763762,-3840,-70
huawei,108,226052258407722,40725096948,2024-09-04 03-03-06,11.212.159.177,-319895405,ims,189.229.116.222,-880818482,-1639380299,31635,-90
huawei,-41,226055944968220,40740329015,2024-09-04 03-00-03,77.115.112.32,-980929768,internet,30.28.21.125,-2071803201,7280302,16825,121
huawei,40,226058958916644,40729369825,2024-09-04 03-01-53,206.129.91.227,330414751,ims,166.216.81.209,1695679755,1450549178,15351,117
huawei,-109,226050745331806,40727163777,2024-09-04 03-00-03,63.224.99.77,614021474,internet,121.73.189.224,-224448197,-845085063,-4542,21
huawei,61,226052352875106,40723065822,2024-09-04 03-03-08,13.37.225.141,-1543837835,internet,18.10.230.16,1155928851,1505273723,27153,-14
huawei,-100,226055435805758,40712355813,2024-09-04 03-04-43,64.173.9.199,-1936626394,ims,115.7.103.251,-1899581960,1533193647,-14013,-18
huawei,46,226058008884544,40718922539,2024-09-04 03-01-44,234.244.218.21,-162975162,ims,236.70.255.61,340417483,-1588389702,26060,18
huawei,48,226055831268072,40732447362,2024-09-04 03-03-39,230.35.38.33,723294229,ims,179.158.98.169,1646917630,-1173067906,-31347,-59
huawei,-23,226058832821462,40763136049,2024-09-04 03-03-10,169.34.30.88,28264734,internet,83.176.240.254,1687568273,775304821,-17570,-121
huawei,75,226050513640630,40798617162,2024-09-04 03-00-57,101.80.175.127,-954250478,ims,175.90.58.158,-893393153,-1007708322,29483,63
huawei,127,226054899819973,40700677628,2024-09-04 03-02-55,131.54.13.162,-431201903,ims,178.107.137.159,390755697,1356474711,-16658,-73
huawei,110,226056563791440,40757913099,2024-09-04 03-03-45,131.254.143.55,-1915992832,internet,239.113.217.255,851907905,1543777037,27619,101
huawei,64,226059722154856,40790992404,2024-09-04 03-03-52,133.158.5.33,2072538133,ims,236.8.137.77,-1793716145,1731570927,25658,-8
huawei,-34,226051145037008,40778586764,2024-09-04 03-00-56,173.90.60.83,-1271684530,internet,96.125.156.175,1831377043,-337730646,-1535,68
huawei,-116,226052720397334,40750258890,2024-09-04 03-04-07,253.132.244.247,-1165401579,ims,252.78.72.112,1234228539,-977801994,5971,87
huawei,82,226053891816758,40743051413,2024-09-04 03-04-14,207.150.45.43,-1747388645,ims,195.222.253.177,331600522,-873112482,-10863,-60
huawei,-116,226051742750676,40743313750,2024-09-04 03-01-05,138.224.135.170,-1475415995,internet,166.89.243.88,1429815927,1782491766,-29183,-79
huawei,102,226058249843881,40729663280,2024-09-04 03-02-25,5.233.22.146,-455326001,internet,164.160.99.40,-716505417,-382017284,4602,20
huawei,-32,226058792554954,40778873557,2024-09-04 03-01-50,216.191.203.181,902655098,ims,240.36.158.129,-1017462103,-1692414757,22174,30
huawei,-83,226053357943869,40736818990,2024-09-04 03-00-25,242.79.95.117,-1241337146,internet,10.170.195.136,-1494771028,-600176052,11083,-81
huawei,-68,226059627461873,40798833841,2024-09-04 03-04-29,163.183.198.98,1328042485,internet,86.177.68.224,-1178287543,-1568784925,15243,-125
huawei,15,226054417547331,40733705788,2024-09-04 03-03-52,118.19.237.71,357578392,ims,234.206.216.169,1381867894,183582463,-25838,102
huawei,-17,226052201265005,40725780436,2024-09-04 03-01-57,47.140.191.59,-127225219,internet,7.11.220.77,2009226589,1266706799,-24144,66
huawei,95,226050258108073,40707426070,2024-09-04 03-01-32,141.123.212.8,44132554,ims,137.107.50.24,218629722,1876613442,5462,-94
huawei,32,226058050883372,40708482522,2024-09-04 03-00-43,41.233.182.240,-441370478,internet,232.26.70.152,637658313,-1406808523,-26033,-104
huawei,16,226056420150533,40775307138,2024-09-04 03-01-04,184.221.34.118,-606084752,ims,34.145.193.194,-1218093113,-449235630,-29323,-83
huawei,-21,226052605105967,40716215909,2024-09-04 03-04-57,52.10.121.225,1341961482,ims,243.219.210.58,-1887027000,747507970,5548,77
huawei,-104,226055181729095,40766895471,2024-09-04 03-03-57,163.34.148.105,-441272821,internet,164.238.141.234,2082046171,511668661,2189,121
huawei,-17,226053123149340,40795516777,2024-09-04 03-01-50,85.165.20.77,-1121063393,internet,242.98.131.219,970658194,156219111,12218,-90
huawei,-34,226059484571852,40744679538,2024-09-04 03-03-38,230.219.83.235,512920743,ims,50.119.157.217,-641130707,-1886376052,-16223,18
huawei,42,226056958106022,40759825767,2024-09-04 03-02-12,103.32.149.135,-1913586677,internet,111.125.193.6,1883262972,1865754689,-24791,-111
huawei,57,226056241220996,40788012895,2024-09-04 03-02-37,193.115.201.94,-1680858951,internet,100.184.238.28,1061295255,1655896498,31490,-60
huawei,28,226055134153573,40742828975,2024-09-04 03-03-51,117.120.112.148,1274132797,internet,19.58.210.154,480130211,445756611,-26947,-53
huawei,113,226056845748089,40702515929,2024-09-04 03-01-25,29.222.84.169,1462813140,ims,80.141.161.152,200990443,1369359699,-25007,-102
huawei,25,226054178123720,40751420157,2024-09-04 03-04-21,6.164.147.96,-1065573287,ims,53.210.214.35,1408351059,-480899153,30188,97
