src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-4,226050872970104,40722367157,2024-09-04 03-10-30,103.65.147.193,673516712,internet,98.1.22.204,1293541207,1348096180,-21338,74
huawei,24,226058268331750,40763802172,2024-09-04 03-12-04,36.230.109.150,-1219326698,ims,87.18.124.207,1956647311,-822037412,-17262,14
huawei,-43,226059196276995,40760472093,2024-09-04 03-14-28,195.219.177.189,1537262778,ims,160.179.46.216,-1914782933,232519634,27139,-116
huawei,-94,226057969987552,40729956152,2024-09-04 03-14-07,152.78.208.17,-502554190,ims,150.216.195.119,75026049,1595413149,3930,25
huawei,-101,226059788034704,40742060532,2024-09-04 03-14-12,195.38.236.186,-975948247,ims,11.112.200.203,-581853034,1450360672,-26602,-68
huawei,-68,226055176177468,40788878373,2024-09-04 03-14-04,106.16.130.13,-884027294,ims,189.201.18.83,-2041993945,-163150527,-7912,123
huawei,-54,226053899327904,40700617337,2024-09-04 03-13-40,239.219.14.94,-117191512,internet,207.114.164.102,964672862,1404622983,8526,105
huawei,121,226051611439939,40796697803,2024-09-04 03-10-04,196.142.157.222,-1386596994,ims,143.169.135.235,1950207420,1609413681,7470,-80
huawei,29,226057157424368,40730333603,2024-09-04 03-10-49,172.195.45.174,-273794282,internet,246.36.103.177,1310920922,464617434,3048,-51
huawei,104,226056956057112,40716802634,2024-09-04 03-14-06,163.16.92.23,2074373464,ims,178.66.107.144,1489796719,-1964875197,4975,123
huawei,91,226056009835724,40706499821,2024-09-04 03-10-06,189.201.37.234,640828095,internet,53.11.203.79,1095767316,-393950574,20620,2
huawei,38,226054565270551,40769797754,2024-09-04 03-11-23,175.54.183.222,-1238941644,internet,4.74.208.180,-848390730,1396406811,30680,-13
huawei,-86,226057097230197,40736352553,2024-09-04 03-13-48,100.163.138.92,-665192694,ims,242.123.138.20,-1300997334,-130031543,586,-37
huawei,-45,226057254167899,40767288392,2024-09-04 03-13-01,143.27.57.150,33593399,internet,167.185.89.98,112051614,-1007541831,-6903,118
huawei,-47,226057567537529,40713211462,2024-09-04 03-12-22,223.123.80.2,2114549891,internet,194.155.46.201,2095007306,-898797294,-29822,85
huawei,-24,226059198504919,40724492493,2024-09-04 03-14-34,133.48.6.29,-421306432,internet,43.142.104.44,-725641709,-1890291167,27162,-122
huawei,-3,226057997565678,40725495262,2024-09-04 03-11-56,181.43.113.58,744694424,internet,57.42.162.105,-1459279217,-143007085,-4822,-40
huawei,-65,226059632638520,40759977511,2024-09-04 03-10-14,228.52.192.222,684699922,internet,119.42.243.123,552432384,673466664,2996,-110
huawei,50,226052785449243,40777817127,2024-09-04 03-14-49,214.234.121.151,-1522622887,internet,203.49.36.172,1146514623,-601109662,23637,125
huawei,-103,226051010032955,40725382934,2024-09-04 03-12-16,4.96.32.154,-1866296340,internet,199.58.68.238,719749856,-1573746625,17908,78
huawei,-74,226057380771660,40799599924,2024-09-04 03-11-30,57.148.146.232,349221244,internet,51.175.147.26,1498661485,641786991,-22527,-85
huawei,103,226058964603955,40728130941,2024-09-04 03-12-34,204.253.1.248,1455140308,ims,158.17.159.138,-102802938,-1431376606,22134,-70
huawei,113,226057635062625,40770976182,2024-09-04 03-14-33,8.200.105.143,-647314122,internet,40.248.11.79,-1443711215,720102843,-14587,-36
huawei,35,226057630295396,40704987329,2024-09-04 03-15-01,106.230.238.112,1993879599,ims,153.224.22.174,1185529347,-1211220986,25180,100
huawei,-103,226058662860201,40782435910,2024-09-04 03-12-26,204.175.130.252,898279971,internet,232.100.149.250,-945874183,-1615749425,4925,78
huawei,-93,226055008854288,40754780900,2024-09-04 03-13-59,1.217.132.68,-201740446,internet,219.7.136.217,1891485895,512995362,25284,-46
huawei,79,226052105859956,40715713319,2024-09-04 03-14-24,215.161.191.73,1662309028,ims,76.35.76.58,909783001,-409925142,18628,14
huawei,-6,226055359335028,40701784174,2024-09-04 03-14-31,169.137.64.148,222905834,internet,175.115.18.170,-945585529,-1739780683,10024,106
huawei,-41,226056307672639,40766544037,2024-09-04 03-10-26,105.174.66.238,-1551011437,internet,179.61.195.227,1536578055,1347531265,10736,-9
huawei,97,226050180341126,40786943566,2024-09-04 03-14-02,56.11.161.16,281860906,ims,32.21.249.209,1116201657,1080876266,-16322,21
huawei,-27,226059209894723,40736525780,2024-09-04 03-11-54,100.169.231.14,1370678328,internet,156.101.62.164,-242244604,-1129881282,29380,-77
huawei,105,226054432768699,40719124926,2024-09-04 03-12-36,144.100.247.221,126311935,ims,134.164.175.98,-156828988,-1201347529,26128,86
huawei,-28,226055423741420,40738497484,2024-09-04 03-12-02,93.72.18.95,1060197422,ims,88.99.175.229,212230524,1356987490,-25314,-14
huawei,114,226053094338011,40729736430,2024-09-04 03-14-25,209.197.147.210,605407157,ims,47.156.230.217,-1786778021,1821562476,28886,-34
