src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,18,226058872568452,40711997386,2024-09-04 03-27-07,211.36.237.215,-1482977078,internet,20.136.193.180,-1858897776,1521515906,-18527,-110
huawei,126,226055227857848,40771162727,2024-09-04 03-28-48,102.130.16.106,1840065606,ims,52.115.66.108,643740087,1566344581,28643,-119
huawei,-84,226051164772756,40770158160,2024-09-04 03-25-31,84.124.36.132,232456633,internet,56.155.238.240,76835220,-953041027,-29920,58
huawei,-15,226058503051295,40714591868,2024-09-04 03-27-12,56.88.199.51,-345491683,ims,250.90.108.55,-396292550,2037847589,29027,-33
huawei,84,226055524892789,40788143291,2024-09-04 03-26-48,180.216.170.25,-1174184912,internet,156.13.128.107,1365690337,-741197770,-26209,88
huawei,53,226054350089603,40732347936,2024-09-04 03-29-00,91.105.133.109,-778281095,internet,58.179.94.103,-187285957,-1432565708,-30411,-63
huawei,38,226053567426282,40793595418,2024-09-04 03-27-22,221.12.71.46,2109219284,internet,165.181.156.116,258369317,694485094,393,38
huawei,123,226056210439972,40739310696,2024-09-04 03-28-18,160.238.9.90,568645637,ims,225.36.86.114,1158484455,273061147,9441,-62
huawei,102,226052975100030,40784905568,2024-09-04 03-29-28,51.29.66.122,-918273602,internet,215.38.121.204,-1049383080,441367677,-19056,32
huawei,-99,226054458843302,40709514417,2024-09-04 03-29-15,158.67.248.124,2040820683,internet,0.118.23.226,1650708527,-720598060,-20492,50
huawei,-73,226051290727461,40729570614,2024-09-04 03-25-58,88.77.150.109,1014047228,ims,241.237.53.247,-1361882148,99129849,15413,64
huawei,-99,226051182822109,40798684076,2024-09-04 03-28-07,89.204.221.54,-1012472623,ims,51.107.104.161,-314028058,753438090,-16245,-112
huawei,-11,226053816123402,40714365745,2024-09-04 03-29-25,182.169.235.174,821173992,ims,53.206.185.137,-1320232661,-2089787790,-25241,112
huawei,-23,226058544994056,40756318631,2024-09-04 03-25-54,59.71.76.235,1522892325,ims,96.146.82.38,393261164,-1741888411,-22296,39
huawei,-112,226059764283701,40725701506,2024-09-04 03-25-50,214.198.133.218,-2134987998,internet,197.196.91.4,1989986902,-456378944,-24085,15
huawei,-13,226053346556518,40790477543,2024-09-04 03-26-49,106.242.207.23,-349513967,ims,45.177.235.242,-809568958,-303913063,12776,-59
huawei,-105,226051503853118,40770117714,2024-09-04 03-26-50,33.196.94.244,-1876705476,ims,210.149.131.243,-625068434,140795983,26736,-101
huawei,115,226052813321246,40732219571,2024-09-04 03-25-37,20.23.74.29,-1923112291,ims,112.222.56.204,391129424,705013740,-26317,-123
