src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,82,226055655945022,40741836947,2024-09-04 03-33-08,56.214.78.229,-2030469589,internet,27.64.112.145,1330485377,-57603161,22196,-87
huawei,50,226057781875393,40737134716,2024-09-04 03-31-22,48.89.194.218,465598911,ims,243.100.112.117,-836224363,1366330938,19178,115
huawei,76,226057597008369,40739193261,2024-09-04 03-32-21,227.15.249.169,-940198392,internet,202.1.179.60,-584965998,-490073344,-21793,4
huawei,70,226056133073600,40723089858,2024-09-04 03-31-19,53.254.225.162,-229754774,internet,60.164.170.136,1109522806,967216008,1747,-89
huawei,21,226056196057868,40772919835,2024-09-04 03-32-39,155.168.247.143,-228361254,ims,208.60.73.237,993523203,-472293056,12902,92
huawei,-123,226052340626914,40767339822,2024-09-04 03-32-07,243.188.222.193,-744006172,internet,234.7.180.117,502334783,431768835,-13335,20
huawei,-55,226058759849892,40790367421,2024-09-04 03-32-04,42.241.100.187,1867153001,ims,136.201.27.163,-218167020,-286508470,-851,58
huawei,104,226057478016429,40780198030,2024-09-04 03-30-41,53.217.227.139,-904647907,internet,51.55.238.54,848890025,794440091,20180,-53
huawei,121,226053038540266,40750279816,2024-09-04 03-30-26,127.145.83.244,1163232531,internet,153.12.240.22,1073109073,95248651,-14743,75
huawei,88,226051161990602,40729864250,2024-09-04 03-30-48,183.108.144.149,175938030,ims,147.159.34.195,-1042939644,1543459481,9006,117
huawei,-5,226059859014214,40760298374,2024-09-04 03-34-41,153.129.156.112,-1390578194,internet,71.85.115.209,-2063697319,-2064629396,-9922,-31
huawei,-93,226057942420009,40755390344,2024-09-04 03-30-58,8.242.122.91,-226237976,internet,171.10.2.198,1113342515,1943290513,-32492,120
huawei,123,226058383524507,40732579147,2024-09-04 03-32-20,246.97.91.138,1755393362,ims,86.184.197.33,980495563,-1939477029,-19579,99
huawei,-100,226051149701459,40707707963,2024-09-04 03-30-31,156.26.28.130,818008214,ims,84.115.22.203,485522846,-1670660981,-9212,72
huawei,85,226052663723289,40736927567,2024-09-04 03-33-42,64.123.177.168,172322759,internet,178.132.13.42,323227933,833489362,-2362,30
huawei,-123,226054146561365,40711489557,2024-09-04 03-34-41,140.254.180.57,-875828511,internet,166.130.104.253,-769565363,1595731075,-4586,0
huawei,33,226057562871490,40770239542,2024-09-04 03-33-48,114.136.194.110,826564865,internet,118.248.135.74,1694354428,475319106,-9105,-62
huawei,49,226052293213180,40744743013,2024-09-04 03-33-02,219.100.8.160,-1924637585,internet,133.39.208.103,1127452384,-225269830,-17104,-37
huawei,83,226058418438809,40748627166,2024-09-04 03-30-49,137.128.62.53,-1308430693,internet,164.201.163.96,-348706268,-801126575,31597,114
huawei,-83,226059548551719,40700083680,2024-09-04 03-34-24,183.92.25.16,816473203,ims,214.206.27.232,-1007110223,-1703143975,-31420,-77
huawei,94,226057914594312,40728010315,2024-09-04 03-32-15,33.211.98.10,485243927,internet,81.151.75.45,-361160267,-970428415,6639,-18
huawei,6,226059693179816,40713933774,2024-09-04 03-33-53,15.90.173.58,-926763972,ims,204.132.244.178,-2075302543,1373381285,-12220,67
huawei,13,226055606955798,40747207158,2024-09-04 03-30-25,39.69.188.9,1061120759,internet,127.64.40.107,1271318776,-1508872039,25014,34
huawei,-96,226059676379724,40787580495,2024-09-04 03-30-52,63.80.32.12,-1638835425,internet,79.207.88.1,-1768237539,-1439232566,4657,107
huawei,-25,226058957664100,40791557016,2024-09-04 03-34-23,255.224.135.76,507159055,internet,53.119.14.75,-37907243,-1069797467,-29362,-29
huawei,-118,226056307059807,40721043835,2024-09-04 03-33-31,217.55.171.48,-1350002724,ims,146.17.122.66,1654021210,-1080651706,995,-27
huawei,22,226054581256572,40780542118,2024-09-04 03-32-44,113.222.144.201,1059770861,ims,232.109.218.175,-1827518767,-1886324428,31292,-74
huawei,-76,226051494942160,40772555098,2024-09-04 03-30-17,101.149.121.175,1832382099,ims,89.39.105.56,-806439486,1337691967,13852,-45
huawei,-13,226054267763854,40776110114,2024-09-04 03-34-48,190.180.151.105,-728781990,internet,11.123.57.55,-261134722,2046096744,21656,-113
huawei,-45,226054795749076,40715822181,2024-09-04 03-35-00,240.136.190.121,-332905587,ims,84.140.188.73,-1383567630,-1885177255,24355,4
huawei,-83,226050150083605,40791681141,2024-09-04 03-32-24,11.2.47.239,-1692163202,ims,155.216.219.110,-884570428,-2024269374,-249,98
huawei,-77,226053468796897,40720746526,2024-09-04 03-31-40,139.121.80.233,2065445706,internet,5.225.149.176,-198861094,-978651131,30773,62
huawei,26,226051200200707,40740755977,2024-09-04 03-33-01,2.235.178.64,1142054881,ims,187.146.105.160,650168426,1325824621,23763,-63
huawei,25,226051195886483,40798348655,2024-09-04 03-32-22,149.215.239.252,1487036700,internet,5.98.199.16,-367068008,56696165,-3154,-86
huawei,-40,226057038931073,40761086373,2024-09-04 03-34-29,204.29.109.205,1097865595,internet,217.157.187.248,567100531,130907868,-12648,-52
huawei,35,226052214312338,40789640451,2024-09-04 03-31-12,201.245.29.89,1200714062,ims,22.153.124.161,-1495851502,-925635477,-9674,78
huawei,117,226057151767018,40703260822,2024-09-04 03-30-24,86.215.236.177,-245241344,ims,250.246.224.101,-2117471719,-1881452619,-6338,-19
huawei,-7,226056438738226,40727694746,2024-09-04 03-31-57,235.92.5.52,-1376812422,internet,150.104.7.175,769915773,718951356,-9694,-104
huawei,-18,226053729334816,40771793481,2024-09-04 03-33-01,251.74.3.236,-1545089731,internet,135.249.96.121,1571367362,-1045149355,-25450,-114
huawei,58,226055445419241,40796841128,2024-09-04 03-30-16,129.217.49.139,833663995,ims,99.151.70.81,-1148402186,-12065555,30481,55
huawei,54,226051242298998,40710911791,2024-09-04 03-34-36,54.76.51.119,-1068985929,ims,6.59.134.78,-1266168032,-703063852,-20453,81
huawei,-97,226054595679863,40796746037,2024-09-04 03-32-01,227.209.188.66,-1767504208,ims,187.172.59.113,-1793267581,143708583,750,-89
huawei,14,226056780078580,40793429362,2024-09-04 03-31-55,10.227.46.135,858117716,internet,127.246.162.58,565454172,1685553758,-26480,16
huawei,64,226053616524326,40768660617,2024-09-04 03-32-25,123.167.182.45,1345665248,internet,161.15.199.42,1578366759,-896700125,15029,-17
huawei,57,226059971003636,40730357416,2024-09-04 03-32-12,123.91.109.138,-1730539734,internet,16.45.40.67,-1518771604,2076600032,-11830,70
huawei,19,226058051094054,40730025616,2024-09-04 03-30-23,191.181.148.224,1416803559,ims,21.50.97.144,1521746277,232247215,-22096,-68
huawei,121,226058660244306,40791533219,2024-09-04 03-30-13,225.128.98.240,-1488179020,internet,241.85.136.109,135839615,-1452876246,14350,93
huawei,28,226055825175028,40714510488,2024-09-04 03-34-30,139.135.226.214,615160135,ims,171.152.171.118,-518527739,-607408317,5190,33
huawei,69,226054309713488,40756084195,2024-09-04 03-31-38,254.8.112.205,1163818270,ims,123.225.40.60,-1976307670,-428922457,19051,38
huawei,-33,226057465949198,40737143123,2024-09-04 03-34-06,89.28.161.19,-2018951640,internet,243.233.55.134,402292370,926344869,-17448,120
huawei,-127,226053891032954,40750862536,2024-09-04 03-31-20,199.201.162.210,-938849119,internet,161.67.96.3,863914021,-935845349,-25372,24
huawei,102,226052569335887,40797527503,2024-09-04 03-33-58,172.89.88.224,574582798,internet,5.154.205.86,1599161763,-895531955,-1323,-94
huawei,106,226052840029500,40722564130,2024-09-04 03-30-37,136.83.95.127,-741026947,ims,101.1.180.136,251741770,157541140,12769,-102
huawei,37,226056529727508,40786676780,2024-09-04 03-32-45,129.95.244.55,910645532,internet,129.135.244.143,1507852076,-617691010,17248,-34
huawei,-39,226058001462466,40732470692,2024-09-04 03-34-54,54.144.149.234,-215385356,ims,100.96.164.88,-1948557810,-1250698604,20124,100
huawei,-70,226050159544760,40785943579,2024-09-04 03-34-39,228.181.75.167,-317131582,internet,54.252.24.1,1103070005,-1954205207,-1673,1
huawei,71,226054226677570,40738077549,2024-09-04 03-33-40,61.186.80.22,1669323032,ims,27.159.194.27,2025636853,-80159978,-31447,110
huawei,-2,226058154839832,40703252286,2024-09-04 03-34-31,98.200.37.60,867855575,internet,15.143.229.142,132453067,2049373081,-28460,107
huawei,40,226057440426332,40738409550,2024-09-04 03-33-43,37.132.20.31,-1191099821,internet,100.145.244.79,1524371747,1472688968,18123,-108
huawei,-86,226053118878525,40725181218,2024-09-04 03-32-17,9.239.187.195,535627426,internet,221.231.161.133,-514636071,923073639,5173,44
huawei,85,226053426262365,40708409144,2024-09-04 03-30-02,244.124.32.188,1984304556,ims,170.174.115.115,466706870,316419613,24170,11
huawei,41,226053714249349,40749293965,2024-09-04 03-30-06,98.131.16.206,-659542992,internet,59.200.170.158,310716636,1537655796,21715,113
huawei,47,226056437882954,40774944096,2024-09-04 03-31-55,238.3.121.241,1207520320,internet,89.20.138.53,-1897591751,646673274,-16660,-69
huawei,123,226058494306566,40755051446,2024-09-04 03-31-58,96.157.85.62,1320823883,internet,157.70.143.227,-625004443,-865551241,-26112,-108
huawei,9,226050556830218,40793181147,2024-09-04 03-34-35,31.10.80.149,-1206526888,ims,161.33.129.194,-947532624,1932676113,11063,107
huawei,88,226050054394273,40707001824,2024-09-04 03-30-19,96.119.39.124,591351886,internet,227.22.218.252,870185840,1453703597,18206,101
huawei,46,226055891249129,40702186439,2024-09-04 03-30-04,45.139.200.13,-1098315280,internet,22.104.37.201,-2102132048,820246132,4715,-119
huawei,71,226054507228033,40729551407,2024-09-04 03-31-10,167.190.231.244,812093581,internet,12.11.11.234,-146289565,-155137113,23874,-15
huawei,-65,226056948809162,40729471464,2024-09-04 03-30-26,31.124.137.224,-873284840,ims,117.104.246.47,1344937663,-1846822940,-12056,-66
huawei,39,226053238108960,40728032271,2024-09-04 03-32-07,136.20.54.81,1793478505,ims,232.101.239.134,-2045331415,1584999756,-23115,-64
huawei,-32,226050730870112,40764098930,2024-09-04 03-30-59,143.94.161.254,-258267164,ims,156.201.20.148,-800086731,-696860320,25981,48
huawei,-42,226054635339927,40731744375,2024-09-04 03-32-59,250.79.238.161,-426583231,internet,102.82.13.87,-833204272,-66652073,-25103,-86
huawei,25,226053185969669,40782017952,2024-09-04 03-31-17,48.33.188.216,1180165928,ims,70.32.245.155,1985293246,169703695,-4247,70
huawei,61,226050748336695,40739563487,2024-09-04 03-31-35,21.64.47.2,551245215,ims,204.175.244.173,515875578,1023687529,16869,-6
huawei,83,226055447516525,40781979178,2024-09-04 03-32-35,27.120.50.162,784738039,ims,58.207.190.205,-1398825105,664671896,-19631,-72
huawei,-42,226052729751754,40716654565,2024-09-04 03-32-16,107.19.4.183,107936786,ims,18.90.127.156,-547814636,-824834462,26262,-41
huawei,49,226056736996753,40794002978,2024-09-04 03-34-36,237.36.69.119,1980324261,internet,218.192.40.158,-662536914,1855131603,26938,-73
huawei,-16,226058477620322,40740372285,2024-09-04 03-33-00,35.25.199.200,713326170,internet,216.107.211.0,1948449013,-1767527675,-15532,-103
huawei,-56,226059648580167,40780410870,2024-09-04 03-30-13,243.142.28.33,-622025305,ims,245.129.89.68,1525693442,976227278,22520,-20
huawei,-90,226057876410481,40762016757,2024-09-04 03-32-20,233.25.26.111,-943012806,internet,205.125.207.215,1574427214,-1387665588,-2894,-70
huawei,72,226054930727901,40795404290,2024-09-04 03-34-55,190.76.249.239,1533988504,internet,236.88.145.133,1542414007,107631000,-31036,-21
huawei,-4,226059983552695,40721544619,2024-09-04 03-34-47,187.139.52.223,-128631622,internet,64.138.215.230,77244020,698996169,18081,-32
huawei,-79,226056394778144,40794929733,2024-09-04 03-33-57,105.24.22.184,-1534062013,internet,99.210.175.244,-1626100379,1049254621,-9434,-44
huawei,-115,226051594353803,40747167461,2024-09-04 03-30-39,172.109.213.136,-1297019380,ims,168.184.61.214,1731311975,-389350871,-4356,-36
huawei,37,226059055509165,40702203449,2024-09-04 03-32-07,60.81.232.115,-820181572,internet,34.29.198.75,-1459510487,-1029032422,-12033,-50
huawei,52,226053846844837,40743933434,2024-09-04 03-34-18,68.48.50.91,1424514494,internet,210.55.17.89,1542955395,1658078910,23889,-18
huawei,-108,226050652326752,40796735449,2024-09-04 03-31-38,47.78.239.123,-2116808951,ims,77.21.63.53,-134952101,-1317354118,8057,-30
huawei,-107,226056069923945,40749067989,2024-09-04 03-30-12,75.208.27.40,2145271892,internet,40.172.28.232,-125032894,1532790765,20031,-48
huawei,-54,226056973134500,40759858350,2024-09-04 03-32-49,176.12.47.158,289533313,internet,176.138.228.92,831246384,-835992912,-17080,114
huawei,-49,226052548885612,40754270012,2024-09-04 03-34-08,235.127.66.79,-1179687827,internet,153.217.124.93,1001156818,-2079287805,-2776,-10
huawei,-31,226053902862454,40756213311,2024-09-04 03-33-01,29.185.209.63,1807439261,internet,52.32.147.174,-2106722993,-31509897,5065,-50
huawei,0,226054096451190,40721399434,2024-09-04 03-33-03,34.103.73.244,-625268740,ims,142.220.237.16,-2094185570,1781518326,10585,29
huawei,-12,226059078274257,40720108350,2024-09-04 03-33-26,64.24.184.149,-2110948340,internet,146.242.187.19,1627190734,792080382,-23188,-128
huawei,-21,226050365054740,40721966665,2024-09-04 03-31-30,139.173.118.165,-496987775,ims,175.207.68.39,-1580682179,-1619222805,17325,68
huawei,-86,226057911791057,40730249874,2024-09-04 03-34-29,173.77.28.249,-341220625,internet,129.240.91.131,941985855,-856620696,-9817,89
huawei,-107,226059264078608,40797626128,2024-09-04 03-31-44,202.234.79.233,-996953646,internet,167.22.145.42,1102268326,-1886766234,26540,-44
huawei,-52,226052492903188,40783655362,2024-09-04 03-31-18,209.117.222.253,-519949683,internet,144.4.18.42,570206606,1707574386,3588,63
huawei,-42,226057088226845,40758382227,2024-09-04 03-31-13,245.161.96.222,-618356246,ims,171.118.137.58,-1574934611,2006584977,-3762,0
huawei,118,226057572868908,40700269893,2024-09-04 03-33-26,78.224.166.172,-1708577685,ims,64.243.200.168,269101426,1663648113,-15353,-102
huawei,-31,226055291153178,40740529471,2024-09-04 03-32-38,161.196.112.170,-1490841929,internet,209.80.78.49,-973446433,329034667,-19992,-127
huawei,93,226051749708332,40735464457,2024-09-04 03-34-40,19.41.78.22,1487781631,internet,198.147.42.210,-819394965,-1687301542,19141,-124
huawei,127,226059103868277,40749074252,2024-09-04 03-30-51,31.171.29.176,-1932687654,internet,223.9.34.242,523067029,720038648,-9732,-74
huawei,16,226051121815880,40701863529,2024-09-04 03-34-16,76.35.128.147,379878028,ims,60.73.138.188,-94152204,-1288331317,-30836,-58
huawei,-17,226052688293545,40717970392,2024-09-04 03-32-10,31.252.186.81,-1961092736,internet,45.95.216.250,1512136979,-1597792379,-30134,-38
huawei,-82,226054816868648,40739790210,2024-09-04 03-30-38,152.30.126.92,-1300140603,ims,141.134.48.138,-1051503544,573711627,30593,1
huawei,94,226058863420711,40703769568,2024-09-04 03-31-38,48.28.146.26,-1685683345,internet,203.42.255.127,1914584415,897085743,-9505,109
huawei,-52,226053475577239,40711164106,2024-09-04 03-32-56,89.194.30.38,1000471440,ims,225.66.145.182,-1406241796,729550486,-19611,126
huawei,-105,226059934179322,40787305125,2024-09-04 03-31-38,43.3.14.132,664699391,internet,18.60.164.2,-547752640,1442889095,-24011,67
huawei,-41,226059218287307,40720853386,2024-09-04 03-34-22,90.134.66.200,-989347791,internet,245.59.173.181,365969979,450160582,-21446,-1
huawei,-18,226054749098910,40762706071,2024-09-04 03-30-07,95.17.167.225,854427220,ims,80.126.16.244,1300304697,1717701915,-3983,-61
huawei,110,226054761562253,40791950798,2024-09-04 03-33-41,253.88.239.53,-1522724876,internet,199.110.78.18,1715150005,-826035588,-14893,-78
huawei,61,226052647468052,40739247793,2024-09-04 03-32-50,175.30.185.80,-806768297,internet,234.42.119.40,1682024302,943072946,30696,61
huawei,-74,226058205491611,40795881060,2024-09-04 03-33-21,188.38.66.129,-341744104,ims,190.228.28.56,-1994923898,-779094164,-23120,-63
huawei,-80,226054248695464,40702968352,2024-09-04 03-33-40,222.74.191.174,-13729799,ims,236.72.61.165,-878328948,1984520251,13009,35
huawei,61,226055471437303,40783866398,2024-09-04 03-32-23,47.61.126.47,-1483558324,ims,220.118.144.245,-1895111881,-10603815,-21453,120
huawei,24,226056754728361,40793957889,2024-09-04 03-30-05,132.215.218.194,-1278785451,ims,224.181.79.206,-1942501219,1981890349,-8054,96
huawei,-62,226050518832399,40794234977,2024-09-04 03-33-17,125.222.139.178,-608234417,ims,103.85.17.4,1025240599,-1301972557,13920,-44
huawei,-97,226058966345824,40734986111,2024-09-04 03-31-57,121.74.162.220,-1806515654,internet,57.134.135.250,1439645646,1392492250,-5944,-44
huawei,92,226056924428031,40765989060,2024-09-04 03-34-03,119.88.16.202,1175693145,internet,242.232.228.66,260380143,-532040157,-3637,-41
huawei,77,226052436072308,40755474769,2024-09-04 03-33-17,219.92.158.56,-445605384,internet,239.207.171.141,2047036247,18716076,-19922,84
huawei,49,226051088468761,40702493099,2024-09-04 03-31-28,116.80.211.245,2082640034,internet,140.1.161.40,-199200390,-1655449593,-3997,-97
huawei,126,226051332036149,40798463148,2024-09-04 03-31-36,92.34.25.115,-2121159528,ims,14.29.227.235,1539675937,-286489124,-13044,114
huawei,-86,226056031853795,40784348070,2024-09-04 03-33-30,67.237.203.224,1123081692,ims,36.70.223.56,1992507647,276202273,11894,83
huawei,114,226057249987185,40774433577,2024-09-04 03-34-14,22.53.47.13,1613831578,ims,209.30.163.214,2099497149,1053203202,-11619,-72
huawei,38,226052882080580,40770622732,2024-09-04 03-31-58,134.200.201.15,-472242153,ims,62.14.20.101,-70363284,-1852518112,13721,67
huawei,12,226057348679292,40758380270,2024-09-04 03-33-07,12.11.114.10,-1946209719,internet,186.110.224.216,254332303,629602541,-12045,6
huawei,76,226053839997110,40744774753,2024-09-04 03-31-22,106.252.188.246,1699645329,internet,139.62.196.235,1872780720,892496243,-26342,-62
huawei,110,226058777551938,40703050445,2024-09-04 03-30-12,174.35.89.230,-2110333200,internet,237.143.228.136,-177845522,-1399575728,17637,33
huawei,-60,226052538201028,40731980001,2024-09-04 03-33-44,224.163.143.71,1932904625,ims,202.230.84.195,583439402,1434413611,-24632,-48
huawei,-118,226056177462994,40756274916,2024-09-04 03-34-23,6.24.105.12,308551417,internet,64.71.125.253,1027643747,1267386819,-10979,67
huawei,46,226055341101757,40765122792,2024-09-04 03-32-11,162.232.163.197,-1203256412,ims,162.58.100.18,438142179,-1942600765,-2954,54
huawei,-100,226059944822281,40787989096,2024-09-04 03-34-14,171.169.42.29,364526088,ims,14.241.137.12,1012082014,-1996746106,-16037,-71
huawei,7,226051541768754,40749710395,2024-09-04 03-31-03,176.236.67.54,598232167,ims,81.204.36.196,50635136,-789000258,-7245,34
huawei,-57,226053580169818,40769865549,2024-09-04 03-33-27,191.182.216.250,717025384,internet,119.111.78.178,-650326485,-127406833,25222,81
huawei,12,226050557641420,40740546670,2024-09-04 03-34-52,250.170.221.111,-677581791,ims,54.97.111.109,819368546,-2048730633,-12846,75
huawei,88,226050764097294,40708246662,2024-09-04 03-32-21,118.68.248.23,361622481,ims,126.126.82.46,-268361458,-1237834811,-28864,-81
huawei,55,226059024332401,40733828133,2024-09-04 03-31-16,129.195.61.230,-210563031,internet,251.170.98.60,1437538701,-1715915973,-205,-42
huawei,-51,226054781450346,40735422800,2024-09-04 03-33-45,98.157.251.132,-2032652483,internet,188.66.231.84,1260367016,-2078531196,-12835,77
huawei,-98,226056734697044,40704854634,2024-09-04 03-33-10,166.119.177.177,-1219369965,ims,8.149.23.62,-1606870113,-1985756467,-2161,-102
huawei,-98,226055478211470,40719278499,2024-09-04 03-33-18,161.187.160.36,-696217629,internet,165.73.104.77,884506248,-1107950042,3669,14
huawei,-62,226055533830436,40790804353,2024-09-04 03-33-49,218.212.70.2,-644462542,internet,209.21.84.109,-282066511,-241665719,11229,117
huawei,77,226058651757558,40725154784,2024-09-04 03-32-47,169.245.154.57,601603399,internet,175.110.29.36,1617078170,-2104648942,10433,85
huawei,22,226051372014025,40746532364,2024-09-04 03-30-37,23.71.29.41,-2103360754,internet,114.171.97.19,-1967231596,-1150322237,22396,14
huawei,-31,226059548352255,40791953335,2024-09-04 03-30-03,43.225.92.46,-1107149373,ims,110.121.204.31,-836697416,239163137,-3761,31
huawei,-52,226052614736980,40798733565,2024-09-04 03-34-23,120.21.210.180,-1587385079,ims,251.71.126.184,1913525057,794674394,-29337,93
huawei,99,226055555574017,40773546251,2024-09-04 03-31-44,253.116.65.182,-677196011,internet,244.242.167.24,871522511,1247406729,10150,81
huawei,-5,226051154206969,40706245560,2024-09-04 03-30-28,127.106.90.75,43380573,ims,60.225.191.135,70925117,-1945881002,-17203,26
huawei,-89,226059961116831,40711120297,2024-09-04 03-31-17,230.43.53.216,266388904,ims,240.206.125.148,1296384289,1689565946,32261,-83
huawei,38,226058555761105,40716543341,2024-09-04 03-34-27,193.230.125.93,2036448731,ims,128.89.157.140,-1495791698,-209823065,-3060,-25
huawei,33,226059006385962,40710416416,2024-09-04 03-32-31,223.16.53.47,-2141641973,ims,147.240.231.239,-1315399495,-811412871,-10600,50
huawei,-77,226051107515509,40763978962,2024-09-04 03-30-36,180.40.175.47,-291698659,internet,223.153.255.56,285476172,2011750663,-11759,-82
huawei,-62,226059514473247,40763876728,2024-09-04 03-30-21,255.171.127.34,1102984596,internet,61.85.215.67,1111407516,-2028643803,9262,-4
huawei,-98,226059544414216,40780776104,2024-09-04 03-31-51,128.252.129.68,-376623176,internet,193.157.210.208,798453760,32295531,19869,62
huawei,-111,226050835920501,40705420981,2024-09-04 03-34-44,30.254.136.39,803297106,internet,104.45.89.130,1038969919,-1443234208,-22804,-122
huawei,113,226059776105572,40788780379,2024-09-04 03-34-35,63.247.67.177,1539041050,internet,174.41.197.177,-1751966718,-1772005328,-31835,-1
huawei,38,226051154717438,40778495315,2024-09-04 03-32-53,121.93.157.151,-1763250779,ims,43.223.75.133,-1503999046,-985705779,-31649,-37
huawei,-49,226055661905238,40768011417,2024-09-04 03-30-22,68.111.159.10,-1116769592,internet,245.134.141.223,-800704221,-1889145646,-20176,99
huawei,-20,226054061038730,40791007000,2024-09-04 03-32-44,34.26.23.50,-688127072,ims,25.56.229.205,-1680559747,-695411837,-16292,-64
huawei,-33,226055172760292,40710333533,2024-09-04 03-32-56,207.255.238.194,-868956447,internet,170.110.128.77,332457926,-1843864793,-19553,-92
huawei,110,226059226637871,40776681444,2024-09-04 03-31-17,81.73.60.248,-1540472431,internet,171.122.106.167,-1933599136,403717875,12233,-113
huawei,125,226059599224176,40752414183,2024-09-04 03-31-39,12.9.237.209,363942807,ims,227.111.248.21,1426461031,2004112776,20295,-111
huawei,97,226056373004534,40760492810,2024-09-04 03-30-01,119.55.167.115,-1687090337,ims,154.190.9.23,446171300,-2030867453,2895,38
huawei,46,226054630997293,40708766652,2024-09-04 03-31-48,211.164.220.254,1420960928,internet,13.254.40.67,-174296160,-38951067,-12969,-76
