src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-81,226057711879179,40783836856,2024-09-04 03-37-33,56.247.125.11,1602804808,internet,47.159.10.132,955227186,-862592017,20901,100
huawei,-90,226052844957708,40715875163,2024-09-04 03-39-16,197.73.234.6,-1113177301,internet,62.162.109.33,-696461268,126102791,-20056,-48
huawei,87,226056205734758,40760204605,2024-09-04 03-38-32,138.225.130.68,-701456081,internet,223.205.177.202,-1333645118,-1280313210,11913,-63
huawei,55,226050611442810,40745533823,2024-09-04 03-37-08,174.159.183.163,1495810918,internet,34.33.24.230,-1261420125,2181964,-27630,101
huawei,113,226057989987628,40746166036,2024-09-04 03-38-38,83.209.37.49,484178364,internet,150.200.102.98,-1829528568,-1483691670,-27307,-91
huawei,70,226050986143224,40750238776,2024-09-04 03-35-53,47.14.111.89,-407324560,ims,240.78.18.36,1667457023,2147112508,834,-13
huawei,95,226059694318429,40767160906,2024-09-04 03-39-17,66.8.213.75,-736227866,ims,58.103.58.55,1584838230,-1622080541,-29877,14
huawei,-124,226053528853036,40756215123,2024-09-04 03-38-11,196.150.54.19,475412056,ims,157.82.94.251,745036245,-1464467243,-25427,15
huawei,-80,226056388532676,40788902531,2024-09-04 03-39-00,192.228.91.199,1325326362,ims,66.252.179.43,-1745176640,-1154719181,22579,-103
huawei,84,226054750438952,40764324911,2024-09-04 03-37-35,192.244.39.205,1608769166,internet,94.52.127.153,-1508059553,399119274,9149,78
huawei,-119,226052963395510,40744514922,2024-09-04 03-35-25,125.35.69.36,-2005223403,internet,148.117.182.120,2111676608,2109987006,-22083,-75
huawei,41,226054503594235,40705088368,2024-09-04 03-37-02,253.88.121.139,-1055729254,ims,147.154.131.110,-1145386598,1354895761,7178,29
huawei,-109,226050454629766,40718082467,2024-09-04 03-38-56,218.238.118.18,893884020,ims,204.71.234.255,1370374721,-1580909725,-18483,-70
huawei,21,226057721162570,40757312898,2024-09-04 03-35-34,90.185.195.133,1269492143,internet,239.105.200.239,1784308295,-419925421,2836,82
huawei,77,226051674229738,40716688833,2024-09-04 03-37-27,115.111.31.217,-1293499710,ims,31.118.63.87,349324049,-1820662272,20891,-61
huawei,-127,226053268603804,40704376392,2024-09-04 03-37-26,245.206.181.146,2000072395,internet,184.199.219.167,1321877308,-1874789428,-25234,-17
huawei,83,226055243380917,40725640621,2024-09-04 03-37-36,243.243.249.82,-496836911,internet,62.191.200.242,2037392033,1623591972,-22160,-119
huawei,-6,226052969768019,40784644354,2024-09-04 03-37-32,251.230.36.14,1830161529,ims,96.161.164.62,838986847,1859604918,3077,126
huawei,78,226055234348605,40714952639,2024-09-04 03-37-15,48.162.244.77,-505466725,ims,94.192.31.22,-1133307767,-1381905321,12221,74
huawei,6,226059753761670,40723543085,2024-09-04 03-37-31,102.63.113.16,864439925,ims,158.164.99.236,1977939695,1449450826,1547,75
huawei,43,226058167485275,40796363089,2024-09-04 03-35-08,126.148.233.241,-1996972846,ims,207.66.180.128,177581296,-1040890729,-810,-102
huawei,-61,226053075594077,40738173183,2024-09-04 03-35-46,105.46.149.100,1328172165,internet,246.90.171.122,-40491766,-1907955143,31955,-41
huawei,-17,226055042490102,40769472850,2024-09-04 03-37-20,247.182.30.130,1417046386,ims,43.144.29.80,998964304,-238428137,-20018,121
huawei,-64,226056539211628,40741768862,2024-09-04 03-37-52,236.176.28.80,1352579499,internet,249.160.61.213,-804336620,161400722,283,-15
huawei,60,226052380134606,40744374131,2024-09-04 03-38-59,194.248.105.88,196968305,internet,187.235.194.14,-437045785,-139102805,-9678,-84
huawei,53,226057569378785,40729854403,2024-09-04 03-38-31,161.111.248.180,-843517404,internet,212.146.216.208,486750451,1028094690,-2641,-107
huawei,-67,226055114436234,40768648918,2024-09-04 03-39-17,157.224.159.123,274635008,ims,83.179.7.179,-1596989120,1929679522,6489,41
huawei,-124,226057471839323,40793485985,2024-09-04 03-35-49,227.182.68.36,-1199404437,ims,54.46.50.201,-1699924748,109257980,-29002,42
huawei,-97,226055244096823,40775194707,2024-09-04 03-38-29,12.203.88.198,-232787217,internet,92.39.57.250,-1312383621,-307423732,14307,125
huawei,-31,226057210108124,40704501545,2024-09-04 03-36-45,26.242.210.103,1191504954,internet,105.128.188.59,-308014783,118242324,10346,100
huawei,103,226057838088604,40716160310,2024-09-04 03-36-40,173.108.64.225,880735045,ims,75.177.14.5,989420236,-1247589526,-17286,58
huawei,-14,226055295803702,40710930805,2024-09-04 03-37-29,123.168.53.9,-607666125,internet,225.78.194.128,992721513,-401851682,4343,10
huawei,63,226054058500512,40719827339,2024-09-04 03-38-47,245.133.5.117,624268501,internet,134.143.47.195,-2123303962,-996768606,7156,123
huawei,-110,226054430510996,40731539445,2024-09-04 03-36-21,108.41.242.178,1631940977,ims,155.58.46.130,2066951718,1346526566,20694,3
huawei,122,226055006319874,40720279894,2024-09-04 03-38-27,165.69.168.62,-1153522400,internet,44.155.242.6,-955238750,1621339734,-8103,-73
huawei,58,226056285689655,40725671495,2024-09-04 03-38-34,236.237.162.72,-829969394,ims,42.243.29.43,1501457719,727884322,16507,-77
huawei,68,226054752643425,40712411968,2024-09-04 03-36-36,77.48.119.59,-774300000,internet,91.188.51.13,1696305338,-1171686495,14523,19
huawei,51,226056941771350,40710645057,2024-09-04 03-39-07,28.102.47.98,1318198636,internet,99.199.29.205,940849825,122347563,32259,0
huawei,8,226057297909339,40726191091,2024-09-04 03-37-59,148.81.214.137,-1594029004,ims,106.108.204.11,296350193,1548228478,-7926,4
huawei,115,226051374643052,40770613030,2024-09-04 03-39-13,175.189.222.136,800518046,internet,24.155.108.199,1725612828,1917979078,24056,34
huawei,-81,226051553638297,40759667856,2024-09-04 03-38-45,217.185.167.138,1284932175,internet,25.22.21.202,71852844,-1273613936,23628,-88
huawei,113,226053425607857,40766480051,2024-09-04 03-35-55,224.251.46.234,-874257414,ims,156.97.233.246,-293116456,654937711,-22880,106
huawei,-124,226057170497335,40755023427,2024-09-04 03-37-25,179.217.141.9,73642433,internet,38.225.24.70,-754925054,-285965839,-22243,-31
huawei,-24,226059395378817,40732780814,2024-09-04 03-39-50,127.117.246.128,-1235567588,internet,156.202.65.6,972987806,-1050282547,-11151,5
huawei,87,226052731035826,40790839413,2024-09-04 03-39-26,139.51.197.227,1715816464,internet,34.254.240.174,713452488,228712128,-19869,61
huawei,-8,226052890638956,40722496196,2024-09-04 03-38-17,92.161.80.140,1569643689,internet,188.65.196.119,-609122788,757705920,27042,59
huawei,46,226058775944237,40784500719,2024-09-04 03-35-27,87.214.48.119,830005551,ims,10.210.77.206,304510657,-1080763138,3050,30
huawei,-102,226054570785921,40782066170,2024-09-04 03-36-48,179.148.49.69,-441350218,ims,239.63.119.169,243257265,-1045408980,-21724,90
huawei,60,226058365938414,40703206672,2024-09-04 03-36-05,210.118.38.241,-2055743016,internet,215.29.171.180,1101235674,-1645407351,-15365,3
huawei,-56,226053809256576,40746150004,2024-09-04 03-39-53,163.69.142.113,1769759538,ims,242.165.140.241,1131049973,-213618269,32449,8
huawei,-87,226050446214504,40791002432,2024-09-04 03-37-50,140.2.213.224,355738104,internet,9.219.248.165,-1404211194,-979304258,22399,-30
huawei,-3,226057713613811,40773601595,2024-09-04 03-39-39,64.192.227.251,820291554,ims,16.232.21.204,-1098624633,1618514014,22096,-47
huawei,-112,226051246536527,40788544952,2024-09-04 03-35-54,218.3.40.123,295300688,internet,3.98.104.147,-877908108,1415573402,-20373,34
huawei,-82,226056370214844,40715883880,2024-09-04 03-38-33,236.87.232.35,-678223827,internet,104.123.196.23,-1149921410,1753003796,28583,123
huawei,26,226055287177893,40710685055,2024-09-04 03-35-05,248.215.206.240,1744436316,internet,19.229.69.90,-1918021401,888940827,-32408,74
huawei,103,226053859793730,40758775383,2024-09-04 03-37-27,56.94.136.144,1548452650,internet,113.238.37.78,-801162614,2053949502,9324,-97
huawei,38,226055043722960,40740272126,2024-09-04 03-38-58,45.175.163.239,-176681952,ims,214.217.150.190,2062478367,-1550825950,5722,120
huawei,-119,226056862559964,40729272070,2024-09-04 03-35-43,152.183.90.135,-1924412169,ims,247.230.62.251,1066375234,440606870,10308,-67
huawei,108,226051437586149,40710820911,2024-09-04 03-36-50,100.211.131.167,-667080474,internet,153.194.222.30,-369536698,1322261379,-16152,-97
huawei,19,226055461454122,40739126678,2024-09-04 03-35-51,5.205.83.152,541804676,internet,151.57.49.55,648667077,-1564209877,-1282,15
huawei,-100,226059955600123,40731369256,2024-09-04 03-39-48,203.60.76.93,1369871515,internet,18.232.191.111,-1506380067,979928747,-6151,-74
huawei,-4,226050256616361,40739930363,2024-09-04 03-36-41,66.4.14.252,228211416,internet,218.36.188.35,-1376486299,-2024860706,25924,47
huawei,-76,226052755397925,40702455850,2024-09-04 03-38-19,156.23.48.126,-1245564231,internet,246.54.116.42,1076319702,898025967,22705,-114
huawei,-108,226054374744640,40751103795,2024-09-04 03-36-11,238.159.237.37,1844243652,internet,19.134.220.60,1573336606,1514159294,18362,-19
huawei,16,226059055281556,40747643841,2024-09-04 03-37-07,227.60.50.60,236366817,ims,41.118.254.82,554704848,-1880395403,5959,-6
huawei,32,226057237895458,40792137436,2024-09-04 03-35-48,253.91.37.35,-1657661831,ims,117.192.129.228,-1516876786,-1264429846,-20558,41
huawei,119,226052965973465,40771196723,2024-09-04 03-37-50,51.83.10.139,-216282216,internet,199.0.51.156,-1408217636,185540299,3687,33
huawei,58,226058763895794,40763018435,2024-09-04 03-35-53,45.243.175.2,-842103126,ims,232.133.83.183,-1833469986,725394020,-15690,14
huawei,-50,226056706111348,40752380800,2024-09-04 03-39-00,40.228.204.237,-1909841946,ims,214.195.32.141,-1290098586,1233005844,7142,-54
huawei,-47,226051107279676,40781871307,2024-09-04 03-37-42,171.116.186.51,-1825796855,ims,141.215.41.143,-153566962,-1210650541,-27165,46
huawei,-68,226058002868624,40777213202,2024-09-04 03-39-18,101.135.99.135,-1465561489,ims,78.223.3.126,-243096850,263698305,-30754,37
huawei,72,226052286559574,40733927001,2024-09-04 03-38-04,221.126.49.80,1514062171,internet,251.126.43.51,-2072483155,1178344923,-10364,121
huawei,27,226050724040856,40710691873,2024-09-04 03-37-27,84.203.15.58,740151580,ims,201.231.203.103,-1960168899,1490760452,-26462,70
huawei,-23,226058971963316,40796985547,2024-09-04 03-36-41,61.142.21.184,-792516457,internet,190.12.202.157,2037106328,1398369694,15546,-6
huawei,120,226055184536114,40740344134,2024-09-04 03-38-03,166.116.221.51,-1119621742,internet,198.63.235.51,-1502523250,-98821471,9118,-110
huawei,35,226057349352743,40792083552,2024-09-04 03-38-42,233.71.193.251,30338367,ims,95.130.189.24,406717351,-1652196531,9476,100
huawei,-103,226056349339689,40747049550,2024-09-04 03-38-28,214.123.143.158,-904847821,ims,218.16.107.185,-1207066248,90613145,-22844,90
huawei,46,226055599135657,40702263617,2024-09-04 03-36-32,24.71.139.168,-7087884,ims,194.218.204.58,-1767985589,-1048951521,20883,-62
huawei,-91,226058184341636,40768729995,2024-09-04 03-40-01,241.236.21.225,-1245887065,ims,219.252.235.249,-100480537,557574157,-24379,-94
huawei,-115,226053128775571,40730374046,2024-09-04 03-38-00,186.68.69.122,1427052443,internet,169.143.98.93,-990497829,-1174377897,-8622,-73
huawei,106,226059001102141,40786033539,2024-09-04 03-38-41,214.82.71.194,-1181062145,internet,34.15.137.141,-332233400,-1419278711,24284,3
huawei,7,226051349802283,40728800645,2024-09-04 03-38-01,145.191.124.128,1104737298,internet,6.98.171.215,2061319242,-862126935,18306,-30
