src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,50,226058714511715,40756991125,2024-09-04 03-59-35,114.49.63.242,444563865,internet,167.50.245.127,947772170,-1297717763,-19114,59
huawei,-53,226057619141184,40776083735,2024-09-04 03-56-27,207.217.232.118,-1038496784,ims,94.251.16.62,-1476567004,-553426,25360,100
huawei,124,226057336894926,40750790308,2024-09-04 03-55-13,118.230.73.87,1660965947,internet,226.45.55.191,-830132379,142917895,-13378,94
huawei,93,226059361282741,40717546588,2024-09-04 03-57-12,237.84.83.215,-198299184,ims,240.206.84.149,-1812382584,-1796616706,-25865,-72
huawei,-42,226056185592051,40795972902,2024-09-04 03-57-17,223.136.188.179,787553666,ims,136.233.92.180,-158767734,307453046,-31212,102
huawei,-62,226056401585712,40798353168,2024-09-04 03-57-38,210.76.249.35,-694958450,internet,0.56.67.102,301529936,-1830794935,-22321,-96
huawei,60,226050616826110,40784084277,2024-09-04 03-57-47,233.8.150.129,1396466715,ims,53.212.97.200,-518808019,-1015152943,-14332,-121
huawei,-112,226057712767275,40706237427,2024-09-04 03-59-33,15.65.151.147,-133309519,ims,186.51.93.143,-1809845048,-1886365530,16670,114
huawei,18,226051274531530,40781351974,2024-09-04 03-55-35,122.243.253.46,32499825,ims,246.205.219.128,-374889227,-1083273035,-11486,-60
huawei,123,226059733190244,40703538844,2024-09-04 03-57-09,149.219.39.250,-771127452,ims,174.181.8.231,1222155978,1079062689,-19896,-69
huawei,39,226052468366217,40718540764,2024-09-04 03-57-22,49.168.149.191,1138059376,ims,107.254.113.74,1284687469,-773425443,-2408,60
huawei,3,226051473838013,40708877090,2024-09-04 03-59-20,121.215.137.253,-34310489,ims,83.53.102.71,-269473484,-1368635737,10415,2
huawei,-33,226051193427002,40705143985,2024-09-04 03-58-47,198.200.76.176,-1008842097,ims,8.168.215.148,-436626207,-574683062,21131,93
huawei,-11,226057808350576,40701725569,2024-09-04 03-57-19,46.61.49.14,1451046257,ims,84.158.38.16,1456614231,74684569,-4728,87
huawei,-114,226059253414273,40761263497,2024-09-04 03-59-16,42.156.86.226,-530367396,internet,243.154.125.53,-31496317,720948145,-20456,-64
huawei,-4,226050910432919,40717303732,2024-09-04 03-59-20,16.235.203.136,1271860919,ims,129.181.41.3,1415182503,657982213,30403,-95
huawei,28,226054867419323,40755863046,2024-09-04 03-56-48,24.160.40.251,-1798704230,internet,173.177.8.228,14819212,-1810967386,18714,103
huawei,-43,226054149950287,40743672313,2024-09-04 03-58-01,237.201.129.143,467155351,ims,163.52.187.24,-1412566173,-1392771369,23929,-117
huawei,105,226052625162989,40772053693,2024-09-04 03-57-57,247.29.36.127,393844975,ims,146.32.52.23,2086972906,-1318750530,-23395,29
huawei,-42,226058955329939,40763678671,2024-09-04 03-59-26,118.27.136.190,1547398731,internet,138.196.130.136,-1482403031,-1683097393,-23094,-54
huawei,102,226054742232470,40774815204,2024-09-04 03-58-18,8.246.67.42,-1310710136,ims,25.175.54.197,876195871,1039136624,26955,80
huawei,62,226057090453095,40744158961,2024-09-04 03-59-48,131.199.79.102,135837586,internet,190.140.68.72,-1364036581,752379527,-32649,127
huawei,-62,226059220516294,40760267400,2024-09-04 03-59-59,240.166.143.118,-2048893255,internet,240.31.143.196,1935194893,1369878006,-23847,-75
huawei,121,226050200613363,40766475071,2024-09-04 03-57-43,44.197.149.159,1096882513,internet,202.95.110.27,923300522,2073517266,13134,85
huawei,7,226052572375349,40703451452,2024-09-04 03-57-50,99.216.37.65,-1376276379,ims,120.181.132.250,-2079852210,1030552511,-2823,35
huawei,121,226056274580735,40795086621,2024-09-04 03-55-41,115.137.62.49,-1998378866,internet,230.144.163.11,-1423433966,-624180725,-18162,-56
huawei,94,226057893833860,40704916156,2024-09-04 03-58-16,21.238.36.132,-639753984,internet,195.175.106.253,-133060187,-1802628292,18259,42
huawei,4,226051835352174,40775881574,2024-09-04 03-55-55,3.151.93.32,1322363263,internet,255.66.194.132,-1391206246,1953847735,-5848,-45
huawei,-58,226054639992527,40757172036,2024-09-04 03-58-36,13.207.5.254,-786838032,ims,72.127.95.133,-1660717927,-2020843495,-5858,38
huawei,-62,226056275506798,40761581257,2024-09-04 03-55-35,103.175.56.238,896743412,internet,65.211.34.228,-311007406,-375090979,-22550,109
huawei,59,226059507479958,40711396199,2024-09-04 03-57-05,64.247.122.149,-841623764,ims,81.54.162.228,-447176305,1855605428,-25172,17
huawei,-100,226057764207093,40796035336,2024-09-04 03-56-52,187.233.74.22,-1800874517,ims,97.210.18.200,-570063662,-232431653,6160,61
huawei,37,226051782078249,40714559916,2024-09-04 03-55-53,206.159.134.249,-888973700,internet,24.75.164.10,941965706,503409086,-11447,-64
