src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-18,226053528712961,40772485896,2024-09-04 04-13-43,106.136.114.143,-328566189,internet,169.158.59.125,126588208,-854381365,-31067,-68
huawei,114,226050151096734,40789540670,2024-09-04 04-10-20,193.190.111.117,-1201237697,ims,182.155.36.14,-1221067376,1016211367,7625,-92
huawei,85,226057152625313,40749514960,2024-09-04 04-14-48,69.49.3.43,332792261,ims,161.82.132.121,1120764662,-839673662,-15860,96
huawei,77,226055230662807,40764261471,2024-09-04 04-13-50,168.205.87.83,1199772342,internet,176.163.191.195,-1012614432,-1590856086,5998,0
huawei,62,226054109361792,40796505855,2024-09-04 04-13-25,157.138.132.35,-1404353043,ims,53.13.220.178,-1523854129,1996091437,26631,7
huawei,39,226052398607424,40769108775,2024-09-04 04-14-47,253.10.173.204,-1389025288,ims,236.170.77.54,-1718830347,434724465,25797,-116
huawei,-45,226051141208886,40781057457,2024-09-04 04-14-37,65.225.60.199,905120309,ims,92.75.203.222,27720596,517718703,-23207,15
huawei,-43,226051636404132,40762584143,2024-09-04 04-12-13,52.167.53.230,1759239031,internet,252.172.16.235,1464406822,-388884020,19301,38
huawei,-27,226051168120103,40721799103,2024-09-04 04-10-02,131.71.208.44,-122234263,internet,120.120.121.114,-2119525645,786098180,-28312,48
huawei,76,226059135330829,40763611883,2024-09-04 04-12-28,249.154.5.165,469549188,ims,53.198.118.205,133567012,-1507692592,28163,-110
huawei,-78,226058881736112,40728422562,2024-09-04 04-11-17,138.221.233.8,-1740631322,internet,230.160.128.86,-1659978351,-187636801,18630,-6
huawei,127,226056330430316,40759308197,2024-09-04 04-12-58,235.67.189.12,941128636,ims,190.125.172.66,1681610935,983391633,17239,7
huawei,78,226058600143526,40761476321,2024-09-04 04-14-41,115.1.123.182,-1595560919,ims,15.21.17.75,1872126613,1404662498,8109,2
huawei,1,226054831085638,40764098600,2024-09-04 04-14-12,194.130.226.100,207837341,ims,107.75.127.146,1864024596,-2008602466,4123,-47
huawei,-53,226050383499202,40749620925,2024-09-04 04-10-56,199.227.68.67,-2018436452,internet,59.195.10.12,53022930,-1602481346,-11222,97
huawei,-72,226051816506895,40781792422,2024-09-04 04-11-37,255.252.80.150,1602260387,internet,198.49.250.41,-67677370,834492366,-10211,-24
huawei,-83,226059557192936,40733214595,2024-09-04 04-14-22,221.155.3.143,-33517367,internet,253.118.125.5,612747463,2056095216,22293,89
huawei,29,226052397333573,40758521858,2024-09-04 04-11-40,113.199.129.94,-1842245300,ims,231.123.105.199,1680363394,659814540,-5303,-4
huawei,79,226056437029546,40700091768,2024-09-04 04-13-57,93.125.46.220,1686390528,internet,198.110.58.196,647569959,1719357300,31987,48
huawei,67,226052653559471,40719749873,2024-09-04 04-12-03,74.218.38.90,1466584205,internet,220.224.122.11,648557021,-876715461,23987,116
huawei,58,226057977436286,40716032302,2024-09-04 04-11-45,215.37.224.202,-1958097345,internet,239.205.53.113,2048424198,-615533496,100,-76
huawei,48,226054174665013,40726404488,2024-09-04 04-13-38,44.169.57.210,-518029660,ims,243.225.101.149,-1910516651,-1886908514,-17038,-47
huawei,-11,226054254561119,40743909076,2024-09-04 04-10-17,36.150.219.148,-1884743104,ims,229.60.147.238,614557367,-61710193,-25547,-114
huawei,0,226059328195310,40774564997,2024-09-04 04-11-32,24.212.61.206,1865254383,internet,193.120.114.254,-750010928,1979745225,20236,-127
huawei,-104,226050130978086,40792409288,2024-09-04 04-10-46,252.158.228.100,-1978620085,internet,177.74.41.252,1919794471,875089542,324,-128
huawei,-47,226052188456737,40700176046,2024-09-04 04-14-10,43.174.40.212,1879827084,internet,25.163.153.139,-1482347036,340566206,-21724,-16
huawei,14,226052919303666,40774718145,2024-09-04 04-14-40,152.40.244.234,-981028724,internet,43.153.18.11,1457067724,1506728117,1219,-77
huawei,100,226059423961700,40782724207,2024-09-04 04-12-37,177.217.164.21,-157148633,internet,14.72.147.155,-952071879,-38078015,1082,64
huawei,-31,226053476461497,40788242891,2024-09-04 04-13-19,226.10.170.7,-2126704737,ims,55.224.204.16,-655261098,-313215823,5386,22
huawei,-115,226059366900768,40781866400,2024-09-04 04-10-19,254.190.80.55,1929224010,internet,154.87.152.172,192952506,367575655,1681,57
huawei,-60,226058673105975,40794932490,2024-09-04 04-13-44,174.239.68.70,1270765156,ims,216.148.90.99,1158116518,2056509854,-27291,-1
huawei,121,226055763269065,40736720459,2024-09-04 04-13-07,196.157.116.1,1591272822,internet,56.74.151.251,-1797337524,-2057992200,-28907,102
huawei,-101,226054255933956,40733313375,2024-09-04 04-10-08,228.215.24.158,-441767342,internet,199.70.225.73,-1819081217,550847542,-14091,83
huawei,17,226051590648222,40716133435,2024-09-04 04-11-35,178.48.216.7,1064714780,ims,217.159.209.175,-1736866673,-1357167091,-12852,-44
huawei,81,226055316251685,40704771923,2024-09-04 04-11-19,130.69.101.180,-876580110,internet,39.46.6.190,1791351829,-681146181,-115,92
huawei,32,226052037550402,40719475220,2024-09-04 04-14-04,132.90.40.69,-436800328,ims,168.118.73.44,1122725082,1915382871,3834,-67
huawei,-57,226053298809618,40799989784,2024-09-04 04-13-15,58.102.20.160,-928518818,internet,202.30.155.60,1118281524,-990694891,-14441,72
huawei,-122,226056205310590,40781956212,2024-09-04 04-11-51,224.252.65.193,729666265,internet,167.241.167.38,999456411,1542296474,-17755,97
huawei,-63,226054019226631,40715650063,2024-09-04 04-11-51,137.33.216.40,228013278,internet,200.87.187.92,148417766,941994208,32272,31
huawei,-92,226059346033580,40794706183,2024-09-04 04-13-51,114.39.225.244,-292819750,internet,254.128.21.251,-1242307168,448113685,-17611,17
huawei,112,226053327526248,40715623396,2024-09-04 04-14-41,240.175.214.110,840715598,internet,209.160.187.227,1476469707,-1945871528,18646,106
huawei,-53,226054587806810,40796626650,2024-09-04 04-13-19,195.233.68.140,-449743051,internet,166.184.57.43,-2086368896,1329681458,-27194,5
huawei,124,226052935654733,40779877372,2024-09-04 04-10-49,205.112.205.23,1882247793,ims,54.80.32.184,-1856722692,-66071479,3075,31
huawei,106,226053308575077,40723621192,2024-09-04 04-14-37,185.196.166.183,-920091989,internet,54.219.114.72,487204705,2076591784,-2996,-87
huawei,-51,226052859438727,40764662900,2024-09-04 04-14-29,215.154.167.192,-2032454810,ims,166.119.218.0,-1080885512,1576164684,12764,-82
huawei,123,226059901664405,40706473846,2024-09-04 04-13-01,57.105.12.201,-1852376818,ims,40.141.37.209,-692157370,1492788121,-10722,-85
