src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-24,226053128968047,40742390086,2024-09-04 04-15-13,236.254.109.208,-237216189,ims,128.91.137.255,915933753,-132939888,32697,-29
huawei,75,226051531719464,40740160959,2024-09-04 04-17-46,250.66.62.253,177906009,ims,224.56.110.229,-1229569063,255194119,-9214,64
huawei,-117,226057119121978,40781073677,2024-09-04 04-18-33,52.5.229.102,-1009215482,ims,148.83.19.133,459218454,1922228978,3749,21
huawei,119,226051623838198,40745583406,2024-09-04 04-19-09,91.245.205.213,679374391,ims,191.141.27.100,370951053,-125511666,-25903,27
huawei,32,226054378803335,40761325347,2024-09-04 04-18-01,36.75.231.181,1627437673,internet,204.20.34.195,1755415054,-473881492,-30174,-111
huawei,67,226058903859150,40735760450,2024-09-04 04-18-02,243.68.119.193,-821513692,internet,191.101.172.61,2028925520,781145039,-30452,11
huawei,57,226050908178944,40777042015,2024-09-04 04-18-30,224.137.232.60,-1651515554,ims,157.51.248.177,765457204,1688729026,-13971,14
huawei,-63,226051019257992,40762321799,2024-09-04 04-15-18,228.50.72.177,-400312943,ims,88.128.155.208,1976093010,-218994016,-22536,112
huawei,88,226057617070843,40775218491,2024-09-04 04-18-11,199.168.252.184,-1993178236,internet,218.156.122.162,919350739,868023388,-28025,25
huawei,-125,226056962841752,40741865115,2024-09-04 04-15-36,19.86.121.86,1278314849,ims,118.61.142.59,-204842871,-457485042,-9515,49
huawei,71,226059015924423,40755537322,2024-09-04 04-16-27,251.189.223.121,1974611666,internet,133.142.213.152,1052550085,518499696,27209,50
huawei,35,226053422110150,40739826960,2024-09-04 04-19-03,66.228.15.182,-676074588,internet,7.30.184.75,-486241377,-705936710,1830,-106
huawei,-51,226054835485850,40785992375,2024-09-04 04-18-49,2.77.177.6,-2007901397,internet,204.195.194.32,1463520606,-1801593862,29059,-118
huawei,98,226057539130808,40708348922,2024-09-04 04-19-51,24.5.224.38,-1590944456,ims,18.123.50.247,1360870241,1827553526,-21802,-39
huawei,20,226057864797382,40739023062,2024-09-04 04-15-43,9.63.103.115,1239569733,ims,81.238.99.100,703789997,-1014443543,-1215,-125
huawei,-106,226051167273781,40701838194,2024-09-04 04-20-00,188.79.32.53,1396710518,internet,176.66.139.97,206137401,-1529724650,32327,-4
huawei,-80,226054646977972,40785140744,2024-09-04 04-16-19,162.50.64.95,1156827590,ims,92.250.3.167,-1969592926,226359499,-16943,-72
huawei,-55,226057634200153,40706568330,2024-09-04 04-19-04,22.224.182.113,2115228764,ims,127.172.164.226,1461312464,-1080627630,30115,-22
huawei,-111,226057654667971,40773442337,2024-09-04 04-16-59,154.24.91.84,-833582219,ims,5.61.141.179,-218999963,1953892402,-9559,95
huawei,2,226057579266536,40795081004,2024-09-04 04-18-36,117.72.120.141,-646062058,ims,41.254.135.94,1237629845,553965087,-32005,-49
huawei,94,226056112549281,40764637678,2024-09-04 04-16-56,78.101.111.231,832635983,internet,201.171.176.156,-1474010293,-386896374,-2002,-102
huawei,-44,226051178090110,40793528617,2024-09-04 04-18-36,16.199.202.98,1000426746,internet,180.149.117.218,-1012373701,2076398402,26306,-68
huawei,-104,226051974886042,40772685510,2024-09-04 04-19-53,92.86.173.144,-111344449,internet,51.2.122.68,934194477,1505290283,9042,-4
huawei,126,226056112997204,40781405338,2024-09-04 04-18-56,20.90.95.184,989935326,internet,252.12.205.194,-133064341,-2084707564,-2079,88
huawei,-6,226053121635293,40792009922,2024-09-04 04-19-47,21.220.210.168,-1535948379,ims,14.182.70.154,1327612879,-1298415790,-15000,-30
huawei,72,226058793796841,40741122005,2024-09-04 04-15-29,78.39.107.126,-561168910,internet,139.142.42.47,-900986776,1371477698,21174,-123
huawei,-117,226054006816668,40764319480,2024-09-04 04-15-21,92.157.236.169,547807596,ims,106.85.228.220,249826643,1572703444,-7732,50
huawei,29,226056873185741,40773883065,2024-09-04 04-17-48,34.170.237.154,1386028412,ims,84.140.11.177,1575878978,-952410630,-28569,37
huawei,79,226051532501362,40719246475,2024-09-04 04-17-32,182.92.161.146,1438153545,internet,176.17.150.221,-1820320354,1623044848,28916,18
huawei,-36,226051872047611,40754940913,2024-09-04 04-19-24,117.171.76.243,-146503138,ims,0.132.167.75,957462360,1485890884,1280,-127
huawei,-60,226054292353168,40721989444,2024-09-04 04-19-11,240.221.194.13,-2133417552,ims,87.54.230.147,-1825728560,749086200,-14208,74
huawei,49,226054898737830,40792252499,2024-09-04 04-16-42,48.223.134.214,2090867960,internet,216.103.29.14,-7144160,1510646436,1384,75
huawei,85,226052637178261,40757169331,2024-09-04 04-18-46,37.76.36.115,-1625109287,internet,130.104.61.138,1808215519,1079803371,-32380,-13
huawei,-114,226057283396077,40745252713,2024-09-04 04-16-18,38.229.217.78,-1397300040,internet,162.203.10.200,1362045853,-146788475,-8385,70
huawei,42,226058298738051,40739013405,2024-09-04 04-17-11,37.184.189.90,-1847678184,ims,209.247.94.201,29832388,494938830,-7923,-21
huawei,-29,226054946305065,40732229461,2024-09-04 04-16-34,18.157.3.46,-193517545,internet,96.146.251.153,49196343,-1105550590,-26461,-118
