src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,49,226057810175114,40742147082,2024-09-04 04-24-55,194.241.67.45,1797672976,ims,190.59.102.102,-585803193,-1156974264,-20402,122
huawei,-61,226053357893830,40733787009,2024-09-04 04-23-28,113.222.117.80,-1243011022,internet,161.77.192.143,-1322746208,-2130784261,-9794,1
huawei,-5,226054386098112,40761536224,2024-09-04 04-23-47,76.170.133.32,-1018713746,internet,161.79.49.202,2141808615,1260327960,-28982,-17
huawei,-121,226053255477589,40749066576,2024-09-04 04-22-06,0.126.121.60,1825148180,internet,59.106.164.242,1946290492,152846981,-17522,8
huawei,-91,226054509439645,40758826799,2024-09-04 04-22-39,252.133.243.93,-958723035,ims,175.3.186.82,1084443629,-1214664921,-1784,-93
huawei,-53,226058715017698,40712681334,2024-09-04 04-24-40,26.74.179.183,-356842650,ims,97.215.33.157,-1632035441,-1323691423,10840,62
huawei,56,226055387709313,40797004221,2024-09-04 04-22-40,12.178.190.105,-2145287567,internet,140.210.12.96,-1040273400,-45535793,-23316,-94
huawei,-113,226057744399291,40792843089,2024-09-04 04-21-12,233.93.157.218,-553489631,ims,131.207.254.233,-1290893248,1833536352,12304,79
huawei,94,226054105399976,40762948879,2024-09-04 04-23-38,203.255.238.225,64958675,internet,34.108.43.124,-424989378,501078123,10825,-43
huawei,1,226051223679922,40746645532,2024-09-04 04-21-05,92.177.75.148,711722276,ims,174.143.38.20,-2033973913,-1062503839,-4151,-114
huawei,-84,226059117134718,40758566444,2024-09-04 04-22-05,151.216.166.246,-2022212584,internet,244.185.10.44,-2005323541,337388513,-23040,-110
huawei,119,226059606833961,40795097680,2024-09-04 04-22-01,64.216.153.65,357775245,internet,31.139.191.118,744100075,-872088916,-23385,-21
huawei,-36,226055501049117,40703133273,2024-09-04 04-24-48,110.171.43.143,1538041215,internet,72.130.228.137,717619922,-1297693615,-14132,50
huawei,71,226053370320340,40740064754,2024-09-04 04-24-35,161.85.26.36,251878322,internet,108.148.84.151,-834800278,-1313076484,6145,14
huawei,-46,226056148898359,40775604346,2024-09-04 04-21-21,8.157.50.183,1882041926,ims,75.234.77.44,-280545557,-577998067,24044,-97
huawei,-32,226058793728904,40765280419,2024-09-04 04-24-33,168.132.206.13,1111816479,ims,73.86.185.183,1116772767,615353052,4859,30
huawei,96,226051948929177,40741578546,2024-09-04 04-20-42,3.20.127.5,1187889661,ims,213.202.84.180,72534944,-473210923,-10597,110
huawei,27,226056590820436,40714965836,2024-09-04 04-24-16,134.105.80.15,-27259439,ims,91.248.117.233,-2016203938,-1502145775,4824,15
huawei,64,226059372422216,40752763658,2024-09-04 04-20-19,140.21.237.13,1715171204,internet,111.66.157.58,1354648180,1414790510,-3364,68
huawei,-23,226056680649212,40723202971,2024-09-04 04-22-24,107.252.102.250,198359131,ims,218.160.20.153,-110390881,468770038,-25781,80
huawei,-68,226058638586242,40767888400,2024-09-04 04-20-10,143.180.45.21,-535070263,ims,0.150.39.157,488860235,-918598481,-8862,-52
huawei,68,226053061678505,40730825706,2024-09-04 04-20-43,251.43.172.255,912356009,internet,224.103.14.138,-1638500392,1494279459,8888,-29
huawei,-101,226052103186003,40712414064,2024-09-04 04-20-19,20.190.184.207,1639555265,internet,160.29.7.187,-2008157266,913928560,-18938,28
huawei,-13,226051573859136,40760518816,2024-09-04 04-21-47,151.99.101.164,2011189102,internet,139.132.78.244,68185467,2049269326,-15654,8
huawei,-119,226056591961124,40775433910,2024-09-04 04-24-21,13.225.233.50,-1209115094,internet,49.91.38.241,-439303436,992538062,-8067,-66
huawei,71,226052947488516,40708593132,2024-09-04 04-20-38,217.42.142.93,1633889815,internet,206.23.77.252,240130570,1134330890,-30689,-96
huawei,24,226058038592929,40714406576,2024-09-04 04-22-02,101.17.51.122,-1296286452,ims,39.155.125.218,-817105760,-1084676395,-19390,118
huawei,-112,226054788093995,40776045925,2024-09-04 04-21-53,61.240.98.72,848363896,ims,131.213.168.214,1966556632,767454935,17090,-98
huawei,-9,226054691497746,40726178672,2024-09-04 04-23-23,116.151.243.134,-2110484621,ims,89.82.210.198,-1864632413,1095948682,8805,1
huawei,-70,226053123926764,40731269333,2024-09-04 04-21-13,228.208.127.121,160816294,internet,19.86.254.115,701049082,1447795042,-26662,-49
huawei,-16,226050333900318,40710297817,2024-09-04 04-20-23,143.11.81.124,694313334,ims,243.30.66.221,-1124094192,229475598,-19892,-6
huawei,-16,226057677152216,40703043152,2024-09-04 04-24-00,138.198.117.135,-1632545536,ims,106.180.40.148,-527359097,1989312964,7704,-45
huawei,-35,226058834750590,40700781367,2024-09-04 04-20-52,20.212.65.78,-776154476,internet,118.48.83.160,1636609985,-1630262139,-8334,126
huawei,-25,226059214762347,40739286297,2024-09-04 04-22-34,95.178.58.143,-1260294259,ims,159.47.246.214,-1486968267,-206504850,2021,-6
huawei,-37,226054184210964,40799948456,2024-09-04 04-24-08,214.50.26.175,-1478656278,internet,153.214.159.161,-2044343042,793120238,-21213,58
huawei,112,226054139248657,40778475039,2024-09-04 04-24-38,23.35.145.180,-1037415446,internet,139.15.22.115,192752950,-868217612,20519,-107
huawei,-67,226055693949991,40792446646,2024-09-04 04-22-57,160.124.152.3,20288575,ims,20.226.158.43,981928665,-479741367,9286,48
huawei,46,226050919035183,40732746239,2024-09-04 04-22-08,181.204.114.45,-1816155333,internet,250.92.136.183,1830021839,-2044399103,-24866,-96
huawei,76,226051604053874,40747789349,2024-09-04 04-21-17,63.79.241.10,542331904,internet,10.73.228.2,-1581597457,1102326608,23908,105
huawei,8,226051540111538,40759069772,2024-09-04 04-21-48,146.167.49.69,1419546872,internet,163.134.14.228,-1228345895,1708384968,6595,-94
huawei,86,226056481322102,40749978710,2024-09-04 04-24-39,214.93.121.220,-1973611072,ims,118.95.122.210,618105703,172851490,-967,-11
huawei,92,226056962341054,40756238496,2024-09-04 04-22-33,187.154.173.244,408899429,ims,133.24.86.134,1883030015,-23313171,13080,36
huawei,88,226052547388948,40719965418,2024-09-04 04-22-16,74.21.158.147,1031928724,ims,223.17.147.220,933122523,250852825,4962,121
huawei,27,226056386177636,40733671318,2024-09-04 04-21-10,198.180.16.117,-435930045,ims,174.154.238.178,84069707,2039018299,-8325,2
huawei,75,226050097573839,40764757191,2024-09-04 04-24-41,18.173.124.7,-157684620,ims,245.196.73.192,43289227,1203921573,-11819,57
huawei,-74,226056953231096,40711625475,2024-09-04 04-22-57,37.162.196.199,1072536873,internet,97.208.110.65,784460188,2071562874,18215,127
huawei,33,226051312756406,40778929087,2024-09-04 04-22-08,15.171.125.196,2092489000,internet,165.34.217.118,4752250,1712742375,-10379,68
huawei,74,226059936309708,40715873692,2024-09-04 04-20-43,136.200.7.242,-1529118311,ims,66.231.63.207,1902178442,1115059955,-9495,-49
huawei,71,226056546156152,40701985560,2024-09-04 04-24-21,249.41.194.234,41996187,internet,192.228.206.97,1614594370,1520324767,-17712,77
huawei,-25,226053824116663,40776623867,2024-09-04 04-20-11,185.4.86.81,-1091871314,ims,205.227.177.221,-1235631679,-939030129,-1545,-96
huawei,7,226054344015942,40717542016,2024-09-04 04-22-49,93.27.134.75,1373690957,ims,135.60.85.82,-1661081132,1754093378,14399,123
huawei,83,226058394503990,40716364423,2024-09-04 04-21-38,57.229.223.108,-1853777462,internet,240.197.222.58,-856495055,749007217,8260,34
huawei,-8,226059509050994,40780434445,2024-09-04 04-24-30,58.241.166.254,-1633262196,ims,100.106.111.241,1918591300,1821621008,14556,-69
huawei,25,226053707101636,40774028126,2024-09-04 04-23-41,251.229.222.251,1304622693,internet,133.83.161.214,-1507827746,1211174477,15618,23
huawei,-17,226059751623321,40736202321,2024-09-04 04-24-58,22.15.209.99,-1209524868,internet,24.111.192.125,-66167788,717406169,-98,116
huawei,94,226052899219579,40785753899,2024-09-04 04-24-44,182.39.71.146,830626457,ims,240.160.221.112,-551233071,451823303,24415,108
huawei,-61,226054781500284,40782630969,2024-09-04 04-24-32,151.109.204.110,832138633,ims,244.201.70.121,-2088321437,1924702598,32148,57
huawei,62,226055151313679,40783550487,2024-09-04 04-20-44,193.184.198.144,-843614784,internet,106.142.159.138,-852498754,-366136023,26608,-21
huawei,-85,226053607802850,40715055258,2024-09-04 04-23-54,222.104.205.200,2117840368,internet,124.168.184.135,-162607861,-741392585,7159,-89
huawei,-91,226050177797807,40701772185,2024-09-04 04-23-32,6.74.141.235,-585606310,ims,133.225.88.139,-263639661,-1975060412,27521,-39
huawei,-109,226050951906436,40715608438,2024-09-04 04-24-41,176.234.31.185,1883866609,ims,116.234.34.240,997506833,-239471970,29837,-116
