src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-22,226055510485169,40795408142,2024-09-04 04-25-48,57.184.167.1,-575789975,internet,37.52.235.128,147345394,-1193803598,1311,47
huawei,61,226058022160798,40790054981,2024-09-04 04-25-44,119.186.29.109,586154929,ims,109.253.65.126,1202512295,2039232994,15960,-55
huawei,74,226057019539474,40778533056,2024-09-04 04-25-32,51.181.32.190,1333934127,internet,117.242.192.186,-13080879,486159633,-16245,-21
huawei,18,226051022543762,40765588088,2024-09-04 04-26-36,152.110.109.232,-1622588446,internet,160.152.90.185,131404585,560081523,10981,17
huawei,-71,226055683329277,40727946323,2024-09-04 04-25-24,157.64.29.249,192443844,ims,239.25.252.91,1935173935,-352900554,26014,70
huawei,90,226053320322722,40708335601,2024-09-04 04-27-51,248.221.170.109,-1984889254,ims,128.188.187.170,-836926820,382813253,-26628,79
huawei,-7,226054959042770,40781444730,2024-09-04 04-26-25,86.118.69.99,-919181980,ims,236.243.38.28,-1217420453,645069759,26667,114
huawei,-91,226055898914448,40778510056,2024-09-04 04-25-11,101.94.231.21,-995669450,ims,141.15.216.144,-1038933440,1621077239,-4643,102
huawei,-102,226056896803964,40708232264,2024-09-04 04-26-44,21.29.221.236,705743028,ims,158.181.148.230,596094716,-227439312,16411,-98
huawei,-5,226052176772733,40748332777,2024-09-04 04-26-38,3.230.149.93,715782140,internet,136.230.120.198,538543501,-41894373,-30493,17
huawei,120,226056668490883,40730391692,2024-09-04 04-25-21,68.28.75.105,-1765742178,ims,215.187.134.103,-1792573261,355043365,15332,-128
huawei,-88,226053790651944,40758880184,2024-09-04 04-28-01,24.91.146.195,-712221188,internet,93.105.249.69,-1082629033,-2051830559,-25009,-87
huawei,-33,226059401902331,40787174286,2024-09-04 04-29-29,63.165.85.73,-514981980,ims,58.211.34.135,-1856705497,1617938441,-2937,23
huawei,28,226052418720492,40775003580,2024-09-04 04-26-06,7.129.176.68,1928494572,ims,138.50.60.110,1263170323,1368712771,13856,-87
huawei,-88,226055551457170,40737415035,2024-09-04 04-28-07,70.218.14.40,-386707682,ims,32.147.51.85,-1348809764,-77531704,-13363,-128
huawei,94,226052909196911,40773076632,2024-09-04 04-27-20,159.133.148.2,843744658,ims,198.3.21.0,2000449921,-1236521426,23820,27
huawei,-88,226053144282964,40752368165,2024-09-04 04-28-12,192.211.65.28,-134866422,ims,176.160.241.1,427195143,1106031076,15555,76
huawei,81,226050660347583,40701265621,2024-09-04 04-27-09,103.177.165.242,1537983964,ims,126.160.88.143,-928024494,-1171059515,-29458,107
huawei,-51,226054192830856,40709835987,2024-09-04 04-26-45,237.5.44.40,-1009977606,internet,4.96.166.183,993305894,-1982961914,24587,20
huawei,-60,226057745608529,40708961977,2024-09-04 04-26-43,205.168.3.23,424395029,ims,103.54.184.75,-89914380,1349277871,17159,-68
huawei,-13,226057483338119,40769018035,2024-09-04 04-28-40,49.125.240.173,-423485784,internet,43.15.155.73,1585803963,830804659,11223,75
huawei,-79,226055151977063,40796721756,2024-09-04 04-26-13,46.129.78.29,621104700,ims,140.33.105.233,-360015001,-93562715,30688,100
huawei,75,226059161657294,40760401664,2024-09-04 04-27-26,4.164.130.50,-300230186,ims,248.245.129.24,-1845536814,-1871260116,9006,-113
huawei,98,226056331253243,40721261403,2024-09-04 04-25-10,29.106.107.167,-1573244225,internet,89.35.179.176,1700116328,-862485433,-29716,-119
huawei,25,226050151031246,40749613896,2024-09-04 04-29-21,158.202.109.142,-762733786,internet,235.173.149.228,-1667781249,263503924,-19590,-82
huawei,124,226058024347205,40711243528,2024-09-04 04-25-56,139.177.65.245,1113039353,internet,244.152.42.12,-1836560546,-978776155,-23920,7
huawei,-93,226053067491383,40718390856,2024-09-04 04-27-49,9.118.227.93,1360166337,internet,182.17.140.172,307775458,1240924561,-11257,70
huawei,-51,226052045305709,40715442047,2024-09-04 04-29-26,66.22.138.59,-243733518,internet,128.89.172.97,1026828648,-694370084,5201,-92
huawei,80,226053962930928,40768629995,2024-09-04 04-27-06,184.172.60.127,340090371,internet,78.35.42.252,-315308600,-1350339008,-8721,-125
huawei,-96,226052588718788,40791296285,2024-09-04 04-29-37,166.123.194.238,1835381047,ims,61.29.19.254,-994810563,923962311,25651,-16
