src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-71,226051603203766,40742317182,2024-09-04 04-36-43,210.47.145.195,196483354,internet,230.229.125.10,1382718057,-1008732048,-20346,80
huawei,-100,226050777794003,40731407626,2024-09-04 04-39-23,225.11.177.63,-1190120583,ims,249.116.110.160,-1404960410,1423653894,20700,113
huawei,38,226057222656258,40746677030,2024-09-04 04-37-50,99.81.115.179,-708554735,internet,99.41.186.93,-1518953257,-42208515,8534,21
huawei,41,226053165811003,40705927572,2024-09-04 04-39-30,178.62.167.186,678470165,ims,143.67.19.147,-944985038,-1462855356,27893,-46
huawei,-107,226056133780646,40712833180,2024-09-04 04-38-14,21.229.115.176,1492712929,ims,81.193.38.45,1292566319,807121369,-8687,101
huawei,-4,226057362250602,40702857983,2024-09-04 04-36-02,140.247.1.63,2039487699,internet,181.153.134.64,1533102203,1994509,15046,104
huawei,-50,226055694402612,40741386653,2024-09-04 04-39-05,71.101.106.26,37117690,internet,12.202.231.88,1262663025,1922664909,-10909,-37
huawei,-108,226051000659431,40738586287,2024-09-04 04-38-41,222.186.90.208,230207376,internet,27.219.176.87,208879285,448503,22396,-9
huawei,7,226055798416677,40767624009,2024-09-04 04-35-28,51.80.67.153,1339530705,internet,63.161.8.74,715149883,1846288636,22293,53
huawei,17,226058677733534,40735264247,2024-09-04 04-36-16,14.233.235.197,-666322988,internet,68.1.252.1,-2141816503,848518594,-1506,-120
huawei,52,226050084953947,40773910623,2024-09-04 04-35-16,47.78.83.24,223754758,internet,170.175.141.253,851716705,-552804032,-29422,-47
huawei,-115,226052766125289,40708380909,2024-09-04 04-35-30,199.31.20.6,2028420502,internet,114.194.80.31,-1723419658,-210196186,-21598,0
huawei,71,226059738222474,40737083400,2024-09-04 04-36-18,217.112.139.4,923295149,ims,159.254.177.201,1790220950,1578173969,22035,92
huawei,-113,226051768787607,40712621942,2024-09-04 04-39-27,132.255.102.177,-1975026637,internet,0.114.191.96,446958393,-449237283,8873,75
huawei,91,226051179776387,40731900534,2024-09-04 04-36-04,239.147.147.232,759020752,ims,160.78.191.4,244582188,-343049443,2341,37
huawei,-72,226050460801079,40775250061,2024-09-04 04-37-47,133.62.221.197,1176047102,ims,242.82.110.228,820686803,1781793110,-22313,53
huawei,14,226055499188761,40707647565,2024-09-04 04-38-42,93.52.182.119,1529070238,internet,131.124.65.110,-602494235,-1942298319,27237,-105
huawei,9,226057282613168,40717776770,2024-09-04 04-38-03,12.125.158.99,1038141991,internet,78.59.254.189,-21240633,17782473,29170,31
huawei,-49,226059492642312,40757218733,2024-09-04 04-39-48,234.98.188.62,1767735152,ims,106.175.250.18,-1332364686,-482623077,24794,65
huawei,-116,226053555075805,40748647966,2024-09-04 04-36-17,41.134.96.249,682419390,ims,15.51.191.197,-1277745341,-1925890562,-19315,-62
huawei,26,226054807387122,40742794349,2024-09-04 04-36-21,7.23.223.129,1447351875,ims,186.15.94.155,-194099779,-2139883347,17982,32
huawei,-66,226059329839808,40727136333,2024-09-04 04-36-16,111.60.232.113,-135804559,ims,191.34.83.93,1948183478,-340712431,10581,106
huawei,-90,226055887146888,40769551111,2024-09-04 04-37-21,244.76.195.64,-1240557137,internet,68.161.237.133,-2078102365,1307145801,-14948,63
huawei,-14,226053779103000,40716733540,2024-09-04 04-39-31,201.66.222.250,1988911718,ims,224.33.2.48,1537104402,-1926393096,-16361,-48
huawei,-86,226058104507843,40710707235,2024-09-04 04-38-30,193.145.55.152,-769714733,ims,240.221.250.200,-247780784,1957760809,-15355,-9
huawei,-20,226057226592426,40752896602,2024-09-04 04-36-38,131.11.133.188,965948793,internet,53.77.15.144,1829238398,-1760217799,-9175,-32
huawei,73,226053921286581,40737779801,2024-09-04 04-38-13,117.56.197.229,343403806,ims,188.104.229.238,1075265029,-1904386164,5765,75
huawei,-72,226054135177049,40753031610,2024-09-04 04-39-06,250.3.70.73,-1151189842,ims,223.52.78.197,-1409696385,573696364,14220,97
huawei,80,226055796045836,40720068849,2024-09-04 04-35-02,48.82.16.176,329280950,ims,7.200.229.106,374416454,1042961496,23844,-54
huawei,74,226052133271422,40779593113,2024-09-04 04-35-35,89.21.126.150,1346329382,internet,100.135.118.208,-793400173,921999953,-25150,-69
huawei,-95,226050189469213,40715041898,2024-09-04 04-36-15,123.116.39.23,-1847172901,internet,172.153.166.35,-1936702740,1765573755,-16842,89
huawei,48,226051132130048,40742098291,2024-09-04 04-36-32,4.154.172.51,1759876309,ims,43.6.240.1,1401850671,1173499184,-30369,-70
huawei,115,226055572819716,40757052949,2024-09-04 04-36-35,158.228.43.62,314105559,ims,227.191.85.9,-263149141,1688585113,14001,-2
huawei,-128,226058995798912,40796061150,2024-09-04 04-39-31,93.143.70.201,938261096,ims,104.126.172.158,717444797,-1098007098,-10022,-5
huawei,74,226057447826167,40796246934,2024-09-04 04-38-46,130.141.180.215,482421152,ims,180.95.228.77,1126611027,-1600515433,-7976,-113
huawei,-127,226050441116129,40790577906,2024-09-04 04-39-03,158.219.151.4,-1005241531,internet,193.32.119.21,-357629991,200186761,-25096,-43
huawei,127,226050939374285,40739421653,2024-09-04 04-39-00,1.61.230.30,-164305517,internet,58.121.97.227,1955767874,-1747615873,-31620,-70
huawei,-3,226051729120110,40792632901,2024-09-04 04-37-10,103.254.119.218,-2051324835,internet,135.134.193.118,1278109883,-1926257440,-26446,-109
huawei,-13,226055560502720,40712871620,2024-09-04 04-39-21,117.89.181.91,992905864,ims,93.114.243.106,61470697,1771214837,-1363,-36
huawei,-39,226059160426922,40750396073,2024-09-04 04-39-30,143.219.146.158,-1150137343,ims,86.247.108.222,-1734675778,-2064582002,4332,-48
huawei,125,226059009399223,40783208478,2024-09-04 04-35-54,225.243.27.149,-1579384499,internet,69.85.85.107,1072755011,1144589690,-8165,-127
huawei,-87,226059744017374,40723844967,2024-09-04 04-38-43,116.197.246.235,464549734,internet,186.97.163.168,754400151,1919589793,30762,34
huawei,60,226050625697658,40773961210,2024-09-04 04-35-58,3.95.104.22,-542614834,ims,189.248.191.172,-1015968004,-1367843027,4365,-39
huawei,-102,226054470834733,40701286363,2024-09-04 04-36-12,70.145.216.51,2022983205,ims,168.42.12.71,166844470,-453577034,-15288,38
huawei,-26,226053257015648,40749217449,2024-09-04 04-36-55,213.167.187.210,-1319769478,ims,140.141.56.12,796318976,-593339479,30152,-89
huawei,29,226053859787064,40728227695,2024-09-04 04-35-06,31.238.83.8,-1169731158,ims,206.195.144.55,632752663,1509547759,2034,-91
huawei,-29,226051088909639,40723089354,2024-09-04 04-37-50,22.162.168.137,920881557,ims,239.217.207.148,980997062,-36102508,-28186,121
huawei,104,226055670083217,40794347978,2024-09-04 04-38-49,13.23.75.235,1709212261,internet,227.15.85.115,1957704504,-120728976,27983,-122
huawei,29,226050125883997,40736415710,2024-09-04 04-39-25,235.39.242.220,-2142917105,ims,127.214.179.129,-1154928522,1358661198,-10335,-56
huawei,-41,226054729184615,40782243725,2024-09-04 04-37-29,129.140.213.66,832263245,internet,127.116.250.219,-981718728,861537109,8465,30
huawei,57,226056298620764,40713207474,2024-09-04 04-37-43,151.0.90.152,1935824017,internet,36.120.149.66,2061210231,-1494105812,-3854,68
huawei,-21,226055519336386,40737227222,2024-09-04 04-38-28,50.237.171.196,-1788984219,internet,142.46.242.217,-1279497353,1361493274,-350,7
huawei,30,226055236146044,40711747611,2024-09-04 04-38-29,121.12.236.154,1587837413,ims,132.80.116.92,475852893,-169481350,30675,96
huawei,-25,226052734267805,40776226457,2024-09-04 04-36-45,213.248.192.65,-774563635,internet,162.137.113.60,1889355845,-1121061824,12313,52
huawei,117,226051757457555,40767598432,2024-09-04 04-35-32,107.138.178.246,-231863266,ims,64.239.7.60,-1196793165,226544647,-3741,-66
huawei,-36,226051482395419,40729414568,2024-09-04 04-37-08,116.235.134.103,-675415903,internet,125.51.169.112,-1008735985,1473735856,18146,-63
huawei,107,226059263104082,40727624144,2024-09-04 04-38-46,227.166.76.12,-758076701,ims,175.115.118.222,-411881516,-580173844,-24602,5
huawei,-64,226052725000400,40720742865,2024-09-04 04-38-25,174.33.22.216,359237322,ims,227.24.248.53,598234990,1472689120,30990,32
huawei,123,226051068062572,40768386677,2024-09-04 04-37-20,109.63.92.252,-1490500211,internet,32.205.127.61,-143677459,-1962884122,-9073,48
huawei,52,226051192392283,40796919404,2024-09-04 04-35-08,19.160.67.111,1444723773,internet,109.226.214.128,1332772617,53095952,-30495,-49
huawei,-105,226055886760579,40720216039,2024-09-04 04-39-08,190.125.128.53,-1460502380,ims,139.246.252.245,-1138101350,-484154439,-27916,21
huawei,-57,226056027292925,40715340962,2024-09-04 04-37-38,225.255.39.99,1214862195,ims,177.2.162.62,1358029068,-438024271,-17420,-52
huawei,-33,226053905428635,40715351267,2024-09-04 04-37-17,191.88.149.174,-1542156751,ims,198.54.96.159,-706120080,1052422850,27837,50
huawei,23,226052056405894,40787416637,2024-09-04 04-38-34,90.94.236.84,-2087794439,ims,143.139.178.210,861899712,1340313278,22521,19
huawei,83,226052260414814,40766011576,2024-09-04 04-39-57,33.161.120.155,-2058732708,internet,140.86.156.246,-352173826,-1115134391,24059,-59
huawei,120,226056531238849,40771156530,2024-09-04 04-36-34,158.29.162.104,-1185839967,ims,123.108.89.105,1890284267,-2059464392,12648,-126
