src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,28,226056512242137,40775929140,2024-09-04 04-46-37,118.245.221.106,-1213663331,ims,77.124.155.106,-35143127,733913160,-30248,-114
huawei,-46,226057076527597,40709758899,2024-09-04 04-45-10,173.156.232.143,1934012792,internet,184.70.22.239,1386012309,-1478245485,23988,125
huawei,-34,226055001332305,40795927787,2024-09-04 04-48-01,114.178.172.161,-1833982611,internet,120.171.151.54,392418416,167150856,8,74
huawei,-76,226052478808209,40755279102,2024-09-04 04-47-41,127.128.151.237,958830695,internet,63.168.27.211,-53961677,787137808,-3343,16
huawei,37,226051930707960,40783034484,2024-09-04 04-49-06,227.156.183.129,-817211130,ims,158.225.126.246,-1771077729,1908815940,27889,-86
huawei,58,226050268580399,40754476076,2024-09-04 04-49-08,180.10.128.247,1735407262,internet,36.78.253.83,-1045875612,830880038,-15642,34
huawei,-80,226052600376457,40724151801,2024-09-04 04-46-20,167.15.189.247,-482987684,ims,113.251.184.162,2062186054,209783868,8319,-11
huawei,-13,226050289360989,40729612848,2024-09-04 04-48-44,97.147.76.80,1331825963,internet,54.40.78.147,-395289118,-2122809935,14646,-71
huawei,-35,226056566363763,40781930307,2024-09-04 04-48-46,4.236.75.82,2105582673,ims,161.4.53.143,283792724,-247483253,-12342,-72
huawei,55,226054127264521,40704871979,2024-09-04 04-48-00,160.33.9.74,-1185072700,internet,158.91.190.222,-38052355,1138798695,-29609,-88
huawei,1,226055738076598,40758068707,2024-09-04 04-45-42,186.211.80.190,-190288017,internet,22.208.88.187,-1101521670,-980016273,-1331,-88
huawei,-19,226052212267561,40741240500,2024-09-04 04-48-01,190.38.20.61,-1335996698,ims,52.204.199.113,-1855545836,116319061,-24678,11
huawei,-58,226059187198469,40740429198,2024-09-04 04-46-58,155.151.33.92,-1132348661,ims,85.127.117.210,-31296758,1845109504,-24440,40
huawei,62,226055497078028,40742769997,2024-09-04 04-46-08,172.72.26.50,106003320,internet,208.103.46.244,2111261115,-373382332,-649,-110
huawei,-77,226059445473751,40709598521,2024-09-04 04-49-29,64.104.6.135,1929066464,internet,147.155.158.2,-873728637,949163205,20862,-58
huawei,107,226056929206030,40766617104,2024-09-04 04-48-13,253.112.133.255,1438446779,internet,26.221.225.160,1220093630,-1778029548,6151,-91
huawei,48,226054717905008,40707337423,2024-09-04 04-49-39,34.102.202.229,-741663905,internet,112.19.214.39,-869511255,291070961,-13284,-111
huawei,-93,226056337837205,40710083936,2024-09-04 04-47-04,38.161.182.145,417776698,ims,14.60.27.105,-546913357,-1959948402,-7865,113
huawei,49,226057580164977,40721705749,2024-09-04 04-49-33,124.0.118.103,158142852,internet,218.226.0.22,2016490725,1551949564,15678,-53
huawei,-4,226057288792836,40770521769,2024-09-04 04-45-43,231.6.47.224,-690693392,ims,213.233.86.1,199791119,-2043517185,-23923,28
huawei,2,226057443451446,40732289515,2024-09-04 04-46-45,84.30.146.122,-829144374,ims,28.87.36.144,-1826032648,-1180360285,5940,20
huawei,22,226055180116668,40760735911,2024-09-04 04-46-28,204.26.240.24,-487012933,ims,164.84.241.252,2036170929,1890082935,-15231,106
huawei,-71,226057545639812,40740390364,2024-09-04 04-46-28,22.1.127.39,2127674994,ims,237.210.22.4,570522987,1529163480,8057,35
huawei,-67,226050144694978,40753015884,2024-09-04 04-45-47,244.217.235.21,601306418,ims,132.70.184.2,-1268191724,-1541980701,25434,55
huawei,-4,226059292730610,40725158532,2024-09-04 04-49-14,46.142.206.163,-266460138,ims,235.143.218.67,1502995807,-1646003281,-19295,88
huawei,-48,226050419500826,40779785295,2024-09-04 04-48-52,163.184.136.62,56554176,ims,181.42.148.101,2069622864,-917941889,-32485,-102
huawei,-118,226056485456291,40761562972,2024-09-04 04-48-57,143.246.3.54,-1942978459,ims,204.151.113.209,1757964469,1743025394,-17648,96
huawei,-95,226057145196999,40700782995,2024-09-04 04-48-02,166.25.224.233,-1547213247,ims,116.136.9.173,-127172954,555060066,30801,-48
huawei,92,226056899360531,40767650002,2024-09-04 04-49-55,14.127.93.54,500562824,internet,158.248.197.224,-692202531,702476942,30812,-127
huawei,22,226052585482029,40760549362,2024-09-04 04-46-41,153.180.247.254,-1327189948,ims,236.207.255.88,1495693199,-1395394427,-28774,54
huawei,-96,226052255106843,40739106101,2024-09-04 04-46-46,162.185.131.8,-990475384,internet,213.159.65.80,-353273907,-1299910252,-843,48
huawei,52,226051669439586,40780246341,2024-09-04 04-45-47,166.125.76.227,-2064584543,ims,49.246.205.30,860712079,2067508666,23850,-103
huawei,-14,226053230868533,40756343413,2024-09-04 04-46-12,255.175.191.190,-702690491,internet,84.229.49.72,1715342594,1490581673,-13469,-110
huawei,-118,226051177647702,40759279361,2024-09-04 04-47-09,19.250.16.166,-863362357,ims,59.58.33.209,-969060835,-992343604,1405,-128
huawei,-4,226053239304420,40717743281,2024-09-04 04-49-38,108.22.159.200,-1114001529,internet,61.66.75.226,-1016550914,-1841648972,-8150,112
huawei,109,226054975941137,40782753889,2024-09-04 04-49-58,191.219.72.168,-72937942,internet,229.195.35.73,-1830636456,1648963880,-8251,52
huawei,28,226052819354290,40782908623,2024-09-04 04-46-50,156.73.184.155,-2104469527,internet,66.25.171.250,-107047860,-1303637864,5219,100
huawei,-61,226050966706527,40763954248,2024-09-04 04-49-08,247.115.200.239,-2140550376,internet,73.39.112.247,-1870227680,-837731666,3257,54
huawei,-9,226058339872176,40761487168,2024-09-04 04-46-07,182.27.79.78,-813802067,internet,47.227.152.2,1613780153,-505189657,30938,79
huawei,25,226052917196715,40716171789,2024-09-04 04-48-09,33.13.32.123,1968132090,ims,29.126.152.173,1595235847,-1955572324,6696,81
huawei,90,226054450069327,40786432984,2024-09-04 04-46-02,147.138.214.230,816063436,internet,78.226.249.74,-1648601852,-1862915493,23878,-61
huawei,-105,226051557163975,40723898494,2024-09-04 04-45-19,23.167.229.106,-547344629,ims,36.133.173.17,-1600611345,-704841407,-27611,-24
huawei,-52,226053561670541,40752302404,2024-09-04 04-49-34,249.144.134.54,1320030889,ims,215.182.69.195,1273829635,1957380448,773,116
huawei,90,226057324834950,40716411849,2024-09-04 04-45-01,240.215.12.186,-772910538,ims,61.213.221.232,449362206,1570588930,5511,-126
huawei,-70,226052105757353,40767810567,2024-09-04 04-49-15,196.83.197.99,-404068005,internet,102.229.249.108,-1833415459,-224915352,-2144,-128
huawei,-82,226056504195496,40702249072,2024-09-04 04-48-52,172.107.122.221,-1422001629,internet,45.93.170.230,1502638144,494595277,-11933,55
huawei,-45,226059953151100,40780230244,2024-09-04 04-47-43,188.117.54.60,-256566778,internet,145.184.118.117,2036565898,2115023800,-9290,-44
huawei,115,226056892874085,40723807447,2024-09-04 04-49-39,143.147.125.220,-591612290,ims,133.145.199.142,-1889723313,-738297567,-3816,108
huawei,66,226055840343401,40758078439,2024-09-04 04-45-22,0.241.6.208,1150080049,ims,69.100.52.154,-1527290025,1086509423,3143,121
huawei,-120,226055610960885,40794490824,2024-09-04 04-46-40,215.34.98.37,-1780384226,ims,30.131.99.148,1697000968,-1380126334,-4298,-19
huawei,-128,226055019841053,40784377756,2024-09-04 04-48-36,148.50.140.116,296722055,ims,246.192.63.90,-1342574424,-1530153455,-9572,35
huawei,-15,226054099919124,40719536173,2024-09-04 04-45-32,80.223.169.22,-807848629,ims,164.3.185.113,698954226,-1137289125,-18580,118
huawei,90,226055420453747,40743384012,2024-09-04 04-46-57,142.12.224.217,-2023119711,internet,218.193.89.109,2030669375,877526946,16491,82
huawei,3,226050549359492,40790468269,2024-09-04 04-46-28,145.188.42.171,-2142217484,ims,230.193.184.142,1864488284,298627158,9380,-33
huawei,113,226050894873308,40791176106,2024-09-04 04-49-50,30.119.93.56,-1616453484,ims,67.138.235.64,665777188,977582061,-14111,95
huawei,-4,226050333120396,40797154388,2024-09-04 04-47-25,235.216.71.215,-1854629994,internet,184.74.68.126,1722651317,-2067414116,-13,121
huawei,44,226055732561769,40744561122,2024-09-04 04-48-53,43.194.21.152,465594952,internet,5.132.26.62,-792070184,-620132602,26371,85
huawei,-14,226057211612674,40740841490,2024-09-04 04-49-23,49.88.61.105,1825844468,internet,192.191.111.249,-625355192,-1175901467,25747,3
huawei,-100,226050262122755,40713006487,2024-09-04 04-47-29,32.230.43.102,34809628,ims,192.121.64.190,-2122707022,1717159384,1023,-57
huawei,-114,226054954088007,40777478297,2024-09-04 04-48-22,203.77.142.167,-738839327,internet,147.158.38.126,1514190719,-919501779,-24630,-126
huawei,6,226056532812629,40705020171,2024-09-04 04-46-40,189.97.222.223,-1365264839,internet,218.210.175.54,672507738,1296449713,30936,63
huawei,78,226054892188094,40769817380,2024-09-04 04-49-43,205.113.108.222,1242792946,ims,178.220.195.145,-2017652542,1029799963,-14058,-21
huawei,27,226059582110006,40791032219,2024-09-04 04-49-49,33.1.131.243,558499820,ims,173.146.190.182,2054775936,-920223358,15696,-112
huawei,-96,226056983440679,40704940208,2024-09-04 04-48-23,80.74.82.180,-1402149254,ims,123.137.212.212,-843511506,-1240010454,-28039,-114
huawei,115,226059774712333,40705856849,2024-09-04 04-45-24,166.22.19.81,62866006,ims,28.202.88.97,-1994392229,-1358304319,-12206,-42
huawei,107,226058719107261,40755465579,2024-09-04 04-48-40,26.155.12.138,631489716,ims,159.189.151.30,-1110084690,-1115707546,-29677,93
huawei,40,226056842046789,40792398007,2024-09-04 04-46-22,18.183.103.235,-1163865146,internet,31.203.29.127,-1018158560,1986587107,9749,-99
huawei,-9,226053220897558,40788734643,2024-09-04 04-48-21,33.217.150.168,87260006,internet,171.223.169.167,1445592890,-471452806,-20757,-29
huawei,27,226058588960502,40764053646,2024-09-04 04-46-26,23.155.24.211,-687817516,internet,12.11.187.9,116139135,-1451622740,-32161,64
huawei,80,226057315968474,40706039644,2024-09-04 04-49-51,186.195.152.138,362092904,ims,114.112.18.105,-496625087,-883217291,32389,98
huawei,33,226051415914790,40721283434,2024-09-04 04-49-13,55.177.139.159,917561856,ims,81.145.0.108,-653029192,-38428580,13869,1
huawei,90,226057943086212,40718201254,2024-09-04 04-49-06,194.116.6.206,200028501,internet,197.174.245.214,-1988737984,1034579588,32422,-3
huawei,100,226059197923972,40798061949,2024-09-04 04-49-44,51.201.230.87,-1550513492,internet,17.43.110.201,11331683,1868810432,32737,80
huawei,-105,226059855982464,40723262766,2024-09-04 04-49-24,24.20.168.4,89114029,ims,253.71.22.2,1114952823,-233543222,25568,42
huawei,-110,226051803208676,40714338975,2024-09-04 04-47-47,135.70.56.200,-1610636025,ims,97.70.222.217,1662979053,-1720257775,18351,-62
huawei,79,226052435173900,40787354195,2024-09-04 04-49-36,23.109.173.247,-1678303984,ims,200.32.154.42,-601025948,1315242121,-24132,26
huawei,-67,226058120004354,40764819399,2024-09-04 04-47-01,140.183.161.182,1446350270,ims,45.172.154.68,561909329,1235449551,-1430,-66
huawei,96,226054166557427,40734952608,2024-09-04 04-49-18,210.175.180.235,-991382698,internet,65.243.220.132,1392830076,2082217824,2592,-69
huawei,103,226050455902406,40716499191,2024-09-04 04-48-42,8.90.234.232,1367791681,ims,40.117.233.244,-1646605756,-888359764,30069,2
huawei,71,226052974034916,40703895132,2024-09-04 04-47-50,138.214.210.138,1990160951,ims,25.39.84.162,509258581,101627335,1354,116
huawei,22,226052109709486,40730738560,2024-09-04 04-45-13,224.241.32.143,-1840105114,internet,184.182.137.21,1901164609,2044538732,-26821,-10
huawei,-2,226054433275092,40757169703,2024-09-04 04-46-47,46.254.74.17,-1548969041,ims,30.5.95.17,-835250558,1221386705,-25910,-22
huawei,-20,226056046916657,40710880839,2024-09-04 04-49-48,142.55.147.23,1792694340,ims,226.101.3.116,1597197244,-167379124,31296,-30
huawei,-75,226051307321992,40705613576,2024-09-04 04-49-04,75.123.177.171,1408617140,internet,86.181.180.246,82158029,-1867406776,-23479,-101
huawei,-9,226055763436456,40737731283,2024-09-04 04-49-21,141.161.83.186,-1283341229,ims,43.101.40.201,32371352,-1999847448,30700,123
huawei,109,226056848853342,40777061745,2024-09-04 04-47-27,85.97.15.13,-1879435140,ims,74.122.192.34,561850017,-1046446983,-7112,-20
huawei,24,226057887579606,40796970814,2024-09-04 04-49-42,78.31.72.67,-1854421826,ims,90.134.44.36,2389390,-1894598161,11882,-11
huawei,-78,226058837465577,40741072297,2024-09-04 04-48-44,1.43.60.239,-1322426941,internet,41.52.26.77,2129325928,741902784,-2477,74
huawei,109,226051873030567,40790116689,2024-09-04 04-49-50,246.95.65.241,-2086567268,ims,246.215.222.49,-6888283,-966309190,16926,74
huawei,-12,226051849197544,40775502958,2024-09-04 04-46-57,81.209.239.141,-1185559338,ims,36.229.156.155,1217694597,-1893094828,22045,-126
huawei,-13,226050839590837,40781864350,2024-09-04 04-48-36,56.174.83.91,-879691159,internet,81.73.98.17,898107256,78719707,31402,92
huawei,53,226050056072619,40727360583,2024-09-04 04-46-48,98.148.99.132,254635346,ims,200.69.73.208,-1171463787,859059701,-32389,65
huawei,96,226058529422364,40761085407,2024-09-04 04-49-44,114.165.55.241,1586193305,internet,230.238.128.40,-159563394,-1333860372,-17397,-126
huawei,70,226059684801418,40737882717,2024-09-04 04-46-37,41.238.113.252,1820510619,internet,219.68.193.200,1828899261,959245416,6647,-65
huawei,-43,226052202510336,40715683940,2024-09-04 04-45-35,73.221.7.114,-1933818154,ims,142.244.67.95,-1077380588,-1901216393,32617,-56
huawei,-61,226058620377387,40778865272,2024-09-04 04-47-32,155.187.195.123,-1234653070,internet,108.223.128.37,853975283,833058525,-27038,-92
huawei,-9,226052087068502,40735788423,2024-09-04 04-48-10,110.229.39.218,445466226,internet,120.49.84.201,562522563,1897052181,-5296,104
huawei,67,226050580845622,40723255737,2024-09-04 04-49-11,171.181.4.62,-1515043598,internet,26.40.206.98,1505461649,-2078154065,-5431,8
huawei,65,226059752053919,40779054603,2024-09-04 04-47-48,234.62.205.85,-1443316081,ims,230.187.51.161,325095116,211725106,29311,-22
huawei,-20,226052889602010,40717410482,2024-09-04 04-48-03,94.227.236.238,1682932793,ims,52.113.33.243,21478018,711273365,-20027,-62
huawei,10,226059575018379,40758547435,2024-09-04 04-49-06,148.190.147.71,1776832812,internet,84.187.204.64,1816353370,1898544573,9114,-94
huawei,84,226057140309670,40706897536,2024-09-04 04-46-04,104.169.58.26,1076270043,ims,199.91.7.17,-1424515510,134386900,-4319,33
huawei,46,226050481391018,40799462954,2024-09-04 04-46-46,156.227.155.48,-858840158,ims,129.113.133.121,1368065737,782925908,10720,-34
huawei,120,226059283362584,40727406763,2024-09-04 04-48-32,149.47.95.243,-1832175963,internet,100.187.252.20,-371544013,739007152,-12787,107
huawei,19,226054392925822,40789752231,2024-09-04 04-47-21,40.106.191.59,-42872462,ims,244.144.253.165,-1309578501,1579966033,-30443,-99
huawei,70,226050124292720,40782240250,2024-09-04 04-46-23,38.0.231.83,-2029633238,ims,187.148.43.188,1146132011,-2144450529,-16074,-66
huawei,-63,226053894248749,40766894880,2024-09-04 04-46-07,18.209.71.98,-1679183339,ims,80.117.109.237,2043168044,-75815548,-8553,-6
huawei,-20,226057117232089,40717732724,2024-09-04 04-49-18,5.120.215.182,-1616448601,internet,83.188.9.224,1705815909,-1239253153,1834,59
huawei,-12,226057360224330,40712573555,2024-09-04 04-46-34,157.15.76.138,-1867361464,internet,201.95.210.182,-122086726,-1576817094,-26769,78
huawei,-124,226053349275785,40751192438,2024-09-04 04-46-06,125.183.249.133,1847798731,ims,148.20.97.15,1720349079,415375406,-12697,37
huawei,-61,226059653734042,40774044560,2024-09-04 04-45-04,183.71.169.255,355032531,internet,147.5.190.168,1479336822,202001601,17120,-69
huawei,69,226058148756916,40728905155,2024-09-04 04-45-07,29.57.51.161,1569677241,ims,183.34.253.239,-1986024612,-24805118,-7374,8
huawei,-42,226056968092213,40701885803,2024-09-04 04-45-29,91.178.184.114,637921924,internet,81.126.243.177,-1033672162,1459875302,11484,-49
huawei,-103,226058966409515,40757560397,2024-09-04 04-47-04,66.16.76.92,-310792780,ims,167.247.213.104,-760382040,-1536237680,19480,-5
huawei,118,226051365246756,40770368651,2024-09-04 04-45-50,133.252.46.179,-1967533849,internet,237.33.41.229,-1464798638,573373148,-19306,95
huawei,117,226055174490135,40798523033,2024-09-04 04-48-19,187.142.244.253,987476955,internet,37.235.194.36,-541164270,-1060215712,27301,-103
huawei,-19,226057538768231,40793311120,2024-09-04 04-45-05,238.80.23.100,1211718603,ims,62.99.53.248,401005452,-2054760255,-1283,4
huawei,-93,226052328996556,40761700095,2024-09-04 04-46-18,143.26.118.94,539809407,internet,76.191.150.11,47496235,159652426,14216,57
huawei,125,226057804774945,40776711283,2024-09-04 04-47-40,199.7.111.198,1432919794,internet,159.221.185.22,1943039542,813041328,-12088,-79
huawei,-24,226053287461167,40715199671,2024-09-04 04-49-24,157.67.51.17,290035166,ims,119.18.34.238,-1728307808,-112469260,4232,62
huawei,107,226058747491762,40740046335,2024-09-04 04-45-16,166.165.115.103,-1720887861,internet,5.86.54.204,1166093896,723361835,26415,-40
huawei,79,226055286325558,40709593555,2024-09-04 04-47-14,3.183.43.154,2064461591,internet,144.144.15.7,1129175906,-1095577652,9866,118
huawei,-92,226058612771361,40746682803,2024-09-04 04-48-03,252.209.51.132,-2057257399,internet,107.26.126.209,683915736,-1017356148,27425,92
huawei,54,226053806966732,40797366294,2024-09-04 04-47-03,27.139.52.218,-1719886296,internet,124.204.86.51,-1861310988,-1455146466,30921,25
huawei,118,226051673268148,40710653606,2024-09-04 04-45-17,4.14.248.92,1995678335,internet,21.148.2.181,2146238842,55574205,8844,-46
huawei,34,226055937864515,40725577258,2024-09-04 04-47-59,31.146.180.187,402415874,internet,161.222.254.226,1900813380,1504214614,21034,-21
huawei,3,226052819376151,40719636949,2024-09-04 04-46-32,195.27.132.143,-596195107,ims,134.198.238.127,1279286695,-1096458770,-23479,5
huawei,55,226056205763490,40744839813,2024-09-04 04-46-19,252.202.77.70,2031831067,internet,58.81.108.156,759691332,701876010,17429,-63
huawei,-23,226050485957957,40727845458,2024-09-04 04-49-20,168.125.163.89,-1305334078,internet,135.159.35.231,-23284212,-1312789466,12514,27
huawei,45,226054433823855,40761019788,2024-09-04 04-46-49,124.199.107.104,-1929885934,internet,10.54.153.135,972413912,-1290530556,-13459,92
huawei,-111,226059290453599,40727468941,2024-09-04 04-48-50,19.186.102.224,922373512,internet,81.143.173.199,1234413018,1691063714,5385,-6
huawei,-27,226057360007265,40780716233,2024-09-04 04-45-32,191.144.205.251,2102436203,ims,125.5.202.173,1191858895,596111736,20416,88
huawei,2,226055735019065,40757546744,2024-09-04 04-49-05,54.242.95.143,1038270658,ims,71.138.31.38,1205320760,1992279665,-19528,-4
huawei,11,226052828906429,40710524994,2024-09-04 04-47-05,80.29.203.176,-802702219,internet,38.19.68.157,-2036140352,-1867441611,22487,-105
huawei,68,226052364846610,40750782691,2024-09-04 04-45-47,72.182.66.173,-1167861,internet,6.195.90.220,163053000,1337488897,-18346,14
huawei,14,226055252650708,40733215938,2024-09-04 04-46-36,139.119.62.91,-606636115,ims,31.29.165.122,1204873717,-1242585336,-12700,96
huawei,102,226052041133852,40710443954,2024-09-04 04-48-56,246.174.81.82,1246884301,ims,17.75.166.75,-1976553811,1040235670,32383,-49
huawei,-81,226050166957530,40792669984,2024-09-04 04-45-16,135.223.27.77,485592489,internet,84.25.126.165,715206900,1524689067,8130,-62
huawei,111,226055416605207,40784089721,2024-09-04 04-46-08,200.225.159.192,886760985,internet,195.9.133.50,1219553354,1807054719,-30444,81
huawei,-14,226052335216357,40778498638,2024-09-04 04-46-41,157.210.225.162,832122604,internet,233.239.26.38,-1677478507,-2050805724,26099,4
huawei,-21,226050641531299,40762712238,2024-09-04 04-46-21,183.2.189.216,-1416949008,internet,255.198.160.238,1595996186,-433849310,-22347,-28
huawei,31,226059820513046,40700292325,2024-09-04 04-45-19,245.217.222.242,-147840277,ims,198.103.217.90,1378156833,1621605917,-20341,18
huawei,108,226056779754675,40736702999,2024-09-04 04-47-20,113.166.37.53,-1654576432,internet,230.204.110.216,-664759072,-1249598531,-693,-28
huawei,120,226053161863109,40795376481,2024-09-04 04-45-48,221.74.36.47,868085629,internet,7.19.175.238,1581444899,-44825766,-11775,74
huawei,105,226056901405012,40711003075,2024-09-04 04-46-31,185.172.32.207,1698859340,ims,250.255.210.212,161935472,1241743857,18899,-44
huawei,57,226053886508521,40796379739,2024-09-04 04-45-34,179.18.121.97,-1301356127,ims,185.173.50.3,806850399,308666238,-8028,89
huawei,-82,226054235706510,40754637403,2024-09-04 04-47-38,16.40.0.208,363044947,internet,29.113.224.226,-1218701813,-1560531771,27349,-19
huawei,85,226054318370660,40772058786,2024-09-04 04-50-01,104.191.49.19,-1941535110,ims,153.185.162.172,1852737867,1869510582,-27022,121
huawei,74,226051554906914,40703599774,2024-09-04 04-45-27,56.81.207.142,-1434291549,internet,202.157.106.64,-1922679332,2028669586,18847,111
huawei,125,226059072989918,40709227183,2024-09-04 04-48-41,205.32.29.21,1990480089,internet,220.253.90.175,-503838316,-204315123,-28402,69
huawei,109,226058862534909,40796457001,2024-09-04 04-49-19,248.194.229.124,1755046026,internet,38.68.219.39,1127573797,-904156437,-7944,-49
huawei,46,226059933517753,40713417074,2024-09-04 04-48-42,23.40.109.8,-1539219460,ims,49.107.103.10,932513617,1111158705,-25243,77
huawei,123,226050147654014,40748474598,2024-09-04 04-46-54,220.254.146.112,532420157,internet,131.241.212.246,1572851216,449026333,21963,-48
huawei,118,226058660419882,40706886372,2024-09-04 04-49-28,237.146.13.118,524765661,internet,244.163.54.151,-1398828435,-1735581466,-10305,-52
huawei,78,226056914975653,40765896293,2024-09-04 04-45-29,121.225.183.210,1840776262,ims,241.23.173.84,859547120,1992266647,12776,115
huawei,-114,226055508756062,40788546609,2024-09-04 04-47-33,254.254.27.163,265210633,ims,6.253.140.145,-1038212724,1183688941,27425,-121
huawei,-26,226058128631690,40759701750,2024-09-04 04-49-16,23.142.87.166,2113609495,ims,84.57.164.39,-710150846,1577359970,-28841,-115
huawei,123,226051266073829,40740900952,2024-09-04 04-46-03,41.8.212.192,-696955300,internet,148.103.97.21,1552030392,21618783,338,63
huawei,-115,226051186885419,40731453221,2024-09-04 04-50-01,200.241.204.90,-2131905298,internet,19.28.143.76,1896247393,1529425053,3467,-127
huawei,78,226055482967974,40732277394,2024-09-04 04-45-50,43.82.82.128,949003496,ims,86.175.9.215,2044533899,1768668794,-23403,-10
huawei,3,226058840706728,40706823575,2024-09-04 04-46-58,51.143.4.38,-1151192312,ims,60.86.151.228,1449037233,-557449819,22383,54
huawei,67,226054029465919,40718063079,2024-09-04 04-47-49,133.31.120.202,1807456835,internet,101.66.74.214,-1968250198,-1677915896,-8731,-45
huawei,32,226056746142479,40731948075,2024-09-04 04-46-59,32.106.123.12,-114445823,internet,157.119.117.82,493406091,1863188998,14613,118
huawei,-33,226052803659520,40766166398,2024-09-04 04-49-58,181.170.60.99,-2033154001,ims,145.195.125.219,1586737716,-122155933,9757,-73
huawei,-70,226050775842586,40783431282,2024-09-04 04-49-05,64.31.48.243,-701230995,internet,164.87.26.20,-1412428778,1226585224,-16586,-96
huawei,-74,226050662786360,40787162690,2024-09-04 04-45-25,194.207.147.63,-1728799221,ims,72.15.60.94,162806453,-254907132,3104,-46
huawei,66,226054560983771,40799760854,2024-09-04 04-45-15,74.212.232.99,1248754634,internet,87.157.176.85,-767114970,-683074126,16581,12
huawei,98,226050084275127,40777441673,2024-09-04 04-45-12,81.136.228.54,-1952549706,internet,245.124.4.3,1127797851,-153767040,-30821,-45
huawei,-117,226054254888979,40787603128,2024-09-04 04-45-35,237.2.223.85,-268067398,internet,4.166.205.50,1495490588,-717690626,-23437,28
huawei,3,226052735582455,40782089703,2024-09-04 04-45-57,188.126.221.116,553256179,internet,255.24.119.109,-325079147,1770820566,7771,98
huawei,-14,226052833601074,40772687292,2024-09-04 04-47-54,182.254.207.35,1051702845,internet,39.206.16.31,1162744279,1273235647,20283,79
huawei,47,226051668214781,40776036605,2024-09-04 04-48-15,225.48.29.108,257278812,ims,36.53.90.91,1316035206,1166756222,1288,-9
huawei,-36,226057880963810,40737269787,2024-09-04 04-47-51,12.254.92.156,16038961,ims,89.150.58.92,1273383984,-1144052179,9882,-46
huawei,-25,226057126563608,40773408923,2024-09-04 04-49-54,240.50.152.168,-649764892,internet,117.141.168.205,186744856,-114681897,13018,-20
huawei,15,226056442848669,40740826518,2024-09-04 04-46-28,140.116.204.39,-397614369,ims,90.127.143.16,571052737,1208148849,10098,-17
huawei,0,226052129610037,40727735628,2024-09-04 04-45-15,183.221.19.39,-708788247,ims,230.137.52.123,296830024,-1261737486,6429,-37
huawei,-17,226053487475226,40773231769,2024-09-04 04-46-01,254.97.172.219,-1543374792,ims,242.20.205.93,907324081,1205086246,-741,77
huawei,15,226054497131584,40728252790,2024-09-04 04-45-02,3.240.75.197,1420731755,internet,60.235.68.8,-41607170,-22933118,27536,77
huawei,101,226056988137918,40753969426,2024-09-04 04-49-23,49.181.109.238,-1852288383,ims,152.73.190.221,98167423,-789382417,12786,29
huawei,47,226054296993330,40799913377,2024-09-04 04-48-15,40.80.242.114,1347968103,internet,192.191.124.57,1716775776,-1584338879,22652,-114
huawei,-61,226053076848527,40717712523,2024-09-04 04-46-39,217.38.184.193,-438573601,ims,248.133.221.219,-824406116,577870827,19189,28
