src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-108,226050425531331,40785253174,2024-09-04 04-50-47,99.180.198.140,1847283050,ims,167.172.202.84,1293073787,1183476372,10543,30
huawei,99,226059417921574,40757725323,2024-09-04 04-53-10,86.242.196.103,-945731768,ims,92.87.80.140,1341428979,-1229102601,-13783,-53
huawei,-80,226055204895696,40754688259,2024-09-04 04-51-39,154.94.82.10,-1311408841,internet,108.120.95.203,-1044055860,-1360904361,18815,-88
huawei,44,226056243358683,40775838057,2024-09-04 04-54-13,243.65.111.223,517010786,ims,83.248.202.232,979032334,850744489,-8707,113
huawei,-51,226050368335856,40702548806,2024-09-04 04-52-12,141.113.68.5,1384548914,ims,80.173.128.96,-1000998280,639624154,8005,0
huawei,14,226056175195232,40788913144,2024-09-04 04-53-32,22.84.231.144,1706056187,internet,207.138.91.237,834628578,1562224999,25573,119
huawei,-51,226051738826292,40762952815,2024-09-04 04-51-34,242.214.207.9,-1761428913,ims,27.23.238.50,1559227369,2073353994,29874,-126
huawei,20,226055742590449,40702149101,2024-09-04 04-53-22,37.71.57.113,1085942908,internet,74.109.46.117,848045979,-1440742691,30363,70
huawei,-119,226050361651753,40756117965,2024-09-04 04-52-06,248.18.207.144,804817457,internet,246.131.163.64,1246921285,167219229,8015,-33
huawei,14,226057556224951,40756514209,2024-09-04 04-50-14,20.81.41.154,-1858618266,ims,52.120.193.108,-1531673331,2079895383,9384,-71
huawei,32,226050296577184,40785712667,2024-09-04 04-51-29,243.116.85.105,1614471337,ims,1.51.52.131,-1311053916,1821831288,-27750,-38
huawei,-8,226055674082651,40761738441,2024-09-04 04-51-04,234.127.153.135,452105542,ims,187.226.37.202,-870232144,-1582806031,-8538,-103
huawei,-105,226055454251185,40712099112,2024-09-04 04-52-01,142.219.251.88,363626686,internet,140.242.31.57,-355476242,706531169,9077,-126
huawei,60,226050655701038,40786013837,2024-09-04 04-51-58,187.82.127.248,185819498,internet,156.24.108.167,1596827402,-1495473555,10333,-75
huawei,-84,226054786389515,40700650629,2024-09-04 04-52-36,191.131.73.200,931582582,ims,75.163.235.182,1842723560,-1055471715,32734,41
huawei,71,226053136674491,40794592643,2024-09-04 04-54-02,135.47.237.179,1971512348,ims,6.27.186.8,1484064839,-522718640,20035,-57
huawei,12,226051911028060,40736466237,2024-09-04 04-50-15,237.95.93.215,-946122425,ims,245.5.69.52,-548609648,1318903080,-29166,78
huawei,56,226051282302705,40709486944,2024-09-04 04-53-02,88.59.40.236,-1212430411,internet,44.59.84.95,-255606551,-1436193259,-27291,114
huawei,52,226058328526102,40798632234,2024-09-04 04-54-41,167.209.45.205,-1240544924,ims,163.165.63.210,-1438145350,-1577143084,9128,25
huawei,41,226051096517538,40729771650,2024-09-04 04-54-47,14.146.0.245,-723602878,ims,119.214.38.215,1200558033,1009345763,-21791,78
huawei,-103,226057874428567,40799025108,2024-09-04 04-54-46,135.166.125.214,1722761269,internet,96.198.188.41,1055467490,-1814989327,-27763,74
huawei,61,226054851878367,40719473688,2024-09-04 04-52-05,229.168.76.98,1791995711,ims,166.80.32.178,1857725975,-1669472230,10048,-50
huawei,17,226058240459232,40715787680,2024-09-04 04-51-48,216.136.18.147,515563094,internet,156.113.224.188,1736047485,-1373085791,-4982,66
huawei,121,226057670103227,40766506612,2024-09-04 04-52-10,6.79.215.203,1776255150,ims,160.210.29.219,529039326,-127477276,2428,24
huawei,-8,226054910886711,40731930833,2024-09-04 04-54-18,187.126.232.245,274577034,internet,93.92.48.21,1278461582,427681421,-15586,-69
huawei,118,226052832440673,40794685743,2024-09-04 04-51-10,215.44.67.245,2015011560,internet,74.63.201.221,-1606273453,348703629,-1848,-88
huawei,-111,226050584704650,40776695577,2024-09-04 04-50-35,153.33.113.186,-1796603169,ims,7.14.119.107,-671461339,82143894,-22939,-110
huawei,-66,226056653744501,40716085843,2024-09-04 04-51-54,143.138.77.211,-280725237,internet,27.198.163.76,1091301915,-298600128,26226,12
huawei,4,226056544839609,40704054209,2024-09-04 04-50-09,211.13.172.242,433879207,internet,150.180.70.144,1688349306,-302281384,-15706,-49
huawei,-83,226054548077117,40732193022,2024-09-04 04-50-57,80.114.131.236,-2137033137,ims,121.205.186.65,-1004642967,-8900297,22750,52
huawei,-46,226056745672318,40790026749,2024-09-04 04-54-17,162.143.62.56,1149345607,internet,154.185.168.61,-99941904,-2059297246,-1102,-57
huawei,84,226057999738908,40737836415,2024-09-04 04-53-41,70.155.47.182,1869156583,internet,158.155.9.163,1850567145,823901636,25107,61
