src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-66,226059459695170,40737339090,2024-09-04 05-03-58,106.112.171.118,-1999185963,internet,180.137.61.241,343140541,-685706256,-18944,-84
huawei,-48,226055527556638,40757587930,2024-09-04 05-02-14,219.12.228.165,12229575,ims,110.74.208.67,-1766814142,1857950923,-28088,-80
huawei,30,226050359142616,40748164166,2024-09-04 05-00-59,13.119.203.184,-797542960,internet,176.247.71.57,1372789826,28591901,-17663,96
huawei,93,226054600478698,40748053600,2024-09-04 05-02-39,115.14.131.18,1606735274,ims,5.37.154.124,931641134,731642258,-7192,-100
huawei,65,226057160061542,40773309314,2024-09-04 05-01-23,1.39.192.116,1674984074,internet,115.154.162.235,-1645216345,-347882847,14904,-84
huawei,14,226057867231509,40742711081,2024-09-04 05-04-20,154.225.65.111,-41687100,internet,238.32.156.104,-909259750,-1713700453,-8465,-73
huawei,118,226058445678789,40742168270,2024-09-04 05-00-20,212.11.212.152,-1668435872,ims,128.12.36.109,-1354057715,-858618544,-13652,121
huawei,97,226057944073502,40707735278,2024-09-04 05-01-37,50.233.209.247,378285729,ims,211.171.51.72,-1879532615,126050071,24656,45
huawei,13,226059158045943,40787926229,2024-09-04 05-00-14,249.44.9.176,-774575862,internet,132.252.171.103,-1386708445,1871406170,3868,21
huawei,-38,226055581391597,40726676487,2024-09-04 05-04-14,236.121.149.129,-1859867083,ims,208.48.70.171,608864401,1821786269,-8782,-19
huawei,-126,226052353877370,40740409041,2024-09-04 05-02-19,48.198.70.227,-467958937,ims,37.87.20.17,646285058,832892656,-10924,-82
huawei,-92,226059981777028,40732145993,2024-09-04 05-01-32,4.114.120.149,-248182587,internet,208.9.253.1,-1585231390,757367448,-23042,-114
huawei,33,226056659702226,40761902491,2024-09-04 05-04-14,186.241.240.51,42966567,internet,45.83.168.201,432581631,-591730503,-8469,-109
huawei,99,226056704223959,40771311178,2024-09-04 05-01-36,48.183.239.221,325991515,ims,191.74.17.109,997967013,-1509002786,-9798,-50
huawei,76,226052280543427,40776946268,2024-09-04 05-00-43,161.117.173.254,151129272,internet,73.206.216.0,-520481540,-1305801376,10546,-71
huawei,96,226056649773938,40788718030,2024-09-04 05-03-31,205.142.239.46,-1059246071,internet,36.113.237.129,-1636008845,1082814396,-1983,121
