src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,90,226054443091966,40712136454,2024-09-04 05-07-14,116.203.68.174,-1632789267,ims,168.199.117.52,-1971231808,-1721290182,-7424,-115
huawei,31,226055476144702,40743729347,2024-09-04 05-07-11,238.13.46.68,1099809451,internet,163.235.103.20,613078683,-1095685246,-26405,114
huawei,61,226053102598240,40755788785,2024-09-04 05-07-45,15.13.142.94,-1536004251,ims,43.240.107.31,-1694325679,-1744934330,-14430,-124
huawei,8,226056823246711,40730493269,2024-09-04 05-05-09,190.161.33.16,200144342,ims,69.32.41.217,-1463614650,-714320785,-30426,-23
huawei,-85,226057076348886,40722945986,2024-09-04 05-08-55,137.138.97.76,-422204762,internet,37.205.199.193,-2136465399,1776039015,-29955,-111
huawei,93,226059691013903,40792357687,2024-09-04 05-05-21,18.206.217.3,-71407098,ims,34.42.242.13,82853045,499800014,23488,-123
huawei,121,226050241682316,40768422997,2024-09-04 05-05-56,8.167.75.197,-479938125,internet,216.199.145.35,2136150173,2034446217,32028,-28
huawei,9,226053389512535,40759799453,2024-09-04 05-05-59,235.152.113.230,636289445,internet,209.175.96.25,-1742943363,1616457990,1282,-31
huawei,70,226051534503489,40711109488,2024-09-04 05-08-11,89.233.155.88,-857751178,ims,56.87.136.232,-100035423,1308653788,20271,-11
huawei,-93,226053991759356,40700341214,2024-09-04 05-09-19,146.157.225.81,1627263005,ims,170.22.242.0,1915973327,1251372562,-27090,3
huawei,3,226056448120047,40781564846,2024-09-04 05-09-56,22.129.83.244,-1696784441,internet,172.224.63.146,1525673981,1090101414,24966,-7
huawei,44,226059314104608,40757817309,2024-09-04 05-07-24,206.125.167.25,1765916272,internet,58.79.119.46,-902477477,1625624653,5218,-75
huawei,72,226050347691275,40707951552,2024-09-04 05-06-21,158.153.39.195,-1846418001,internet,178.34.49.171,-797562690,1872971986,2663,-101
huawei,-26,226059145570653,40754338227,2024-09-04 05-05-30,11.109.129.3,1516848174,ims,127.248.58.109,-1752319892,202266471,18418,-116
huawei,-10,226052126047027,40738921134,2024-09-04 05-08-56,32.221.173.7,372413035,ims,164.9.164.160,-1577783913,-194349816,21599,-13
huawei,-71,226052143004963,40712535731,2024-09-04 05-05-48,172.172.123.62,1830532650,internet,225.154.3.173,-1024654227,1704617250,16229,-70
huawei,-55,226053744215193,40713049624,2024-09-04 05-09-42,222.91.154.202,-1493284871,internet,190.77.196.132,-1055146148,1830701169,-20503,-53
huawei,-41,226052473599474,40781034488,2024-09-04 05-06-46,218.104.133.125,1215217989,ims,126.126.47.97,-1935187781,-1110196479,-31110,7
huawei,-98,226056677645622,40757891625,2024-09-04 05-05-16,80.19.155.92,1338525028,ims,203.146.23.35,-621785718,262613612,1580,97
huawei,126,226058953244246,40731422681,2024-09-04 05-09-54,130.170.27.218,-1437306586,ims,145.248.65.153,-1778301923,-1534531468,-14513,-100
huawei,-72,226053940539464,40748219492,2024-09-04 05-06-59,19.166.91.195,43756357,internet,186.9.7.92,511508849,-1437031649,-32238,8
huawei,-105,226051479873363,40705499779,2024-09-04 05-06-07,95.251.28.81,-1508551842,ims,136.161.210.44,-59546005,-1123643072,-9808,-26
huawei,-7,226050612224844,40712463588,2024-09-04 05-07-53,223.102.233.70,982711121,ims,156.153.135.155,1527582300,-1193869797,23698,23
huawei,51,226051947243480,40722029606,2024-09-04 05-06-41,21.243.211.199,-799865697,ims,5.187.174.155,639127696,1476577507,10587,18
huawei,55,226059074095632,40767405804,2024-09-04 05-09-27,240.152.234.231,2022132225,internet,104.13.190.170,479328546,-1137198492,-17180,111
huawei,3,226051918707551,40776371034,2024-09-04 05-07-11,80.5.240.120,1105232636,internet,85.56.163.194,-1552490537,-1159621248,442,79
huawei,113,226054550943060,40779328629,2024-09-04 05-06-18,14.251.57.220,1232237649,ims,101.157.185.153,1422562542,-2118163956,-21754,-123
huawei,113,226052432739218,40739598161,2024-09-04 05-09-25,102.228.137.91,1820788631,ims,66.142.208.239,209235893,140128722,29819,-119
huawei,-125,226051153040842,40760730347,2024-09-04 05-05-25,4.49.91.34,-94401816,internet,168.158.63.91,572367071,-1023964659,757,55
huawei,-41,226050602705136,40721716853,2024-09-04 05-05-32,20.215.74.77,1291731894,internet,162.124.152.208,930451316,1681167128,7609,6
huawei,-9,226059733508758,40771971489,2024-09-04 05-06-41,208.83.4.43,-422759208,internet,155.63.139.20,-967041944,-1688580278,-12508,-103
huawei,100,226051547730528,40717250413,2024-09-04 05-07-29,87.61.141.224,-315064267,ims,57.184.233.24,2015360309,-1173600481,-14003,24
huawei,-37,226056336312295,40731006270,2024-09-04 05-09-32,226.71.254.110,736883515,internet,146.175.81.11,1452429073,1336891560,-21425,-10
huawei,-73,226054979151774,40786298960,2024-09-04 05-05-35,251.183.224.230,1662995778,internet,139.111.17.142,1577265951,550376445,-17783,-51
huawei,-60,226058903536067,40742137236,2024-09-04 05-08-47,207.163.235.196,1383050897,internet,232.200.37.63,814629923,-543566077,7055,-110
huawei,75,226053317032983,40710832321,2024-09-04 05-08-53,254.4.67.36,825686154,internet,20.224.38.218,1931986867,106504406,-31913,90
huawei,-8,226056264943333,40772375065,2024-09-04 05-06-17,223.105.213.110,809162982,internet,160.37.98.20,962758393,1038087168,19106,-95
huawei,16,226054347162565,40743948308,2024-09-04 05-09-26,20.128.195.137,-1107035488,ims,227.251.211.138,-1439730678,-723033000,24644,83
huawei,-122,226057315144932,40757947632,2024-09-04 05-07-12,112.248.97.172,1615275539,ims,97.112.127.50,-1476474653,-1200318838,-28885,-103
huawei,-40,226056445146029,40738474568,2024-09-04 05-09-21,153.87.174.74,1102718345,ims,139.222.138.241,-920068018,-1215899840,26549,65
huawei,81,226051453789972,40774796321,2024-09-04 05-05-36,154.2.102.123,641771032,ims,64.159.65.121,813308122,-395022507,24006,0
huawei,61,226052084854401,40735523020,2024-09-04 05-07-42,112.188.242.37,927019603,ims,180.106.84.96,-512893364,472654451,679,-86
huawei,110,226055785724114,40789831202,2024-09-04 05-06-45,115.58.125.175,-1793811137,internet,140.231.229.244,-851739790,-1103960920,5481,16
huawei,124,226059863967328,40725649010,2024-09-04 05-07-06,26.206.126.183,1509057292,internet,243.16.145.166,-910014691,-30123423,-18047,43
huawei,113,226056444975471,40700118353,2024-09-04 05-08-39,21.113.114.0,472363035,internet,38.88.110.170,105185933,1829200215,18671,66
huawei,14,226052846662442,40791089556,2024-09-04 05-05-02,230.32.12.34,31999920,internet,107.171.186.108,450479241,1934871206,-14600,-85
huawei,23,226055703202243,40778851958,2024-09-04 05-09-43,233.116.148.75,360337129,ims,119.34.198.60,-1405881909,96270072,-19907,52
huawei,-39,226050612651218,40723004879,2024-09-04 05-09-28,231.168.56.253,1761456458,internet,237.195.189.34,-264598308,-2080600874,-6695,-44
huawei,-57,226051732911202,40764476347,2024-09-04 05-07-31,230.207.186.78,-1285371711,internet,80.197.38.25,-1022991387,1797908873,6867,-23
huawei,-47,226050461669636,40736319660,2024-09-04 05-07-49,200.204.17.255,-572342426,internet,17.152.250.30,420253287,-1554581435,-9992,27
huawei,26,226054415818541,40787481970,2024-09-04 05-09-28,221.228.106.134,532663969,ims,65.232.171.130,-305998126,1284770141,-5293,54
huawei,41,226050391473851,40751346063,2024-09-04 05-09-33,5.191.155.183,-887086394,ims,176.116.115.117,657892250,802132733,16217,126
huawei,38,226050784289956,40775089736,2024-09-04 05-08-37,217.95.83.118,-360282393,internet,46.33.64.75,395785582,1460689164,25512,-104
huawei,27,226059079936135,40728758217,2024-09-04 05-08-22,216.220.207.157,1393333962,ims,15.1.87.142,945431735,-19239922,23717,93
huawei,-118,226052555676054,40715144394,2024-09-04 05-09-06,181.115.32.103,-498741544,internet,43.25.74.116,-1242023728,-546431213,31009,30
huawei,-92,226057322950563,40788149347,2024-09-04 05-08-37,5.69.45.124,-715099454,internet,23.65.42.72,1038759124,-1673914827,2135,2
huawei,113,226054106597666,40711155354,2024-09-04 05-05-05,135.20.121.200,1373974307,ims,214.159.122.54,929786559,-1850095880,-19140,18
huawei,19,226054130733157,40702162180,2024-09-04 05-05-08,187.163.20.174,-1792106710,internet,136.21.190.84,1770523440,489251513,22593,-8
