src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-98,226054003576647,40710210719,2024-09-04 05-26-38,200.96.107.179,636359681,ims,50.168.238.62,-809341697,-13527959,-27382,-71
huawei,46,226051035271935,40715777430,2024-09-04 05-25-38,178.8.58.115,-1315097696,internet,254.75.222.163,57051723,824873050,3231,-16
huawei,-2,226050231061996,40717221480,2024-09-04 05-26-09,43.166.253.221,-1486138980,internet,100.178.196.123,-441486737,1043684245,-10734,-120
huawei,-45,226058255640207,40745441762,2024-09-04 05-25-17,243.205.180.63,382281205,internet,170.167.143.70,1806984999,1925245192,-30160,-108
huawei,125,226052085812809,40704085398,2024-09-04 05-25-36,202.134.53.226,2002113376,internet,121.246.90.247,-2108006145,331419854,3943,67
huawei,-107,226054974422239,40759519005,2024-09-04 05-26-32,250.235.184.114,35694328,ims,179.123.179.78,-1109732503,-1565942678,15615,123
huawei,86,226056433209105,40722916108,2024-09-04 05-26-59,31.34.29.109,1020203918,internet,237.166.74.143,261903877,467194509,-20253,6
huawei,59,226052497338278,40782197701,2024-09-04 05-29-38,242.60.94.184,84588862,internet,177.255.207.48,-854534500,1640322627,22321,-66
huawei,-117,226058097661619,40706476654,2024-09-04 05-27-21,194.79.22.103,72037344,ims,114.60.225.75,2879817,2062701669,4185,90
huawei,118,226058589047668,40792470390,2024-09-04 05-26-24,203.212.208.214,1158371543,internet,139.138.56.70,2062664904,-1077247685,-7278,89
huawei,-78,226055271089323,40713165937,2024-09-04 05-25-47,176.170.218.13,-808552191,ims,31.245.228.156,2137925978,1865837473,-8930,124
huawei,11,226053327794876,40763240322,2024-09-04 05-28-44,123.146.58.188,1146328412,ims,163.104.131.6,-854145847,-624861683,-25236,9
huawei,86,226053733145708,40721790825,2024-09-04 05-29-00,13.46.235.163,1810621022,ims,57.216.130.30,449111445,-270577757,-13421,-125
huawei,28,226057023044363,40797551593,2024-09-04 05-26-30,89.86.249.36,-1558719264,ims,170.119.66.125,496219359,94317620,-601,-92
huawei,18,226058153071937,40763030826,2024-09-04 05-28-37,3.239.10.136,-810817669,ims,33.141.117.13,-1947355810,-1549573430,16712,31
huawei,63,226050743962551,40766837648,2024-09-04 05-29-43,171.49.72.65,-520348057,internet,108.123.126.43,-638536160,226534036,26316,124
huawei,-102,226053132023984,40762015089,2024-09-04 05-26-14,95.230.230.231,1547575894,internet,203.215.6.245,1110058899,532391245,27271,112
huawei,-113,226057548349863,40781340007,2024-09-04 05-25-31,48.192.157.218,1794288553,internet,148.195.240.213,149353836,667783384,-28584,67
huawei,49,226054620201324,40731019997,2024-09-04 05-27-06,153.166.188.201,460553201,internet,84.33.185.60,-1898267670,1767863382,-14536,122
huawei,1,226054701001430,40702448735,2024-09-04 05-25-25,92.121.70.194,684776721,internet,239.91.190.128,258878076,516434391,10370,-46
huawei,-31,226053109262619,40760527221,2024-09-04 05-30-00,56.13.43.194,-1893719626,ims,67.232.150.32,944336479,222148689,-57,30
huawei,-60,226050234467924,40779944309,2024-09-04 05-27-15,220.133.105.222,196778668,ims,144.205.149.93,-1409593770,-1240938152,4987,-32
huawei,87,226054186473889,40702487852,2024-09-04 05-28-58,176.38.217.215,-1259213869,internet,58.170.145.121,1274917905,1976845758,-14502,61
huawei,-80,226055491504614,40784830813,2024-09-04 05-25-28,198.168.161.235,-551682326,internet,219.159.247.28,-1088805560,626826592,16660,-101
huawei,81,226050156226272,40793999693,2024-09-04 05-28-31,51.81.172.33,710550792,ims,133.218.63.168,-2022439767,807422367,5953,7
huawei,-14,226059755252898,40786643295,2024-09-04 05-28-55,29.186.77.142,802594978,internet,167.44.110.124,-2053461244,-176099662,5281,-39
huawei,-24,226050197831831,40719556256,2024-09-04 05-29-59,3.95.27.76,-358711854,ims,74.133.111.105,-1894676126,665213304,4362,68
huawei,-90,226056424964129,40793728114,2024-09-04 05-26-54,34.138.18.194,499909122,ims,72.191.111.99,1540935716,-57427976,31067,110
huawei,-88,226053372224132,40729709400,2024-09-04 05-27-25,222.241.37.153,1498294623,ims,182.86.251.38,-1309807056,-1465770192,-19902,-71
huawei,99,226051626510050,40751669535,2024-09-04 05-27-47,131.150.88.40,-1501130272,ims,101.149.40.184,1917746719,1882793172,-21015,-5
huawei,-78,226052252648493,40731542132,2024-09-04 05-28-07,10.31.62.180,-240429648,ims,106.44.192.196,1002904298,928787427,-8822,69
huawei,83,226056844072880,40746309231,2024-09-04 05-28-53,7.59.28.104,-1233714530,ims,118.77.34.1,2085442076,-456122509,30527,-19
huawei,-110,226051358010942,40770277820,2024-09-04 05-27-28,123.182.6.53,-1688603486,internet,244.85.166.223,-881128171,1349690279,-21592,-61
huawei,-79,226050088321071,40719297129,2024-09-04 05-28-05,28.237.11.197,-1609328205,ims,119.226.235.217,1152271622,12411978,-8583,-68
huawei,-82,226054112732231,40725270122,2024-09-04 05-29-28,58.16.55.133,653931640,internet,149.231.109.187,464312622,815419055,22115,-9
huawei,-108,226055824600029,40739592700,2024-09-04 05-29-16,6.135.236.96,-1523903174,ims,184.40.244.48,-1218957469,-1724439042,14480,-118
huawei,-39,226055933884896,40757547633,2024-09-04 05-25-11,21.171.54.142,458078227,ims,5.0.89.138,1933267725,-1274296687,15848,48
huawei,-110,226051569153939,40753064080,2024-09-04 05-25-13,185.82.8.33,-1636988747,internet,18.247.211.183,-172592916,-1405505133,-20912,54
huawei,-5,226054301149008,40759153316,2024-09-04 05-27-47,192.139.237.82,-1209293967,internet,245.110.236.20,-1313870288,-599550621,29897,80
huawei,60,226051975164008,40710923273,2024-09-04 05-25-56,157.84.143.104,-1789065513,ims,186.105.53.70,-2132201428,949800806,11146,-77
huawei,22,226053385723657,40777388037,2024-09-04 05-28-01,113.191.255.78,-1995138101,ims,92.217.151.35,1488220660,2030670112,12773,-5
huawei,32,226050004396909,40720856362,2024-09-04 05-29-47,81.6.203.237,174860030,ims,25.195.218.62,-65329733,-19225391,-13765,-99
huawei,104,226055818083258,40715917341,2024-09-04 05-27-34,237.240.41.55,1085655287,ims,47.139.91.81,-826596172,-107312654,-2371,-21
huawei,92,226056097125646,40723520774,2024-09-04 05-26-31,59.212.220.55,-352909664,internet,50.140.255.112,443619665,440873317,-22929,-20
huawei,74,226055546439259,40737439512,2024-09-04 05-26-36,143.174.216.84,1489564434,ims,158.89.76.119,-1689771827,1296945466,13550,103
huawei,-12,226051872947275,40792956793,2024-09-04 05-28-40,92.115.32.247,-768066460,ims,180.22.85.114,-2127573955,500560593,14901,116
huawei,15,226057681777334,40725541811,2024-09-04 05-28-23,76.139.152.112,248229323,ims,5.204.164.129,-243320865,1040025252,-24082,114
huawei,-75,226054503362185,40721566102,2024-09-04 05-25-57,32.240.142.73,1021323448,ims,71.66.249.109,-1243510782,-871863235,-3434,122
huawei,16,226059001738100,40714967176,2024-09-04 05-25-38,18.28.184.114,719148026,internet,148.15.135.187,-1692154821,1089442268,-16473,-109
huawei,102,226053071539019,40771504288,2024-09-04 05-25-58,155.178.137.176,634097715,ims,176.43.161.215,526590772,1005182122,13997,86
huawei,1,226058102766301,40719421480,2024-09-04 05-25-05,217.65.156.24,-1581043224,ims,17.8.195.173,-372914004,329793449,20489,51
huawei,-53,226053259703839,40768263589,2024-09-04 05-26-00,78.146.172.89,-1334989654,ims,195.168.243.235,-452628821,890718464,-10314,36
huawei,-75,226050859852873,40736094972,2024-09-04 05-26-39,171.151.220.0,1164327904,internet,156.19.41.178,-50705990,1599283865,-2940,-54
huawei,82,226054640025152,40720209650,2024-09-04 05-29-18,124.116.173.22,1409103231,ims,14.108.12.201,-1188951998,-503895596,10988,82
huawei,79,226058990706687,40780153843,2024-09-04 05-27-29,44.167.114.230,1620418102,internet,61.141.253.184,467372462,-1262844554,-25735,-89
huawei,48,226051155385734,40707342539,2024-09-04 05-29-27,205.46.38.79,-662040020,internet,91.232.181.164,1881634028,-1151496559,18230,-16
huawei,103,226053783446260,40758542266,2024-09-04 05-29-58,64.246.107.96,-573031053,internet,97.96.132.183,-238004615,990298163,2516,61
huawei,-13,226058350741259,40779744241,2024-09-04 05-29-57,29.164.221.221,1661784742,ims,38.151.32.27,1479053684,892759645,30278,6
huawei,-65,226059165339186,40703880680,2024-09-04 05-25-16,78.226.126.98,2129898263,internet,212.253.137.65,761577104,116894949,-10276,40
huawei,31,226059191378384,40747818627,2024-09-04 05-28-39,129.58.124.157,852833418,ims,255.111.88.2,-501535068,-2141027204,-4126,85
huawei,-20,226057871132320,40755447437,2024-09-04 05-27-17,37.227.141.27,-2031124109,internet,2.115.27.236,-1582839065,280271374,-26972,77
huawei,-8,226059667096177,40761589713,2024-09-04 05-25-21,127.149.118.19,1876682301,internet,65.91.213.89,99995251,-146599993,-821,112
huawei,-16,226058503543914,40747803294,2024-09-04 05-29-18,146.97.205.154,1322683312,internet,100.14.177.5,-675711346,825049773,-576,115
huawei,90,226056313341412,40778264930,2024-09-04 05-29-02,8.174.182.177,937137493,ims,74.115.80.236,-1022027578,-1521559195,-31348,-36
huawei,39,226058145484047,40792764861,2024-09-04 05-28-11,120.104.139.166,-1251516273,ims,115.131.168.186,-27039203,1121632138,-28430,112
huawei,-116,226059018226886,40739100641,2024-09-04 05-25-44,244.183.51.75,1776985737,internet,63.53.34.28,1610102180,-665434758,19030,-113
huawei,5,226050074080999,40774595286,2024-09-04 05-26-34,58.9.250.252,-655215360,ims,244.92.194.144,1025677754,-274537422,28103,-41
huawei,48,226054468853534,40703769896,2024-09-04 05-26-46,49.173.86.100,1558996214,internet,235.218.149.124,1037906066,1882669358,12991,-24
huawei,82,226055114741058,40751866239,2024-09-04 05-28-30,125.54.139.143,1352140637,ims,2.229.252.171,949070018,1518809867,-20003,-44
huawei,52,226058446405102,40791148912,2024-09-04 05-28-35,167.215.48.12,-40379499,internet,248.4.194.177,-1712057706,-202067909,-1445,-106
huawei,-72,226058048471589,40761832371,2024-09-04 05-25-53,115.107.162.193,1662536204,internet,41.34.19.16,2101063552,-783418587,-1671,69
huawei,124,226052180151949,40735674605,2024-09-04 05-29-51,221.244.151.53,-748233897,ims,217.47.66.139,-1968162908,-1841260887,-15970,77
huawei,46,226059311564908,40780301689,2024-09-04 05-28-49,103.137.23.118,336153612,internet,14.235.125.206,606272208,1880368397,8015,-86
huawei,26,226054051054467,40789050783,2024-09-04 05-28-16,148.48.58.11,902862191,internet,93.69.228.196,57538213,-1996658020,13398,3
huawei,115,226053826954670,40758291553,2024-09-04 05-25-19,195.167.30.60,-650191669,internet,12.28.181.157,503121408,846906102,-19995,-106
huawei,-122,226054822447233,40703282910,2024-09-04 05-26-27,147.23.217.17,-934115522,ims,95.43.51.117,1373931272,-1702983880,-4203,-34
huawei,6,226051671146774,40711061782,2024-09-04 05-26-33,12.247.183.183,461553432,ims,79.31.219.130,595961613,1572933502,-20348,47
huawei,45,226056505542086,40773107348,2024-09-04 05-25-19,237.60.186.84,1341572937,internet,133.147.109.174,-1723495144,-2104908814,17224,-16
huawei,82,226051770316294,40783238531,2024-09-04 05-27-39,3.153.139.48,-1442766113,internet,208.4.92.122,1683763988,-1063112466,25293,-63
huawei,-105,226058556286193,40754406215,2024-09-04 05-28-42,2.30.221.208,-139850817,ims,79.144.59.173,-390577364,-635622267,-4695,-20
huawei,79,226056727943696,40778072240,2024-09-04 05-27-22,97.124.69.227,-1906955527,internet,9.252.102.205,-1406304871,80793978,16123,113
huawei,4,226058649092370,40759138740,2024-09-04 05-27-43,159.70.181.117,1323453018,internet,121.113.64.166,-44760670,-271092538,-25622,-67
huawei,27,226052347612744,40781155495,2024-09-04 05-26-39,156.29.207.239,-1622167676,ims,69.43.154.37,-675979281,-1468376481,-14630,-127
huawei,56,226055563502536,40752342597,2024-09-04 05-29-35,0.144.193.126,1568141810,internet,241.50.143.178,1382961508,517541983,5200,54
huawei,-116,226051335575481,40725714347,2024-09-04 05-27-31,237.132.184.184,-899293523,ims,58.51.187.101,1020931402,-1084957537,-30654,-99
huawei,-94,226057009927430,40742383402,2024-09-04 05-27-53,165.73.226.42,1354324044,ims,226.181.119.110,-1251062113,193215807,-29179,126
huawei,21,226051283236084,40747976619,2024-09-04 05-28-58,56.206.170.179,1626816969,ims,47.204.237.169,1706848986,1683803658,27992,-119
huawei,-93,226058282079327,40773967754,2024-09-04 05-27-23,43.161.171.236,-2026753401,ims,18.241.245.200,759438346,-162253291,-20607,71
huawei,1,226050190540305,40767531463,2024-09-04 05-29-43,253.90.76.218,1700748447,internet,121.25.100.232,1848258174,772705410,-26817,-126
huawei,-87,226054542276099,40713800963,2024-09-04 05-28-37,100.151.51.114,100908846,internet,70.120.6.101,1498679486,2145646622,18558,6
huawei,-76,226058535394532,40772279343,2024-09-04 05-25-52,249.164.206.81,1798009869,internet,20.18.28.138,-1452490899,-1755742248,-14019,-64
huawei,-15,226058259549827,40777465128,2024-09-04 05-26-14,115.28.20.100,567804324,internet,140.179.181.253,-844589879,-1031600530,-3009,116
huawei,-90,226052716832174,40701978983,2024-09-04 05-30-00,186.148.76.52,-1167284602,internet,108.199.225.228,1618680697,634467661,4782,-66
huawei,62,226053901935245,40791684506,2024-09-04 05-27-43,163.149.0.162,17047781,internet,31.78.249.210,1454866044,1378661431,10605,-96
huawei,110,226059100808510,40746236778,2024-09-04 05-28-28,45.35.182.51,2030988760,internet,248.29.201.223,288511790,-2110720460,-22973,77
huawei,49,226050206135123,40740085623,2024-09-04 05-28-20,190.192.17.180,-810993422,internet,33.22.91.176,-643108431,288386338,-22824,75
huawei,51,226053366708472,40774512148,2024-09-04 05-26-59,67.233.111.195,-1141471137,internet,108.205.83.156,-1238816581,-925158144,-2926,116
huawei,116,226053183309373,40742142568,2024-09-04 05-27-59,178.124.212.127,457667039,internet,251.141.87.97,1387286376,-590088372,-67,36
huawei,108,226058494745710,40754060609,2024-09-04 05-25-02,101.17.84.12,-1920130788,internet,53.153.123.22,-1562844138,-191209146,13236,-20
huawei,86,226052191077171,40796308127,2024-09-04 05-26-27,126.16.201.128,272292872,internet,77.102.134.198,1395422738,-928984837,18269,-23
huawei,-24,226051921127898,40747290940,2024-09-04 05-25-02,51.248.125.20,-1661805626,ims,230.64.88.66,-1448216504,-928632125,24852,34
huawei,2,226056154467409,40732045939,2024-09-04 05-25-26,27.147.229.100,-2034299932,internet,111.106.82.188,1391207934,1105287913,4123,-36
huawei,51,226058228594085,40737663477,2024-09-04 05-29-09,2.24.241.80,-1465346339,internet,133.200.240.194,422243166,1704870985,-3258,-84
huawei,-127,226050593315164,40770939076,2024-09-04 05-26-51,235.15.116.23,-1682677464,internet,3.103.0.138,-1927937189,1092219806,5869,90
huawei,125,226051946686064,40784915104,2024-09-04 05-25-54,133.74.237.160,91049781,internet,58.75.235.56,1820592554,25858549,21341,-14
huawei,-119,226058483687405,40765268684,2024-09-04 05-26-56,178.168.41.105,1423107839,ims,241.67.224.75,1759441401,339160939,-16161,88
huawei,-35,226059591632106,40777652620,2024-09-04 05-29-05,247.251.98.133,2008092604,internet,46.9.123.33,1296894509,891952392,-17663,-41
huawei,55,226050863303085,40737321134,2024-09-04 05-26-28,89.140.159.79,537174115,ims,73.219.40.198,568547082,294631988,-23510,-59
huawei,-64,226052518357847,40735314316,2024-09-04 05-25-16,38.1.51.145,640305109,internet,52.229.52.57,-962678022,4515852,21070,94
huawei,-65,226059409278562,40704235850,2024-09-04 05-27-31,230.44.85.60,-1542916901,internet,238.192.89.106,-538531180,-1777140647,-24283,80
huawei,12,226059866984574,40785528370,2024-09-04 05-27-18,253.175.44.81,-483632951,ims,3.90.2.104,-1241923968,-1855298167,-832,88
huawei,114,226053311542591,40771789360,2024-09-04 05-28-53,203.79.42.77,1530827506,internet,192.135.174.84,1229662355,518861516,-2084,22
huawei,-43,226058520059099,40736421793,2024-09-04 05-29-53,97.56.107.160,-1392945280,ims,112.72.156.229,-321499577,1532127752,14478,50
huawei,115,226055115372086,40709302445,2024-09-04 05-26-33,215.2.214.84,1397171585,ims,208.201.108.29,-1580531538,819517926,25066,-67
huawei,47,226057685848624,40700512158,2024-09-04 05-26-50,52.147.68.74,851310663,ims,226.41.214.78,-1860197640,730793491,-20922,114
huawei,97,226053573498357,40789409535,2024-09-04 05-29-04,161.245.56.154,-2062083862,internet,103.196.178.5,-1805459072,-1752813402,-8110,-61
huawei,-113,226057239398452,40737545550,2024-09-04 05-29-49,60.60.185.32,819867456,ims,99.175.52.186,1064091737,173029046,11733,24
huawei,-15,226057510234314,40784393245,2024-09-04 05-25-42,205.219.192.157,-1934168954,ims,228.239.236.178,1728767961,1534770543,-16993,67
huawei,21,226052779281132,40776433545,2024-09-04 05-28-58,31.71.36.25,1570673846,ims,52.209.150.169,-1150568490,-1986107199,-30831,-116
huawei,-17,226056435683410,40763788329,2024-09-04 05-25-54,135.33.159.128,-728254047,ims,189.108.154.14,632615753,-1322979713,-18592,-106
huawei,16,226056675374746,40764083318,2024-09-04 05-28-58,88.106.151.41,743100688,internet,239.150.161.37,196497338,1174938669,-14467,-26
huawei,-59,226058699893531,40750115365,2024-09-04 05-27-38,10.231.98.192,332496698,ims,4.184.39.58,1817299123,-144454638,-6449,117
huawei,79,226059193168596,40720305163,2024-09-04 05-25-58,160.46.247.178,-1995770962,internet,232.1.59.211,-1337860601,-241473313,13719,115
huawei,-1,226053273937313,40787460040,2024-09-04 05-26-28,30.145.248.247,-1369536232,internet,164.153.142.174,-907284800,-1251601483,10960,14
huawei,-97,226057044757458,40741783857,2024-09-04 05-27-15,230.161.217.156,1744075707,internet,7.247.12.214,-1705589724,-1146826532,-2391,-29
huawei,-52,226055515090419,40793698652,2024-09-04 05-29-51,119.37.140.162,672836886,ims,152.166.179.149,-403241563,-1344775739,-12118,-128
huawei,44,226055108064579,40706842750,2024-09-04 05-27-53,1.186.65.224,-1903877747,ims,197.110.55.34,-2098222607,-1994189750,14325,-109
huawei,113,226059996564198,40744587004,2024-09-04 05-28-59,145.150.188.141,-790608258,internet,124.201.246.77,-798148201,-1899962827,-10091,-104
