src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,66,226058077250981,40736723343,2024-09-04 05-36-31,65.228.20.224,-384735735,internet,229.223.80.217,-1592383990,-2072839374,14740,-99
huawei,127,226050685101218,40742664433,2024-09-04 05-36-23,18.175.2.63,1256372078,ims,83.141.101.11,-1835077762,784051050,30274,19
huawei,-128,226057172418668,40748219956,2024-09-04 05-39-47,220.58.242.247,-976393672,ims,196.156.235.91,238163958,874048992,-20934,-13
huawei,81,226053059624533,40720482709,2024-09-04 05-38-29,155.148.18.54,-106794831,ims,152.162.160.129,-1506281791,-1555246857,12459,-3
huawei,-8,226052431377893,40758265257,2024-09-04 05-39-04,190.235.0.208,-298137360,internet,165.35.236.97,-1136443634,-1245143640,6732,106
huawei,53,226059849761765,40721709464,2024-09-04 05-39-48,199.234.148.5,1919285281,ims,104.100.44.254,932132616,-1682899453,24224,-34
huawei,111,226057287987096,40747058586,2024-09-04 05-38-45,136.237.127.197,-559772869,internet,222.248.149.209,602892004,-2115329747,3169,42
huawei,16,226051674703055,40781661859,2024-09-04 05-39-10,206.193.47.242,-1476172781,ims,1.60.88.18,907145626,-1705017104,28693,-120
huawei,75,226053321788458,40797548597,2024-09-04 05-36-11,36.141.5.57,908732795,ims,229.195.33.64,-516148034,208938794,-26961,106
huawei,-90,226058266438040,40727616771,2024-09-04 05-38-22,26.159.50.30,-1511121838,ims,145.180.217.104,-1357373392,1449273501,-204,-17
huawei,125,226052417049867,40728379205,2024-09-04 05-38-12,182.182.234.44,2100277934,ims,170.23.45.109,1250163908,-1399918809,22748,89
huawei,-124,226051282627128,40766865253,2024-09-04 05-35-26,170.131.187.64,1879440865,internet,133.235.159.95,1683776217,1305349463,9525,-64
huawei,6,226054650021083,40762248160,2024-09-04 05-39-56,188.57.87.14,-1057808511,internet,39.93.16.165,-670938966,-173996026,-4881,27
huawei,74,226058509205341,40761860063,2024-09-04 05-37-54,52.242.33.200,-397098934,internet,103.24.84.216,374693578,-1909407865,12893,-108
huawei,-89,226055144825729,40729353352,2024-09-04 05-36-58,33.109.85.103,1570382652,internet,191.24.94.47,1376208254,-60104618,-14326,-42
huawei,105,226059597428686,40737407903,2024-09-04 05-37-44,111.131.112.255,-368575806,ims,5.108.116.86,-2107745654,-1122197855,6252,-115
huawei,42,226050133667056,40791914382,2024-09-04 05-35-35,206.218.117.16,-646934898,ims,96.131.68.229,1380823042,-68200703,39,52
huawei,-11,226053143867893,40714826266,2024-09-04 05-37-15,17.122.253.9,-1577930250,internet,149.77.169.115,1703968044,-223597371,-22787,65
huawei,-22,226055242637503,40722022099,2024-09-04 05-35-21,102.230.33.220,1072587575,internet,14.84.198.241,-1808700921,825725731,-32156,56
huawei,-60,226051131680474,40711980881,2024-09-04 05-35-19,193.141.130.206,-1781809912,ims,119.188.242.23,-1285100603,-542425509,-21938,53
huawei,-87,226050246291579,40752538152,2024-09-04 05-36-06,252.183.221.167,-1618603602,internet,247.246.205.73,-1584605518,752444750,5594,-80
huawei,-69,226051636469128,40794023196,2024-09-04 05-35-06,104.114.39.20,1683588192,internet,156.126.221.113,258442030,-2139741823,-17486,10
huawei,-44,226050134566727,40761391060,2024-09-04 05-36-50,195.34.157.200,381811308,ims,26.37.219.202,-1945118557,-300083333,21012,-124
huawei,-4,226056240936449,40743446941,2024-09-04 05-38-27,101.242.89.129,549153728,ims,191.101.0.52,-1589535384,-156998462,1874,-64
huawei,97,226059682840695,40786318805,2024-09-04 05-39-22,159.7.147.120,-1960871735,internet,250.8.142.179,90079640,-188452528,-20094,-12
huawei,21,226053650036649,40742991952,2024-09-04 05-37-29,227.118.48.218,1962780653,internet,158.17.214.71,-156825200,719483615,-21738,-71
huawei,94,226055243251231,40799867843,2024-09-04 05-36-15,231.156.7.7,1220430352,internet,54.253.127.199,-1858290681,1457342325,-28843,-45
huawei,-68,226055054859174,40741103609,2024-09-04 05-35-45,51.68.171.150,-755224672,ims,8.215.201.33,1706257865,-1869474447,-32677,102
huawei,-86,226051623615941,40749602295,2024-09-04 05-37-00,172.117.226.220,-458091539,ims,100.47.132.91,960336897,-1935981273,-9532,-73
huawei,-16,226050896385389,40794121542,2024-09-04 05-39-19,222.222.162.10,705948183,internet,115.164.226.7,-796539831,-185085402,-322,-66
huawei,-86,226052273896444,40793538250,2024-09-04 05-35-04,212.191.179.128,-13667683,internet,99.73.1.236,-2083542698,2014856071,9958,46
huawei,106,226059227829622,40786887282,2024-09-04 05-38-28,175.160.94.75,-1283274891,ims,55.196.117.81,-1052921347,400838574,8641,111
huawei,28,226055470771417,40728987552,2024-09-04 05-36-25,92.89.121.223,-1698185934,internet,6.207.154.38,2086616722,-531143770,-1093,-55
huawei,116,226051844532395,40794011978,2024-09-04 05-36-18,48.233.103.249,-1354772333,ims,87.122.108.131,1636528517,-2000940861,-31150,-2
huawei,-71,226052678615669,40743355505,2024-09-04 05-37-29,36.59.85.253,-1447969663,ims,199.138.149.201,1089535210,1074771877,-19709,113
huawei,118,226059992408526,40730643822,2024-09-04 05-36-48,243.23.238.217,439350712,internet,139.160.229.160,-1286731205,1504492456,-17212,113
huawei,-3,226054783412885,40759081003,2024-09-04 05-36-15,164.175.167.251,1896383941,internet,155.83.108.121,-455499033,505243458,6959,10
huawei,-119,226055883322923,40764223823,2024-09-04 05-39-22,112.166.17.109,588860638,internet,144.74.234.192,-709671145,463482257,26637,94
huawei,121,226058859205480,40759285199,2024-09-04 05-38-14,88.115.163.57,-1383793377,ims,104.225.230.96,-1917152086,-1481007288,30698,-106
huawei,29,226055410398206,40778871905,2024-09-04 05-37-31,178.164.141.107,-822965544,ims,142.83.36.219,799681594,818101667,21657,-80
huawei,0,226054360813537,40709720558,2024-09-04 05-36-12,117.113.74.97,-1521756739,ims,113.128.12.70,443177206,-70145167,-6615,4
huawei,-19,226055637658889,40776101262,2024-09-04 05-38-05,11.245.48.120,472452397,ims,189.91.249.237,1617245144,887315596,-28414,-117
huawei,-92,226055759818121,40704601828,2024-09-04 05-39-31,143.124.152.251,-812974427,ims,70.137.124.82,-2007867950,1080062618,-3466,91
huawei,-90,226054762599636,40719472022,2024-09-04 05-38-03,88.199.141.233,1357488152,internet,167.69.218.253,1302335800,-265706554,30477,63
huawei,-16,226055133464293,40713322082,2024-09-04 05-36-06,82.212.239.87,-1076134934,ims,215.54.192.232,367975972,-1987624357,-31112,86
huawei,-125,226057389178104,40777508457,2024-09-04 05-39-51,150.112.204.101,1890288157,ims,86.28.91.71,25591183,-336349866,18412,121
huawei,-38,226052801962714,40741764897,2024-09-04 05-38-29,82.43.164.65,874640900,ims,194.177.66.180,-1697860965,2099250044,28893,75
huawei,-104,226057970061555,40788338140,2024-09-04 05-36-13,158.185.54.89,-573171154,ims,103.107.51.145,-1880744209,1502844810,25171,-28
huawei,-45,226058190259552,40751533777,2024-09-04 05-38-14,85.242.125.142,-283077670,internet,185.11.237.169,-1250166348,-247939768,9837,-120
huawei,29,226057025589649,40720457180,2024-09-04 05-36-17,86.85.250.51,-930755723,ims,54.64.93.62,-463700738,-10694492,-32389,60
huawei,-109,226054284262838,40788287811,2024-09-04 05-38-30,20.213.22.24,-1461894804,internet,218.187.169.221,1863347795,1300630587,-22143,53
huawei,124,226057253254756,40731129239,2024-09-04 05-37-10,56.103.185.250,1859144907,ims,237.180.161.210,-83449933,-851842828,-70,66
huawei,85,226054207621305,40712136799,2024-09-04 05-36-29,32.30.37.52,245370362,internet,30.135.0.54,-201655584,-34844716,-26441,-60
huawei,8,226053083025965,40742965176,2024-09-04 05-38-58,232.90.203.131,790818989,internet,50.150.254.235,1130489896,-1864013366,4746,-126
huawei,-57,226059910253364,40763771334,2024-09-04 05-36-50,165.255.80.80,1434229969,ims,204.248.156.222,-1378043415,113447452,29767,44
huawei,-30,226056730665279,40738663002,2024-09-04 05-38-22,222.11.56.122,1152526810,ims,67.94.88.68,470482958,-730077058,19410,92
huawei,-104,226055897106863,40761832626,2024-09-04 05-38-15,3.34.60.77,-2039747418,ims,207.195.236.82,-1672774216,-1442865726,-27526,97
huawei,-103,226050347550453,40732104006,2024-09-04 05-36-50,127.19.254.242,-2124755097,ims,89.39.235.57,-989186022,-994236323,7325,-45
huawei,-87,226055998260616,40736738047,2024-09-04 05-38-04,66.222.29.89,-246058387,ims,72.244.106.119,-488753455,-1130239060,-19160,116
huawei,50,226055281282785,40700642848,2024-09-04 05-39-46,92.175.18.171,-1126278835,ims,203.206.237.143,-1319849546,-1432075164,24800,13
huawei,-69,226056523924401,40770734967,2024-09-04 05-38-02,242.99.186.128,1939296854,internet,44.170.241.64,1923588357,-1784189273,-22224,-118
huawei,69,226053450670253,40733094876,2024-09-04 05-39-21,220.31.126.164,-1617852771,internet,58.183.209.196,1232975334,-1233357219,3262,6
huawei,81,226057779301532,40781507111,2024-09-04 05-35-48,164.155.85.33,-342483609,internet,5.193.67.96,-190405379,-1664317796,-7764,17
huawei,-27,226053792602510,40759750530,2024-09-04 05-39-42,20.44.4.75,-1536172285,internet,220.144.40.134,637822424,-1054661802,-31866,-7
huawei,-9,226052618987287,40712113357,2024-09-04 05-35-59,183.205.195.242,942218779,internet,129.146.232.89,1183718557,-2099697791,4759,-22
huawei,85,226052500248600,40767406476,2024-09-04 05-35-32,174.4.214.157,-383005330,internet,34.210.108.141,-513174934,2068212421,11853,-36
huawei,-61,226054911376737,40765226274,2024-09-04 05-38-14,112.128.141.99,1487569922,internet,216.245.147.109,2000898571,-92075806,-21290,-97
huawei,40,226056702234653,40749442764,2024-09-04 05-35-44,250.118.40.251,158642271,internet,166.255.37.204,-1843472774,-307294939,19744,-33
