src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-102,226056904195691,40706944341,2024-09-04 05-40-09,236.98.173.54,949794309,internet,183.102.173.36,1802812922,-1457525083,2788,57
huawei,-110,226055374555940,40720079875,2024-09-04 05-43-41,86.244.107.152,554023071,internet,211.230.69.227,-862362967,1334407767,11030,58
huawei,63,226055698610188,40772051176,2024-09-04 05-40-44,187.212.190.96,364402535,internet,181.81.211.231,2115049210,251399665,-3201,-42
huawei,-46,226055417063896,40790599514,2024-09-04 05-43-52,183.151.187.26,-2091340907,ims,108.189.143.14,1158715900,377729960,-27075,76
huawei,-98,226052655731479,40758969211,2024-09-04 05-43-11,190.58.26.24,862110262,ims,39.158.124.30,-1334948300,-1444398511,-3973,-65
huawei,-57,226055717374590,40792909453,2024-09-04 05-43-36,64.2.223.99,1710389200,internet,65.94.211.180,-420654494,-578691448,-3074,24
huawei,-75,226056188305980,40728961653,2024-09-04 05-41-57,199.205.157.156,1450373383,internet,23.66.54.29,1930584768,-791828372,-17971,-64
huawei,-80,226056832223185,40702068217,2024-09-04 05-43-16,41.249.227.238,-2004384884,ims,148.184.114.225,-1694141178,404288946,11551,-37
huawei,-2,226058290763293,40721091491,2024-09-04 05-40-41,144.85.245.145,-73517952,internet,169.155.92.84,-336928965,-316729695,22004,99
huawei,-59,226058810734656,40725014660,2024-09-04 05-43-05,220.229.122.41,-650548832,ims,39.211.118.230,-807358346,-1390993156,6223,88
huawei,-25,226058312605720,40702836967,2024-09-04 05-40-11,238.11.168.194,139961459,ims,209.126.134.67,1459290048,-1028226030,16581,-79
huawei,116,226056209255966,40770587549,2024-09-04 05-41-31,115.231.124.110,2114421793,internet,123.76.205.89,539807710,-1136168715,-2423,16
huawei,-50,226058689289940,40794897841,2024-09-04 05-43-05,137.102.128.104,1822585704,internet,60.216.205.73,-1353766783,1913622652,16467,-123
huawei,-7,226059550805517,40739044594,2024-09-04 05-42-56,185.20.101.30,2021993177,ims,250.171.87.128,-276793418,-1432131886,-29183,-58
huawei,26,226055188026864,40719417476,2024-09-04 05-43-43,176.227.230.213,-572216969,ims,104.200.97.248,1895926857,-823707941,-30202,76
huawei,-117,226055070795944,40745598219,2024-09-04 05-44-18,27.65.30.157,-1850845425,ims,130.148.145.210,801782735,-1605791763,-18508,5
huawei,-69,226056243101790,40764336025,2024-09-04 05-41-30,122.227.13.237,255104547,ims,208.203.194.83,46532244,313612769,-30055,47
