src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-13,226051095445985,40791994196,2024-09-04 06-59-54,131.45.184.1,-1526475714,ims,58.50.174.8,-1869368540,-2125356881,-10534,127
huawei,95,226059992269641,40790879119,2024-09-04 06-58-16,126.184.77.19,481725920,ims,181.245.248.182,-852646405,593191400,-28037,-40
huawei,123,226053791998937,40754673758,2024-09-04 06-55-02,60.102.65.61,1808733758,ims,126.226.197.132,-1422755396,-772422664,-6714,59
huawei,1,226051202707518,40731127752,2024-09-04 06-57-24,227.237.240.173,-1869302256,ims,24.241.14.2,-1422442236,1181250783,17955,-121
huawei,-34,226057505041299,40723285388,2024-09-04 06-57-40,81.253.88.57,-1848282181,internet,223.243.253.9,-1494547355,942290412,-32080,69
huawei,12,226056820542554,40762039710,2024-09-04 06-56-27,233.193.118.211,586892927,internet,152.120.246.216,1981357202,-1783876479,6039,16
huawei,57,226059087237902,40743332781,2024-09-04 06-58-46,231.211.249.25,-708782026,internet,252.58.113.109,2074149027,-1133782113,27562,101
huawei,-53,226058749382237,40797984530,2024-09-04 06-57-27,80.192.28.190,845648208,ims,211.205.188.219,346914859,-789924151,-24604,-65
huawei,77,226055913272178,40758930199,2024-09-04 06-59-25,106.172.135.58,592257057,internet,23.13.249.87,-906301791,1389927827,-13330,-69
huawei,2,226059618994038,40742663348,2024-09-04 07-00-01,211.152.85.115,-180036134,internet,162.87.212.39,-2049996599,107894323,-21945,73
huawei,109,226056117862922,40706790885,2024-09-04 06-58-08,179.153.125.172,-1277724053,ims,26.13.69.95,15453658,-1936916785,32639,-107
huawei,93,226054824506882,40732676177,2024-09-04 06-57-22,155.6.29.134,-306779153,ims,119.209.55.44,13413528,661581699,-1719,-16
huawei,-115,226052720469295,40750314418,2024-09-04 06-57-48,19.110.98.107,1805802840,internet,236.48.224.52,1505558310,-881162938,-31646,60
huawei,94,226057007375203,40733879732,2024-09-04 06-55-10,207.228.64.95,-301886648,ims,255.186.218.126,-960987974,-1326638039,-14243,121
huawei,-97,226059106523953,40799140301,2024-09-04 06-58-09,165.190.188.103,-1650884238,internet,195.140.10.86,-27645142,1699466737,-7560,59
huawei,127,226058978358790,40785639816,2024-09-04 06-55-14,252.94.197.93,-2054542579,ims,112.27.5.102,-1472123798,774519555,27344,-74
huawei,11,226052693287335,40723777196,2024-09-04 06-58-28,46.123.74.243,-454640895,internet,189.193.49.92,-1326685289,-605729338,8609,-41
huawei,23,226056704785190,40723736687,2024-09-04 06-55-08,91.74.23.175,1118925053,ims,194.137.215.76,523409602,68543446,-21748,56
huawei,-41,226052357381927,40749084685,2024-09-04 06-56-26,104.58.49.74,-1345740053,internet,187.160.254.54,867548576,1668782714,20169,121
huawei,-77,226052692381336,40761914471,2024-09-04 06-59-00,20.17.79.10,-105776504,ims,162.144.195.101,-549829163,-102694024,-79,34
huawei,103,226057331134236,40746285832,2024-09-04 06-56-02,30.153.7.224,212853622,internet,19.230.122.242,-286326340,1552576136,26053,127
huawei,-24,226058323274681,40762498360,2024-09-04 06-57-09,202.16.235.130,-1560276912,ims,13.162.79.46,252058267,940243347,-17010,-82
huawei,103,226054312008456,40752170348,2024-09-04 06-57-15,176.28.40.244,-43469334,internet,132.84.210.7,2130624404,-544038402,10256,55
huawei,-13,226057591139811,40750036093,2024-09-04 06-56-00,160.162.36.115,1474605427,internet,250.182.169.171,1825443660,461669521,-13098,-35
huawei,-70,226052617960453,40796085233,2024-09-04 06-58-08,39.126.33.230,-1420478133,ims,241.50.151.2,1468329609,638078820,-29602,-57
huawei,29,226058144285674,40797444954,2024-09-04 06-55-06,28.154.101.206,-347318498,internet,60.30.19.224,1840498289,-1599634572,11929,6
huawei,-45,226051054358943,40728435601,2024-09-04 06-57-59,51.132.55.194,-1599857948,ims,183.108.11.191,-857998033,477868229,22981,-59
huawei,6,226058144592509,40712646189,2024-09-04 06-55-58,219.181.175.195,789924372,ims,12.240.72.200,-2054940804,1112075014,-20767,-69
huawei,127,226057835509980,40717267657,2024-09-04 06-59-39,142.216.187.175,1808799065,internet,137.133.244.255,-1185996998,-1353454404,8112,78
huawei,-15,226058941403020,40765783897,2024-09-04 06-57-29,200.24.187.235,-1681569943,internet,208.245.87.90,2059059791,1053853909,-8530,-95
huawei,-99,226052781013276,40746320696,2024-09-04 06-55-44,147.83.214.231,39534432,ims,82.168.97.152,580516174,103571835,15944,-68
huawei,-125,226059088467371,40774967746,2024-09-04 06-57-43,200.220.157.67,-1325623221,internet,28.86.205.236,-1976530112,579590163,5440,17
huawei,-83,226058430454205,40731934028,2024-09-04 06-58-43,191.239.197.181,1389091228,internet,187.141.85.19,-705683944,1707655920,22498,76
huawei,28,226058736973110,40762497892,2024-09-04 06-58-59,167.162.44.148,988962816,ims,9.12.224.31,-172194007,664424647,25980,-76
huawei,-120,226059775456415,40793451632,2024-09-04 06-56-28,207.92.238.167,-1517106041,ims,58.84.54.137,2108043201,492623973,-5462,-27
huawei,-27,226058919958964,40783662105,2024-09-04 06-59-42,103.174.183.127,-1921463685,ims,248.126.102.62,1860875406,-32148138,-13704,-43
huawei,102,226054450778386,40795340985,2024-09-04 06-59-56,193.167.192.100,-1666896684,internet,173.86.194.192,-184689651,1664136232,-7725,112
huawei,65,226056297616860,40769597195,2024-09-04 06-58-23,184.249.62.85,452416382,internet,55.73.74.204,756795186,497455747,17671,-28
huawei,-62,226054127168151,40713367217,2024-09-04 06-57-50,58.108.24.31,-2126346769,ims,215.201.216.21,1987713909,-770820814,30920,-25
huawei,-108,226054290818186,40731541305,2024-09-04 06-57-43,83.251.189.89,324469564,internet,13.254.14.201,1819971740,1492537831,-31001,58
huawei,112,226050540499993,40791970442,2024-09-04 06-55-35,97.90.78.109,947260697,internet,133.55.146.80,426400770,940530489,14001,-7
huawei,112,226052027176549,40733434496,2024-09-04 06-56-48,226.215.214.71,-928756380,internet,240.197.138.72,12760742,-1634361099,-12964,57
huawei,72,226057860205219,40788231454,2024-09-04 06-56-58,167.77.181.56,-1350463892,internet,121.5.91.101,-1271819925,-1986714288,29983,-41
huawei,29,226052057838603,40728367250,2024-09-04 06-57-11,41.176.186.241,-1079783922,internet,136.117.35.70,-45638615,-482026499,-21110,102
huawei,33,226052656591805,40734287062,2024-09-04 06-57-54,225.52.47.199,-1333207939,ims,22.224.112.89,642543777,-447057984,-13138,57
huawei,104,226054304157568,40708944600,2024-09-04 06-55-44,157.103.100.99,930532213,internet,38.12.146.211,597105666,-1799446424,13504,-118
