src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-40,226055922286791,40711833000,2024-09-04 07-13-27,57.219.77.158,1584046551,ims,188.55.158.185,194875097,1518538879,16157,6
huawei,120,226055763659309,40701694085,2024-09-04 07-12-26,148.24.145.241,1131595349,ims,201.52.70.151,-205007211,151801986,-14712,-75
huawei,-20,226055131410683,40795324604,2024-09-04 07-11-53,165.51.137.68,-1550598992,internet,142.176.201.54,512122437,-1602921635,-31193,-35
huawei,31,226050146158697,40735837523,2024-09-04 07-12-07,26.189.216.233,2074848659,ims,197.84.155.183,-1006195812,-958476794,-12741,-22
huawei,-92,226059895750088,40700614494,2024-09-04 07-11-32,189.61.220.99,-1955958029,ims,182.72.78.138,-551010753,-1968325744,-12572,-88
huawei,-58,226055796720808,40722900987,2024-09-04 07-12-39,109.91.131.225,-525617779,ims,47.198.251.47,2082699662,-1929712561,12019,59
huawei,-56,226053602277301,40785778662,2024-09-04 07-11-45,115.227.120.126,-43133114,internet,99.76.106.48,-916037284,-21773878,-14248,-75
huawei,2,226058520194513,40759427529,2024-09-04 07-11-51,246.227.60.184,-1194131017,ims,124.85.117.14,-254773239,425809775,27346,72
huawei,-28,226051704697210,40792030588,2024-09-04 07-14-04,216.94.27.22,-769444340,internet,211.39.24.200,-379103493,2110581943,29254,32
huawei,-19,226052537660894,40784525241,2024-09-04 07-10-59,74.210.176.251,826251346,internet,251.96.51.11,1902369724,-1377479792,4791,44
huawei,-121,226057265260106,40713755116,2024-09-04 07-14-25,99.10.41.152,-591735603,internet,137.199.136.113,503571759,-2140440802,-1430,-52
huawei,126,226054518639181,40758171029,2024-09-04 07-13-06,245.197.235.76,-707592367,ims,5.127.25.88,-1411739574,-1687836850,17685,-45
huawei,62,226057790526440,40737827081,2024-09-04 07-14-07,115.100.168.58,810367477,internet,64.212.203.8,-938053675,1719779390,-28554,-127
huawei,-72,226053905011604,40745242568,2024-09-04 07-11-57,141.191.32.88,-1271839913,ims,33.81.98.35,-374386878,1084528918,29133,-88
huawei,24,226052529890933,40775985700,2024-09-04 07-11-02,212.202.146.107,-569338113,ims,95.172.163.58,809334069,1736746737,-200,-78
huawei,-57,226054931423223,40732467036,2024-09-04 07-14-53,133.53.59.38,-1813759816,internet,195.63.121.34,1028940463,670151881,2318,-85
huawei,19,226050192545947,40768523927,2024-09-04 07-14-11,169.3.10.128,392758465,internet,72.65.153.168,-622671035,1467727071,-23145,121
huawei,95,226059163456632,40702225532,2024-09-04 07-13-57,196.96.80.149,1571634193,internet,91.52.199.28,413428864,-230482552,2837,76
huawei,-127,226052022399854,40702246469,2024-09-04 07-11-14,139.67.139.136,42322402,ims,183.194.174.79,-1875384712,1506497184,21012,-108
huawei,-44,226054359957833,40776153868,2024-09-04 07-14-56,175.86.88.3,-812097605,ims,139.245.100.28,1158006303,1783001434,30985,-102
huawei,7,226053870688129,40733085811,2024-09-04 07-13-34,5.252.39.83,1277980417,ims,72.62.245.139,-1863385195,1060705943,-10361,24
huawei,114,226056836329928,40752115271,2024-09-04 07-13-22,8.49.23.54,1975484181,ims,118.53.74.47,-1785310007,-1192808230,-32398,60
huawei,38,226055980092525,40740173853,2024-09-04 07-10-23,209.98.32.36,815828421,ims,50.253.76.220,-1658912449,-2066477055,-25789,77
