src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,29,226058490725539,40761574446,2024-09-04 07-16-17,122.213.245.46,1571444102,internet,255.233.192.219,1236831243,-1304181780,23805,-10
huawei,119,226053342585309,40719642466,2024-09-04 07-19-11,81.109.161.84,-598932030,internet,52.4.247.95,2101926744,1107190774,-30524,79
huawei,-71,226054716448116,40746021918,2024-09-04 07-15-22,122.52.3.223,386948127,internet,243.91.171.143,1990382096,1463711300,-31769,68
huawei,5,226058879442455,40730130224,2024-09-04 07-17-34,186.132.82.28,-2099490807,ims,23.80.228.48,1257283683,452759661,28646,-57
huawei,-114,226058327647113,40742317695,2024-09-04 07-18-32,172.65.254.108,-1934179026,internet,140.21.248.154,-180442394,-1108192485,-6254,96
huawei,32,226056499103469,40715710991,2024-09-04 07-18-30,18.89.79.75,1381192349,ims,37.160.241.111,719607706,-1190337568,16437,-113
huawei,104,226053637635546,40798098283,2024-09-04 07-16-25,194.216.19.5,892588277,internet,213.208.64.180,1015914979,-1673495093,22454,71
huawei,73,226053668188680,40722084070,2024-09-04 07-18-52,218.213.164.214,-895066255,ims,34.42.168.198,994996157,175804624,21149,-11
huawei,-45,226057542759294,40730055602,2024-09-04 07-16-48,62.14.242.221,-131843869,ims,47.44.92.60,-1949742278,1254652805,-7775,-66
huawei,-123,226052171375845,40742468274,2024-09-04 07-18-29,11.187.51.125,-1300971353,internet,120.64.156.247,1418758107,-1339885438,-18789,-92
huawei,-97,226059701158330,40791973815,2024-09-04 07-17-51,247.213.101.63,549131130,ims,136.216.157.43,-791419683,2022952907,25834,43
huawei,35,226050086632652,40744067524,2024-09-04 07-17-22,247.199.116.5,1151478419,ims,183.251.26.170,880700687,1957660834,-30863,-3
huawei,36,226051380136665,40712707978,2024-09-04 07-19-49,107.204.58.154,-253770425,ims,73.125.62.60,-1203951511,-632477573,13180,62
huawei,-110,226050774786381,40709773696,2024-09-04 07-16-18,34.59.197.108,1965734084,ims,211.17.38.159,-1898526596,1869564421,-26480,110
huawei,78,226055177938362,40795049797,2024-09-04 07-16-48,35.73.51.88,-488973370,internet,95.193.201.51,1341509125,-117714456,13610,33
huawei,-29,226054491425650,40787434189,2024-09-04 07-17-30,75.172.207.91,-79547293,internet,67.154.16.245,1087301593,-1364330890,-23857,72
huawei,59,226051200905352,40724804758,2024-09-04 07-15-23,168.38.10.2,-2039673315,internet,235.223.35.26,-141741670,-1738526013,32669,-31
huawei,-84,226054024447690,40795392173,2024-09-04 07-17-02,137.24.156.145,1825373018,ims,248.4.48.118,1259121518,-368661385,1385,46
huawei,44,226050679646184,40712875632,2024-09-04 07-16-58,158.44.89.162,-258194315,ims,217.16.113.204,-1139681022,2145889929,-2352,115
