src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,61,226058606794093,40752917391,2024-09-04 07-21-01,94.153.169.246,1160577460,internet,169.35.32.226,-1486410399,-109266796,-25742,14
huawei,-122,226057708026896,40745057410,2024-09-04 07-24-25,238.169.116.62,-285790371,internet,206.70.218.104,-1724922620,-671729947,-9867,87
huawei,62,226056963943125,40798160144,2024-09-04 07-21-11,182.142.64.39,-1346673992,ims,81.53.22.72,2012952752,697918062,20839,-73
huawei,58,226051051840547,40768385763,2024-09-04 07-20-23,57.180.247.156,1070194333,internet,112.231.189.225,-450163639,-872269338,-22788,-87
huawei,123,226057393977493,40759032819,2024-09-04 07-21-38,91.42.40.186,1968372455,ims,193.111.138.111,-111111137,649100191,-1351,91
huawei,-111,226054949932065,40709512119,2024-09-04 07-20-19,179.206.2.235,-49546450,ims,126.130.14.178,-1776488953,-1208815099,-17250,127
huawei,77,226050649398083,40726143471,2024-09-04 07-22-13,175.20.101.112,1878749235,internet,152.104.103.48,-1873740043,1364690188,18939,29
huawei,97,226052190872832,40784379856,2024-09-04 07-24-29,142.48.114.148,-401210718,ims,191.2.252.209,632421760,-72605075,515,48
huawei,-97,226056914963378,40756206036,2024-09-04 07-23-05,139.12.181.58,1879102325,internet,136.143.216.255,20523344,775424815,-20396,-46
huawei,95,226056153201994,40727559575,2024-09-04 07-24-11,253.66.184.78,1232674260,ims,204.204.197.190,-1739376143,-1911911645,19897,-96
huawei,30,226055528628902,40732844776,2024-09-04 07-23-12,76.5.243.177,-1909632817,ims,50.225.6.36,-1021388899,592240899,-18528,-84
huawei,-29,226056484207155,40738857008,2024-09-04 07-20-17,207.93.88.255,1164263893,internet,126.110.157.10,646208561,1127681817,15397,-82
huawei,122,226050543059462,40739300835,2024-09-04 07-22-45,1.165.98.84,-993380136,internet,43.157.10.209,-75736818,1558721353,4393,12
huawei,77,226059464144864,40781720518,2024-09-04 07-24-16,161.209.74.150,2089967804,internet,204.222.59.176,-1873809378,-1368362344,-29683,-111
huawei,-71,226057267948452,40777544102,2024-09-04 07-24-07,251.250.101.99,1308804178,ims,34.204.66.241,2030271971,-1081129261,-32766,126
huawei,-40,226051652903345,40759521381,2024-09-04 07-23-39,190.36.83.26,-1921868869,internet,199.105.233.46,2041295252,-447953415,17866,-93
huawei,127,226056690686163,40747814198,2024-09-04 07-20-31,213.52.134.232,-471322985,internet,161.231.166.62,-2043946311,-1497072310,10165,-54
