src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,111,226050834942501,40737956272,2024-09-04 07-57-38,203.164.183.166,-532235265,ims,66.238.68.179,1745423305,-1673613984,25195,-125
huawei,-34,226056194033320,40712622048,2024-09-04 07-58-34,228.249.238.22,-1583115668,internet,213.48.107.38,-1291265637,-795098818,-17598,89
huawei,40,226052497560480,40715095049,2024-09-04 07-56-10,240.250.107.127,1947238732,internet,93.23.218.94,1215765613,869524468,-24395,-23
huawei,31,226056679923409,40701664336,2024-09-04 07-58-34,85.182.129.126,-65158106,ims,151.119.84.36,-1739455354,2079308417,-32027,87
huawei,88,226051423734100,40734978414,2024-09-04 07-55-25,69.164.190.110,501307741,internet,78.87.2.178,1650017402,1960793390,-27418,-65
huawei,27,226058125411327,40772339164,2024-09-04 07-57-29,8.170.209.80,-152922487,ims,9.132.10.167,206491915,-1850721691,-21805,47
huawei,-93,226051559082581,40740399183,2024-09-04 07-56-22,182.130.205.172,-1288014039,internet,192.164.38.36,-533832013,-263314777,6986,45
huawei,-65,226058394012156,40729110017,2024-09-04 07-59-45,110.124.43.3,927372175,ims,73.46.246.103,863606955,-886312957,-11352,-117
huawei,-40,226050434802851,40756702051,2024-09-04 07-57-12,116.23.173.176,1371926753,internet,90.78.180.117,1197179862,-1464949431,30318,66
huawei,-52,226056759719609,40783444691,2024-09-04 08-00-00,158.105.216.187,-1263989520,internet,94.61.144.229,-1829546196,1990327241,-12784,85
huawei,95,226059017364822,40712418132,2024-09-04 07-59-41,106.228.71.82,1326648223,ims,85.4.140.118,-690362342,2134281709,12468,118
huawei,-5,226054168517239,40767732016,2024-09-04 07-59-48,144.251.253.193,1390237903,internet,47.62.154.9,475643936,1885138352,-2914,-4
huawei,17,226054349982424,40701650133,2024-09-04 07-55-54,163.246.104.193,1380217923,internet,141.90.150.40,-1513630622,1088358684,8298,-65
huawei,-8,226051616519762,40702955725,2024-09-04 07-56-27,53.1.248.89,-1404900076,ims,87.52.89.175,1960811053,1050670714,27219,40
huawei,-42,226051964070185,40741906826,2024-09-04 07-59-01,196.2.119.248,917349174,ims,105.183.158.145,-1389473031,1867628922,28003,-86
huawei,16,226053207369312,40764926575,2024-09-04 07-57-05,6.171.40.247,-1529179425,ims,241.129.73.22,35058635,1545998786,8839,0
huawei,-124,226056627090621,40708573640,2024-09-04 07-59-13,130.224.190.132,166215608,ims,20.129.109.115,-1604129379,-519835178,-27646,0
huawei,-85,226050245870151,40753228868,2024-09-04 07-56-29,27.148.13.170,-787135337,ims,43.68.147.49,-1311724779,-1211075061,8177,-13
huawei,-87,226058801459874,40745553665,2024-09-04 07-56-08,216.55.211.4,-2125153303,ims,51.97.169.37,-289375749,-1420751794,2298,99
huawei,-94,226057430852678,40793824222,2024-09-04 07-59-26,81.144.155.76,-1389468834,ims,53.133.34.101,1463111580,1743752884,11942,103
huawei,86,226054224463421,40722655486,2024-09-04 07-57-20,244.7.223.144,-2141755362,internet,110.118.204.160,-909777904,1217054644,-32339,-105
huawei,10,226059340832084,40709231970,2024-09-04 07-57-29,147.39.188.42,1392757992,internet,182.32.231.254,1228217749,-537715113,31760,-104
huawei,-33,226050355557745,40703170928,2024-09-04 07-58-30,106.22.190.56,-68258773,ims,168.30.96.197,843407771,-1297524937,-21870,4
huawei,41,226052377628506,40770568959,2024-09-04 07-59-59,220.182.161.158,-674954241,ims,128.194.29.55,308715124,1438338672,-11498,-78
huawei,-54,226054348991803,40723101821,2024-09-04 07-57-23,113.16.45.30,-812109566,internet,173.107.142.52,-636990691,-1346362443,285,-56
huawei,112,226054917123090,40738005674,2024-09-04 07-55-46,192.91.28.159,-1247453679,internet,198.214.201.24,933347419,-1727297320,-1124,-89
huawei,-121,226052519958608,40726534742,2024-09-04 07-58-32,170.55.117.106,1008317765,internet,193.89.0.30,-1028597525,1037097229,29344,-103
huawei,58,226058183920606,40751378490,2024-09-04 07-55-06,63.202.170.182,-1560290109,internet,13.84.132.49,-1922245908,-1023246237,20136,32
huawei,-75,226056582291112,40787798004,2024-09-04 07-55-41,160.125.165.205,896295798,internet,117.139.6.111,-1362598717,873170800,13395,-46
huawei,120,226055438402472,40703683081,2024-09-04 07-56-43,29.198.74.66,30845570,internet,44.232.58.40,1476049500,1486195946,-18287,81
huawei,57,226050922695930,40786260241,2024-09-04 07-55-34,39.36.93.141,-605517010,internet,8.231.82.241,-1027359780,-1565644460,1200,108
huawei,-128,226059848182302,40728196282,2024-09-04 08-00-01,103.39.43.120,2018548140,internet,30.129.89.70,-629941828,-1358945031,-1908,23
huawei,104,226059671869505,40773160849,2024-09-04 07-57-06,227.241.178.37,170976805,internet,175.178.178.47,125905832,-1941613033,-8597,107
huawei,-59,226053884992449,40734840404,2024-09-04 07-58-42,130.154.90.242,-1897544064,ims,1.15.87.165,-921781400,1579816818,-32214,-128
huawei,118,226057665149724,40762320709,2024-09-04 07-56-48,141.84.9.205,-1155887525,ims,0.57.100.125,-18033234,-1078755196,-13662,-103
huawei,-43,226053567819184,40713674815,2024-09-04 07-55-19,47.16.42.94,1782164456,internet,64.123.38.167,178553066,682603612,-20557,4
huawei,40,226055984258868,40782740975,2024-09-04 07-58-50,166.234.188.2,-1864399431,ims,48.150.231.108,1481915279,-434337137,8404,107
huawei,16,226056367659868,40722889949,2024-09-04 07-55-31,141.221.97.215,1545707754,ims,147.128.179.22,-503965917,-258056331,-22530,83
huawei,74,226053920722815,40739008003,2024-09-04 07-56-33,232.110.12.234,-704723419,internet,25.50.239.78,-1016247748,-1878772161,-12845,-5
huawei,123,226058659084036,40739021727,2024-09-04 07-55-55,175.190.241.174,-1901470711,internet,147.160.80.216,-2081554568,-1143204969,12538,-71
huawei,31,226051260391985,40713987881,2024-09-04 07-59-35,196.85.198.207,-1747801834,ims,229.8.74.24,-1273411170,-1227482843,-28794,52
huawei,69,226052940870629,40746252068,2024-09-04 07-56-14,166.28.251.3,1136827881,ims,246.230.175.255,-821484510,-891419097,-15361,-5
huawei,121,226052075438819,40754650176,2024-09-04 07-55-49,71.158.132.205,608664787,ims,51.235.250.135,518993745,-573039171,20465,-77
huawei,-17,226058452554272,40798674937,2024-09-04 07-57-54,184.68.96.248,790241252,internet,217.223.79.60,1490803454,2065051357,1565,-33
huawei,89,226051603033099,40733000046,2024-09-04 07-58-41,109.15.31.113,1539547370,ims,214.232.46.209,-1916049422,-1124495806,3265,121
huawei,-24,226057426780581,40717493955,2024-09-04 07-58-51,200.36.71.131,1422459216,ims,23.121.155.57,610627626,587380047,3476,-113
huawei,-13,226056536330552,40799955101,2024-09-04 07-55-53,123.25.32.192,-805321936,ims,24.65.200.57,780590905,-394995707,32205,105
huawei,66,226050674979570,40746386349,2024-09-04 07-57-15,126.10.163.36,831683591,internet,92.61.181.176,961473226,1069277900,-25278,38
huawei,107,226059137017949,40737895676,2024-09-04 07-56-52,69.8.88.146,94401920,internet,195.106.23.196,704993714,1808462347,-8720,-75
huawei,87,226050637846438,40736832554,2024-09-04 07-58-09,29.75.58.242,-1278200244,ims,100.183.71.169,11253562,792071678,-12578,-26
huawei,108,226057524791077,40772630641,2024-09-04 07-59-15,112.48.43.206,382729821,ims,113.32.7.75,-2038181675,32325409,15652,95
huawei,-32,226050515236650,40755640238,2024-09-04 07-56-54,69.7.137.99,1604722610,ims,74.129.89.187,-1628088550,782071000,32725,-74
huawei,119,226059167442601,40718823151,2024-09-04 07-55-26,33.76.100.40,1654652358,internet,156.204.103.203,-1508410977,716421631,-3276,2
huawei,-109,226059464306063,40709965584,2024-09-04 07-56-09,50.183.58.78,275883948,ims,109.22.151.66,503508300,-1847270319,-13811,46
huawei,125,226056238803675,40704761878,2024-09-04 07-56-57,240.206.48.4,-747704283,internet,166.111.95.245,-1143933006,941513917,-21140,-80
huawei,43,226059011554282,40788760475,2024-09-04 07-59-32,200.98.193.74,-338305550,internet,72.78.218.35,-1919934932,904260782,-31731,-36
huawei,-19,226052967296895,40700332900,2024-09-04 07-57-49,172.194.30.98,-1258060823,internet,242.116.28.122,336968014,1166213009,8247,-36
huawei,-74,226051126120030,40750319927,2024-09-04 07-59-42,118.226.24.127,279865403,internet,255.216.226.111,541331349,-940450219,27976,94
huawei,108,226056076750745,40739200447,2024-09-04 07-59-45,22.248.10.200,-1586691797,internet,54.160.144.17,-675907267,122856934,18650,75
huawei,-98,226056695732913,40735904883,2024-09-04 07-59-26,6.55.200.126,2088657855,internet,146.12.40.63,-1213012047,919132979,12636,66
huawei,86,226051697218542,40745469134,2024-09-04 07-58-43,213.238.82.79,614440042,ims,21.7.19.159,-1152177085,-53123961,30469,14
huawei,-70,226051445337548,40750070789,2024-09-04 07-58-12,183.126.46.89,-730326588,internet,59.242.194.121,1385516009,969214881,-22668,90
huawei,127,226051606179249,40789995094,2024-09-04 07-58-40,78.106.164.56,1181274556,internet,135.161.85.176,223146139,-103068242,7788,-83
huawei,29,226050675543669,40717198912,2024-09-04 07-57-03,174.186.79.179,-841443340,internet,158.18.221.9,-1757575078,-29856465,31738,71
huawei,-93,226050277534390,40735605829,2024-09-04 07-55-44,232.126.32.32,-495497775,internet,187.87.228.168,18106619,-1867839116,-7187,37
