src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-33,226054967235839,40799899614,2024-09-04 08-04-58,133.12.179.228,1022418060,internet,195.47.3.40,1767483248,1176293561,13158,27
huawei,-89,226056528493500,40761815060,2024-09-04 08-01-52,108.229.143.228,55069064,ims,52.196.107.88,1321057480,2106062120,-12389,92
huawei,-117,226054712870791,40769185551,2024-09-04 08-03-06,117.165.32.215,-328361817,internet,49.176.52.64,1559707326,1991621831,31712,21
huawei,-17,226050691875370,40721164138,2024-09-04 08-00-27,148.68.225.124,-1205044901,internet,119.153.246.102,-1981528158,1071693681,28388,-57
huawei,11,226056524018748,40745145274,2024-09-04 08-03-41,156.24.6.94,294473086,internet,48.98.255.84,1153081990,-694285657,14483,10
huawei,17,226058972559571,40773880558,2024-09-04 08-04-48,145.190.9.187,-1228793101,internet,133.212.216.185,1766929114,-613702609,-9271,68
huawei,-73,226058932550694,40789523856,2024-09-04 08-02-22,3.90.242.168,1082852365,ims,141.218.68.16,-590614137,-507446111,-24067,-64
huawei,33,226051368263857,40776285300,2024-09-04 08-00-07,39.122.3.155,300653456,ims,9.98.107.80,-412706719,1828573928,-8310,-95
huawei,14,226056431022076,40724655008,2024-09-04 08-04-29,158.237.106.231,-1484535046,ims,205.162.33.104,-204344299,2105544809,2187,98
huawei,21,226059663796490,40767495779,2024-09-04 08-03-39,195.155.49.251,-1937534277,ims,204.51.28.85,-160634294,1730794936,-5717,-44
huawei,69,226053430201983,40788103546,2024-09-04 08-04-56,220.164.235.246,118368090,ims,90.13.184.79,-712647243,1813607072,-26674,-66
huawei,61,226053104348790,40747363344,2024-09-04 08-00-34,220.32.114.207,453950799,internet,163.128.238.67,-2043400526,-864340998,19501,-122
huawei,108,226058964731729,40765800156,2024-09-04 08-00-59,238.152.23.145,1158350940,ims,156.61.34.182,1579443076,-1427060337,31718,119
huawei,-116,226050978844385,40723779571,2024-09-04 08-04-54,167.194.98.30,1722396234,internet,204.33.84.176,-179291888,-1944639268,4297,89
huawei,58,226050960629941,40700489226,2024-09-04 08-00-27,133.41.132.167,1727512465,ims,233.175.41.169,1616740084,1190868329,24906,69
huawei,77,226059620409478,40731579215,2024-09-04 08-00-50,253.28.80.8,-1660781344,ims,110.178.254.112,1061476689,-1802105555,-28228,-47
huawei,104,226052093680401,40745388006,2024-09-04 08-02-08,201.35.126.204,-474812584,ims,207.100.122.69,-398344486,-1234010480,-6366,87
huawei,51,226055913431415,40735110247,2024-09-04 08-03-10,150.59.169.84,1763399594,internet,124.36.90.210,-1217605133,518937770,-21468,-84
huawei,-66,226053731665768,40779866464,2024-09-04 08-00-07,104.233.149.163,-1617608021,internet,136.243.44.154,1688863084,1467214344,25514,-26
huawei,-51,226051288093238,40741870067,2024-09-04 08-04-15,212.200.205.255,1450307163,ims,207.184.229.146,-1457840733,-1030703729,-23601,-68
huawei,112,226059366536903,40765315425,2024-09-04 08-04-09,15.240.248.166,62366221,ims,18.91.254.46,-413967333,-1524814472,30585,-94
