src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-8,226050258335395,40733138647,2024-09-04 08-09-31,211.5.191.51,1996768709,internet,122.239.145.138,2042524539,950222715,-2742,28
huawei,-96,226056300498872,40700100474,2024-09-04 08-10-00,177.72.111.27,1251624286,ims,89.8.206.58,1961309126,612340197,356,95
huawei,-47,226055512696461,40760880656,2024-09-04 08-06-20,22.155.81.193,-621590879,ims,59.212.183.87,764976572,-231680190,30064,113
huawei,14,226050455970549,40776094253,2024-09-04 08-06-12,213.128.245.80,-303304367,ims,120.55.118.144,203389948,-1378632775,-21121,84
huawei,-17,226056873230699,40710980178,2024-09-04 08-07-44,47.35.236.91,-1309206423,ims,158.111.206.40,-225412867,530727793,-15992,-99
huawei,90,226055203092941,40766186914,2024-09-04 08-07-46,10.210.171.251,-1855409904,ims,70.119.202.74,435655400,-2098664139,-24064,-108
huawei,83,226052410761526,40799280266,2024-09-04 08-08-50,40.83.254.125,-1343516620,ims,27.180.122.64,-1898915413,2102495679,-16384,-117
huawei,-69,226056691906545,40719715316,2024-09-04 08-08-43,20.208.223.79,1211702763,internet,130.123.126.229,-1160070733,507267449,7814,8
huawei,-18,226051011579022,40708781850,2024-09-04 08-08-22,30.193.33.74,311426378,internet,199.105.76.54,1922619650,1817540676,9766,103
huawei,39,226058435838406,40760212153,2024-09-04 08-06-31,170.250.97.61,-392817005,internet,251.11.113.123,-119533063,1673185056,30080,82
huawei,-17,226054338132859,40756190201,2024-09-04 08-08-43,56.241.180.251,-604696826,ims,206.89.176.193,-1146766413,-818550141,5357,87
huawei,-56,226057743601261,40746133883,2024-09-04 08-09-18,46.62.91.40,1147782552,ims,50.184.121.96,1372361281,-2099253727,14166,92
huawei,71,226058439574297,40743710267,2024-09-04 08-07-51,186.56.232.231,967835155,internet,216.182.20.198,-1152802878,300157690,-10936,85
huawei,62,226057769823168,40733813597,2024-09-04 08-05-58,230.60.136.25,-1316663230,internet,193.245.49.87,-1324291319,665514332,-21084,-89
huawei,92,226055200205402,40729903530,2024-09-04 08-08-23,170.189.188.214,-1114835409,internet,153.199.189.99,-1013291517,-1665178871,-32021,-96
huawei,-23,226057119987464,40746286647,2024-09-04 08-08-26,221.236.116.123,390864737,internet,233.44.213.145,-2121237644,-1620369980,-11588,94
huawei,-61,226057080688164,40702401863,2024-09-04 08-08-02,52.140.215.92,-1366752488,ims,184.242.129.243,-174475374,-498191060,27921,-105
huawei,-33,226057901693504,40762582006,2024-09-04 08-08-12,49.238.114.241,1524154582,ims,3.78.240.164,610497071,-2092833888,8918,-35
huawei,90,226050899087213,40711813832,2024-09-04 08-05-18,23.69.111.254,996665430,ims,44.68.55.72,-688120083,1036000108,-4680,-76
huawei,-73,226050933091991,40742370716,2024-09-04 08-06-59,153.144.0.233,-802742226,ims,233.4.139.121,226520737,798250049,-24503,66
huawei,123,226052946638482,40790969243,2024-09-04 08-09-24,149.103.164.48,-21235521,internet,13.110.121.128,-1009863526,-26648177,-31365,93
huawei,55,226054123502551,40754111603,2024-09-04 08-08-36,127.243.90.110,-1347576388,internet,224.228.114.210,2041725940,66307650,12715,127
huawei,106,226057052991236,40724927718,2024-09-04 08-05-56,105.96.35.184,322548426,internet,197.42.195.154,1962729766,-634838376,2061,-126
huawei,17,226056421640493,40791223130,2024-09-04 08-09-18,47.152.55.187,-1450330411,ims,24.228.243.242,1616551826,1789636033,-26103,-40
huawei,-123,226050055640160,40769631238,2024-09-04 08-07-45,190.185.58.22,-2144731285,ims,46.123.222.97,-1643940968,-845105176,-24647,-19
huawei,-94,226050989292896,40768591840,2024-09-04 08-07-09,12.93.51.234,1387178836,ims,115.160.37.60,1616481167,-1287164173,18190,63
huawei,-49,226058022442605,40730022604,2024-09-04 08-06-50,210.84.204.208,900568299,ims,92.248.65.100,301312948,-995809,-1331,-4
huawei,65,226059920962202,40768799426,2024-09-04 08-06-42,27.171.21.114,-2009830745,ims,165.198.81.155,1089110264,138824368,-9836,56
huawei,-87,226052895339837,40774032986,2024-09-04 08-07-58,76.6.74.248,1758272205,ims,112.24.170.201,1033229411,1231005486,-29840,20
