src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-53,226053261979099,40756113664,2024-09-04 08-12-11,45.68.151.199,-1604699390,internet,19.5.70.159,380729174,93773540,30049,-68
huawei,24,226050426895652,40727776472,2024-09-04 08-12-19,88.13.17.97,-1111597720,ims,142.93.160.203,560464005,1778687118,-6018,-58
huawei,113,226058812066774,40713832956,2024-09-04 08-10-28,196.83.181.53,621550474,ims,191.53.212.248,-1749383820,-2100891444,3662,111
huawei,115,226057516237938,40716540623,2024-09-04 08-12-05,211.39.1.45,2131578164,ims,219.151.82.134,-791909407,856723505,22359,116
huawei,59,226055365430369,40709507260,2024-09-04 08-13-01,153.156.61.152,-345325283,internet,14.107.93.160,-1158647081,1689450380,-21336,-106
huawei,12,226058474431589,40735732963,2024-09-04 08-11-48,39.213.102.154,-2036606944,ims,192.76.70.228,-1160248376,1087960086,29206,-83
huawei,-85,226051895008533,40740883851,2024-09-04 08-12-44,203.147.3.182,1760092295,ims,158.85.254.196,-1506570146,-451567005,-6455,42
huawei,-21,226053666841204,40713652079,2024-09-04 08-10-03,203.180.165.230,-1283695169,ims,138.218.22.152,-476993462,494358885,22557,-51
huawei,-47,226053415586951,40728834369,2024-09-04 08-13-33,97.74.229.89,1199576802,internet,102.160.104.16,1899392404,-341101420,-31487,-34
huawei,90,226059773599059,40775631800,2024-09-04 08-13-18,81.169.31.168,1860262324,internet,77.179.79.191,379746123,-1303763999,19479,-47
huawei,-47,226052245237712,40711798689,2024-09-04 08-12-25,211.147.242.156,-1552393686,ims,99.16.70.69,-2125599051,-985557625,-24045,68
huawei,25,226054098909816,40706275150,2024-09-04 08-13-18,248.42.43.225,-958205119,ims,177.204.58.225,-207589436,-997154915,-20622,22
huawei,-81,226059789047794,40759001030,2024-09-04 08-12-34,86.16.233.94,-236953243,ims,39.171.75.48,-1779837347,-1476946189,-22411,13
