src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,42,226059902936868,40786218097,2024-09-04 08-21-06,11.11.137.196,-658788617,ims,119.169.53.99,295284596,-722245276,-28621,104
huawei,39,226051880966722,40721586191,2024-09-04 08-24-58,153.2.33.6,-1239800504,ims,228.80.30.248,-1289131657,-800001031,-32559,-69
huawei,-19,226058064284708,40725003032,2024-09-04 08-23-25,134.189.158.134,153456768,ims,29.104.116.198,1085717735,-1351449758,-10204,102
huawei,-20,226052521852806,40754381096,2024-09-04 08-21-27,210.52.184.180,-1731843461,ims,111.207.116.121,1713106243,-1670840215,-11451,-80
huawei,39,226051830339092,40735019764,2024-09-04 08-24-47,8.95.3.223,-1271825907,internet,141.80.187.19,-1466610692,-1730771455,31815,-51
huawei,82,226055100782968,40731293896,2024-09-04 08-20-15,244.1.246.52,-596736391,internet,85.45.3.127,-940670765,-1026718583,973,3
huawei,127,226051860553336,40776440925,2024-09-04 08-22-52,200.177.40.166,1816029047,ims,152.197.24.68,250586871,-2084037886,22398,15
huawei,77,226052224964322,40707518273,2024-09-04 08-20-07,38.70.6.177,-555193750,internet,200.98.196.100,1894311293,1858866462,10065,90
huawei,26,226056578507772,40708381669,2024-09-04 08-21-32,20.208.226.105,-1848936890,ims,122.65.117.36,1763470754,1799928108,15216,100
huawei,52,226052865877534,40713908812,2024-09-04 08-23-30,45.69.140.128,1486332114,internet,160.197.91.249,40209734,-366117058,-11621,-81
huawei,10,226050035692570,40749337113,2024-09-04 08-22-52,191.31.30.144,175763191,ims,51.221.215.98,-1993239159,1504848158,-18650,95
huawei,13,226050441024512,40790805410,2024-09-04 08-21-29,159.93.124.211,1848283378,ims,153.91.91.139,1781977742,-1398876140,14956,47
huawei,-111,226058867130164,40784933031,2024-09-04 08-22-11,80.73.217.195,1363202236,ims,205.188.25.252,-1463085910,1452435269,6640,57
huawei,20,226056957996696,40784549701,2024-09-04 08-20-33,159.205.3.94,302470256,internet,205.139.0.182,1544374370,-112018513,13890,-51
huawei,111,226050278967983,40768548926,2024-09-04 08-22-41,78.63.255.145,140308808,ims,11.62.131.191,10122996,1768825585,-19326,75
huawei,45,226057085192848,40762029288,2024-09-04 08-23-47,252.32.99.131,-1219051117,internet,167.45.164.199,-1344477063,868866332,-18942,-80
huawei,-120,226050398340247,40705803364,2024-09-04 08-22-20,9.214.242.58,-1232864145,ims,126.7.148.107,1726802067,903227015,2910,112
huawei,93,226054815164409,40716964858,2024-09-04 08-22-01,100.4.14.203,-1230194350,internet,24.16.147.93,782592958,1742215726,12988,103
huawei,-69,226055286817335,40781105562,2024-09-04 08-22-44,189.105.190.49,-78117138,ims,130.67.69.153,-1650512777,1034722094,2865,-37
huawei,9,226058926968261,40716996966,2024-09-04 08-20-29,201.125.65.42,-1758770375,ims,153.26.10.69,1699165190,2019925757,-23380,-49
huawei,63,226055503259668,40733103731,2024-09-04 08-21-17,126.164.175.19,-518857771,internet,255.1.6.228,-1812472484,-2129280639,3424,11
huawei,-48,226059795210462,40772230801,2024-09-04 08-22-54,9.35.207.16,32969442,ims,19.119.192.21,-1786998719,499780656,-31424,63
huawei,46,226051533831696,40759984048,2024-09-04 08-22-37,100.240.67.250,1302657574,ims,184.160.172.24,-1665851914,-1254461866,26557,122
huawei,-60,226058244754265,40732380423,2024-09-04 08-23-45,20.87.209.251,-107764719,ims,80.132.158.198,-1922387394,-2041920261,-23688,-101
huawei,28,226053322966244,40707171874,2024-09-04 08-20-04,41.36.45.80,-531787660,ims,191.30.170.235,750677089,-1139465923,4959,65
