src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-40,226057661685238,40781408773,2024-09-04 08-34-33,36.42.74.233,-1202244083,ims,126.229.77.46,1171869061,1342170085,-29284,-42
huawei,30,226050844296114,40722589145,2024-09-04 08-34-12,162.242.229.105,-1134813655,internet,201.148.130.204,164021722,-1808710736,-7787,-38
huawei,-60,226055106205450,40755342477,2024-09-04 08-32-29,243.8.224.54,-510957502,internet,74.46.197.187,-941645999,1070950245,-4412,-43
huawei,-97,226051850708402,40790717754,2024-09-04 08-30-57,84.63.238.50,-740573714,internet,80.136.179.111,-349903103,-2101221250,31662,-114
huawei,-59,226056601343426,40766286322,2024-09-04 08-33-33,70.123.168.79,1905709430,internet,125.195.81.140,-854151579,1788895993,5212,8
huawei,82,226059630486214,40721172367,2024-09-04 08-31-44,154.52.5.151,165179085,internet,181.236.74.41,1179957777,-1625179646,-21090,-100
huawei,-90,226050231006383,40757295868,2024-09-04 08-34-34,218.133.87.4,1555282359,ims,145.210.108.131,809459129,1295477177,-5009,-34
huawei,-38,226055842395962,40729619149,2024-09-04 08-33-18,120.122.141.115,-1783656503,ims,151.216.65.38,-1437574250,33639759,-26854,32
huawei,-15,226057099451344,40716845290,2024-09-04 08-34-35,128.58.52.58,1795387394,internet,189.88.61.75,-298313077,-562589950,-23134,-12
huawei,-112,226052385260775,40795939375,2024-09-04 08-31-46,78.79.44.63,-2096957945,internet,60.28.169.52,404881262,1303225365,-14211,41
huawei,-120,226059686173922,40797772317,2024-09-04 08-31-18,223.71.60.169,1568257043,ims,157.217.111.112,-1189436860,968035435,-25998,-61
huawei,10,226053345599506,40746562083,2024-09-04 08-31-17,106.125.216.95,2028310128,internet,120.251.113.142,-651005422,-2078833480,-20911,-21
huawei,78,226058851066209,40777227956,2024-09-04 08-30-06,230.114.66.64,-73874617,ims,0.165.51.40,1290131774,1446269139,-14802,94
huawei,-42,226054006094292,40728376151,2024-09-04 08-34-00,96.50.156.245,1487004310,ims,84.63.57.37,-2145640665,-1002752605,15165,94
huawei,79,226058863891782,40700825363,2024-09-04 08-32-38,160.243.160.191,-1373658895,internet,146.64.222.249,-820027930,1455718018,-8757,-94
huawei,-75,226054682396483,40740687407,2024-09-04 08-34-05,166.72.155.6,-1179645110,ims,250.255.119.219,803113465,1576784079,10118,-94
huawei,-75,226050200511210,40723748034,2024-09-04 08-33-43,140.100.254.240,-565452264,ims,245.191.214.53,-1958988511,-693222178,26458,87
huawei,-88,226055959121825,40740151481,2024-09-04 08-30-49,242.155.2.150,-226155550,ims,234.137.193.141,-1318901283,1244128195,29856,28
huawei,114,226055940152225,40732260756,2024-09-04 08-33-50,102.101.7.18,1478040165,internet,43.11.202.211,-1749152689,1394460196,-20384,48
huawei,-108,226059786532832,40719796277,2024-09-04 08-34-07,175.100.38.19,2095268414,ims,114.38.239.125,1074444964,-2038271575,11035,13
huawei,106,226050785298630,40735409708,2024-09-04 08-34-31,113.149.140.172,-808791902,internet,96.191.224.50,-598821558,1848041645,16283,90
huawei,2,226054223216951,40739291752,2024-09-04 08-31-11,24.96.227.216,885855011,ims,60.76.18.224,316249219,-1196845790,-12675,89
huawei,91,226050519655663,40787182809,2024-09-04 08-34-00,226.203.175.224,-330256084,internet,0.41.66.143,1941296901,1430299139,-8296,-97
huawei,100,226056515140928,40796670461,2024-09-04 08-30-57,148.213.176.203,-55734939,internet,15.99.137.92,883168441,735262517,-28516,77
huawei,4,226052598163301,40772038875,2024-09-04 08-34-54,19.164.78.82,-955258243,internet,90.104.134.119,-1975790491,-1718282578,-28290,100
huawei,-86,226054483798602,40757879791,2024-09-04 08-34-12,236.72.28.38,-1180399251,internet,220.145.141.200,75148424,-669980511,-1154,126
huawei,34,226051670317038,40793542618,2024-09-04 08-34-27,20.130.26.133,1383457064,internet,8.26.79.198,1300859367,-876636537,14477,113
huawei,-122,226053712372104,40766132667,2024-09-04 08-30-44,57.86.29.121,978894471,ims,25.23.30.249,-1050741774,-64478287,24723,108
huawei,27,226053663130224,40764511055,2024-09-04 08-30-07,212.39.80.115,64268459,internet,214.199.134.215,245047854,-1352312860,31768,49
huawei,-16,226057354490562,40770437755,2024-09-04 08-35-00,186.70.87.172,159938092,internet,229.21.52.5,1379898972,-845391789,30957,101
huawei,106,226056512243711,40758786822,2024-09-04 08-33-45,74.84.43.79,-917255514,internet,206.49.157.49,-439304043,1698638516,16489,54
huawei,-79,226053426769578,40702990162,2024-09-04 08-31-37,197.28.3.216,-143146039,ims,72.204.46.178,-1836683538,964147649,28026,-18
huawei,61,226058418610033,40700162546,2024-09-04 08-30-50,128.86.147.236,2123427796,internet,40.114.224.55,2035611766,-282098071,-5719,116
huawei,-120,226059541164354,40731937077,2024-09-04 08-33-48,6.37.173.115,1977787022,internet,178.118.169.24,-136956551,-336330095,1100,-55
huawei,100,226055780529696,40781316735,2024-09-04 08-31-00,59.125.174.105,1251044326,ims,193.47.66.17,995515781,-1735654757,13028,-28
huawei,-74,226057250886497,40718413968,2024-09-04 08-31-19,101.180.228.180,236509492,ims,11.229.161.179,-57902591,-252478077,3985,-64
huawei,125,226057418459020,40772759797,2024-09-04 08-32-02,252.223.225.233,-954279809,internet,88.226.132.141,1150061118,1677436126,1357,-104
huawei,-103,226059978143979,40705425155,2024-09-04 08-30-08,48.145.104.10,-59257590,ims,43.201.175.82,-1181991029,-496247223,19728,126
huawei,-15,226050930922206,40721686465,2024-09-04 08-31-56,174.99.159.42,-2108825078,internet,163.223.202.98,-2085940026,1131139047,22538,-16
huawei,31,226058067963554,40722331682,2024-09-04 08-32-48,254.242.218.109,-1704220851,ims,3.181.208.94,460744018,-1466065011,-28664,-117
huawei,114,226050992528648,40780838136,2024-09-04 08-34-18,239.34.52.25,-1113822361,internet,81.248.45.216,-2065282876,-1348049097,-32686,-49
huawei,-117,226059388977477,40743315316,2024-09-04 08-30-21,174.151.32.16,-181853982,internet,235.202.88.137,-1934353025,-1072812926,-13273,77
huawei,53,226056921648076,40744855328,2024-09-04 08-34-17,164.236.125.25,-906982493,internet,70.44.70.217,1119558720,1100331128,13035,35
huawei,14,226056865765134,40713842010,2024-09-04 08-33-13,218.110.230.126,619662034,ims,36.29.219.146,-1517558764,1027703882,560,44
huawei,-84,226056531800139,40776031805,2024-09-04 08-30-15,16.209.226.119,1303966477,ims,182.213.218.13,-848015563,1094038215,-15891,27
huawei,111,226052148040905,40739135596,2024-09-04 08-32-47,65.195.154.99,-325485187,ims,30.224.150.211,-2138209755,324883717,1407,-108
huawei,111,226057047862298,40753002801,2024-09-04 08-30-12,28.255.192.81,-574282212,ims,175.235.243.12,-1786032219,463038265,-1907,-69
huawei,127,226058364749492,40777448009,2024-09-04 08-33-20,220.29.230.58,-1506083377,ims,87.26.103.134,1962096868,-1813217413,29899,-16
huawei,115,226053570224536,40737788877,2024-09-04 08-34-17,54.108.30.11,-209849778,internet,157.231.125.145,1676457469,256451240,-25207,1
huawei,-65,226056815160022,40752515965,2024-09-04 08-31-30,121.76.196.24,-258435881,ims,107.7.163.88,-1917399832,2136404659,3520,10
huawei,55,226052549206924,40760526289,2024-09-04 08-34-29,93.55.58.79,796548595,internet,23.245.21.75,-1252882936,-254153189,-31179,29
huawei,121,226052063922945,40733817196,2024-09-04 08-33-58,201.142.196.228,-1037056323,ims,198.134.77.59,2041285301,-1234652147,19710,-57
huawei,-8,226055317963603,40746683278,2024-09-04 08-34-08,110.50.253.66,-39870659,internet,190.24.177.16,1861196973,435071560,-11750,-113
huawei,-128,226052441677612,40799810437,2024-09-04 08-32-32,169.220.76.7,-773601658,internet,44.198.150.62,1377342819,-798717304,2903,-28
huawei,109,226057913170355,40701739049,2024-09-04 08-33-28,205.9.0.193,925716092,ims,87.233.222.121,-216049166,-466396031,8833,-57
huawei,104,226055807751919,40712250256,2024-09-04 08-31-21,64.90.140.202,1208247770,internet,249.41.253.94,-1396287390,-1461288054,-10787,58
huawei,-128,226056940250918,40719636781,2024-09-04 08-34-55,123.103.88.2,75996607,internet,141.159.255.239,-1676792435,-1277994125,19990,-123
huawei,35,226050546077027,40749802975,2024-09-04 08-31-03,150.90.254.99,-1277638713,ims,211.13.149.140,324261861,106279961,-27619,18
huawei,89,226059550778813,40779951599,2024-09-04 08-33-32,109.177.200.199,-497897870,ims,162.111.233.214,-574943740,501777091,-24162,-119
huawei,116,226059830140331,40733110278,2024-09-04 08-32-38,243.207.148.36,-1103596706,internet,210.65.191.97,-586772628,-13300918,9239,-21
huawei,-69,226057568780015,40708993361,2024-09-04 08-32-17,14.132.75.13,139425005,internet,172.58.103.172,-1727372337,619990675,13835,4
huawei,-17,226057070789318,40754577782,2024-09-04 08-33-56,161.208.139.143,919983669,ims,48.222.34.90,-410774288,-24696339,461,115
huawei,-87,226054180844362,40703636102,2024-09-04 08-31-05,114.228.9.7,-1995544855,internet,178.169.180.249,1707229738,-1463026265,-20898,29
huawei,-71,226057866626543,40726927227,2024-09-04 08-31-01,96.16.54.7,1736423893,internet,171.114.236.116,-1425023403,-1951603014,-15344,-48
huawei,61,226051180963355,40794398049,2024-09-04 08-33-34,112.250.225.81,163431725,internet,164.168.164.229,-924302627,-325825858,25211,-9
huawei,-35,226055611396893,40707370491,2024-09-04 08-31-09,147.20.145.107,805221531,internet,157.169.135.79,2033541360,-1051390057,7643,-61
huawei,47,226055550359655,40787275031,2024-09-04 08-30-28,79.91.75.216,-340248353,internet,81.121.205.84,1155407527,1173101869,20535,56
huawei,125,226055930940010,40791531912,2024-09-04 08-30-08,43.11.202.104,-739679554,ims,240.20.106.226,-194034328,1360621047,6939,-46
huawei,-111,226056927975350,40797437860,2024-09-04 08-34-28,157.177.43.54,1737431175,internet,38.75.125.57,1508670271,976021241,-31234,11
huawei,-104,226056856782315,40729429579,2024-09-04 08-34-50,65.235.177.9,1985880206,ims,208.22.0.178,-2110487979,1013095523,-715,-53
huawei,9,226052183773385,40734176886,2024-09-04 08-34-00,0.112.7.159,-1828516029,internet,48.64.97.159,124369352,1904337640,-27639,1
huawei,39,226055398624030,40729194915,2024-09-04 08-33-14,176.249.163.202,1547480835,ims,124.151.206.23,1334012815,1482342781,-1053,-86
huawei,-40,226053676527074,40745424358,2024-09-04 08-33-30,59.186.101.217,-1690117015,ims,35.70.110.145,-1987859039,701832724,20313,68
huawei,54,226054230546095,40705497562,2024-09-04 08-31-48,106.0.174.228,-1034879462,ims,85.54.199.70,1438128578,-1125482473,12390,103
huawei,4,226057571616975,40705399094,2024-09-04 08-33-01,190.202.188.2,926818327,internet,208.255.14.135,2025045183,669634917,31952,-15
huawei,91,226054220211741,40777341938,2024-09-04 08-30-21,152.131.187.172,-568941382,ims,138.55.97.116,1388442621,1557307872,-3575,109
huawei,-26,226051461504803,40700580372,2024-09-04 08-31-13,102.211.175.249,-60713010,internet,73.202.5.128,194042734,1045204959,-22637,-14
huawei,74,226056038539828,40702682975,2024-09-04 08-34-18,243.184.100.252,836747787,internet,128.102.76.176,1844831395,1991519775,-2067,59
huawei,-33,226055992953410,40786935783,2024-09-04 08-33-49,71.98.210.71,1873564180,internet,240.164.205.130,1822491773,-30554470,-24697,72
huawei,-104,226052912424238,40722481843,2024-09-04 08-31-06,106.53.91.18,-1119124326,internet,106.67.184.107,-914839214,96268906,14004,34
huawei,-43,226051436019029,40768857016,2024-09-04 08-31-44,140.247.74.247,1741087848,ims,28.74.219.165,-1561641027,1612494847,-2003,40
huawei,17,226051192102577,40738781475,2024-09-04 08-34-28,188.53.143.9,99018878,internet,9.216.251.235,-2087180848,338928295,8736,109
huawei,29,226057237565170,40719092665,2024-09-04 08-32-13,228.155.143.130,-164748009,internet,26.179.19.31,-639785611,1731809579,-32217,-31
huawei,2,226052853681611,40752149371,2024-09-04 08-34-44,230.13.242.121,-655978929,internet,78.215.182.245,1818373899,498737550,15963,96
huawei,-101,226053654678844,40798285404,2024-09-04 08-33-23,173.69.104.122,-1234553565,ims,206.148.101.65,883139636,49352202,23903,-1
huawei,96,226055647350348,40796221636,2024-09-04 08-34-54,251.213.78.26,1584470814,ims,221.238.100.129,-307068203,-1882080885,-21380,-33
huawei,-43,226051524204878,40732097777,2024-09-04 08-33-47,201.18.171.205,-54816119,internet,110.40.144.144,511180628,-1889312819,-14916,-127
huawei,25,226056288738152,40714491965,2024-09-04 08-34-53,89.71.159.118,1999817968,internet,46.71.19.28,641923292,924989765,-939,-17
huawei,127,226058154025906,40767472712,2024-09-04 08-33-04,67.242.94.14,1120865237,internet,75.107.8.24,-2029862593,-522862139,6730,10
huawei,-123,226057823964768,40726080329,2024-09-04 08-32-51,154.100.166.178,-494513308,ims,144.131.110.30,211337838,589855217,-26166,30
huawei,110,226059006304638,40766340826,2024-09-04 08-33-34,185.215.34.113,-1848571087,internet,112.145.34.138,-164264983,1242399502,15815,62
huawei,11,226052976183209,40776187392,2024-09-04 08-34-48,224.105.99.213,1753582945,ims,227.160.63.117,1099127417,-601577527,30185,-22
huawei,68,226056504686861,40735627613,2024-09-04 08-32-44,166.112.108.73,-385620596,internet,67.96.175.222,-356310620,407107466,31709,-58
huawei,-27,226057388958344,40734747882,2024-09-04 08-31-38,58.220.108.227,994638077,ims,88.252.238.1,1330836639,-1660162436,-31418,-9
huawei,-88,226056917727547,40718457519,2024-09-04 08-33-32,244.149.55.156,-1260340607,internet,146.107.34.221,2074574463,-1711696661,4330,23
huawei,72,226059722576925,40723678843,2024-09-04 08-33-44,63.37.136.36,-2089885703,ims,0.128.133.73,640643260,1948136557,-11049,-120
huawei,-15,226054057546564,40712007714,2024-09-04 08-31-43,172.127.178.47,1889585047,ims,65.153.100.107,742707640,-330687110,29621,-21
huawei,114,226053939442632,40736063723,2024-09-04 08-31-29,58.105.190.241,-2109811266,ims,185.33.202.202,-1849659662,-2009633517,14268,-105
huawei,23,226058420687206,40707830982,2024-09-04 08-34-36,44.103.30.39,1456893483,internet,209.233.18.127,600550326,-1521377097,-1831,-10
huawei,52,226053359525416,40774237020,2024-09-04 08-31-08,183.164.149.210,1170700066,internet,89.56.77.195,393379546,1398630213,11505,-127
huawei,-9,226055354723166,40775740886,2024-09-04 08-34-13,191.180.62.195,1765288434,ims,131.33.46.167,-675168352,19600490,-13091,93
huawei,18,226058180531552,40748055994,2024-09-04 08-31-40,52.210.253.129,-842144823,internet,228.38.39.36,-1343754912,1272938588,22175,102
huawei,-111,226055951031763,40782972659,2024-09-04 08-31-46,91.29.156.99,-810049998,ims,80.246.53.145,-1508731419,1364684664,16783,-95
huawei,103,226056982165835,40708529205,2024-09-04 08-30-11,41.235.204.62,-1684011201,ims,8.79.213.130,1912745610,1478567156,-7884,-128
huawei,6,226054994004573,40744858065,2024-09-04 08-32-37,51.182.51.183,-1875940473,ims,235.250.189.59,-1102022192,992946534,24024,75
huawei,-103,226051200239161,40741981546,2024-09-04 08-31-29,11.246.109.108,1152546400,internet,217.90.177.218,254225354,-933369782,-1660,-14
huawei,-121,226052509341461,40799749057,2024-09-04 08-31-52,236.193.82.146,-1338283361,internet,80.113.2.13,1582964156,211266522,19541,120
huawei,101,226052411364641,40757111862,2024-09-04 08-34-05,231.134.102.245,268133170,internet,8.95.134.135,-79912812,-1262510662,10055,-57
huawei,95,226053779803223,40730502530,2024-09-04 08-32-26,44.193.249.6,1478911859,internet,13.71.20.160,455674807,-364297645,27783,14
huawei,-1,226053095175211,40791181926,2024-09-04 08-30-56,99.7.80.200,-1930520393,internet,19.151.200.62,777179087,-967597758,-5139,-86
huawei,94,226059558049195,40787422916,2024-09-04 08-32-52,16.33.21.215,761092458,ims,25.211.16.80,-428271408,437928320,-17811,123
huawei,114,226055515385667,40752446594,2024-09-04 08-32-25,130.7.195.15,-1900219419,ims,18.198.204.205,-1400959445,1172826729,12121,-68
huawei,-57,226057813238735,40760972159,2024-09-04 08-31-22,208.146.53.27,249340524,internet,173.233.25.26,-1781431721,1955461174,3192,-32
huawei,-10,226058838233416,40773920556,2024-09-04 08-33-33,225.165.47.194,-1505290900,internet,125.113.22.4,1814483018,-870219190,-15479,15
huawei,-85,226053973950495,40735697398,2024-09-04 08-31-59,196.67.220.251,156777577,ims,170.186.166.24,2090592203,-722970856,7044,-120
huawei,-105,226057442359325,40742336938,2024-09-04 08-34-09,122.46.215.221,-745928177,ims,223.204.83.72,1053691589,50072853,11115,29
huawei,10,226059930439110,40704069156,2024-09-04 08-33-26,219.3.41.42,-1049574252,internet,97.176.120.3,1781117164,1546107179,30623,-66
huawei,77,226052798620707,40708200016,2024-09-04 08-31-39,251.58.201.165,-597910621,internet,115.130.175.3,177452569,-1911620052,-18342,87
huawei,-66,226054237544895,40757584515,2024-09-04 08-33-14,1.8.255.199,-963814490,ims,228.184.37.3,-566872350,-860880479,4663,-71
huawei,39,226056810344545,40753690639,2024-09-04 08-33-30,197.3.87.129,-1753050966,internet,208.99.246.25,-1499738031,-1611219245,26585,76
