src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-18,226051538633149,40769350501,2024-09-04 08-59-57,172.7.0.72,-1182147053,ims,238.82.94.55,1964980486,556904243,21460,103
huawei,56,226051199585890,40784404636,2024-09-04 08-55-48,162.5.234.179,2144461130,internet,28.139.147.66,48966735,-1951341240,29443,112
huawei,-39,226053251358375,40726898671,2024-09-04 08-55-32,62.2.58.127,-314326027,ims,57.153.12.195,-191328710,201979713,-16838,106
huawei,35,226051741581361,40796569090,2024-09-04 08-59-18,146.212.47.189,-972960829,internet,214.249.24.85,-285915049,-86032422,6906,-24
huawei,17,226058796806309,40791006404,2024-09-04 08-57-42,213.114.161.114,1488239769,internet,162.16.80.157,154840708,1513030513,-17405,-112
huawei,-15,226053214305727,40791415263,2024-09-04 08-55-57,136.195.194.140,1573617603,ims,248.116.55.46,1390668797,1223955679,-16130,68
huawei,-127,226058976495135,40700243408,2024-09-04 08-58-14,90.98.131.15,1486136474,internet,177.158.179.121,837721986,968736285,-13252,-13
huawei,-78,226057326684267,40732150946,2024-09-04 08-55-19,104.232.200.238,209493017,ims,80.219.125.30,544191729,412183756,24809,-34
huawei,43,226053239101870,40767109624,2024-09-04 08-56-59,132.31.248.137,1101980052,ims,58.66.176.142,707090811,1405749686,10815,16
huawei,-63,226058601190933,40705891944,2024-09-04 08-57-32,90.82.185.73,-138578833,ims,60.15.78.22,-1477616610,-1154549710,-25609,107
huawei,20,226051558659433,40756906509,2024-09-04 08-56-21,34.6.70.99,528759215,ims,143.229.64.221,1034508523,2108221585,-15179,-38
huawei,-95,226054521830285,40743315296,2024-09-04 08-59-37,117.224.128.120,1643204342,ims,38.57.236.1,-822022599,1459538763,-16784,6
huawei,-8,226050668050893,40796151414,2024-09-04 08-55-47,14.209.124.28,-1120073249,ims,205.167.38.148,185572023,-327693552,-16977,-105
huawei,41,226054229992182,40782451064,2024-09-04 08-59-15,127.51.172.44,1295898611,internet,167.94.74.8,2123316834,1200047165,-16275,-51
huawei,6,226053550684722,40724202395,2024-09-04 08-56-04,30.137.218.79,1306066453,ims,220.107.156.138,1012898516,-618090239,2366,105
huawei,92,226056976555518,40717579334,2024-09-04 08-57-00,155.228.3.61,1385778414,internet,72.183.75.85,365754564,-416665569,18954,-87
huawei,-86,226053148714838,40734729786,2024-09-04 08-57-33,27.105.52.250,6589832,ims,42.186.189.147,-1813791448,-1729609755,1126,-24
huawei,11,226055263096512,40729930771,2024-09-04 08-59-31,123.223.248.229,550876074,ims,96.173.66.32,-790509827,1097361615,19901,123
huawei,73,226059298142812,40724854063,2024-09-04 08-57-46,175.87.222.18,125087979,internet,187.10.136.102,6326610,1943023579,6229,44
huawei,62,226053737034027,40719739880,2024-09-04 09-00-01,44.172.101.32,-1442045023,internet,46.0.183.137,1128054296,1790085042,27133,-98
huawei,69,226055236002434,40733899311,2024-09-04 08-59-25,115.48.241.166,803154272,internet,143.194.17.26,-1427398464,1564202577,32278,-113
huawei,71,226051128897856,40731568080,2024-09-04 08-56-19,79.39.211.34,1741199075,internet,223.144.163.69,-1145998745,613582447,-7105,72
huawei,-31,226053276582547,40782549074,2024-09-04 08-56-01,202.25.18.143,-899541419,ims,37.232.224.124,-1106309105,2113634767,-30535,-56
huawei,-21,226056652675171,40714380220,2024-09-04 08-58-39,202.217.100.100,-2126669644,ims,21.100.163.63,-1263077562,929179883,-8411,29
huawei,19,226056948081536,40753327575,2024-09-04 08-58-07,101.175.247.99,-708752403,internet,2.223.137.161,1876531456,1416127714,19830,62
huawei,82,226052628773836,40715622857,2024-09-04 08-56-07,115.63.250.173,1979219435,internet,179.75.168.62,623456679,-2016583550,8500,93
huawei,88,226059878929882,40799201491,2024-09-04 08-57-08,238.220.104.44,-117248185,ims,230.60.30.219,-2132224383,-427976440,-4335,-78
huawei,81,226054027829789,40794892873,2024-09-04 08-56-22,136.57.110.7,-1190066558,internet,38.218.54.53,-854580579,2056548899,-13386,78
