src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-48,226058758643573,40747846934,2024-09-04 09-10-23,15.182.108.79,224109195,internet,23.189.117.160,1849635446,706428981,12417,-105
huawei,-63,226052842225744,40724135856,2024-09-04 09-11-13,223.90.201.93,-57586907,internet,246.226.253.184,-1202578397,1291083276,19746,66
huawei,-83,226055121571568,40718381476,2024-09-04 09-13-52,250.242.37.73,1271838177,internet,184.251.20.23,41506963,1709469321,-24145,78
huawei,-86,226052836166674,40713749036,2024-09-04 09-14-39,248.20.71.43,1791633632,ims,133.171.27.96,881825867,-665293881,11970,-14
huawei,96,226052906025347,40765414645,2024-09-04 09-11-41,161.205.96.117,1293989764,internet,30.249.15.214,-203029212,2114670327,-1995,118
huawei,48,226053259698781,40743557320,2024-09-04 09-12-50,140.203.227.141,-692133509,ims,35.73.51.4,1975324393,-675764254,-21847,-92
huawei,-5,226058174763523,40758496603,2024-09-04 09-12-54,233.216.61.30,-404928301,internet,13.49.116.134,-1164564344,832048461,24119,-18
huawei,-80,226052418821154,40737532638,2024-09-04 09-14-30,89.45.144.171,1165262636,internet,156.169.39.208,721706768,-1986633309,-23340,-66
huawei,-78,226059900283576,40752338753,2024-09-04 09-14-47,86.96.255.40,-1471313470,internet,132.225.45.21,-1091556887,440364564,-22002,-77
huawei,-2,226053846406838,40767034706,2024-09-04 09-10-34,145.23.163.243,539675399,internet,178.125.16.104,-805920702,-67770731,-15696,116
huawei,6,226053052491869,40737075839,2024-09-04 09-14-46,148.251.201.223,2047243280,ims,41.224.100.235,-1296507393,-1606285950,-25874,38
huawei,68,226050387766240,40780565564,2024-09-04 09-12-24,245.224.0.226,-2098452454,internet,58.148.168.174,-1891143504,708526256,-2081,42
huawei,-63,226053051449447,40733958516,2024-09-04 09-14-05,84.252.110.62,404980260,internet,41.179.245.45,-658656443,1458521261,26657,-108
huawei,100,226055616425336,40707154741,2024-09-04 09-12-42,36.212.208.164,154196502,ims,188.126.186.222,-778574278,49346867,-2468,-109
huawei,-121,226059595842998,40748558255,2024-09-04 09-10-21,118.181.239.130,-1038358073,ims,227.80.77.177,-704892110,-2082753978,20001,123
huawei,-56,226053678193551,40762242130,2024-09-04 09-10-04,185.198.45.133,1328351066,ims,70.67.6.145,107165552,2040671040,-22211,-8
huawei,55,226053512761037,40743863498,2024-09-04 09-11-47,122.122.44.21,1401824505,ims,25.158.81.10,1978271013,-1068042172,-18488,53
huawei,-65,226057626594721,40756004137,2024-09-04 09-12-57,41.114.133.208,640918532,ims,19.105.69.99,-1377249606,-20017309,-4282,-127
huawei,78,226051206004117,40777287064,2024-09-04 09-13-30,102.145.141.72,-260684388,ims,248.204.88.125,368306252,-1516787114,17757,92
huawei,90,226054476289709,40756775488,2024-09-04 09-14-34,213.221.33.248,435399371,internet,30.195.83.152,789607884,-1033932197,25771,121
huawei,-117,226055159487896,40773444946,2024-09-04 09-12-13,107.50.247.38,1573826555,ims,220.133.230.211,711696386,-782417710,-20448,111
huawei,26,226056287856222,40786524055,2024-09-04 09-13-41,167.221.235.246,743576570,ims,191.138.83.254,-506465984,1104762076,9618,67
huawei,107,226053174973822,40715690879,2024-09-04 09-14-55,163.173.214.117,1717997603,internet,246.156.195.201,1942630107,1340464169,-24584,114
huawei,80,226055989539578,40739137576,2024-09-04 09-14-40,140.121.116.87,-1626581706,internet,180.86.204.246,1674895843,2001505901,-4210,105
huawei,-7,226052340650337,40761877448,2024-09-04 09-12-29,129.235.155.91,933285392,internet,124.0.107.148,1537583635,-12663208,2105,37
huawei,13,226051903352750,40790754480,2024-09-04 09-11-38,223.178.199.75,-2035497744,internet,103.54.44.239,1405916610,1531175076,5038,40
huawei,10,226056596510862,40771930409,2024-09-04 09-14-55,108.213.214.58,-658211337,ims,150.238.169.180,992346626,868810708,-23441,-126
huawei,108,226055258418883,40793793044,2024-09-04 09-15-01,32.95.111.4,761882913,ims,41.5.207.7,-761998857,1263444516,-17870,79
huawei,31,226051940274521,40760154098,2024-09-04 09-14-11,229.53.87.166,1412971283,internet,217.221.196.11,-79605874,-356854214,9829,-104
huawei,-59,226059011321703,40719902025,2024-09-04 09-10-52,60.65.85.215,1172356829,internet,239.147.170.236,-2138384645,-133525501,-18075,25
huawei,-66,226055065825546,40797569378,2024-09-04 09-14-29,138.71.35.149,17089892,ims,22.205.206.202,-633570515,602380505,26314,13
huawei,-126,226051426579850,40741492135,2024-09-04 09-14-06,81.11.78.25,159623518,ims,206.119.134.223,-511149297,-991574640,-13608,87
huawei,97,226050079188856,40748944142,2024-09-04 09-11-17,27.75.252.146,-1030424321,ims,53.201.179.236,-872171287,247137937,-12782,12
huawei,-2,226059324017751,40746320915,2024-09-04 09-13-49,149.158.199.23,270137862,ims,245.174.3.92,-789982244,-1539437447,-26655,-115
huawei,70,226051398672522,40744346964,2024-09-04 09-10-54,131.255.137.2,-1255449665,internet,81.55.0.242,1756512873,244600586,3655,51
huawei,92,226050710931594,40740602566,2024-09-04 09-14-21,18.37.220.117,-762891825,internet,143.152.32.153,54577890,-836388333,-9454,40
huawei,-3,226054899370157,40724228731,2024-09-04 09-13-02,156.48.71.163,1882564932,internet,134.210.160.208,-262879478,-2003742314,-3339,-109
huawei,-25,226050159422511,40759770817,2024-09-04 09-14-38,200.187.107.218,1574228775,internet,174.243.37.141,-671023350,-501170766,-2043,118
huawei,69,226052673657004,40707266647,2024-09-04 09-12-22,80.244.118.80,-655062818,ims,123.53.217.14,1199163387,527653890,-24498,37
huawei,-70,226051776326535,40714054193,2024-09-04 09-10-56,232.134.133.31,-670175538,ims,85.91.219.253,-662971721,-1195726172,-29675,-21
huawei,-83,226050174308622,40708460419,2024-09-04 09-14-45,38.134.8.151,1396109317,ims,182.86.90.178,-1937085914,-710777806,3991,110
huawei,39,226058275001652,40764290921,2024-09-04 09-11-34,221.211.138.180,-2092136272,internet,168.239.236.26,1187377782,-933049162,5162,-4
huawei,79,226051583764218,40736169437,2024-09-04 09-11-03,118.91.246.134,1640734001,internet,201.54.224.70,-1663457820,-253596746,-2758,4
huawei,45,226054268766677,40790777347,2024-09-04 09-14-38,173.221.89.254,-1748324525,internet,6.151.190.50,1569480538,1544791922,-8836,70
huawei,67,226057759514245,40795577306,2024-09-04 09-13-04,79.101.218.229,-1627764124,ims,46.90.220.12,-231510286,-1164435537,14675,-58
huawei,51,226056244623233,40799353713,2024-09-04 09-12-37,15.16.50.178,-1859165148,internet,13.100.147.222,922195844,-1031955943,-11559,-7
huawei,-71,226054643761205,40798399471,2024-09-04 09-13-51,206.230.191.108,41116802,ims,211.241.147.42,921258397,921407032,-23387,-21
huawei,13,226052500925971,40794380641,2024-09-04 09-11-57,144.221.47.25,412650118,internet,146.148.249.82,32722589,-1654780760,-1354,-50
huawei,-95,226052483854720,40745871704,2024-09-04 09-11-25,40.227.142.101,1749734920,internet,111.64.91.29,-1095499502,-536465565,-19709,-128
huawei,65,226054170003475,40752197365,2024-09-04 09-14-37,81.133.82.136,-1624966324,ims,63.131.87.108,691112685,458601343,-30572,104
huawei,-54,226052044110431,40710426991,2024-09-04 09-10-56,151.6.86.18,802984002,internet,27.48.227.167,1484928088,-818430252,19377,-89
huawei,113,226054446718278,40793448681,2024-09-04 09-13-42,73.169.2.221,1177175177,internet,229.252.202.8,-10385682,1279942284,-26279,-67
huawei,-5,226055291117926,40734038978,2024-09-04 09-10-41,103.155.122.217,542255149,ims,237.142.167.52,-690144194,-225592612,4942,59
huawei,-93,226059619355675,40762055608,2024-09-04 09-13-11,181.26.123.27,-1509716910,internet,21.218.47.173,1725802774,581789603,-17831,63
huawei,-62,226055452721417,40757454920,2024-09-04 09-13-54,221.183.78.30,1858106551,internet,194.96.50.114,-1587335435,-1046015154,20708,-13
huawei,31,226057996421285,40768482731,2024-09-04 09-14-22,99.43.121.83,-2053392000,internet,70.180.9.253,131305010,-206465874,7962,23
huawei,32,226056019639892,40798759583,2024-09-04 09-12-18,101.26.229.91,1730254529,internet,125.109.26.220,-1749043864,-380347725,-32566,-91
huawei,47,226054868363248,40705098732,2024-09-04 09-11-31,157.65.131.47,1762172602,ims,65.24.65.94,1459221051,-701018392,-14297,-92
huawei,18,226050228206314,40756746979,2024-09-04 09-14-35,86.207.49.212,69203197,internet,41.79.193.223,-1877907137,1130849754,15414,20
huawei,21,226055400585658,40735809891,2024-09-04 09-11-52,204.0.20.236,1553553659,internet,77.165.244.143,624000210,-2137137300,-31987,-96
huawei,-41,226055351749513,40739198964,2024-09-04 09-14-26,192.243.166.83,-22807488,ims,85.105.62.111,-457987300,2013138690,26629,121
huawei,106,226058535314467,40794454122,2024-09-04 09-13-24,189.34.146.113,-575416349,internet,116.154.104.252,-1283192926,1547505026,3289,-112
huawei,39,226050471909021,40790738807,2024-09-04 09-12-41,15.179.211.200,-315347138,internet,136.90.63.199,-447834130,-2122213192,2302,15
huawei,45,226053070109619,40777931582,2024-09-04 09-13-11,15.118.59.60,-2045728713,internet,241.55.83.139,-431137286,-943108865,-20473,-107
huawei,53,226051838630356,40772716188,2024-09-04 09-13-54,57.102.114.112,1225575766,internet,190.89.226.120,288564117,1327940756,593,-113
huawei,45,226055887565331,40794034349,2024-09-04 09-11-27,234.234.25.48,-867141966,internet,66.250.165.116,-896805569,-292174522,7365,61
huawei,-102,226050170085587,40712054667,2024-09-04 09-13-16,80.166.138.237,-1880645949,ims,89.123.164.41,1235559426,-786099739,14997,52
huawei,-45,226053255364302,40778906883,2024-09-04 09-14-28,193.213.4.109,-1488075265,ims,2.72.16.180,-1064799135,1153528303,3236,-68
huawei,-96,226056694011993,40736047895,2024-09-04 09-10-16,178.96.181.69,-832795074,internet,160.171.184.88,-1028460438,-1133127518,-25763,124
huawei,77,226050894963439,40702249214,2024-09-04 09-11-21,114.52.64.162,232409504,ims,67.61.239.207,-344651700,1587757765,11347,72
huawei,-77,226058403414493,40781434532,2024-09-04 09-14-18,152.205.214.222,-934548534,ims,214.43.115.148,1316764332,-1447901060,2610,-35
huawei,-127,226055331182034,40726490507,2024-09-04 09-13-16,72.8.153.155,630620416,ims,179.77.169.135,-1493727990,-266733747,-16186,38
huawei,56,226054537893831,40725150505,2024-09-04 09-12-40,210.109.161.211,-883569676,ims,28.136.13.79,-445659261,-1702276058,-16856,111
huawei,38,226055364801973,40748781292,2024-09-04 09-10-30,222.72.2.93,-1585093055,ims,83.221.238.148,-165947294,-2026644519,11692,-31
huawei,34,226053906367190,40755381654,2024-09-04 09-12-57,131.251.44.5,-812233632,ims,236.3.149.182,927215640,-654334654,14477,50
huawei,-124,226057502274288,40736698570,2024-09-04 09-11-18,100.197.1.238,-128412672,ims,253.178.82.152,752949377,-1093234776,10585,-128
huawei,68,226057002227884,40715515608,2024-09-04 09-11-49,198.17.15.218,-1565321815,internet,128.162.148.27,-1397540390,-1597301935,22180,112
huawei,-12,226054606454641,40710018156,2024-09-04 09-14-23,122.103.142.151,1306870340,ims,126.54.188.254,1123349310,684022401,11324,16
huawei,-64,226057068661403,40792763851,2024-09-04 09-12-50,161.198.188.133,-777288048,ims,44.85.170.122,-137795324,1502619097,-25323,14
huawei,-2,226058153018155,40741798752,2024-09-04 09-12-40,71.38.91.37,853274749,ims,113.20.132.8,-2105403629,1598525785,-17253,-40
huawei,-25,226057190618024,40747324712,2024-09-04 09-11-26,130.231.170.25,-50204221,internet,51.169.148.122,-495934096,1170417093,31723,63
huawei,-36,226056587478927,40750892984,2024-09-04 09-14-22,219.237.246.237,1880315615,ims,139.196.244.151,-1318504529,159027327,15151,-109
huawei,-34,226052473500520,40748079481,2024-09-04 09-12-41,240.168.124.77,1324563127,ims,187.13.204.19,-447120416,-1296345895,15119,108
huawei,-79,226050318424724,40749641404,2024-09-04 09-11-11,19.168.56.176,-359586039,internet,131.90.61.243,-1979989902,-969040892,-23290,-108
huawei,18,226053322156268,40710228680,2024-09-04 09-11-53,14.104.30.243,-1386339488,ims,232.3.134.92,1611971726,1938452418,-4571,-4
huawei,108,226058633211587,40721452773,2024-09-04 09-11-52,19.47.223.255,1667386942,internet,229.10.221.95,-580784534,664480994,-30161,123
huawei,-62,226058486473921,40768127022,2024-09-04 09-10-46,2.86.241.19,1055336242,ims,133.122.58.11,1709600370,1491364049,-25786,72
huawei,-59,226053601607949,40752314616,2024-09-04 09-11-01,160.135.56.253,46593976,ims,201.6.192.183,122499913,-1277193835,9859,-75
huawei,22,226054880293682,40704145330,2024-09-04 09-14-09,94.75.52.30,1708637308,internet,29.216.109.227,2135719635,1303282413,32236,2
huawei,0,226055053853677,40739620262,2024-09-04 09-12-17,114.74.237.183,-1472604808,internet,185.107.246.217,-1515256966,1950203748,28133,60
huawei,45,226055409163711,40719493294,2024-09-04 09-12-02,0.168.244.236,-1627253955,ims,220.216.202.88,1902136072,-1831765670,-10882,-72
huawei,7,226052137152633,40730353351,2024-09-04 09-10-25,250.195.92.218,-102375865,internet,192.9.60.211,586888410,-193887043,-6210,103
huawei,126,226054147442871,40718698136,2024-09-04 09-10-09,29.237.211.78,1942546074,ims,80.48.214.186,-540118974,1002899896,-31374,-123
huawei,-54,226052997912438,40797556515,2024-09-04 09-13-36,166.64.45.20,614844566,internet,238.115.71.192,-910287408,425154377,-7007,37
huawei,115,226050177939056,40742731579,2024-09-04 09-10-30,220.127.242.215,-1716415618,internet,214.221.16.132,1623171258,541992336,-23480,-120
huawei,-44,226051750880904,40775566767,2024-09-04 09-14-44,245.171.117.102,-843249553,ims,180.239.21.8,-1879389025,1775122890,4489,79
huawei,90,226057609561229,40767606756,2024-09-04 09-10-16,7.25.191.241,-820450972,internet,48.22.79.0,180853088,-2070783748,-14217,-25
huawei,-106,226051855670727,40702988372,2024-09-04 09-12-13,99.19.125.76,1542265542,internet,216.145.94.128,1656378211,-876971657,-20261,122
huawei,-42,226052663648391,40745931236,2024-09-04 09-14-26,66.142.64.154,-559598552,ims,109.155.193.88,415492280,-1541541883,10529,-94
huawei,-68,226055149186643,40764296409,2024-09-04 09-14-04,163.196.129.232,-2008510867,internet,67.81.180.179,310478479,1801142524,29892,27
huawei,71,226058587186086,40738961836,2024-09-04 09-10-44,145.213.87.214,-556375701,ims,147.161.244.186,507905905,-1891708264,32290,-5
huawei,26,226051015913069,40768451410,2024-09-04 09-10-13,86.143.109.67,872478158,internet,69.160.142.226,445930231,-84928730,14510,-37
huawei,-115,226054583837830,40736317888,2024-09-04 09-11-02,139.231.175.234,841476856,internet,124.69.56.74,-1911338744,-188172140,-6968,35
huawei,-73,226055538255289,40779208905,2024-09-04 09-14-23,18.34.212.140,-314024686,internet,50.109.252.179,534941767,215043589,6274,33
huawei,55,226056594075542,40710113903,2024-09-04 09-10-47,70.20.206.246,1775009624,ims,185.112.60.182,508514014,1946898208,29420,13
huawei,30,226053093223147,40772960757,2024-09-04 09-13-59,239.145.223.162,1997479754,ims,42.108.125.124,-139286686,-984769970,4619,-90
huawei,19,226057468858676,40777790858,2024-09-04 09-12-43,28.170.170.133,1432977968,ims,76.61.99.28,-204344427,-1240070150,-17682,15
huawei,19,226057338398436,40796184156,2024-09-04 09-13-39,91.252.33.197,-1689666295,internet,193.62.150.71,-1300619361,214084961,-28118,117
huawei,-39,226056539778645,40778952427,2024-09-04 09-10-03,36.45.159.251,-804764173,ims,254.193.137.169,-1753548670,901738779,-14609,-86
huawei,87,226051122161933,40733028118,2024-09-04 09-10-57,26.253.250.3,364374995,internet,238.216.203.69,733020834,-855360586,31171,111
huawei,-95,226057975014673,40762449230,2024-09-04 09-11-06,122.73.128.143,-1505842188,internet,203.144.190.148,-1061252649,647540890,22594,-94
huawei,16,226059506957524,40776666365,2024-09-04 09-12-54,144.56.248.14,-2070943873,internet,121.63.72.164,-1958539091,-324741557,-1008,-89
huawei,-16,226051621420916,40792181191,2024-09-04 09-14-23,54.187.30.93,1886702496,internet,223.31.66.214,180314688,-701462921,-32676,-83
huawei,-49,226057406766521,40718127700,2024-09-04 09-10-58,228.138.156.158,-897926611,ims,34.52.227.195,191847930,-2063330321,4086,-101
