src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,1,226059631632610,40778355789,2024-09-04 09-17-01,14.180.179.241,-547711403,internet,159.255.107.14,2139247987,1999191530,3385,107
huawei,85,226058630221708,40707652131,2024-09-04 09-16-37,9.147.84.166,-666276792,internet,200.153.158.0,1518047830,1136275319,-3731,84
huawei,15,226058140903745,40786677559,2024-09-04 09-16-52,13.19.77.80,69725001,ims,116.105.1.176,632294561,368578877,-6061,85
huawei,72,226054696249982,40757180841,2024-09-04 09-19-10,64.239.191.193,2007681807,ims,235.40.132.54,-1323205876,2030431384,-718,27
huawei,106,226051076617247,40709376706,2024-09-04 09-18-53,21.158.12.236,237856661,ims,194.5.63.226,428187970,-385831957,-19483,-124
huawei,113,226057843450446,40719126203,2024-09-04 09-16-01,21.127.100.199,1071529635,internet,247.157.155.71,371247998,243053986,31036,43
huawei,-119,226059452499330,40781978243,2024-09-04 09-18-12,212.77.59.8,116786045,internet,203.122.221.224,782984604,-1969950072,20227,18
huawei,-39,226055617001776,40710449149,2024-09-04 09-15-38,236.29.30.103,863398962,internet,67.80.226.103,-1360264131,311981975,32327,-28
huawei,-106,226055851176766,40777478209,2024-09-04 09-15-13,68.218.249.115,-1280076358,internet,228.133.16.223,-942115695,-427468757,10518,125
huawei,-37,226052880887833,40735751642,2024-09-04 09-18-32,118.146.40.0,-829559618,internet,156.89.159.44,-1082804406,-417966588,27650,120
huawei,42,226058602227945,40714834515,2024-09-04 09-16-14,181.135.227.93,-104580257,internet,152.159.177.36,-175873725,1007546543,24037,79
huawei,-94,226050292902439,40706378554,2024-09-04 09-16-02,125.110.104.39,-1852174182,ims,33.41.194.225,1633057024,1591162600,13523,25
huawei,-17,226055785780564,40785464364,2024-09-04 09-16-43,185.246.37.76,345660274,ims,168.231.140.109,-349126239,1149798234,4967,28
huawei,55,226058803391922,40757711371,2024-09-04 09-17-56,164.9.93.122,-682278690,ims,160.205.124.82,-857421653,813351175,16150,-94
huawei,119,226054276734091,40747952445,2024-09-04 09-18-27,234.212.189.32,877095331,internet,222.174.47.150,-243672062,-891775603,31538,82
huawei,29,226055540311506,40789749996,2024-09-04 09-18-22,203.55.127.232,-170966822,ims,20.194.8.115,1226693703,-1218183328,-22135,114
huawei,-25,226054894087504,40791636397,2024-09-04 09-19-37,152.150.137.44,-1303018089,ims,171.174.196.215,747053929,1521829439,-7882,63
huawei,6,226055736957531,40760330691,2024-09-04 09-16-24,191.122.43.49,932949562,internet,88.5.252.19,1433852905,-1579590290,-28778,-102
huawei,16,226058733796986,40798984492,2024-09-04 09-18-14,220.244.61.59,-1880275524,ims,19.244.71.21,-829621785,1018190373,-25008,34
huawei,-97,226051247804465,40762061005,2024-09-04 09-16-59,183.80.206.251,-255782841,ims,228.239.88.250,-1302779176,-2048365789,1510,117
huawei,-119,226059611469733,40701753371,2024-09-04 09-18-34,208.23.33.222,1405231642,internet,255.0.246.194,1679415379,1998732207,24451,-53
huawei,-112,226052795647940,40796323278,2024-09-04 09-16-17,111.119.34.175,-569996496,internet,153.26.101.174,-923520625,-224409631,30694,84
huawei,46,226057108618502,40734868027,2024-09-04 09-18-37,110.70.99.250,-279271239,internet,28.208.217.40,1892552191,-266453054,-30254,40
huawei,103,226054560827500,40794769734,2024-09-04 09-16-05,180.19.122.164,1112666726,internet,162.144.225.94,914611400,1403449633,-1284,-59
huawei,-58,226059894449689,40780764612,2024-09-04 09-17-09,194.177.93.50,1907453131,ims,140.178.87.206,-1620619301,-1360885773,7383,0
huawei,-32,226055902784527,40721561824,2024-09-04 09-17-41,74.167.188.29,-1651575268,ims,88.145.136.240,1210956981,813794684,-19583,-34
huawei,91,226059863953202,40720091956,2024-09-04 09-16-11,74.4.150.12,1885891958,ims,155.211.210.5,897107486,-1385685664,-25983,79
huawei,79,226058631810952,40705773700,2024-09-04 09-16-36,129.115.191.163,-1217313893,internet,10.88.75.221,-718474076,1768148066,-25010,-108
huawei,85,226057139641445,40724723473,2024-09-04 09-16-29,133.218.111.73,-1445462903,ims,241.44.142.252,-1158447302,1476068151,-19444,97
huawei,30,226051813960301,40744722011,2024-09-04 09-19-43,29.95.54.239,1722265800,internet,156.234.122.59,573020748,-1016481396,-31469,-16
huawei,-108,226055274142718,40797820223,2024-09-04 09-19-15,66.34.193.0,-1929887128,ims,9.34.151.204,1751921547,1225932970,-8779,-55
huawei,-10,226057445444475,40715046727,2024-09-04 09-19-25,101.76.19.253,599625019,ims,111.161.107.77,-1151833179,-1137910371,-28017,86
huawei,-57,226052189785369,40792507082,2024-09-04 09-16-16,166.163.243.249,-1997673109,ims,18.55.211.165,-194991739,-515102919,-16890,-40
huawei,47,226059628383914,40773069102,2024-09-04 09-16-15,191.106.58.196,-333029514,internet,138.15.230.225,-1725857578,-1201793465,5906,17
huawei,89,226050748805219,40797841611,2024-09-04 09-20-00,82.188.86.24,199726390,ims,127.200.176.120,-1371644997,894759440,-6393,-82
huawei,51,226050576710061,40708517110,2024-09-04 09-19-41,60.73.15.162,370108779,ims,118.57.131.109,-1434931442,-60724620,-17838,-118
huawei,-82,226055158395463,40765693203,2024-09-04 09-18-06,6.92.43.1,1139801648,ims,104.1.205.25,2131477747,-188560847,12322,113
huawei,79,226053157411278,40770080157,2024-09-04 09-19-17,211.199.132.194,-505017388,ims,99.122.122.74,985326900,-1833361381,29885,96
huawei,-76,226058387282820,40771115480,2024-09-04 09-17-30,214.132.65.232,359140996,ims,238.162.228.23,781596998,-909445735,10767,-108
huawei,-93,226051930133880,40711607180,2024-09-04 09-18-32,178.8.136.208,1846480601,ims,93.89.164.216,-1195313428,-51857181,7237,-47
huawei,-88,226053368289661,40748500765,2024-09-04 09-19-25,128.184.240.39,274259073,internet,198.141.3.230,-579802504,48636165,-31343,-105
huawei,115,226056197314470,40764886089,2024-09-04 09-16-27,5.16.152.120,1769391178,ims,77.63.213.218,-589359662,1669766800,27861,49
huawei,125,226053445540164,40774791974,2024-09-04 09-15-20,242.53.169.206,-2099322949,internet,201.219.255.250,-388415765,1238524755,5852,38
huawei,31,226053623563445,40770173585,2024-09-04 09-18-41,173.74.159.112,-923641336,internet,103.226.227.29,1429112609,1796563296,-25051,-119
huawei,-34,226051505863334,40767189422,2024-09-04 09-19-50,220.243.143.241,1461999752,ims,77.59.24.201,259143763,2142984134,-1139,34
huawei,-65,226053376809939,40706897468,2024-09-04 09-17-41,41.250.110.254,-184553335,internet,95.184.176.83,1323592255,-1537833019,-31834,-122
huawei,-118,226054070150351,40769928663,2024-09-04 09-15-34,16.17.210.40,-307931939,internet,65.95.212.89,-126364296,796295034,-23738,108
huawei,-57,226051296976774,40717406085,2024-09-04 09-16-12,118.123.241.15,-1902031046,internet,44.134.19.142,-1509064676,-192785667,-10517,-88
huawei,117,226056774886801,40737015455,2024-09-04 09-18-32,186.39.83.157,1789329617,ims,40.238.101.161,-22658778,-387257908,-13679,-63
huawei,95,226053467505753,40780546743,2024-09-04 09-16-36,20.196.163.54,435286536,ims,201.212.86.147,-634852861,346632864,-17461,-9
huawei,-19,226056203350482,40745863909,2024-09-04 09-18-52,219.75.184.37,619541581,ims,153.146.127.54,1365999262,-280523923,-23018,21
huawei,-87,226056426895367,40703981853,2024-09-04 09-17-46,170.163.99.52,-1844602751,ims,29.40.111.203,1084469996,360188647,16490,58
huawei,82,226051270164390,40736342266,2024-09-04 09-17-21,137.241.20.142,1100521774,internet,111.131.247.20,1354804313,-1748766387,29370,79
huawei,0,226056436795346,40775565264,2024-09-04 09-16-25,166.240.2.127,-863027823,ims,53.44.119.229,1419199410,841652929,-11893,79
