src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-95,226058405437413,40712276585,2024-09-04 09-30-01,232.129.114.12,-724930899,ims,167.159.229.249,-1056390600,1981706904,-26852,-127
huawei,-10,226056180767123,40708070875,2024-09-04 09-33-02,227.8.19.43,1732747447,internet,104.116.66.198,626467643,1378853427,21291,119
huawei,27,226058691370974,40759185616,2024-09-04 09-31-57,71.22.34.217,-1801305532,ims,5.210.23.64,-830082693,-262957266,-26461,105
huawei,-2,226050681431917,40788868649,2024-09-04 09-32-40,142.204.41.23,-950118726,ims,168.121.109.179,47238221,1512232273,29273,120
huawei,2,226057533948476,40706288346,2024-09-04 09-32-26,134.130.17.190,1978889931,internet,58.202.143.9,1284736037,312452391,-3654,-3
huawei,3,226053752754999,40739599898,2024-09-04 09-34-59,62.219.126.5,-1787755424,internet,82.52.187.198,-170760581,1674433985,16772,-109
huawei,-43,226059930979832,40714718937,2024-09-04 09-34-49,237.206.254.143,1617973731,ims,42.21.97.147,1777147089,2015405749,2069,-114
huawei,91,226050964235281,40798281430,2024-09-04 09-30-35,220.37.231.77,316853443,internet,89.233.54.172,-1959168345,696253637,9845,47
huawei,59,226053388764768,40707122171,2024-09-04 09-34-10,104.199.138.34,-1778939564,internet,154.191.81.241,-293824206,520054658,1418,-13
huawei,5,226057367818599,40753490752,2024-09-04 09-33-27,36.145.143.92,-1938646347,ims,196.149.65.74,-915331127,1052998963,24341,2
huawei,-99,226055002603294,40741395900,2024-09-04 09-30-34,34.2.163.10,-1384249489,ims,132.253.253.175,1977076692,-653392826,21638,-23
huawei,79,226055319376517,40733048437,2024-09-04 09-35-00,53.184.234.131,52308184,ims,17.88.140.51,-1681283313,-1039343199,-27751,-23
huawei,-92,226059449751806,40786773566,2024-09-04 09-32-52,165.244.205.202,151021124,internet,3.203.233.118,1652595410,2044999589,7133,103
huawei,105,226050256713020,40799457091,2024-09-04 09-30-20,122.201.72.31,-1241610753,internet,41.133.74.79,1669334685,-308940228,16063,-116
huawei,117,226055668562893,40742714955,2024-09-04 09-33-20,8.16.21.12,371002796,internet,3.107.116.201,710433283,-1659443128,-32648,-109
huawei,-55,226050164987262,40785286156,2024-09-04 09-30-44,159.121.14.199,680080098,ims,239.97.192.213,1586066517,-106149960,3014,98
huawei,105,226050417019834,40785259079,2024-09-04 09-33-51,251.240.240.173,838492999,ims,37.217.199.11,-1619912570,938214385,1261,76
huawei,-118,226053761387220,40726203929,2024-09-04 09-32-27,218.112.45.164,952257005,ims,209.38.91.175,1392684973,591853576,3261,-46
huawei,21,226053888095825,40717440535,2024-09-04 09-31-56,13.134.111.135,69735862,ims,34.148.216.118,-1054705369,2102374247,3387,-52
huawei,-124,226059400705680,40748847964,2024-09-04 09-32-45,19.220.183.8,-1586085026,internet,122.40.100.140,-1210041539,1705752749,9668,20
huawei,-2,226059304874291,40785712556,2024-09-04 09-30-47,81.3.70.215,-1950791969,internet,43.49.212.0,-14956847,-811289754,-5752,73
huawei,-56,226057190167012,40774384717,2024-09-04 09-30-53,198.214.196.61,1413531786,ims,33.239.75.20,934632446,591203712,-32511,-5
huawei,76,226052471332977,40765710374,2024-09-04 09-33-03,239.69.129.148,-91845956,ims,221.50.100.197,-1880373608,9757056,9363,-82
huawei,104,226055239163550,40713025774,2024-09-04 09-31-20,209.115.51.211,-354353311,ims,29.193.214.84,-323019150,-1175231452,-23636,73
huawei,-46,226053791983588,40779823729,2024-09-04 09-31-46,252.103.56.82,-396605624,internet,165.43.220.16,-95299368,-816554996,-17674,5
huawei,46,226056583743301,40700667317,2024-09-04 09-30-05,67.176.114.76,-1204289876,ims,53.105.207.230,-920329006,-721898307,-1880,-112
huawei,10,226059956791868,40747772872,2024-09-04 09-33-08,74.74.30.157,-1234352682,internet,215.193.153.170,-244064905,1429094493,-32030,77
huawei,44,226053607482205,40785331990,2024-09-04 09-33-21,229.198.249.214,-691362106,internet,206.185.16.77,635618144,582784529,-15487,-50
huawei,26,226059984099553,40710861930,2024-09-04 09-31-44,114.4.6.50,-2131673739,internet,27.129.86.221,590767641,427007120,-16510,-83
huawei,-93,226057284231017,40786112439,2024-09-04 09-32-56,93.202.84.187,-439915723,ims,140.150.7.89,1601659461,1622634265,20415,0
huawei,-44,226058387335755,40721230883,2024-09-04 09-33-28,235.97.205.145,1181967435,internet,189.135.44.186,-804071600,822223984,17087,99
huawei,-105,226055616232475,40773464775,2024-09-04 09-31-49,220.19.205.14,914917591,internet,175.227.229.220,1316250388,-1726713761,2703,-114
huawei,104,226051143399323,40735607028,2024-09-04 09-34-49,12.133.149.138,-809944149,internet,64.32.224.111,2122641668,1059739893,-9866,111
huawei,88,226055718567559,40764226945,2024-09-04 09-32-16,119.178.160.75,-1889833413,internet,107.66.121.116,-656697029,-880159847,-25181,-60
huawei,-16,226055873632048,40714065620,2024-09-04 09-32-10,102.59.214.42,-1726392619,ims,64.62.230.112,-2037614880,-1699076560,21080,78
huawei,-16,226056770606246,40784765642,2024-09-04 09-34-53,34.212.191.124,-590647119,internet,228.8.156.134,1878421072,-677006613,6944,-108
huawei,-38,226054688525106,40790581516,2024-09-04 09-33-01,153.116.188.8,218975664,internet,208.41.75.112,2008438060,-257147766,3482,-48
huawei,-61,226059311061010,40724675527,2024-09-04 09-32-43,137.4.68.24,436697313,ims,117.237.206.66,-1987211320,1894316010,30744,89
huawei,104,226050475094614,40713237376,2024-09-04 09-32-01,186.207.93.195,-34796399,internet,66.0.243.166,-304163141,701199279,-25188,125
huawei,41,226053310678592,40723763438,2024-09-04 09-30-54,86.2.200.180,-2141449863,ims,227.191.209.59,818208062,-1869711772,7218,125
huawei,123,226059049796210,40796007961,2024-09-04 09-32-47,143.35.220.174,-970305813,ims,103.112.180.149,256903460,205125270,14960,119
huawei,92,226051932087487,40757896318,2024-09-04 09-33-24,212.140.60.120,-1860798886,internet,228.219.94.163,954279188,-14115671,29723,-29
huawei,-51,226055928704242,40762619311,2024-09-04 09-33-22,18.94.182.29,-1228643757,ims,97.240.33.70,604906511,274834514,-31960,-101
huawei,78,226053118099677,40795890452,2024-09-04 09-30-01,84.80.126.240,-312584125,internet,120.189.111.156,-213795870,104886645,-13753,-21
huawei,78,226052616346258,40755946069,2024-09-04 09-32-15,141.90.205.171,-1770952559,internet,227.13.235.93,326017664,1414855406,-5781,6
huawei,77,226059269184834,40729690490,2024-09-04 09-30-11,48.111.20.42,1421306510,ims,198.126.70.76,770522676,508896784,-10285,-95
huawei,104,226056910034752,40727073033,2024-09-04 09-32-40,33.234.107.132,247544731,ims,74.23.28.202,-2028662889,1824911922,11998,86
huawei,-107,226054537399153,40723430290,2024-09-04 09-32-00,201.142.12.110,-1866703105,internet,83.62.196.181,-632730575,-343678045,-1571,-94
huawei,-3,226058069129113,40757055237,2024-09-04 09-30-37,75.227.19.62,-540415494,internet,15.192.138.125,1642059718,-733191957,-15000,35
huawei,-77,226058135826728,40700713669,2024-09-04 09-33-41,37.160.254.211,-405406311,ims,176.27.211.57,-1861899235,-532351059,-32144,22
huawei,-40,226059858269950,40700448518,2024-09-04 09-33-51,184.97.248.173,1902014563,ims,157.45.118.237,-308352317,-1235140438,-20032,-109
huawei,100,226053224730932,40717345699,2024-09-04 09-34-21,183.92.188.95,102733415,internet,114.219.97.113,1179454471,873291606,-16387,-111
huawei,118,226055666890382,40792857568,2024-09-04 09-34-46,116.158.81.204,2113312737,ims,74.195.42.96,299450997,-418094733,17031,-90
huawei,111,226057434261695,40702194028,2024-09-04 09-31-34,229.246.21.42,-2040082594,internet,107.68.103.34,500192690,1433452725,-12004,126
huawei,127,226059304097230,40748052973,2024-09-04 09-32-01,239.72.15.163,-1876565016,ims,137.67.91.88,-1818538588,775680750,-20465,81
huawei,-33,226055212929819,40715620607,2024-09-04 09-32-51,30.232.131.245,-1365537735,internet,70.52.244.35,-666582715,-242460557,-26459,-17
huawei,105,226059691824621,40718680503,2024-09-04 09-31-17,178.94.35.45,1821478925,ims,83.14.139.119,-1584330157,-922675949,-27366,126
huawei,-116,226053918877309,40781844040,2024-09-04 09-34-49,161.171.5.229,-1510719624,ims,50.83.23.67,-365098844,-974098956,9952,21
huawei,92,226050515839919,40745467968,2024-09-04 09-31-28,232.90.130.76,-1707437667,ims,188.99.231.6,-1744784129,-1927917578,28416,14
huawei,90,226050947708657,40798367515,2024-09-04 09-30-15,113.175.234.72,-2118265416,internet,20.232.222.103,276446218,-577118112,6838,-86
huawei,29,226058624311110,40790493007,2024-09-04 09-31-57,224.29.97.71,1049443454,internet,49.24.153.187,1308105255,1082980400,-17916,-86
huawei,-112,226050263326967,40794988446,2024-09-04 09-33-20,141.214.70.198,-309911304,internet,168.249.164.144,859965183,-928380525,14125,-117
huawei,90,226059373461351,40781584229,2024-09-04 09-32-18,52.224.53.17,-457071646,internet,25.114.247.90,-182497226,-1185469599,421,23
huawei,111,226057673875602,40767116140,2024-09-04 09-33-20,141.85.242.156,-1064403274,internet,143.30.182.153,1811626114,1111319399,-22450,119
huawei,-22,226053433844927,40707451600,2024-09-04 09-32-42,84.15.48.136,-534251643,internet,65.220.12.59,-1070604433,-1018048208,9802,-126
huawei,-103,226051288411894,40718060743,2024-09-04 09-32-09,52.253.144.155,1059953672,ims,200.24.1.46,1300432168,-1213144723,-8864,31
huawei,-104,226052271990047,40726227620,2024-09-04 09-32-37,160.92.247.219,-981860270,ims,141.76.58.207,-353043647,185792326,-12930,3
huawei,92,226056001318598,40787798806,2024-09-04 09-33-09,89.255.94.9,-988077275,ims,149.70.160.197,-1293186900,-1724460468,8215,-103
huawei,85,226054055523172,40727071040,2024-09-04 09-32-59,113.178.25.247,224613850,internet,48.126.170.4,-1136655931,-1195246191,6292,35
huawei,-28,226059583833391,40710984503,2024-09-04 09-33-54,112.129.69.155,225374003,internet,214.115.122.87,712261620,929219060,31232,-90
huawei,97,226056415093272,40790518011,2024-09-04 09-34-09,34.192.187.4,-1958757789,ims,55.151.242.202,-1919411762,-257560096,-30557,-22
huawei,-19,226051676751384,40780099904,2024-09-04 09-33-09,241.38.77.97,-1078585352,ims,245.114.66.90,-1467522604,1308632173,18587,69
huawei,-23,226058812973755,40795665471,2024-09-04 09-32-59,189.240.86.192,493814950,ims,118.211.169.44,1206867830,-861766725,26854,71
huawei,-59,226054496196725,40703253892,2024-09-04 09-33-26,157.13.186.183,1657897250,internet,152.238.74.27,-513552493,2027965881,-22889,-15
huawei,-53,226054841314911,40718781682,2024-09-04 09-34-45,15.46.245.36,1013953931,internet,137.232.142.45,-57735466,-1489114867,19661,-3
huawei,-27,226050851407391,40707036635,2024-09-04 09-32-34,11.233.185.57,-246018800,internet,1.135.185.37,-539577287,-1073635294,1836,-33
huawei,64,226053945587003,40717828615,2024-09-04 09-30-34,112.38.158.4,2047165917,ims,137.237.71.29,131247089,1646727095,-13933,28
huawei,18,226054532943107,40793721010,2024-09-04 09-31-32,49.32.139.6,466458325,ims,21.85.151.7,529417078,1778561572,-591,-37
huawei,63,226050120639250,40786137233,2024-09-04 09-30-48,110.51.253.32,2043140125,internet,198.167.165.40,1909056328,-2017588472,-24071,-125
huawei,-102,226058952757888,40778657269,2024-09-04 09-32-33,242.225.193.44,-341538477,ims,98.130.244.160,-657989964,-518371694,-12631,39
huawei,2,226053170283909,40784539426,2024-09-04 09-33-15,76.150.101.112,-311541272,internet,88.103.19.81,518004503,-507340264,-9630,-13
huawei,-42,226057405474562,40798478992,2024-09-04 09-34-53,189.228.41.14,-1628794049,ims,229.175.17.22,-130953059,519219707,-6877,37
huawei,24,226057488741083,40703564562,2024-09-04 09-30-12,173.162.27.131,-1756386474,ims,244.239.33.116,-1736894963,645703613,-18634,-33
huawei,76,226057877161133,40744086591,2024-09-04 09-33-25,194.247.19.69,-355725126,ims,203.190.225.37,-464422959,-1289815591,19668,-85
huawei,24,226052186785344,40730314952,2024-09-04 09-34-09,131.125.155.179,-852532915,internet,124.188.168.87,977131431,247880972,27832,22
huawei,-7,226054753083424,40757588211,2024-09-04 09-32-10,152.119.58.43,974258079,internet,161.222.11.31,-2125376549,1433189613,9471,17
huawei,35,226055672936370,40727783625,2024-09-04 09-31-03,18.135.169.57,-1793770082,internet,196.130.218.185,-229163710,-964659050,9113,95
huawei,70,226056190075585,40799229548,2024-09-04 09-33-56,166.3.121.51,1279380836,internet,64.59.79.165,1801048068,547590791,7067,122
huawei,35,226053996146567,40732282551,2024-09-04 09-33-35,86.16.143.225,175028686,ims,184.19.210.119,1040111460,-2066983539,-4695,-58
huawei,33,226051985581707,40784851168,2024-09-04 09-31-21,92.81.81.163,-687235794,ims,42.2.166.21,420936922,689806223,-29438,57
huawei,-88,226050255948754,40740340261,2024-09-04 09-33-28,86.10.184.64,-242498696,ims,50.95.116.209,-1721840933,678599911,27588,97
huawei,51,226059114580499,40748933913,2024-09-04 09-31-07,158.250.222.204,-979181442,internet,45.74.212.88,12777426,730043954,-17726,127
huawei,-14,226053850903022,40779130603,2024-09-04 09-34-49,110.42.224.81,-508676791,ims,208.87.205.235,1885458234,-785848747,10494,107
huawei,-99,226051163036746,40797830572,2024-09-04 09-34-21,135.141.68.154,1547309441,internet,253.161.91.139,-648162094,-1845713006,10228,-88
huawei,-34,226050504157917,40740567148,2024-09-04 09-31-10,64.50.36.201,976341266,internet,127.212.95.14,-576241300,869245312,30949,-39
huawei,29,226050691474341,40734480128,2024-09-04 09-31-15,125.167.159.152,-1150358802,ims,104.94.211.231,315075744,-1126268072,-31699,-24
huawei,118,226055689353268,40781866892,2024-09-04 09-34-59,2.107.148.154,-56033361,ims,17.150.221.175,-1664298772,-1996304463,28194,-6
huawei,108,226053362431457,40706958757,2024-09-04 09-34-48,0.40.81.11,-566091659,ims,181.42.102.149,1635948825,1709724174,9599,50
huawei,124,226051441725400,40733290751,2024-09-04 09-31-09,22.70.49.88,648238219,ims,70.215.16.111,164497218,439450373,-31991,-117
huawei,-50,226053025092690,40755464101,2024-09-04 09-32-45,197.233.193.55,-1082509000,ims,133.43.245.243,-1109060342,1791799358,-27460,86
