src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-98,226056088831853,40703474476,2024-09-04 09-41-20,119.102.19.129,2043023554,ims,129.127.181.140,-2093793763,1117097421,18046,59
huawei,-85,226055259266543,40783342054,2024-09-04 09-43-09,129.155.26.130,-1776591912,ims,103.54.4.25,1696724702,-2049843392,7474,-51
huawei,-41,226057856570523,40758202148,2024-09-04 09-44-53,26.25.29.67,1017182087,internet,76.167.7.140,-61525739,-1626599142,-9727,-61
huawei,-96,226051393155392,40719441211,2024-09-04 09-40-51,72.71.21.140,-34264036,ims,209.101.69.40,-1926033882,-328324196,-25802,58
huawei,88,226054723605878,40720694760,2024-09-04 09-42-08,18.100.93.137,1037856025,ims,79.36.99.192,-1601744648,652928293,30646,-64
huawei,-51,226057761533296,40728646972,2024-09-04 09-44-35,93.199.224.225,-486138340,ims,153.197.181.159,781056184,-754246898,17879,-65
huawei,125,226057204499056,40707159089,2024-09-04 09-41-34,190.246.205.216,1949871701,ims,172.196.190.133,-1758973865,-120432675,-4900,70
huawei,55,226059043116741,40710759049,2024-09-04 09-42-56,62.20.223.157,-1243365851,internet,211.83.169.220,-2079367139,-882687609,-8913,66
huawei,96,226051597001807,40733204044,2024-09-04 09-44-52,218.192.232.6,1267261186,internet,105.33.17.239,31822461,152624283,-9010,-88
huawei,-105,226054409435073,40740700131,2024-09-04 09-42-55,90.219.182.82,794189352,internet,219.227.86.196,-1468574498,-311619204,-30622,-79
huawei,105,226059996023983,40783987067,2024-09-04 09-43-33,16.213.108.230,1314021889,ims,192.190.250.83,-1127028077,-1434031464,14134,14
huawei,90,226056151977005,40726389505,2024-09-04 09-40-43,150.69.120.99,718141492,ims,130.216.4.247,1474426209,1099011266,17987,108
huawei,-97,226053976378562,40766206945,2024-09-04 09-40-08,66.38.236.42,12490905,internet,139.218.181.155,-1385403495,1512154046,-20057,-88
huawei,-123,226055504286832,40759575414,2024-09-04 09-43-25,76.158.210.51,-14988364,internet,253.123.208.143,-2122516180,451662781,31928,-25
huawei,67,226055104700884,40713869134,2024-09-04 09-41-11,50.25.60.3,1105977908,internet,192.249.21.164,2066984602,2119773576,21832,21
huawei,28,226054669099831,40730908429,2024-09-04 09-44-25,186.172.250.157,-513030170,internet,36.164.40.99,243073518,-571228458,-14572,94
huawei,98,226052292529151,40783529375,2024-09-04 09-41-34,42.235.136.61,1282879423,internet,93.224.183.125,-1356569336,1938909490,-1074,-23
huawei,-3,226051383761091,40723626572,2024-09-04 09-40-26,5.77.17.136,-529731444,internet,4.219.164.51,-717282823,-234116288,12313,126
huawei,-71,226055752167700,40709754666,2024-09-04 09-42-29,223.175.185.235,-2051460900,internet,255.21.23.139,-2123691071,-1509954379,29677,-102
