src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-21,226053790569782,40724649245,2024-09-04 09-48-57,216.127.131.164,-568355774,ims,109.209.163.199,-672821559,383115579,-30858,64
huawei,-63,226054647456259,40758632242,2024-09-04 09-47-45,242.0.70.64,-1870014367,internet,63.125.52.149,1926047501,1841701739,-21193,106
huawei,72,226052771459103,40791729065,2024-09-04 09-48-31,242.133.232.247,53216471,internet,251.116.120.94,-1142950915,375646530,-24888,95
huawei,-111,226050017083833,40747118090,2024-09-04 09-45-11,34.16.219.69,-1808991659,internet,124.57.122.95,1048844915,-793477760,23690,82
huawei,29,226056140352517,40732484629,2024-09-04 09-49-26,41.194.12.118,58844239,internet,58.88.102.95,844409269,2037291089,5200,1
huawei,49,226051221500912,40702438470,2024-09-04 09-46-50,4.220.227.40,-518105681,internet,177.222.179.150,1941932814,-156792327,32467,66
huawei,123,226058113788375,40715137906,2024-09-04 09-48-52,59.45.191.1,1419571610,ims,92.125.146.216,2064086077,-227523885,-7975,25
huawei,95,226053816991681,40758239689,2024-09-04 09-48-14,119.34.74.164,1462437529,internet,78.241.246.85,-1810036789,1729393920,-27599,-86
huawei,-55,226054907356023,40704198553,2024-09-04 09-49-50,80.111.182.203,1999919816,ims,128.64.38.222,1265800543,-2015242948,-27795,64
huawei,-86,226052849500587,40785958225,2024-09-04 09-45-45,46.110.239.54,1547091705,ims,34.242.209.198,1118442339,1685471914,13339,-114
huawei,-59,226058201625219,40744270667,2024-09-04 09-45-55,116.15.138.156,464229368,ims,160.237.114.170,524381340,-1531439891,-4904,-23
huawei,126,226054029766622,40732927913,2024-09-04 09-46-39,202.194.85.4,2024117391,ims,201.164.177.152,-632623081,413643296,24680,105
huawei,84,226055444444674,40722684566,2024-09-04 09-45-23,6.155.43.105,424754513,ims,56.56.140.41,-486396575,1833745360,-15313,-43
huawei,16,226058171360525,40736895975,2024-09-04 09-45-31,74.75.14.225,99868397,ims,184.60.104.195,-1883079668,1077250386,-20749,-57
huawei,54,226053671814205,40776155657,2024-09-04 09-46-17,158.9.108.176,-1978619941,ims,27.135.89.225,-1232505903,857411857,-30087,-81
huawei,120,226058261018558,40789799680,2024-09-04 09-46-10,94.166.129.125,565094766,internet,47.208.235.49,-2053126074,-1172528468,19611,-12
huawei,69,226053184977558,40767924731,2024-09-04 09-48-05,154.62.249.244,1016991439,internet,252.160.69.85,-752729234,1827714487,26609,38
huawei,45,226053790605830,40704330580,2024-09-04 09-47-29,210.80.196.170,1154844858,ims,249.121.88.193,-1654008309,1602281358,17307,-80
huawei,-71,226051682271979,40731061533,2024-09-04 09-48-21,157.119.12.17,-928490483,internet,22.236.140.6,1089720753,-1794948954,-10092,10
huawei,64,226050579259087,40718117123,2024-09-04 09-45-50,1.118.239.117,650678862,internet,72.48.7.240,497231087,-86853225,-24396,-25
huawei,-96,226059604309439,40782305331,2024-09-04 09-46-23,1.100.127.151,1972940187,internet,13.170.239.58,-648929130,-1903708471,29641,32
huawei,-98,226050642902500,40775232304,2024-09-04 09-48-59,8.1.22.192,865057052,ims,134.123.93.213,-1679908179,1724432756,-8755,29
huawei,-116,226052307941528,40717816148,2024-09-04 09-47-00,227.246.204.224,-319297592,internet,202.150.39.216,1732832484,1006026552,10423,76
huawei,-39,226056437572685,40759869401,2024-09-04 09-46-36,34.68.59.3,-970894747,ims,14.186.216.30,-174274766,-1178507197,-23780,51
huawei,102,226051134804158,40704879422,2024-09-04 09-48-44,90.74.115.58,-489239524,internet,209.172.33.197,1946163336,-1179763445,-28748,50
huawei,78,226057476615100,40774290276,2024-09-04 09-45-34,143.19.230.230,-1639354065,internet,44.135.245.83,967954959,-177723725,3149,-66
