src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,20,226053777028260,40710436353,2024-09-04 10-16-17,214.97.202.13,1045054050,ims,224.24.164.116,-356572023,348505114,-17875,16
huawei,106,226054565573893,40784152723,2024-09-04 10-18-13,162.17.105.141,1066205754,internet,213.141.237.27,340026430,-380254186,27683,44
huawei,2,226058263155602,40731546257,2024-09-04 10-16-58,185.221.211.126,530108030,ims,61.160.184.73,-335594211,439162211,15372,4
huawei,30,226051257684860,40720967891,2024-09-04 10-18-59,226.84.151.224,-2098148761,internet,249.24.40.135,-1516912516,-1413440341,18460,11
huawei,-54,226050292115497,40773614667,2024-09-04 10-19-25,158.225.58.46,1291477394,internet,42.76.84.201,1861535791,1299910007,-4827,42
huawei,84,226053206467030,40762393804,2024-09-04 10-19-07,243.58.177.45,699337073,ims,182.125.158.13,1908055467,-826084323,-552,-14
huawei,-90,226053894084923,40795216575,2024-09-04 10-17-09,206.154.106.55,41269928,internet,184.216.115.28,1882452482,284473502,29622,1
huawei,-112,226051575510553,40700957696,2024-09-04 10-15-55,20.12.200.174,-1156057966,ims,37.102.145.5,-1129358383,-1138686388,24098,60
huawei,28,226051865847055,40747761219,2024-09-04 10-18-22,177.223.217.59,1797172653,ims,144.221.115.139,-1969519089,685659545,16549,-76
huawei,-71,226058939585520,40750232235,2024-09-04 10-19-34,82.127.43.65,-1450303468,ims,144.178.31.13,-1327947135,811694201,-5841,-64
huawei,12,226052812212665,40793088825,2024-09-04 10-19-53,25.65.212.175,-53351401,internet,25.56.245.234,-1001736893,-1994816421,-8585,-56
huawei,-38,226050224817540,40711528326,2024-09-04 10-19-12,208.127.42.3,842136670,ims,190.228.144.122,190811834,1235022751,20192,-44
huawei,-119,226054310229239,40761687121,2024-09-04 10-17-23,177.136.83.217,783368884,internet,104.139.83.13,-346445559,1328282307,959,34
huawei,75,226057715773340,40701930815,2024-09-04 10-15-02,246.37.72.238,1210885298,ims,15.32.115.216,1056692016,1867837606,-5431,-122
huawei,78,226059580998655,40761869508,2024-09-04 10-15-17,143.100.55.218,1676944767,internet,197.159.38.182,-373406264,1836632799,11539,125
huawei,-10,226051874742166,40741059337,2024-09-04 10-18-56,108.155.149.36,-2040540027,internet,130.211.218.89,-615955871,1717808879,-23963,20
huawei,0,226053259036923,40704738339,2024-09-04 10-17-25,92.142.43.100,1566494096,internet,42.82.193.201,-1230551481,-436009660,-19672,81
huawei,3,226052930110429,40725312403,2024-09-04 10-17-31,129.212.160.218,1192237933,ims,147.157.150.172,-1169773315,1229625406,30405,23
huawei,-119,226051389067796,40767029207,2024-09-04 10-17-35,201.204.107.170,-2126304410,internet,221.79.155.192,426969693,-1526535671,-27072,-11
huawei,-100,226053088272682,40787698183,2024-09-04 10-19-00,205.140.14.110,-1553039541,ims,103.231.234.67,672813701,26167317,24811,38
huawei,22,226059106940713,40738098194,2024-09-04 10-17-05,98.254.32.58,2097117664,internet,35.152.153.39,-1952338147,-1539399572,2760,-24
huawei,95,226050829635849,40766723676,2024-09-04 10-16-45,169.48.95.5,-1330103290,internet,8.207.190.222,1301240995,924797774,19556,-62
huawei,-56,226059044557452,40702425205,2024-09-04 10-18-52,105.0.168.157,-1704205608,ims,178.152.79.89,1562306382,-2096916996,-2642,115
huawei,-8,226053969930290,40783528920,2024-09-04 10-19-45,160.183.237.235,1242807330,internet,26.23.48.149,-1624676946,-1179314296,-22005,125
huawei,125,226050489546172,40717262416,2024-09-04 10-15-33,102.32.253.24,-546831116,ims,153.102.241.130,2058237480,-797556837,-15134,41
huawei,-121,226050100011981,40733333285,2024-09-04 10-15-08,242.41.88.109,-714922755,ims,58.89.68.64,1910548315,1161256220,-12407,-52
huawei,-43,226057938342470,40738259750,2024-09-04 10-15-40,129.88.209.97,2126626870,ims,227.245.248.56,803915558,-151864258,-16167,-113
huawei,8,226059888331634,40720949760,2024-09-04 10-16-52,240.230.141.222,113803544,ims,141.97.221.181,-88388005,-1872885429,21230,-20
huawei,-115,226059538261702,40713249648,2024-09-04 10-17-38,114.103.20.195,-253736111,internet,32.136.189.251,1889175195,-1117430345,3075,22
huawei,-44,226052668706827,40776487467,2024-09-04 10-19-24,156.71.196.128,-398115318,ims,207.31.68.99,1973660837,-104418655,26637,24
huawei,-126,226055267773938,40712199845,2024-09-04 10-17-22,245.17.153.149,816618661,ims,244.135.187.201,-609381979,-1980293865,-1049,43
huawei,-39,226059759646274,40771883103,2024-09-04 10-19-29,73.102.79.204,1648889403,internet,216.114.21.10,-33274284,-462171191,-9049,-9
huawei,-67,226052688399745,40748411838,2024-09-04 10-19-17,185.143.167.56,-595777053,ims,59.38.112.1,-1962069188,-1598569315,-12224,-33
huawei,-24,226051910453897,40705517719,2024-09-04 10-15-37,31.41.240.132,318778055,internet,211.14.64.212,-1512665843,1544054285,347,51
