src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,-36,226059119015627,40799926759,2024-09-04 11-00-59,42.161.124.234,-1907724324,internet,0.59.86.79,-299887491,900088274,-29462,77
huawei,100,226055254314507,40705403973,2024-09-04 11-04-03,125.168.33.131,422789853,internet,177.242.161.153,9267318,-1631034903,-29497,-90
huawei,11,226054064845841,40794102038,2024-09-04 11-03-13,210.115.227.18,-2022242565,internet,175.122.18.174,1973828621,43457799,8162,37
huawei,57,226057309435538,40709423399,2024-09-04 11-04-06,110.78.3.132,113080875,ims,167.200.212.7,300879616,-1862661865,13184,-14
huawei,-47,226053021835554,40722466197,2024-09-04 11-02-28,30.203.17.89,513757886,ims,43.172.233.136,-498394973,-508442201,28518,63
huawei,-50,226059973986316,40736603235,2024-09-04 11-01-20,28.154.66.65,1908499507,internet,185.79.100.110,1415814890,1964568373,-2736,-48
huawei,54,226059475935664,40701250622,2024-09-04 11-03-16,176.64.111.182,1246068127,ims,168.1.22.150,1903185249,269052510,1895,3
huawei,45,226056643933044,40775624721,2024-09-04 11-04-03,8.162.105.162,650225035,internet,146.136.105.70,1708233338,-218169586,22040,17
huawei,64,226054564503934,40748424824,2024-09-04 11-04-05,90.218.1.237,-1404449244,internet,154.206.92.25,1948234106,1240527606,-23816,76
huawei,-34,226054875619923,40741575391,2024-09-04 11-04-22,61.32.143.89,-1093762746,ims,217.159.176.187,-302300811,-1554744758,16461,-97
huawei,-116,226057241629779,40794876225,2024-09-04 11-00-01,176.212.173.61,1618133376,ims,134.204.201.197,-892872265,438895315,2332,-108
huawei,-110,226053420689329,40785133507,2024-09-04 11-01-21,245.80.140.241,-1789641717,ims,102.189.146.244,-873750025,-1888240730,4914,-126
huawei,-7,226051577413763,40768726679,2024-09-04 11-01-00,71.162.105.142,-821596000,internet,105.204.163.38,-605295759,-744356461,-9309,74
huawei,108,226052391197899,40757188705,2024-09-04 11-02-40,112.128.123.127,-891535804,ims,204.184.93.245,-787799837,1877136107,6458,98
huawei,-67,226056060849285,40767267381,2024-09-04 11-02-39,9.15.191.240,1501366478,internet,187.142.195.63,-1237311841,788132944,-18010,55
huawei,110,226055585861570,40764550370,2024-09-04 11-00-03,219.199.50.114,1945446926,internet,49.144.179.161,736451869,836295607,1401,-9
huawei,25,226053333132678,40713118858,2024-09-04 11-03-12,158.248.25.91,2074677586,internet,21.187.131.241,-2085704805,-1590058760,-26239,117
huawei,-23,226051128039598,40751834805,2024-09-04 11-04-44,35.219.234.250,1027174107,ims,188.220.239.180,1127089434,-1774814855,-7181,92
huawei,-107,226054700395377,40703170722,2024-09-04 11-03-01,228.101.130.81,-1548913408,ims,110.33.130.146,922162471,1675793548,-10963,113
huawei,-62,226057262234026,40780480826,2024-09-04 11-03-40,63.111.147.169,857913970,ims,107.207.246.117,-28728890,555017016,-6859,69
huawei,101,226052382011707,40711374982,2024-09-04 11-00-49,107.126.84.43,-524304728,ims,70.78.215.56,712653919,-657701231,-11754,14
huawei,27,226055990132327,40793832109,2024-09-04 11-02-59,15.126.101.97,-2006812463,ims,136.237.70.83,-143791815,-729592219,-18146,32
huawei,38,226052604797502,40791476288,2024-09-04 11-00-55,245.42.94.71,1248975555,ims,138.32.33.236,35154243,685805160,-13682,-104
huawei,-72,226053597373232,40725962267,2024-09-04 11-02-36,248.33.220.66,-101761597,internet,49.7.22.78,-1548497194,1166530908,-1430,60
huawei,-16,226054460819179,40741487220,2024-09-04 11-03-22,178.187.78.236,-30261982,internet,19.77.222.205,-1605522282,1709424541,-23291,-107
huawei,90,226054724302204,40797830388,2024-09-04 11-00-57,182.74.228.178,-1952248737,internet,5.78.58.135,-1065096617,455211826,14072,-84
huawei,57,226057902498251,40711828503,2024-09-04 11-02-29,159.239.186.205,1699923788,ims,212.115.151.37,907952545,1156949444,8989,45
