src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,73,226051969683322,40700629470,2024-09-04 11-23-37,228.121.205.84,768799403,internet,88.21.106.158,-351716926,-69981422,32632,-23
huawei,-47,226050488053167,40735063118,2024-09-04 11-23-30,167.76.25.212,-418782926,internet,181.101.106.147,-2026771528,637686409,6318,113
huawei,23,226056213688294,40712818005,2024-09-04 11-24-59,161.103.92.159,627743869,internet,204.114.185.22,-699325560,-1403464070,20574,-103
huawei,-40,226050063938388,40731754117,2024-09-04 11-23-16,81.45.224.242,-1630336860,internet,95.173.128.192,-413247924,-1404269682,-22148,-24
huawei,-102,226052077001341,40700093643,2024-09-04 11-24-50,224.44.46.110,-1468125221,internet,221.42.243.32,-858221132,1966824208,13730,-96
huawei,-27,226050737025205,40728835748,2024-09-04 11-21-34,44.87.103.132,11584380,ims,196.100.87.102,957306237,1314010791,22077,-89
huawei,-42,226050539198811,40755607354,2024-09-04 11-22-01,176.202.52.35,176946235,ims,4.113.89.141,-207429376,-1974587231,-12714,-81
huawei,-48,226057291856544,40757896184,2024-09-04 11-23-34,176.56.99.182,-1208110751,internet,7.11.198.70,796242133,-235546087,20132,-94
huawei,-31,226057233141405,40759327958,2024-09-04 11-24-03,129.93.231.1,1003531293,ims,247.228.1.116,-472319603,-45314600,2355,86
huawei,29,226058298928002,40730113770,2024-09-04 11-20-39,86.110.168.57,1471647232,internet,116.161.190.217,-1689666329,-305491409,754,-1
huawei,-21,226051967452116,40708206833,2024-09-04 11-21-15,153.35.100.9,935223003,internet,123.182.125.159,622687939,2077070694,23424,75
huawei,-105,226055723267151,40772313055,2024-09-04 11-24-45,175.48.193.187,-117658875,internet,182.13.104.66,857624142,1391339957,17428,-19
huawei,123,226051146781580,40732117179,2024-09-04 11-23-14,33.160.88.205,-429993511,ims,161.232.245.255,-82654778,1491541050,-17221,-107
huawei,117,226056501825070,40746213323,2024-09-04 11-24-07,229.177.186.185,-482870393,internet,140.88.196.71,-954987139,91374196,19798,-67
huawei,-10,226050240198529,40728089539,2024-09-04 11-21-11,235.132.114.163,1131515167,ims,192.212.73.224,-830917342,605799544,-16588,-74
huawei,81,226050495470336,40703992004,2024-09-04 11-23-27,255.111.161.160,-69715921,ims,248.93.246.158,100155078,-1131516741,-23012,-23
huawei,-5,226057352764024,40746984566,2024-09-04 11-20-41,2.141.27.120,-1534838423,ims,69.232.176.179,-1993525444,-16580178,4740,-92
huawei,91,226056242059327,40717385117,2024-09-04 11-23-01,57.164.253.183,-1106879496,ims,103.55.226.120,1853201429,-1711282074,-24069,-64
huawei,50,226053046488687,40773293083,2024-09-04 11-24-11,112.124.78.68,378595484,internet,59.22.118.161,1771494672,-1393652502,-1648,-112
huawei,-86,226058065365925,40725478022,2024-09-04 11-23-56,145.153.196.161,551815879,ims,60.15.176.16,-1740411919,-2100072845,-28551,80
huawei,-51,226059059279247,40720402304,2024-09-04 11-22-06,232.172.42.56,-64267345,ims,18.83.0.104,1758938882,-904980072,23733,91
huawei,98,226053849963674,40789715567,2024-09-04 11-20-15,243.224.120.213,1164250601,internet,91.70.33.156,413237029,1163355409,14927,17
