src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,64,226058591305171,40794865531,2024-09-04 11-35-37,177.0.79.253,-509045897,internet,205.104.168.248,1444745848,-1462194074,-24646,122
huawei,86,226059702181516,40704747857,2024-09-04 11-38-43,184.26.130.179,1417309743,internet,216.166.80.188,-46384975,-58392973,28652,115
huawei,90,226051705063940,40799182908,2024-09-04 11-36-44,229.26.175.157,644271501,internet,113.69.212.108,-1006682904,-1755846168,-28246,20
huawei,-89,226052306499266,40724706436,2024-09-04 11-39-17,27.43.78.33,2027781080,internet,58.200.15.111,-1340550575,-6058566,8238,-79
huawei,61,226058367097488,40781342040,2024-09-04 11-37-45,164.242.195.121,416546639,internet,22.180.48.133,-1951268925,-1551272403,5866,-35
huawei,-49,226052869876254,40702337446,2024-09-04 11-37-41,100.195.0.110,534848924,ims,103.37.201.184,1803442754,41990000,-9797,-103
huawei,109,226057555074126,40724528826,2024-09-04 11-38-56,3.17.113.9,-617040649,internet,55.21.190.242,-1189197421,2074966392,-5786,-55
huawei,-83,226052110278449,40748362064,2024-09-04 11-38-59,69.248.227.77,-2000987817,internet,254.34.67.204,-1257283845,1564237236,-17400,9
huawei,43,226050905432632,40776043840,2024-09-04 11-39-11,211.209.0.13,-1923686569,ims,226.114.177.193,-776136618,803747791,31827,-115
huawei,32,226057236542698,40737031013,2024-09-04 11-38-06,167.146.250.72,934988433,internet,163.125.255.188,472556569,-1746585732,-1437,74
huawei,109,226057646366911,40734779542,2024-09-04 11-37-16,214.178.74.91,-1572895561,ims,246.42.147.215,326218411,-2100298698,-4094,20
huawei,-28,226057627418348,40774407869,2024-09-04 11-35-19,125.184.252.83,-833625940,ims,241.151.247.183,-735895472,-738198721,9933,61
huawei,120,226059764393413,40782505267,2024-09-04 11-39-52,202.188.199.237,-1791135289,internet,50.52.239.246,846373699,345015922,-25141,-37
