src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,28,226054197010059,40737695964,2024-09-04 11-45-54,161.5.135.175,-1927429985,ims,19.203.196.5,-888842534,1609974022,-21915,-35
huawei,-45,226055896653696,40750351721,2024-09-04 11-46-51,94.29.226.112,-1410024716,ims,156.150.101.138,1250510476,1290702862,-27328,-39
huawei,6,226052933754947,40726617478,2024-09-04 11-45-45,161.123.252.10,109923321,internet,99.49.74.213,1946549600,1959229425,-25776,110
huawei,28,226055017857202,40728851958,2024-09-04 11-48-54,227.96.10.37,1039183566,ims,90.240.29.164,-1915142615,1040465274,-2511,-72
huawei,82,226051499722364,40785520714,2024-09-04 11-48-53,246.216.2.254,-1615248040,ims,10.180.57.56,22888048,651164523,2319,-114
huawei,-37,226051556483543,40767540485,2024-09-04 11-46-15,108.104.173.0,-1313247186,ims,14.52.185.91,-1661253818,770128296,-30153,-52
huawei,44,226053365136654,40732647854,2024-09-04 11-47-18,11.89.56.62,-593920085,internet,167.62.197.220,-1773611812,2057278811,-19499,64
huawei,-11,226056769488227,40701735216,2024-09-04 11-46-06,209.122.0.187,-536097886,ims,72.22.2.110,-1530666702,165763100,-1162,12
huawei,112,226057563490632,40755774868,2024-09-04 11-47-01,39.76.2.164,1567701552,internet,162.203.132.185,-1861849151,1921943501,-4931,-54
huawei,7,226051003985771,40723193374,2024-09-04 11-46-27,240.142.193.28,2106893009,ims,246.135.244.71,386730032,1682699037,5377,50
huawei,-1,226058073152383,40719327082,2024-09-04 11-45-06,184.104.187.45,-1132979336,internet,75.210.144.50,-1630088225,466734249,30768,42
huawei,35,226055005240095,40783283588,2024-09-04 11-46-39,228.16.37.46,1287333158,internet,116.97.81.131,-411681710,1605635151,9479,0
huawei,110,226056793090123,40787909212,2024-09-04 11-46-05,174.228.166.174,-1638580536,internet,63.211.213.235,-893213022,-1517282465,-11707,122
huawei,-27,226051867895010,40778214508,2024-09-04 11-46-42,97.174.148.186,1856030879,ims,149.164.238.63,-1943554694,2045196897,-14298,55
huawei,-95,226057447832563,40726224230,2024-09-04 11-45-23,19.131.95.212,-940737,internet,6.16.98.204,-1719218219,1695944851,-21404,23
huawei,116,226052355173875,40772588975,2024-09-04 11-49-55,65.99.83.205,1333181843,ims,11.38.73.146,744164092,-28542547,-2329,91
huawei,-9,226056445172329,40716349426,2024-09-04 11-47-13,63.245.105.136,1689704263,ims,179.100.138.179,481466065,1076387561,21733,-21
huawei,-95,226059321878292,40716230900,2024-09-04 11-47-53,89.161.63.233,636817000,internet,45.183.62.50,1312315040,1816113593,-29356,19
huawei,56,226055375812244,40756469198,2024-09-04 11-49-16,60.106.50.248,-603678069,ims,243.216.60.206,-1395091780,-294412722,20752,56
huawei,77,226056806560730,40758110294,2024-09-04 11-49-01,91.231.235.49,939784462,ims,229.128.160.54,-429629143,-1775402464,-9306,-54
huawei,53,226058969921991,40768956255,2024-09-04 11-48-15,152.254.97.83,1586331443,ims,9.54.0.73,-2023653325,2130143346,26766,-77
huawei,74,226059087994681,40763980258,2024-09-04 11-45-14,17.167.16.41,-1770276384,internet,14.169.48.85,1916249904,-1692564940,15130,121
huawei,-36,226056888078221,40767120115,2024-09-04 11-47-53,209.141.196.50,141219211,internet,195.247.81.0,261198315,931569191,15232,76
huawei,-127,226053288010754,40792108990,2024-09-04 11-45-51,66.112.51.255,1585560927,ims,52.240.230.90,-130063743,-671488760,10720,62
huawei,86,226053930492492,40776673011,2024-09-04 11-47-44,35.252.8.193,623273961,internet,38.218.126.245,667384229,846443821,4150,53
huawei,-50,226054560980847,40769803757,2024-09-04 11-45-25,89.232.154.37,-1205446400,ims,71.61.220.171,655380643,1951464790,10075,-18
