src,record_type,imsi,msisdn,start_date,pGWAddress,chargingID,apn,pdp_address,datavolumeuplink,datavolumedownlink,duration,rat_type
huawei,89,226054331002162,40781053915,2024-09-04 12-12-18,46.56.80.31,1954134526,internet,142.216.116.241,-654730617,2043061231,-20548,14
huawei,76,226057477530318,40772812189,2024-09-04 12-14-33,244.112.50.147,1407422223,internet,34.139.73.202,995938469,-2043799414,-23438,47
huawei,-113,226053356537939,40704919890,2024-09-04 12-12-18,103.115.65.94,120205613,internet,10.225.217.167,-294251094,715438716,4783,43
huawei,118,226055136641436,40748579770,2024-09-04 12-10-24,70.102.178.186,-1791847716,internet,129.175.35.118,390195495,-149029885,20561,-109
huawei,83,226058251052170,40706138558,2024-09-04 12-12-23,157.9.224.242,-1554439899,internet,170.158.1.116,1206988112,-1500216210,-14868,39
huawei,-34,226058965891476,40712976752,2024-09-04 12-13-14,159.117.35.219,1339654742,internet,25.117.199.31,2115991471,-1213073775,5915,125
huawei,76,226052751291581,40704921514,2024-09-04 12-14-49,174.133.131.186,67696706,ims,94.153.101.159,-1143474223,-1413265565,-4433,-80
huawei,-23,226059248049829,40783008077,2024-09-04 12-13-46,54.163.228.91,-744050204,ims,231.97.168.223,-1719392899,1416985405,-27713,-17
huawei,123,226058214855262,40700122389,2024-09-04 12-10-28,252.180.146.154,142564445,ims,9.68.3.105,-1368876244,-1851816390,28931,-87
huawei,-51,226058860641471,40707633955,2024-09-04 12-13-10,135.97.196.206,-1898780084,internet,207.221.62.13,1313977839,1086546624,28557,15
huawei,-20,226057100710835,40766599111,2024-09-04 12-10-46,252.175.163.53,-34893079,internet,211.132.75.142,1298156929,1089096192,-24484,-2
huawei,92,226055677859796,40772589434,2024-09-04 12-12-23,253.137.96.223,-1589913129,ims,255.202.201.118,1643962217,-410395984,-27442,-86
huawei,77,226050245626256,40793832242,2024-09-04 12-11-40,216.2.151.255,1446091268,ims,168.81.17.140,-667487472,1213476657,12223,31
huawei,-116,226055749056263,40785950934,2024-09-04 12-13-53,40.236.86.154,917927132,internet,186.209.105.51,889600145,-570109899,-18979,51
huawei,8,226055069835379,40713473518,2024-09-04 12-10-45,19.110.85.186,-1173129015,internet,161.80.135.102,-757733616,1981115054,-2491,47
huawei,-89,226051643695556,40747946971,2024-09-04 12-11-01,125.55.12.115,-619125171,internet,202.73.110.3,922860869,255668583,-29224,120
huawei,-102,226058777075106,40775058499,2024-09-04 12-13-12,95.180.148.234,871439595,internet,248.226.227.241,-670845322,850280725,7457,106
huawei,-75,226059336701030,40785661754,2024-09-04 12-13-03,192.131.155.253,-865916175,ims,60.22.207.22,757508102,722551045,538,-122
huawei,85,226059862917528,40749084420,2024-09-04 12-11-14,64.199.107.24,752157043,internet,1.186.84.195,2106520620,1463433536,-9595,-120
huawei,57,226050930342224,40717394955,2024-09-04 12-14-52,10.85.115.10,-1695103718,ims,128.9.49.245,-234994106,-1924741763,-17258,-61
huawei,0,226059143249161,40704050340,2024-09-04 12-14-56,50.175.84.177,-1199956443,ims,136.212.249.253,311732350,-2142413710,-17299,-103
huawei,-101,226057241825216,40724809911,2024-09-04 12-10-54,250.158.67.150,-1863257759,ims,145.142.105.79,454980411,1759692322,-12575,-48
huawei,-41,226052019558913,40713860419,2024-09-04 12-12-51,174.51.10.233,792301178,internet,170.154.229.65,-1289499370,-769340434,-12894,107
huawei,67,226050811709602,40775347923,2024-09-04 12-11-31,142.100.137.16,-2075496067,internet,214.201.184.50,-448690415,960908297,-30019,-1
huawei,-15,226059414366611,40767761854,2024-09-04 12-10-20,239.170.45.159,-1036937750,internet,31.139.139.184,22607157,1069454846,-27138,92
huawei,70,226055562139427,40721744195,2024-09-04 12-13-40,110.139.254.216,257176246,internet,191.107.109.90,2074751653,1381826519,18836,-96
huawei,-22,226054890049164,40769840752,2024-09-04 12-14-14,28.184.34.115,-20694759,ims,198.107.88.245,-1304002928,-1018747632,-3977,31
huawei,-40,226058419401177,40732177304,2024-09-04 12-13-08,99.234.62.238,-298135839,ims,129.234.3.252,847197193,-1447375657,8480,51
huawei,44,226054346111141,40789866399,2024-09-04 12-12-35,239.80.247.33,276240027,internet,184.230.118.136,-1480609444,1321717061,-10071,-120
